Date,Time,Open,High,Low,Close,Vol
06/25/1999,16:00,8.54,9.37,8.39,8.99,384600.0
06/28/1999,16:00,8.96,9.11,8.92,8.92,48100.0
06/29/1999,16:00,8.99,9.07,8.77,9.07,56500.0
06/30/1999,16:00,8.96,9.03,8.92,8.99,69100.0
07/01/1999,16:00,8.96,9.03,8.47,8.62,116100.0
07/02/1999,16:00,8.84,8.84,8.62,8.69,12900.0
07/06/1999,16:00,8.71,8.77,8.54,8.69,90200.0
07/07/1999,16:00,8.62,9.29,8.62,8.96,55800.0
07/08/1999,16:00,8.92,8.92,8.54,8.62,26900.0
07/09/1999,16:00,8.62,8.77,8.62,8.73,20800.0
07/12/1999,16:00,8.77,8.84,8.66,8.77,13800.0
07/13/1999,16:00,8.77,8.77,8.66,8.77,10200.0
07/14/1999,16:00,8.66,8.81,8.66,8.69,24300.0
07/15/1999,16:00,8.69,8.73,8.47,8.66,8600.0
07/16/1999,16:00,8.51,8.88,8.47,8.84,39300.0
07/19/1999,16:00,9.03,9.07,8.73,8.77,26600.0
07/20/1999,16:00,8.82,8.96,8.69,8.69,11600.0
07/21/1999,16:00,8.69,8.77,8.62,8.62,5300.0
07/22/1999,16:00,8.62,8.88,8.54,8.69,17100.0
07/23/1999,16:00,8.62,8.69,8.62,8.66,3500.0
07/26/1999,16:00,8.62,8.69,8.47,8.62,8900.0
07/27/1999,16:00,8.54,8.54,8.47,8.47,12300.0
07/28/1999,16:00,8.47,8.54,8.47,8.47,8700.0
07/29/1999,16:00,8.47,8.54,8.47,8.51,5700.0
07/30/1999,16:00,8.54,8.54,8.36,8.39,23500.0
08/02/1999,16:00,8.39,8.43,8.39,8.39,6300.0
08/03/1999,16:00,8.51,8.51,8.36,8.43,8100.0
08/04/1999,16:00,8.36,8.43,8.36,8.39,11500.0
08/05/1999,16:00,8.43,8.51,8.36,8.36,7200.0
08/06/1999,16:00,8.36,8.36,8.36,8.36,200.0
08/09/1999,16:00,8.36,8.36,8.36,8.36,0.0
08/10/1999,16:00,8.36,8.39,8.36,8.36,40100.0
08/11/1999,16:00,8.36,8.36,8.28,8.36,5900.0
08/12/1999,16:00,8.28,8.36,8.28,8.36,13800.0
08/13/1999,16:00,8.32,8.36,8.28,8.32,14000.0
08/16/1999,16:00,8.36,8.36,8.36,8.36,100.0
08/17/1999,16:00,8.36,8.36,8.32,8.32,1000.0
08/18/1999,16:00,8.32,8.32,8.21,8.28,13500.0
08/19/1999,16:00,8.21,8.21,8.09,8.09,5100.0
08/20/1999,16:00,8.09,8.09,8.09,8.09,1000.0
08/23/1999,16:00,8.17,8.17,8.09,8.09,800.0
08/24/1999,16:00,8.17,8.17,7.68,8.09,9600.0
08/25/1999,16:00,7.64,7.64,7.38,7.38,5000.0
08/26/1999,16:00,7.49,7.57,7.42,7.42,12500.0
08/27/1999,16:00,7.64,7.64,7.64,7.64,600.0
08/30/1999,16:00,7.42,7.49,7.42,7.42,6200.0
08/31/1999,16:00,7.64,7.64,7.64,7.64,3500.0
09/01/1999,16:00,7.79,7.94,7.79,7.94,700.0
09/02/1999,16:00,7.87,7.87,7.87,7.87,2000.0
09/03/1999,16:00,8.09,8.17,8.02,8.17,800.0
09/07/1999,16:00,8.09,8.09,8.02,8.02,15400.0
09/08/1999,16:00,7.94,7.98,7.79,7.83,3100.0
09/09/1999,16:00,7.64,7.64,7.57,7.57,600.0
09/10/1999,16:00,7.61,7.79,7.61,7.79,4600.0
09/13/1999,16:00,7.72,7.72,7.72,7.72,500.0
09/14/1999,16:00,7.68,7.68,7.68,7.68,1000.0
09/15/1999,16:00,7.80,7.80,7.80,7.80,2000.0
09/16/1999,16:00,7.80,7.80,7.80,7.80,100.0
09/17/1999,16:00,7.84,7.84,7.84,7.84,200.0
09/20/1999,16:00,7.84,7.84,7.84,7.84,200.0
09/21/1999,16:00,7.73,7.73,7.73,7.73,1000.0
09/22/1999,16:00,7.73,7.73,7.73,7.73,800.0
09/23/1999,16:00,7.80,7.84,7.39,7.47,5300.0
09/24/1999,16:00,7.77,7.77,7.77,7.77,200.0
09/27/1999,16:00,7.80,7.80,7.73,7.77,1700.0
09/28/1999,16:00,7.77,7.77,7.77,7.77,0.0
09/29/1999,16:00,7.73,7.80,7.73,7.80,1600.0
09/30/1999,16:00,7.80,7.80,7.80,7.80,1800.0
10/01/1999,16:00,7.84,7.84,7.84,7.84,6200.0
10/04/1999,16:00,7.84,7.84,7.84,7.84,2000.0
10/05/1999,16:00,7.82,7.84,7.80,7.84,3200.0
10/06/1999,16:00,7.80,7.84,7.80,7.84,4100.0
10/07/1999,16:00,7.84,7.84,7.84,7.84,0.0
10/08/1999,16:00,7.88,7.88,7.84,7.84,800.0
10/11/1999,16:00,7.65,7.65,7.65,7.65,800.0
10/12/1999,16:00,7.65,7.65,7.65,7.65,800.0
10/13/1999,16:00,7.65,7.65,7.65,7.65,0.0
10/14/1999,16:00,7.84,7.84,7.69,7.69,3800.0
10/15/1999,16:00,7.69,7.69,7.62,7.62,1400.0
10/18/1999,16:00,7.62,7.62,7.24,7.42,1400.0
10/19/1999,16:00,7.24,7.24,7.24,7.24,1400.0
10/20/1999,16:00,7.54,7.54,7.27,7.27,500.0
10/21/1999,16:00,7.27,7.27,7.27,7.27,0.0
10/22/1999,16:00,7.63,7.63,7.35,7.35,5300.0
