Date,Time,Open,High,Low,Close,Vol
09/16/1991,16:00,1.14,1.14,1.01,1.03,80608.0
09/17/1991,16:00,1.11,1.11,0.98,1.08,103600.0
09/18/1991,16:00,1.08,1.08,0.98,1.08,44096.0
09/19/1991,16:00,0.98,1.08,0.98,1.02,38400.0
09/20/1991,16:00,0.98,1.08,0.98,0.98,24896.0
09/23/1991,16:00,1.03,1.03,0.92,0.96,499200.0
09/24/1991,16:00,0.92,1.01,0.90,1.01,30704.0
09/25/1991,16:00,1.01,1.01,1.01,1.01,0.0
09/26/1991,16:00,0.90,0.98,0.90,0.98,36400.0
09/27/1991,16:00,0.88,0.98,0.85,0.98,46000.0
09/30/1991,16:00,0.85,0.93,0.83,0.93,30704.0
10/01/1991,16:00,0.83,0.93,0.83,0.93,120896.0
10/02/1991,16:00,0.85,0.93,0.85,0.93,49904.0
10/03/1991,16:00,0.88,0.89,0.88,0.88,117104.0
10/04/1991,16:00,0.88,0.93,0.87,0.91,84400.0
10/07/1991,16:00,0.87,0.91,0.87,0.91,17200.0
10/08/1991,16:00,0.90,0.91,0.87,0.91,113200.0
10/09/1991,16:00,0.87,0.87,0.87,0.87,67200.0
10/10/1991,16:00,0.83,0.91,0.83,0.91,3808.0
10/11/1991,16:00,0.83,0.85,0.83,0.85,48000.0
10/14/1991,16:00,0.88,0.91,0.83,0.91,5696.0
10/15/1991,16:00,0.86,0.86,0.78,0.83,115200.0
10/16/1991,16:00,0.72,0.85,0.72,0.85,26800.0
10/17/1991,16:00,0.86,0.86,0.74,0.78,11504.0
10/18/1991,16:00,0.75,0.75,0.75,0.75,3808.0
10/21/1991,16:00,0.75,0.75,0.75,0.75,5696.0
10/22/1991,16:00,0.75,0.86,0.75,0.83,90208.0
10/23/1991,16:00,0.75,0.83,0.75,0.83,19200.0
10/24/1991,16:00,0.75,0.83,0.75,0.83,13408.0
10/25/1991,16:00,0.83,0.83,0.75,0.80,44096.0
10/28/1991,16:00,0.76,0.81,0.76,0.78,19200.0
10/29/1991,16:00,0.75,0.75,0.75,0.75,1904.0
10/30/1991,16:00,0.76,0.81,0.76,0.78,26800.0
10/31/1991,16:00,0.75,0.80,0.75,0.80,7600.0
11/01/1991,16:00,0.79,0.80,0.75,0.80,51808.0
11/04/1991,16:00,0.80,0.80,0.80,0.80,0.0
11/05/1991,16:00,0.76,0.78,0.76,0.78,78704.0
11/06/1991,16:00,0.76,0.78,0.76,0.78,17200.0
11/07/1991,16:00,0.75,0.75,0.75,0.75,1904.0
11/08/1991,16:00,0.75,0.83,0.75,0.79,161200.0
11/11/1991,16:00,0.77,0.78,0.76,0.76,80608.0
11/12/1991,16:00,0.76,0.76,0.76,0.76,0.0
11/13/1991,16:00,0.76,0.77,0.76,0.76,17200.0
11/14/1991,16:00,0.78,0.79,0.78,0.78,55600.0
11/15/1991,16:00,0.77,0.77,0.76,0.76,36400.0
11/18/1991,16:00,0.77,0.78,0.74,0.76,103600.0
11/19/1991,16:00,0.74,0.75,0.70,0.72,86400.0
11/20/1991,16:00,0.68,0.70,0.66,0.69,82496.0
11/21/1991,16:00,0.66,0.70,0.65,0.65,88304.0
11/22/1991,16:00,0.65,0.69,0.65,0.67,38400.0
11/25/1991,16:00,0.66,0.67,0.66,0.67,40304.0
11/26/1991,16:00,0.67,0.67,0.67,0.67,13408.0
11/27/1991,16:00,0.70,0.72,0.66,0.72,26800.0
11/29/1991,16:00,0.67,0.73,0.67,0.67,13408.0
12/02/1991,16:00,0.72,0.72,0.72,0.72,1904.0
12/03/1991,16:00,0.72,0.72,0.72,0.72,0.0
12/04/1991,16:00,0.67,0.67,0.67,0.67,23008.0
12/05/1991,16:00,0.67,0.67,0.67,0.67,0.0
12/06/1991,16:00,0.67,0.67,0.67,0.67,0.0
12/09/1991,16:00,0.67,0.73,0.67,0.67,34496.0
12/10/1991,16:00,0.69,0.71,0.67,0.67,21104.0
12/11/1991,16:00,0.68,0.71,0.68,0.71,49904.0
12/12/1991,16:00,0.72,0.72,0.68,0.68,48000.0
12/13/1991,16:00,0.66,0.67,0.66,0.67,19200.0
12/16/1991,16:00,0.66,0.66,0.66,0.66,5696.0
12/17/1991,16:00,0.66,0.68,0.66,0.66,40304.0
12/18/1991,16:00,0.65,0.67,0.64,0.64,61408.0
12/19/1991,16:00,0.67,0.67,0.67,0.67,1904.0
12/20/1991,16:00,0.59,0.59,0.59,0.59,1904.0
12/23/1991,16:00,0.59,0.67,0.59,0.67,53696.0
12/24/1991,16:00,0.67,0.67,0.67,0.67,0.0
12/26/1991,16:00,0.63,0.63,0.60,0.60,7600.0
12/27/1991,16:00,0.67,0.67,0.67,0.67,1904.0
12/30/1991,16:00,0.60,0.67,0.57,0.67,105600.0
12/31/1991,16:00,0.58,0.67,0.58,0.67,11504.0
01/02/1992,16:00,0.67,0.67,0.67,0.67,0.0
01/03/1992,16:00,0.58,0.63,0.57,0.57,7600.0
01/06/1992,16:00,0.57,0.57,0.57,0.57,1904.0
01/07/1992,16:00,0.56,0.64,0.56,0.64,9600.0
01/08/1992,16:00,0.56,0.60,0.56,0.60,72896.0
01/09/1992,16:00,0.56,0.64,0.56,0.64,11504.0
01/10/1992,16:00,0.57,0.57,0.57,0.57,5696.0
01/13/1992,16:00,0.63,0.63,0.56,0.59,24896.0
01/14/1992,16:00,0.59,0.59,0.59,0.59,0.0
01/15/1992,16:00,0.56,0.59,0.56,0.59,19200.0
01/16/1992,16:00,0.59,0.59,0.59,0.59,0.0
01/17/1992,16:00,0.58,0.58,0.58,0.58,1904.0
01/20/1992,16:00,0.56,0.63,0.56,0.63,97904.0
01/21/1992,16:00,0.61,0.62,0.57,0.57,13408.0
01/22/1992,16:00,0.62,0.62,0.62,0.62,5696.0
01/23/1992,16:00,0.62,0.62,0.62,0.62,0.0
01/24/1992,16:00,0.56,0.67,0.56,0.67,13408.0
01/27/1992,16:00,0.66,0.66,0.58,0.60,13408.0
01/28/1992,16:00,0.57,0.57,0.57,0.57,26800.0
01/29/1992,16:00,0.57,0.59,0.57,0.57,17200.0
01/30/1992,16:00,0.57,0.59,0.57,0.57,48000.0
01/31/1992,16:00,0.57,0.57,0.57,0.57,0.0
02/03/1992,16:00,0.56,0.58,0.56,0.58,57600.0
02/04/1992,16:00,0.60,0.60,0.60,0.60,13408.0
02/05/1992,16:00,0.60,0.61,0.59,0.59,80608.0
02/06/1992,16:00,0.64,0.64,0.64,0.64,1904.0
02/07/1992,16:00,0.60,0.67,0.60,0.67,113200.0
02/10/1992,16:00,0.68,0.68,0.64,0.66,205408.0
02/11/1992,16:00,0.68,0.70,0.67,0.67,38400.0
02/12/1992,16:00,0.71,0.76,0.67,0.69,113200.0
02/13/1992,16:00,0.74,0.75,0.74,0.75,88304.0
02/14/1992,16:00,0.80,0.80,0.73,0.80,134400.0
02/18/1992,16:00,0.74,0.78,0.68,0.75,153600.0
02/19/1992,16:00,0.67,0.67,0.62,0.64,96000.0
02/20/1992,16:00,0.75,0.75,0.75,0.75,15296.0
02/21/1992,16:00,0.64,0.70,0.64,0.70,7600.0
02/24/1992,16:00,0.72,0.72,0.65,0.72,19200.0
02/25/1992,16:00,0.72,0.72,0.72,0.72,0.0
02/26/1992,16:00,0.72,0.72,0.72,0.72,0.0
02/27/1992,16:00,0.66,0.66,0.66,0.66,5696.0
02/28/1992,16:00,0.65,0.70,0.65,0.67,88304.0
03/02/1992,16:00,0.66,0.71,0.66,0.66,9600.0
03/03/1992,16:00,0.65,0.70,0.65,0.70,23008.0
03/04/1992,16:00,0.70,0.70,0.65,0.70,23008.0
03/05/1992,16:00,0.65,0.67,0.65,0.67,40304.0
03/06/1992,16:00,0.70,0.70,0.65,0.70,5696.0
03/09/1992,16:00,0.70,0.70,0.65,0.70,44096.0
03/10/1992,16:00,0.65,0.67,0.65,0.67,15296.0
03/11/1992,16:00,0.66,0.68,0.63,0.66,34496.0
03/12/1992,16:00,0.62,0.69,0.62,0.66,15296.0
03/13/1992,16:00,0.62,0.67,0.62,0.67,32608.0
03/16/1992,16:00,0.68,0.68,0.57,0.57,7600.0
03/17/1992,16:00,0.56,0.67,0.56,0.67,34496.0
03/18/1992,16:00,0.67,0.67,0.67,0.67,0.0
03/19/1992,16:00,0.56,0.64,0.56,0.64,28800.0
03/20/1992,16:00,0.62,0.62,0.62,0.62,1904.0
03/23/1992,16:00,0.57,0.59,0.57,0.57,63296.0
03/24/1992,16:00,0.56,0.59,0.56,0.59,78704.0
03/25/1992,16:00,0.56,0.58,0.55,0.58,107504.0
03/26/1992,16:00,0.55,0.58,0.55,0.58,32608.0
03/27/1992,16:00,0.55,0.58,0.55,0.58,38400.0
03/30/1992,16:00,0.55,0.58,0.55,0.58,34496.0
03/31/1992,16:00,0.55,0.55,0.55,0.55,5696.0
04/01/1992,16:00,0.55,0.58,0.55,0.58,21104.0
04/02/1992,16:00,0.55,0.58,0.55,0.58,107504.0
04/03/1992,16:00,0.55,0.58,0.55,0.58,44096.0
04/06/1992,16:00,0.55,0.59,0.54,0.55,69104.0
04/07/1992,16:00,0.54,0.57,0.54,0.57,21104.0
04/08/1992,16:00,0.54,0.56,0.54,0.56,23008.0
04/09/1992,16:00,0.57,0.59,0.53,0.53,19200.0
04/10/1992,16:00,0.52,0.55,0.52,0.55,128608.0
04/13/1992,16:00,0.58,0.58,0.58,0.58,34496.0
04/14/1992,16:00,0.53,0.56,0.53,0.56,113200.0
04/15/1992,16:00,0.52,0.55,0.50,0.55,165104.0
04/16/1992,16:00,0.50,0.53,0.50,0.53,147808.0
04/20/1992,16:00,0.50,0.55,0.50,0.53,30704.0
04/21/1992,16:00,0.50,0.53,0.50,0.53,174704.0
04/22/1992,16:00,0.50,0.55,0.50,0.55,46000.0
04/23/1992,16:00,0.50,0.50,0.50,0.50,21104.0
04/24/1992,16:00,0.50,0.55,0.50,0.53,82496.0
04/27/1992,16:00,0.53,0.53,0.53,0.53,0.0
04/28/1992,16:00,0.51,0.51,0.50,0.50,15296.0
04/29/1992,16:00,0.50,0.50,0.50,0.50,0.0
04/30/1992,16:00,0.45,0.49,0.45,0.49,21104.0
05/01/1992,16:00,0.45,0.45,0.45,0.45,1904.0
05/04/1992,16:00,0.45,0.45,0.45,0.45,5696.0
05/05/1992,16:00,0.50,0.50,0.41,0.47,78704.0
05/06/1992,16:00,0.40,0.49,0.40,0.49,42208.0
05/07/1992,16:00,0.43,0.45,0.43,0.45,40304.0
05/08/1992,16:00,0.42,0.43,0.42,0.42,42208.0
05/11/1992,16:00,0.42,0.42,0.42,0.42,1904.0
05/12/1992,16:00,0.45,0.45,0.43,0.45,80608.0
05/13/1992,16:00,0.42,0.42,0.42,0.42,42208.0
05/14/1992,16:00,0.42,0.47,0.42,0.47,11504.0
05/15/1992,16:00,0.45,0.45,0.43,0.45,113200.0
05/18/1992,16:00,0.43,0.47,0.43,0.47,19200.0
05/19/1992,16:00,0.43,0.45,0.40,0.45,42208.0
05/20/1992,16:00,0.40,0.45,0.40,0.45,21104.0
05/21/1992,16:00,0.45,0.45,0.45,0.45,0.0
05/22/1992,16:00,0.43,0.45,0.43,0.43,80608.0
05/26/1992,16:00,0.45,0.45,0.43,0.45,30704.0
05/27/1992,16:00,0.45,0.45,0.45,0.45,13408.0
05/28/1992,16:00,0.45,0.54,0.45,0.53,253408.0
05/29/1992,16:00,0.52,0.56,0.52,0.54,178496.0
06/01/1992,16:00,0.55,0.56,0.54,0.56,26800.0
06/02/1992,16:00,0.56,0.56,0.54,0.56,84400.0
06/03/1992,16:00,0.54,0.57,0.54,0.57,142000.0
06/04/1992,16:00,0.57,0.57,0.56,0.57,136304.0
06/05/1992,16:00,0.55,0.58,0.55,0.58,155504.0
06/08/1992,16:00,0.58,0.58,0.56,0.57,38400.0
06/09/1992,16:00,0.56,0.58,0.56,0.57,84400.0
06/10/1992,16:00,0.56,0.58,0.56,0.56,120896.0
06/11/1992,16:00,0.56,0.57,0.56,0.57,24896.0
06/12/1992,16:00,0.56,0.56,0.56,0.56,42208.0
06/15/1992,16:00,0.56,0.57,0.56,0.57,53696.0
06/16/1992,16:00,0.57,0.57,0.56,0.57,57600.0
06/17/1992,16:00,0.56,0.57,0.55,0.57,51808.0
06/18/1992,16:00,0.55,0.57,0.52,0.57,145904.0
06/19/1992,16:00,0.52,0.55,0.52,0.55,7600.0
06/22/1992,16:00,0.55,0.55,0.55,0.55,11504.0
06/23/1992,16:00,0.55,0.55,0.52,0.55,46000.0
06/24/1992,16:00,0.52,0.55,0.52,0.55,17200.0
06/25/1992,16:00,0.52,0.52,0.52,0.52,5696.0
06/26/1992,16:00,0.55,0.55,0.52,0.52,5696.0
06/29/1992,16:00,0.55,0.55,0.52,0.53,42208.0
06/30/1992,16:00,0.52,0.54,0.52,0.52,49904.0
07/01/1992,16:00,0.52,0.53,0.50,0.53,15296.0
07/02/1992,16:00,0.50,0.54,0.50,0.52,32608.0
07/06/1992,16:00,0.50,0.52,0.50,0.52,36400.0
07/07/1992,16:00,0.50,0.52,0.50,0.52,15296.0
07/08/1992,16:00,0.50,0.52,0.50,0.52,19200.0
07/09/1992,16:00,0.52,0.52,0.50,0.50,74800.0
07/10/1992,16:00,0.53,0.53,0.50,0.51,230400.0
07/13/1992,16:00,0.53,0.53,0.51,0.51,40304.0
07/14/1992,16:00,0.51,0.51,0.51,0.51,1904.0
07/15/1992,16:00,0.51,0.51,0.51,0.51,23008.0
07/16/1992,16:00,0.54,0.54,0.50,0.53,15296.0
07/17/1992,16:00,0.54,0.56,0.53,0.56,193904.0
07/20/1992,16:00,0.55,0.56,0.55,0.55,288000.0
07/21/1992,16:00,0.57,0.57,0.56,0.57,172800.0
07/22/1992,16:00,0.56,0.57,0.55,0.55,311008.0
07/23/1992,16:00,0.57,0.57,0.56,0.57,96000.0
07/24/1992,16:00,0.55,0.56,0.55,0.55,11504.0
07/27/1992,16:00,0.56,0.56,0.56,0.56,36400.0
07/28/1992,16:00,0.56,0.56,0.55,0.56,48000.0
07/29/1992,16:00,0.54,0.56,0.54,0.55,142000.0
07/30/1992,16:00,0.56,0.56,0.55,0.55,23008.0
07/31/1992,16:00,0.57,0.57,0.57,0.57,3808.0
08/03/1992,16:00,0.56,0.56,0.55,0.55,86400.0
08/04/1992,16:00,0.56,0.56,0.54,0.56,126704.0
08/05/1992,16:00,0.57,0.57,0.57,0.57,7600.0
08/06/1992,16:00,0.57,0.57,0.57,0.57,0.0
08/07/1992,16:00,0.50,0.51,0.50,0.51,32608.0
08/10/1992,16:00,0.50,0.53,0.50,0.51,42208.0
08/11/1992,16:00,0.51,0.51,0.51,0.51,0.0
08/12/1992,16:00,0.51,0.51,0.51,0.51,1904.0
08/13/1992,16:00,0.57,0.57,0.57,0.57,5696.0
08/14/1992,16:00,0.55,0.55,0.55,0.55,1904.0
08/17/1992,16:00,0.53,0.53,0.53,0.53,5696.0
