Date,Time,Open,High,Low,Close,Vol
11/27/1996,16:00,8.85,9.11,8.55,8.95,4362800.0
11/29/1996,16:00,8.95,8.95,8.65,8.70,298400.0
12/02/1996,16:00,8.65,8.85,7.98,8.44,487200.0
12/03/1996,16:00,8.44,8.65,8.34,8.55,211000.0
12/04/1996,16:00,8.50,8.85,8.34,8.50,325400.0
12/05/1996,16:00,8.70,9.11,8.50,8.95,273800.0
12/06/1996,16:00,8.70,8.90,8.44,8.80,316800.0
12/09/1996,16:00,8.85,9.51,8.80,9.41,217000.0
12/10/1996,16:00,9.46,9.82,9.46,9.77,321200.0
12/11/1996,16:00,9.61,9.92,9.46,9.92,140600.0
12/12/1996,16:00,9.92,11.09,9.77,10.43,361400.0
12/13/1996,16:00,10.43,10.43,9.97,9.97,222400.0
12/16/1996,16:00,9.92,10.02,9.41,9.46,118200.0
12/17/1996,16:00,9.21,9.36,8.59,8.90,189000.0
12/18/1996,16:00,9.00,9.61,9.00,9.46,183800.0
12/19/1996,16:00,9.61,9.61,9.36,9.46,44600.0
12/20/1996,16:00,9.51,9.51,9.26,9.26,97000.0
12/23/1996,16:00,9.36,9.46,8.65,8.65,62600.0
12/24/1996,16:00,8.80,9.05,8.75,9.05,98600.0
12/26/1996,16:00,8.95,9.05,8.70,8.85,64200.0
12/27/1996,16:00,8.85,9.11,8.55,8.95,52600.0
12/30/1996,16:00,9.36,10.13,9.31,10.07,132000.0
12/31/1996,16:00,10.28,10.74,10.28,10.48,67400.0
01/02/1997,16:00,10.17,10.53,10.07,10.23,113200.0
01/03/1997,16:00,10.17,11.29,10.17,11.29,53400.0
01/06/1997,16:00,11.50,11.50,10.94,10.94,180800.0
01/07/1997,16:00,10.99,11.86,10.79,11.65,183400.0
01/08/1997,16:00,11.55,11.75,11.55,11.75,119800.0
01/09/1997,16:00,11.75,11.75,11.55,11.55,67800.0
01/10/1997,16:00,11.55,11.60,11.19,11.40,69400.0
01/13/1997,16:00,11.19,11.40,11.04,11.19,24200.0
01/14/1997,16:00,11.04,11.25,10.89,10.89,70200.0
01/15/1997,16:00,10.89,11.04,10.68,10.89,147400.0
01/16/1997,16:00,10.89,11.09,10.53,10.53,57000.0
01/17/1997,16:00,10.53,10.68,10.43,10.43,73800.0
01/20/1997,16:00,10.58,10.58,10.38,10.43,9000.0
01/21/1997,16:00,10.38,10.58,10.17,10.33,56400.0
01/22/1997,16:00,10.38,10.89,10.17,10.89,47400.0
01/23/1997,16:00,11.19,11.19,10.74,10.74,126600.0
01/24/1997,16:00,10.63,10.63,10.63,10.63,3200.0
01/27/1997,16:00,10.74,10.74,10.63,10.68,78000.0
01/28/1997,16:00,10.84,10.94,10.79,10.89,83600.0
01/29/1997,16:00,10.94,10.94,10.89,10.94,13200.0
01/30/1997,16:00,10.94,10.94,10.74,10.94,8200.0
01/31/1997,16:00,10.74,10.94,10.58,10.68,15600.0
02/03/1997,16:00,10.68,10.68,10.07,10.07,27400.0
