Date,Time,Open,High,Low,Close,Vol
03/22/2007,16:00,11.5,13.3,11.5,12.29,5237800.0
03/23/2007,16:00,12.32,12.5,10.75,11.51,1870300.0
03/26/2007,16:00,11.5,11.9,11.26,11.69,753300.0
03/27/2007,16:00,11.84,11.84,11.32,11.5,252800.0
03/28/2007,16:00,11.75,11.75,10.75,11.05,155700.0
03/29/2007,16:00,11.01,11.11,10.02,10.31,410900.0
03/30/2007,16:00,10.44,10.44,9.76,10.0,97200.0
04/02/2007,16:00,10.0,10.3,10.0,10.03,256400.0
04/03/2007,16:00,10.24,10.35,9.76,9.99,311200.0
04/04/2007,16:00,9.91,9.91,9.75,9.78,185500.0
04/05/2007,16:00,9.93,10.45,9.75,10.0,334200.0
04/09/2007,16:00,10.0,10.04,9.75,9.92,70600.0
04/10/2007,16:00,10.0,10.03,9.75,9.85,48900.0
04/11/2007,16:00,9.87,10.77,9.8,10.14,48300.0
04/12/2007,16:00,10.04,10.5,10.04,10.31,32400.0
04/13/2007,16:00,10.3,10.95,10.24,10.89,160500.0
04/16/2007,16:00,10.99,11.55,10.9,11.34,129100.0
04/17/2007,16:00,11.55,11.8,11.45,11.79,117800.0
04/18/2007,16:00,11.68,12.11,11.55,11.98,71700.0
04/19/2007,16:00,11.77,11.99,11.57,11.95,77400.0
04/20/2007,16:00,11.95,11.95,11.63,11.88,53600.0
04/23/2007,16:00,11.72,11.8,11.28,11.56,135600.0
04/24/2007,16:00,11.38,11.74,11.31,11.45,53300.0
04/25/2007,16:00,11.38,11.68,11.31,11.68,48200.0
04/26/2007,16:00,11.74,11.77,11.34,11.55,119000.0
04/27/2007,16:00,11.43,11.55,11.32,11.4,78100.0
04/30/2007,16:00,11.32,11.5,11.05,11.23,51500.0
05/01/2007,16:00,11.57,11.9,11.25,11.29,293200.0
05/02/2007,16:00,11.40,11.67,11.32,11.49,303300.0
05/03/2007,16:00,11.76,12.29,11.51,12.19,293100.0
05/04/2007,16:00,12.37,13.34,12.37,12.97,289600.0
05/07/2007,16:00,12.91,13.2,12.7,12.92,162300.0
05/08/2007,16:00,12.91,13.8,12.7,13.25,90200.0
05/09/2007,16:00,13.25,14.2,13.25,13.6,152300.0
05/10/2007,16:00,13.32,14.01,12.82,13.02,79100.0
05/11/2007,16:00,12.96,13.06,12.78,12.94,36200.0
05/14/2007,16:00,13.2,13.51,13.0,13.5,50400.0
05/15/2007,16:00,13.51,13.79,13.51,13.79,120300.0
05/16/2007,16:00,13.79,13.94,13.38,13.81,120300.0
05/17/2007,16:00,13.53,13.55,13.2,13.26,20300.0
05/18/2007,16:00,13.18,13.57,13.11,13.57,15200.0
05/21/2007,16:00,13.1,13.62,13.1,13.41,18700.0
05/22/2007,16:00,13.34,13.48,13.2,13.39,11900.0
05/23/2007,16:00,13.47,13.47,13.0,13.05,21000.0
05/24/2007,16:00,12.79,12.97,12.19,12.51,114900.0
05/25/2007,16:00,12.76,12.78,12.27,12.27,45500.0
05/29/2007,16:00,12.55,12.8,12.47,12.65,11300.0
05/30/2007,16:00,12.82,13.06,12.58,12.88,49400.0
05/31/2007,16:00,12.82,13.09,12.39,12.43,70500.0
06/01/2007,16:00,12.5,13.14,12.25,12.53,99200.0
06/04/2007,16:00,12.75,13.4,12.5,12.59,129100.0
06/05/2007,16:00,12.61,13.12,12.57,12.85,51400.0
06/06/2007,16:00,12.85,13.0,12.67,12.71,13800.0
06/07/2007,16:00,12.94,13.1,12.75,12.92,23900.0
06/08/2007,16:00,13.26,13.26,12.75,12.77,33600.0
06/11/2007,16:00,12.8,13.48,12.79,13.13,37900.0
06/12/2007,16:00,13.49,13.75,13.27,13.38,44300.0
06/13/2007,16:00,13.5,13.88,13.09,13.4,69100.0
06/14/2007,16:00,13.55,13.55,13.36,13.36,52600.0
06/15/2007,16:00,13.58,13.58,13.27,13.35,28500.0
06/18/2007,16:00,13.49,13.79,13.2,13.77,102400.0
06/19/2007,16:00,13.89,14.8,13.75,14.67,87100.0
06/20/2007,16:00,14.75,14.75,14.3,14.5,70300.0
06/21/2007,16:00,14.46,14.46,13.79,13.99,74600.0
06/22/2007,16:00,14.49,14.5,13.52,13.52,848100.0
06/25/2007,16:00,13.52,13.78,13.25,13.35,135200.0
06/26/2007,16:00,13.45,13.5,13.15,13.39,31800.0
06/27/2007,16:00,13.24,13.76,13.15,13.69,48600.0
