Date,Time,Open,High,Low,Close,Vol
01/20/1994,16:00,1.5,1.69,1.5,1.5,290400.0
01/21/1994,16:00,1.62,1.62,1.37,1.37,231600.0
01/24/1994,16:00,1.37,1.43,1.37,1.37,27000.0
01/25/1994,16:00,1.37,1.5,1.37,1.37,36400.0
01/26/1994,16:00,1.5,1.5,1.31,1.43,62000.0
01/27/1994,16:00,1.34,1.43,1.31,1.31,80000.0
01/28/1994,16:00,1.37,1.37,1.37,1.37,18000.0
01/31/1994,16:00,1.43,1.5,1.31,1.5,53200.0
02/01/1994,16:00,1.31,1.5,1.31,1.5,31400.0
02/02/1994,16:00,1.5,1.5,1.5,1.5,4200.0
02/03/1994,16:00,1.5,1.5,1.40,1.43,24800.0
02/04/1994,16:00,1.44,1.44,1.44,1.44,0.0
02/07/1994,16:00,1.40,1.5,1.37,1.5,39800.0
02/08/1994,16:00,1.43,1.5,1.37,1.37,39800.0
02/09/1994,16:00,1.5,1.5,1.37,1.5,26800.0
02/10/1994,16:00,1.5,1.5,1.37,1.37,7400.0
02/11/1994,16:00,1.37,1.37,1.37,1.37,4000.0
02/14/1994,16:00,1.37,1.5,1.25,1.5,83600.0
02/15/1994,16:00,1.5,1.5,1.31,1.31,10600.0
02/16/1994,16:00,1.31,1.43,1.31,1.31,48000.0
02/17/1994,16:00,1.31,1.43,1.31,1.31,71200.0
02/18/1994,16:00,1.43,1.5,1.34,1.43,66800.0
02/22/1994,16:00,1.5,1.5,1.37,1.5,14400.0
02/23/1994,16:00,1.37,1.5,1.37,1.5,11000.0
02/24/1994,16:00,1.5,1.5,1.34,1.34,16800.0
02/25/1994,16:00,1.45,1.5,1.37,1.48,103000.0
02/28/1994,16:00,1.5,1.62,1.47,1.5,154200.0
03/01/1994,16:00,1.53,1.62,1.5,1.56,68000.0
03/02/1994,16:00,1.56,1.56,1.5,1.56,63200.0
03/03/1994,16:00,1.53,1.62,1.53,1.59,200600.0
03/04/1994,16:00,1.53,1.62,1.53,1.62,147400.0
03/07/1994,16:00,1.62,1.81,1.56,1.81,262800.0
03/08/1994,16:00,1.81,1.81,1.69,1.75,62400.0
03/09/1994,16:00,1.75,1.87,1.69,1.87,231600.0
03/10/1994,16:00,1.87,1.94,1.81,1.94,187000.0
03/11/1994,16:00,1.94,1.94,1.81,1.94,105600.0
03/14/1994,16:00,1.94,1.94,1.81,1.84,71600.0
03/15/1994,16:00,1.81,1.94,1.69,1.69,106000.0
03/16/1994,16:00,1.87,1.87,1.69,1.87,155800.0
03/17/1994,16:00,1.87,1.87,1.75,1.75,106200.0
03/18/1994,16:00,1.81,1.97,1.72,1.87,142000.0
03/21/1994,16:00,1.87,1.87,1.75,1.87,57200.0
03/22/1994,16:00,1.87,1.87,1.75,1.87,139600.0
03/23/1994,16:00,1.94,1.94,1.81,1.87,47200.0
03/24/1994,16:00,1.87,1.94,1.84,1.94,79200.0
03/25/1994,16:00,1.94,1.94,1.84,1.84,43200.0
03/28/1994,16:00,1.87,1.87,1.78,1.87,25400.0
03/29/1994,16:00,1.87,1.87,1.69,1.69,18000.0
03/30/1994,16:00,1.69,1.81,1.62,1.62,42200.0
03/31/1994,16:00,1.75,1.75,1.56,1.56,47000.0
04/04/1994,16:00,1.56,1.75,1.56,1.56,45000.0
04/05/1994,16:00,1.62,1.69,1.62,1.62,29200.0
04/06/1994,16:00,1.62,1.75,1.62,1.62,16600.0
04/07/1994,16:00,1.75,1.75,1.62,1.62,19000.0
04/08/1994,16:00,1.75,1.75,1.56,1.56,45200.0
04/11/1994,16:00,1.65,1.75,1.56,1.75,18200.0
04/12/1994,16:00,1.59,1.75,1.59,1.69,68200.0
04/13/1994,16:00,1.65,1.75,1.65,1.69,4000.0
04/14/1994,16:00,1.75,1.75,1.67,1.75,17800.0
04/15/1994,16:00,1.75,1.84,1.62,1.84,171600.0
04/18/1994,16:00,1.87,1.87,1.78,1.78,81200.0
04/19/1994,16:00,1.78,1.87,1.78,1.87,113600.0
04/20/1994,16:00,1.78,1.90,1.78,1.87,167200.0
04/21/1994,16:00,1.90,1.90,1.90,1.90,1000.0
04/22/1994,16:00,1.81,1.94,1.81,1.94,165400.0
04/25/1994,16:00,1.94,1.94,1.87,1.87,15000.0
04/26/1994,16:00,1.90,1.92,1.87,1.87,45000.0
04/28/1994,16:00,1.87,1.94,1.87,1.87,168800.0
04/29/1994,16:00,1.81,1.94,1.78,1.94,71400.0
05/02/1994,16:00,1.94,2.06,1.87,2.0,146800.0
05/03/1994,16:00,2.06,2.06,1.87,1.94,40800.0
05/04/1994,16:00,2.0,2.0,1.94,2.0,48400.0
05/05/1994,16:00,2.0,2.06,1.99,2.04,98600.0
05/06/1994,16:00,2.0,2.18,2.0,2.18,135600.0
05/09/1994,16:00,2.25,2.25,2.06,2.25,63600.0
05/10/1994,16:00,2.06,2.18,2.06,2.18,80000.0
05/11/1994,16:00,2.18,2.18,1.94,2.0,104400.0
05/12/1994,16:00,2.12,2.12,2.0,2.06,43600.0
05/13/1994,16:00,1.94,2.12,1.94,2.12,63400.0
05/16/1994,16:00,2.0,2.12,2.0,2.12,33800.0
05/17/1994,16:00,2.0,2.25,2.0,2.12,359600.0
05/18/1994,16:00,2.25,2.37,2.12,2.25,252800.0
05/19/1994,16:00,2.25,2.37,2.25,2.37,223400.0
05/20/1994,16:00,2.25,2.37,2.18,2.31,165000.0
05/23/1994,16:00,2.25,2.37,2.25,2.37,53600.0
05/24/1994,16:00,2.31,2.37,2.25,2.25,146800.0
05/25/1994,16:00,2.25,2.37,2.25,2.25,35600.0
05/26/1994,16:00,2.37,2.37,2.25,2.37,30000.0
05/27/1994,16:00,2.37,2.37,2.25,2.37,85800.0
05/31/1994,16:00,2.37,2.44,2.31,2.44,39400.0
06/01/1994,16:00,2.44,2.47,2.34,2.47,241000.0
06/02/1994,16:00,2.47,2.56,2.40,2.47,486000.0
06/03/1994,16:00,2.56,2.56,2.47,2.5,279000.0
06/06/1994,16:00,2.47,2.5,2.47,2.47,123600.0
