Date,Time,Open,High,Low,Close,Vol
06/04/1991,16:00,2.56,2.56,2.56,2.56,600.0
06/05/1991,16:00,2.56,2.56,2.56,2.56,0.0
06/06/1991,16:00,2.56,2.56,2.56,2.56,0.0
06/07/1991,16:00,2.43,2.54,2.43,2.43,19200.0
06/10/1991,16:00,2.50,2.50,2.50,2.50,1800.0
06/11/1991,16:00,2.50,2.50,2.50,2.50,0.0
06/12/1991,16:00,2.48,2.56,2.48,2.48,13800.0
06/13/1991,16:00,2.43,2.43,2.43,2.43,1200.0
06/14/1991,16:00,2.43,2.43,2.43,2.43,1800.0
06/17/1991,16:00,2.56,2.56,2.56,2.56,600.0
06/18/1991,16:00,2.43,2.48,2.43,2.48,1800.0
06/19/1991,16:00,2.48,2.48,2.48,2.48,0.0
06/20/1991,16:00,2.48,2.48,2.48,2.48,0.0
06/21/1991,16:00,2.48,2.48,2.48,2.48,0.0
06/24/1991,16:00,2.48,2.48,2.48,2.48,0.0
06/25/1991,16:00,2.43,2.43,2.43,2.43,3198.0
06/26/1991,16:00,2.43,2.43,2.43,2.43,2598.0
06/27/1991,16:00,2.43,2.48,2.43,2.48,31398.0
06/28/1991,16:00,2.43,2.43,2.43,2.43,600.0
07/01/1991,16:00,2.43,2.43,2.43,2.43,2598.0
07/02/1991,16:00,2.43,2.43,2.43,2.43,0.0
07/03/1991,16:00,2.43,2.43,2.43,2.43,0.0
07/05/1991,16:00,2.43,2.43,2.43,2.43,1800.0
07/08/1991,16:00,2.43,2.43,2.43,2.43,3198.0
07/09/1991,16:00,2.52,2.52,2.43,2.43,2598.0
07/10/1991,16:00,2.43,2.43,2.43,2.43,0.0
07/11/1991,16:00,2.43,2.43,2.43,2.43,0.0
07/12/1991,16:00,2.43,2.43,2.43,2.43,0.0
07/15/1991,16:00,2.48,2.48,2.39,2.39,25998.0
07/16/1991,16:00,2.39,2.39,2.39,2.39,1800.0
07/17/1991,16:00,2.39,2.39,2.39,2.39,0.0
07/18/1991,16:00,2.52,2.52,2.39,2.39,7398.0
07/19/1991,16:00,2.39,2.52,2.39,2.52,2598.0
07/22/1991,16:00,2.52,2.52,2.52,2.52,0.0
07/23/1991,16:00,2.39,2.39,2.39,2.39,3198.0
07/24/1991,16:00,2.39,2.39,2.39,2.39,0.0
07/25/1991,16:00,2.39,2.39,2.39,2.39,3798.0
07/26/1991,16:00,2.43,2.43,2.43,2.43,6798.0
07/29/1991,16:00,2.43,2.43,2.43,2.43,0.0
07/30/1991,16:00,2.39,2.41,2.39,2.41,20598.0
07/31/1991,16:00,2.41,2.41,2.41,2.41,0.0
08/01/1991,16:00,2.52,2.52,2.52,2.52,1800.0
08/02/1991,16:00,2.39,2.52,2.39,2.52,15000.0
08/05/1991,16:00,2.52,2.52,2.52,2.52,0.0
08/06/1991,16:00,2.39,2.39,2.39,2.39,600.0
08/07/1991,16:00,2.39,2.39,2.39,2.39,0.0
08/08/1991,16:00,2.41,2.41,2.41,2.41,3798.0
08/09/1991,16:00,2.52,2.52,2.52,2.52,600.0
08/12/1991,16:00,2.41,2.45,2.41,2.45,6798.0
08/13/1991,16:00,2.45,2.45,2.45,2.45,0.0
08/14/1991,16:00,2.45,2.45,2.45,2.45,0.0
08/15/1991,16:00,2.45,2.45,2.45,2.45,0.0
08/16/1991,16:00,2.52,2.52,2.52,2.52,600.0
08/19/1991,16:00,2.52,2.52,2.52,2.52,0.0
08/20/1991,16:00,2.52,2.52,2.52,2.52,0.0
08/21/1991,16:00,2.52,2.52,2.52,2.52,0.0
08/22/1991,16:00,2.52,2.52,2.52,2.52,0.0
08/23/1991,16:00,2.52,2.52,2.52,2.52,0.0
08/26/1991,16:00,2.52,2.52,2.52,2.52,0.0
08/27/1991,16:00,2.41,2.41,2.41,2.41,3198.0
08/28/1991,16:00,2.41,2.52,2.41,2.48,15600.0
08/29/1991,16:00,2.43,2.50,2.43,2.43,8598.0
08/30/1991,16:00,2.43,2.43,2.43,2.43,0.0
09/03/1991,16:00,2.43,2.43,2.43,2.43,0.0
09/04/1991,16:00,2.43,2.43,2.43,2.43,0.0
09/05/1991,16:00,2.43,2.43,2.43,2.43,0.0
09/06/1991,16:00,2.45,2.45,2.45,2.45,1800.0
09/09/1991,16:00,2.45,2.45,2.45,2.45,1200.0
09/10/1991,16:00,2.50,2.50,2.45,2.45,12198.0
09/11/1991,16:00,2.49,2.50,2.49,2.50,7998.0
09/12/1991,16:00,2.58,2.58,2.52,2.58,3798.0
09/13/1991,16:00,2.52,2.52,2.52,2.52,2598.0
09/16/1991,16:00,2.52,2.52,2.52,2.52,0.0
09/17/1991,16:00,2.48,2.58,2.48,2.56,4800.0
09/18/1991,16:00,2.56,2.56,2.56,2.56,0.0
09/19/1991,16:00,2.48,2.48,2.48,2.48,3198.0
09/20/1991,16:00,2.48,2.48,2.48,2.48,0.0
09/23/1991,16:00,2.48,2.48,2.48,2.48,600.0
09/24/1991,16:00,2.48,2.48,2.48,2.48,0.0
09/25/1991,16:00,2.48,2.48,2.48,2.48,0.0
09/26/1991,16:00,2.48,2.48,2.48,2.48,0.0
09/27/1991,16:00,2.48,2.48,2.48,2.48,0.0
09/30/1991,16:00,2.48,2.48,2.48,2.48,0.0
10/01/1991,16:00,2.48,2.48,2.48,2.48,10200.0
10/02/1991,16:00,2.48,2.48,2.48,2.48,0.0
10/03/1991,16:00,2.50,2.50,2.50,2.50,13800.0
10/04/1991,16:00,2.50,2.50,2.50,2.50,0.0
10/07/1991,16:00,2.48,2.58,2.48,2.58,16998.0
10/08/1991,16:00,2.58,2.58,2.48,2.57,9600.0
10/09/1991,16:00,2.57,2.57,2.57,2.57,0.0
10/10/1991,16:00,2.57,2.57,2.57,2.57,0.0
10/11/1991,16:00,2.57,2.57,2.57,2.57,0.0
10/14/1991,16:00,2.58,2.58,2.58,2.58,19800.0
10/15/1991,16:00,2.62,2.62,2.62,2.62,5400.0
10/16/1991,16:00,2.62,2.67,2.62,2.67,44598.0
10/17/1991,16:00,2.67,2.84,2.67,2.84,43998.0
10/18/1991,16:00,2.84,2.85,2.79,2.80,200598.0
10/21/1991,16:00,2.89,2.89,2.89,2.89,6798.0
10/22/1991,16:00,2.89,2.89,2.89,2.89,3198.0
10/23/1991,16:00,2.89,2.89,2.89,2.89,600.0
10/24/1991,16:00,2.72,2.89,2.72,2.89,5400.0
10/25/1991,16:00,2.89,2.89,2.89,2.89,10200.0
10/28/1991,16:00,2.89,2.89,2.89,2.89,600.0
10/29/1991,16:00,2.89,2.89,2.89,2.89,0.0
10/30/1991,16:00,2.72,2.76,2.72,2.76,1800.0
10/31/1991,16:00,2.76,2.76,2.76,2.76,0.0
11/01/1991,16:00,2.89,2.89,2.89,2.89,7998.0
11/04/1991,16:00,2.87,2.87,2.87,2.87,4800.0
11/05/1991,16:00,2.86,2.86,2.86,2.86,0.0
11/06/1991,16:00,3.06,3.06,3.06,3.06,600.0
11/07/1991,16:00,3.06,3.06,3.06,3.06,0.0
11/08/1991,16:00,2.84,2.84,2.84,2.84,1401.0
11/11/1991,16:00,2.84,2.84,2.84,2.84,0.0
11/12/1991,16:00,2.84,2.84,2.84,2.84,0.0
11/13/1991,16:00,2.84,2.84,2.84,2.84,0.0
11/14/1991,16:00,2.80,2.80,2.80,2.80,3801.0
11/15/1991,16:00,3.14,3.14,3.14,3.14,600.0
11/18/1991,16:00,2.89,2.89,2.89,2.89,600.0
11/19/1991,16:00,3.10,3.10,2.89,2.89,24801.0
11/20/1991,16:00,3.18,3.18,3.18,3.18,201.0
11/21/1991,16:00,3.18,3.18,3.18,3.18,0.0
11/22/1991,16:00,2.93,3.06,2.93,3.01,1566201.0
11/25/1991,16:00,2.97,3.10,2.97,2.97,29400.0
11/26/1991,16:00,2.97,3.10,2.95,3.01,100200.0
11/27/1991,16:00,3.01,3.01,2.95,2.95,33000.0
11/29/1991,16:00,2.98,3.04,2.98,3.04,15201.0
12/02/1991,16:00,3.00,3.04,3.00,3.04,146001.0
12/03/1991,16:00,3.06,3.06,3.00,3.04,17001.0
12/04/1991,16:00,3.00,3.00,3.00,3.00,6801.0
12/05/1991,16:00,3.00,3.08,3.00,3.08,137001.0
12/06/1991,16:00,3.02,3.17,3.02,3.15,86601.0
12/09/1991,16:00,3.04,3.17,3.04,3.11,13200.0
12/10/1991,16:00,3.13,3.17,3.08,3.08,43800.0
12/11/1991,16:00,3.17,3.17,3.08,3.08,4200.0
12/12/1991,16:00,3.08,3.15,3.08,3.15,17001.0
12/13/1991,16:00,3.17,3.17,3.17,3.17,17001.0
12/16/1991,16:00,3.17,3.17,3.08,3.08,26001.0
12/17/1991,16:00,3.15,3.15,3.08,3.08,7401.0
12/18/1991,16:00,3.17,3.17,3.11,3.11,29001.0
12/19/1991,16:00,3.17,3.17,3.08,3.13,22401.0
12/20/1991,16:00,3.19,3.21,3.17,3.17,14601.0
12/23/1991,16:00,3.21,3.21,3.21,3.21,8001.0
12/24/1991,16:00,3.21,3.21,3.21,3.21,0.0
12/26/1991,16:00,3.21,3.21,3.21,3.21,0.0
12/27/1991,16:00,3.23,3.51,3.23,3.51,79401.0
12/30/1991,16:00,3.43,3.55,3.43,3.55,40200.0
12/31/1991,16:00,3.60,3.68,3.55,3.64,171801.0
01/02/1992,16:00,3.55,3.68,3.55,3.64,19800.0
01/03/1992,16:00,3.55,3.55,3.47,3.47,41400.0
01/06/1992,16:00,3.47,3.51,3.43,3.49,20001.0
01/07/1992,16:00,3.43,3.47,3.38,3.47,3000.0
01/08/1992,16:00,3.38,3.41,3.38,3.38,52401.0
01/09/1992,16:00,3.49,3.49,3.38,3.47,107001.0
01/10/1992,16:00,3.43,3.51,3.43,3.51,72600.0
01/13/1992,16:00,3.47,3.55,3.43,3.47,25401.0
01/14/1992,16:00,3.47,3.51,3.47,3.51,51801.0
01/15/1992,16:00,3.51,3.64,3.51,3.51,20001.0
01/16/1992,16:00,3.68,3.73,3.55,3.73,141201.0
01/17/1992,16:00,3.64,3.77,3.64,3.77,12801.0
01/20/1992,16:00,3.77,3.77,3.68,3.77,30000.0
01/21/1992,16:00,3.77,3.77,3.68,3.68,23400.0
