Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,1.05,1.08,1.05,1.05,54902.8125
03/27/1990,16:00,1.05,1.07,1.05,1.05,36404.4375
03/28/1990,16:00,1.05,1.08,1.05,1.07,68799.375
03/29/1990,16:00,1.05,1.08,1.05,1.05,116696.953125
03/30/1990,16:00,1.05,1.06,1.05,1.06,77797.96875
04/02/1990,16:00,1.05,1.07,1.05,1.07,102105.5625
04/03/1990,16:00,1.05,1.07,1.05,1.07,501005.25
04/04/1990,16:00,1.07,1.07,1.04,1.04,72900.0
04/05/1990,16:00,1.07,1.07,1.04,1.04,18395.859375
04/06/1990,16:00,1.04,1.04,1.04,1.04,38397.796875
04/09/1990,16:00,1.05,1.07,1.04,1.04,90999.703125
04/10/1990,16:00,1.05,1.07,1.04,1.07,27098.296875
04/11/1990,16:00,1.07,1.07,1.05,1.07,232801.59375
04/12/1990,16:00,1.05,1.11,1.05,1.10,357301.125
04/16/1990,16:00,1.10,1.13,1.10,1.13,98494.734375
04/17/1990,16:00,1.10,1.11,1.10,1.10,196294.640625
04/18/1990,16:00,1.10,1.13,1.10,1.10,176099.0625
04/19/1990,16:00,1.13,1.13,1.10,1.11,157896.84375
04/20/1990,16:00,1.11,1.11,1.08,1.08,303696.84375
04/23/1990,16:00,1.08,1.10,1.08,1.08,64003.921875
04/24/1990,16:00,1.10,1.10,1.08,1.08,15400.125
04/25/1990,16:00,1.10,1.10,1.08,1.08,72900.0
04/26/1990,16:00,1.08,1.10,1.08,1.08,428503.921875
04/27/1990,16:00,1.10,1.10,1.08,1.08,32394.9375
04/30/1990,16:00,1.08,1.08,1.05,1.05,97298.71875
05/01/1990,16:00,1.07,1.08,1.05,1.07,73002.515625
05/02/1990,16:00,1.08,1.08,1.08,1.08,48603.796875
05/03/1990,16:00,1.05,1.05,1.05,1.05,31597.59375
05/04/1990,16:00,1.05,1.07,1.05,1.05,90999.703125
05/07/1990,16:00,1.05,1.07,1.05,1.05,24398.71875
05/08/1990,16:00,1.07,1.07,1.05,1.07,141004.546875
05/09/1990,16:00,1.08,1.08,1.05,1.08,31597.59375
05/10/1990,16:00,1.08,1.08,1.05,1.05,50494.640625
05/11/1990,16:00,1.08,1.08,1.05,1.08,49902.328125
05/14/1990,16:00,1.05,1.10,1.05,1.08,136903.921875
05/15/1990,16:00,1.10,1.13,1.07,1.13,384695.578125
05/16/1990,16:00,1.13,1.13,1.10,1.10,16299.984375
