Date,Time,Open,High,Low,Close,Vol
09/17/1997,16:00,19.88,20.62,19.56,20.06,2911200.0
09/18/1997,16:00,20.06,20.25,19.0,19.12,449200.0
09/19/1997,16:00,19.12,19.25,18.5,19.12,404700.0
09/22/1997,16:00,19.19,19.25,18.94,19.19,88300.0
09/23/1997,16:00,19.12,21.13,19.12,20.81,309800.0
09/24/1997,16:00,20.81,20.87,19.56,19.81,172200.0
09/25/1997,16:00,19.63,19.88,19.56,19.81,60600.0
09/26/1997,16:00,19.81,19.88,19.56,19.69,67500.0
09/29/1997,16:00,19.69,19.69,17.56,18.0,136400.0
09/30/1997,16:00,17.75,17.87,16.0,17.5,381700.0
10/01/1997,16:00,17.5,17.5,17.0,17.25,214800.0
10/02/1997,16:00,17.25,18.13,16.75,17.87,167900.0
10/03/1997,16:00,18.75,19.25,18.5,19.0,109500.0
10/06/1997,16:00,19.12,19.12,18.88,19.0,100100.0
10/07/1997,16:00,19.0,19.12,18.0,18.25,137700.0
10/08/1997,16:00,18.38,18.38,17.87,18.25,83700.0
10/09/1997,16:00,18.25,18.25,17.87,18.13,83300.0
10/10/1997,16:00,18.0,18.62,17.94,18.62,20700.0
10/13/1997,16:00,18.88,20.0,18.88,19.31,253800.0
10/14/1997,16:00,19.31,19.5,18.62,19.0,240300.0
10/15/1997,16:00,18.38,18.62,18.13,18.38,69100.0
10/16/1997,16:00,18.13,18.38,17.5,17.75,105400.0
10/17/1997,16:00,17.5,17.5,16.69,17.25,234700.0
10/20/1997,16:00,17.25,17.62,16.88,17.5,90000.0
10/21/1997,16:00,17.62,18.0,16.75,16.94,54900.0
10/22/1997,16:00,16.94,16.94,16.5,16.69,59600.0
10/23/1997,16:00,16.44,16.69,16.31,16.37,70400.0
10/24/1997,16:00,16.63,17.0,15.5,15.62,146400.0
10/27/1997,16:00,15.0,15.06,13.5,13.75,145400.0
10/28/1997,16:00,12.5,13.75,12.5,13.69,237600.0
10/29/1997,16:00,14.0,15.88,14.0,15.75,200500.0
10/30/1997,16:00,15.38,15.62,15.13,15.5,119800.0
10/31/1997,16:00,15.5,16.0,14.75,15.5,322600.0
11/03/1997,16:00,15.5,15.62,15.25,15.38,43400.0
11/04/1997,16:00,15.38,15.44,15.0,15.06,23900.0
11/05/1997,16:00,15.0,15.5,15.0,15.44,49500.0
11/06/1997,16:00,15.5,16.0,15.5,15.75,68300.0
11/07/1997,16:00,15.38,15.38,15.0,15.19,23900.0
11/10/1997,16:00,15.13,15.25,14.56,14.69,38500.0
11/11/1997,16:00,14.81,14.81,14.69,14.75,44600.0
11/12/1997,16:00,14.75,15.0,14.38,14.5,49700.0
11/13/1997,16:00,14.56,14.56,13.88,14.06,35700.0
11/14/1997,16:00,14.19,14.25,14.0,14.12,105500.0
11/17/1997,16:00,14.19,14.19,14.0,14.0,38800.0
11/18/1997,16:00,14.0,14.0,13.88,14.0,27200.0
11/19/1997,16:00,13.88,14.0,13.75,13.75,15700.0
11/20/1997,16:00,13.63,13.63,13.37,13.37,23300.0
11/21/1997,16:00,13.5,13.88,13.25,13.37,24100.0
11/24/1997,16:00,13.12,13.25,12.0,12.19,170900.0
11/25/1997,16:00,12.13,12.13,12.06,12.13,27900.0
11/26/1997,16:00,12.13,12.13,11.56,11.62,29000.0
11/28/1997,16:00,11.81,11.87,11.62,11.69,8100.0
12/01/1997,16:00,11.94,11.94,11.62,11.62,25700.0
12/02/1997,16:00,11.62,11.62,10.0,10.12,298900.0
12/03/1997,16:00,10.5,11.25,10.37,10.75,383100.0
12/04/1997,16:00,10.75,11.0,10.69,11.0,206100.0
12/05/1997,16:00,11.0,11.25,10.88,10.94,182700.0
12/08/1997,16:00,10.88,10.94,10.69,10.88,54800.0
12/09/1997,16:00,10.88,10.88,10.56,10.81,109300.0
12/10/1997,16:00,10.81,12.25,10.75,11.38,245900.0
12/11/1997,16:00,11.44,11.44,10.88,11.0,47200.0
12/12/1997,16:00,11.06,11.31,10.63,10.69,146500.0
12/15/1997,16:00,10.81,10.81,10.25,10.31,252600.0
12/16/1997,16:00,10.31,10.31,10.12,10.19,104000.0
12/17/1997,16:00,10.19,10.31,9.88,9.88,48200.0
12/18/1997,16:00,10.0,10.06,9.62,9.75,52000.0
12/19/1997,16:00,9.69,9.75,9.0,9.5,138500.0
12/22/1997,16:00,9.5,10.25,9.5,10.0,107400.0
12/23/1997,16:00,10.12,10.19,9.62,10.06,63700.0
12/24/1997,16:00,10.0,10.06,9.88,9.88,48900.0
12/26/1997,16:00,10.0,10.0,9.62,9.75,28700.0
12/29/1997,16:00,9.88,10.63,9.88,10.0,62100.0
12/30/1997,16:00,10.0,10.0,9.13,9.94,150800.0
12/31/1997,16:00,10.0,10.5,9.94,10.44,109400.0
01/02/1998,16:00,10.5,11.31,10.5,11.25,38900.0
01/05/1998,16:00,11.25,11.87,11.12,11.5,147300.0
01/06/1998,16:00,11.56,11.69,11.38,11.62,23900.0
01/07/1998,16:00,11.5,12.25,11.5,12.19,82300.0
01/08/1998,16:00,12.25,14.25,12.25,13.69,367500.0
01/09/1998,16:00,10.25,11.81,10.25,10.88,910900.0
01/12/1998,16:00,10.88,10.88,10.56,10.63,165900.0
01/13/1998,16:00,10.75,10.88,10.37,10.5,164100.0
01/14/1998,16:00,10.88,11.0,10.56,10.75,132500.0
01/15/1998,16:00,10.63,10.88,10.63,10.75,30300.0
01/16/1998,16:00,10.75,10.81,10.37,10.56,52800.0
01/20/1998,16:00,9.75,10.06,9.69,9.88,137900.0
01/21/1998,16:00,9.75,10.0,9.62,9.75,127700.0
01/22/1998,16:00,9.69,9.94,9.69,9.88,22500.0
01/23/1998,16:00,9.88,10.0,9.69,9.81,33400.0
01/26/1998,16:00,9.81,9.94,9.75,9.81,23000.0
01/27/1998,16:00,9.81,9.81,9.62,9.75,70100.0
01/28/1998,16:00,9.75,9.75,9.56,9.75,37500.0
01/29/1998,16:00,9.75,9.81,9.19,9.75,106700.0
01/30/1998,16:00,9.75,9.94,9.5,9.62,467600.0
02/02/1998,16:00,9.69,10.37,9.62,10.31,510900.0
02/03/1998,16:00,10.31,10.37,9.88,10.0,93800.0
02/04/1998,16:00,10.0,10.75,10.0,10.37,177100.0
02/05/1998,16:00,10.75,11.87,10.63,11.44,554600.0
02/06/1998,16:00,12.25,12.25,11.62,12.0,291500.0
02/09/1998,16:00,12.25,12.44,11.94,12.06,100500.0
02/10/1998,16:00,12.06,12.06,11.25,11.38,132600.0
02/11/1998,16:00,11.38,11.38,11.0,11.0,149400.0
02/12/1998,16:00,11.0,11.0,10.44,10.63,142500.0
02/13/1998,16:00,10.56,10.88,10.44,10.5,73200.0
02/17/1998,16:00,10.5,10.75,10.44,10.69,112000.0
02/18/1998,16:00,10.69,11.12,10.25,10.69,144200.0
02/19/1998,16:00,10.75,10.75,10.06,10.37,172800.0
02/20/1998,16:00,10.37,10.63,10.12,10.63,54700.0
02/23/1998,16:00,10.5,10.56,10.37,10.5,88000.0
02/24/1998,16:00,10.44,10.5,10.0,10.12,228600.0
02/25/1998,16:00,10.12,10.88,10.12,10.69,112900.0
02/26/1998,16:00,10.69,10.94,10.56,10.94,84600.0
02/27/1998,16:00,10.94,11.87,10.94,11.38,193700.0
03/02/1998,16:00,11.44,11.56,10.94,11.0,86800.0
03/03/1998,16:00,10.88,11.25,10.75,11.0,77800.0
03/04/1998,16:00,11.12,11.38,11.0,11.31,68100.0
03/05/1998,16:00,11.06,11.25,10.5,10.88,101200.0
03/06/1998,16:00,10.88,10.94,10.56,10.88,90800.0
03/09/1998,16:00,11.0,11.38,10.88,11.25,53600.0
03/10/1998,16:00,11.19,11.5,11.0,11.0,80400.0
03/11/1998,16:00,11.0,11.12,11.0,11.06,65800.0
03/12/1998,16:00,11.19,11.5,10.94,11.5,82000.0
03/13/1998,16:00,11.56,11.56,11.19,11.44,66300.0
03/16/1998,16:00,11.75,12.25,11.5,12.0,195400.0
03/17/1998,16:00,12.13,12.5,12.13,12.44,207900.0
03/18/1998,16:00,12.44,12.69,12.19,12.5,152600.0
03/19/1998,16:00,12.62,12.75,12.19,12.31,165000.0
03/20/1998,16:00,12.31,12.31,11.62,11.62,78700.0
03/23/1998,16:00,11.69,12.0,11.56,11.87,104400.0
03/24/1998,16:00,11.87,11.94,11.38,11.5,104300.0
03/25/1998,16:00,11.62,11.62,10.56,11.0,242600.0
03/26/1998,16:00,11.06,11.19,11.0,11.12,65900.0
03/27/1998,16:00,11.25,12.31,11.12,12.06,387500.0
03/30/1998,16:00,12.13,12.5,11.87,12.13,160700.0
03/31/1998,16:00,12.19,13.0,12.19,12.81,233900.0
04/01/1998,16:00,13.12,13.88,12.88,13.63,296600.0
04/02/1998,16:00,13.75,14.0,13.56,13.69,164200.0
04/03/1998,16:00,13.81,14.31,13.0,13.44,123100.0
04/06/1998,16:00,13.56,13.81,13.06,13.31,92300.0
04/07/1998,16:00,13.37,13.37,12.0,12.75,166800.0
04/08/1998,16:00,12.88,13.19,12.88,13.06,64400.0
04/09/1998,16:00,13.19,14.0,13.19,13.5,153300.0
04/13/1998,16:00,13.63,13.63,13.12,13.25,37800.0
04/14/1998,16:00,13.25,13.25,12.75,13.0,121400.0
04/15/1998,16:00,10.25,10.37,9.88,10.0,1001100.0
04/16/1998,16:00,10.06,10.12,9.81,10.0,241000.0
04/17/1998,16:00,10.0,10.06,9.81,10.0,165200.0
04/20/1998,16:00,10.06,10.06,9.75,9.81,80100.0
04/21/1998,16:00,9.81,9.88,9.5,9.62,80700.0
04/22/1998,16:00,9.94,10.0,9.62,9.62,61700.0
04/23/1998,16:00,9.88,9.94,9.56,9.62,47700.0
04/24/1998,16:00,9.75,10.25,9.56,10.06,106300.0
04/27/1998,16:00,9.94,10.06,9.75,9.94,46000.0
04/28/1998,16:00,10.0,10.31,10.0,10.06,77600.0
04/29/1998,16:00,10.19,10.19,9.81,9.88,29500.0
04/30/1998,16:00,9.88,10.63,9.88,10.5,97800.0
05/01/1998,16:00,10.63,10.69,10.12,10.31,69300.0
05/04/1998,16:00,10.19,10.19,9.69,10.0,74300.0
05/05/1998,16:00,10.12,10.12,9.75,9.75,26200.0
05/06/1998,16:00,9.88,10.0,9.75,9.94,21400.0
05/07/1998,16:00,9.88,9.94,9.69,9.81,25900.0
05/08/1998,16:00,9.75,9.81,9.5,9.56,87200.0
05/11/1998,16:00,9.69,9.75,9.56,9.62,24900.0
05/12/1998,16:00,9.5,9.5,9.31,9.31,29000.0
05/13/1998,16:00,9.25,9.75,9.0,9.75,75400.0
05/14/1998,16:00,9.62,9.62,9.06,9.13,64100.0
05/15/1998,16:00,9.13,9.25,9.0,9.06,79100.0
05/18/1998,16:00,9.0,9.06,8.0,8.0,78500.0
05/19/1998,16:00,8.12,8.81,8.12,8.69,59000.0
05/20/1998,16:00,8.75,9.0,8.75,8.94,18700.0
05/21/1998,16:00,9.0,9.0,8.5,8.5,23200.0
05/22/1998,16:00,8.56,8.81,8.25,8.38,23800.0
05/26/1998,16:00,8.31,8.44,8.0,8.0,51500.0
05/27/1998,16:00,8.0,8.0,7.75,7.94,44400.0
05/28/1998,16:00,8.0,8.5,7.75,8.44,24200.0
05/29/1998,16:00,8.38,8.62,8.25,8.5,14300.0
06/01/1998,16:00,8.38,8.5,8.38,8.38,13600.0
