Date,Time,Open,High,Low,Close,Vol
01/20/1997,16:00,0.79,0.79,0.79,0.79,500.0
01/21/1997,16:00,0.79,0.79,0.79,0.79,0.0
01/22/1997,16:00,1.09,1.09,1.09,1.09,500.0
01/23/1997,16:00,1.39,1.39,1.19,1.39,3000.0
01/24/1997,16:00,1.79,1.79,1.79,1.79,200.0
01/27/1997,16:00,1.79,1.79,1.79,1.79,0.0
01/28/1997,16:00,1.79,1.79,1.79,1.79,1000.0
01/29/1997,16:00,1.79,1.79,1.79,1.79,0.0
01/30/1997,16:00,2.18,2.18,2.18,2.18,300.0
01/31/1997,16:00,2.18,2.18,2.18,2.18,0.0
02/03/1997,16:00,2.38,2.38,2.38,2.38,200.0
02/04/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/05/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/06/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/07/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/10/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/11/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/12/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/13/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/14/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/18/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/19/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/20/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/21/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/24/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/25/1997,16:00,2.38,2.38,2.38,2.38,0.0
02/26/1997,16:00,1.39,1.39,1.39,1.39,100.0
02/27/1997,16:00,1.39,1.39,1.39,1.39,0.0
02/28/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/03/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/04/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/05/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/06/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/07/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/10/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/11/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/12/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/13/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/14/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/17/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/18/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/19/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/20/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/21/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/24/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/25/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/26/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/27/1997,16:00,1.39,1.39,1.39,1.39,0.0
03/31/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/01/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/02/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/03/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/04/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/07/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/08/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/09/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/10/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/11/1997,16:00,1.39,1.39,1.39,1.39,300.0
04/14/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/15/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/16/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/17/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/18/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/21/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/22/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/23/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/24/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/25/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/28/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/29/1997,16:00,1.39,1.39,1.39,1.39,0.0
04/30/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/01/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/02/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/05/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/06/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/07/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/08/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/09/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/12/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/13/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/14/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/15/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/16/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/19/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/20/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/21/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/22/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/23/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/27/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/28/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/29/1997,16:00,1.39,1.39,1.39,1.39,0.0
05/30/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/02/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/03/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/04/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/05/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/06/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/09/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/10/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/11/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/12/1997,16:00,1.39,1.39,1.39,1.39,1000.0
06/13/1997,16:00,1.39,1.39,1.39,1.39,0.0
06/16/1997,16:00,1.39,1.39,1.39,1.39,0.0
