Date,Time,Open,High,Low,Close,Vol
08/27/1987,16:00,580.0,589.6,580.0,589.6,2000.0
08/28/1987,16:00,589.6,600.0,580.0,580.0,900.0
08/31/1987,16:00,580.0,649.59,580.0,630.4,1000.0
09/01/1987,16:00,630.4,640.0,610.4,610.4,400.0
09/02/1987,16:00,610.4,630.4,600.0,620.0,100.0
09/03/1987,16:00,620.0,620.0,600.0,600.0,900.0
09/04/1987,16:00,600.0,620.0,600.0,600.0,1500.0
09/08/1987,16:00,610.4,630.4,610.4,610.4,1300.0
09/09/1987,16:00,610.4,670.40,610.4,670.40,1100.0
09/10/1987,16:00,670.40,700.0,660.0,689.59,1100.0
09/11/1987,16:00,689.59,720.0,680.0,720.0,1100.0
09/14/1987,16:00,720.0,880.0,709.59,850.40,2300.0
09/15/1987,16:00,850.40,900.0,800.0,860.0,1200.0
09/16/1987,16:00,840.0,840.0,720.0,780.0,800.0
09/17/1987,16:00,780.0,820.0,760.0,820.0,500.0
09/18/1987,16:00,820.0,860.0,800.0,820.0,400.0
09/21/1987,16:00,820.0,840.0,790.40,809.59,700.0
09/22/1987,16:00,809.59,820.0,780.0,820.0,500.0
09/23/1987,16:00,820.0,870.40,820.0,870.40,300.0
09/24/1987,16:00,870.40,870.40,840.0,870.40,100.0
09/25/1987,16:00,870.40,880.0,850.40,880.0,0.0
09/28/1987,16:00,880.0,880.0,840.0,870.40,600.0
09/29/1987,16:00,860.0,860.0,820.0,840.0,200.0
09/30/1987,16:00,840.0,860.0,820.0,860.0,900.0
10/01/1987,16:00,860.0,880.0,840.0,850.40,400.0
10/02/1987,16:00,850.40,860.0,840.0,840.0,200.0
10/05/1987,16:00,840.0,860.0,800.0,800.0,300.0
10/06/1987,16:00,800.0,800.0,760.0,760.0,300.0
10/07/1987,16:00,760.0,760.0,740.0,740.0,200.0
10/08/1987,16:00,740.0,780.0,740.0,750.40,0.0
10/09/1987,16:00,750.40,780.0,740.0,760.0,100.0
10/12/1987,16:00,760.0,780.0,700.0,720.0,500.0
10/13/1987,16:00,720.0,740.0,700.0,720.0,400.0
10/14/1987,16:00,720.0,730.40,689.59,689.59,0.0
10/15/1987,16:00,689.59,720.0,670.40,700.0,400.0
10/16/1987,16:00,700.0,720.0,660.0,660.0,100.0
10/19/1987,16:00,660.0,660.0,520.0,540.0,500.0
10/20/1987,16:00,540.0,540.0,420.0,440.0,200.0
10/21/1987,16:00,460.0,500.0,460.0,500.0,400.0
10/22/1987,16:00,500.0,560.0,480.0,540.0,600.0
10/23/1987,16:00,540.0,569.6,510.4,560.0,300.0
10/26/1987,16:00,560.0,560.0,480.0,490.4,200.0
10/27/1987,16:00,490.4,529.6,480.0,500.0,300.0
10/28/1987,16:00,500.0,500.0,449.6,469.6,200.0
10/29/1987,16:00,469.6,480.0,460.0,480.0,200.0
10/30/1987,16:00,480.0,510.4,469.6,490.4,500.0
11/02/1987,16:00,490.4,510.4,490.4,500.0,200.0
11/03/1987,16:00,490.4,490.4,440.0,460.0,100.0
11/04/1987,16:00,460.0,460.0,440.0,440.0,0.0
11/05/1987,16:00,440.0,460.0,420.0,440.0,0.0
11/06/1987,16:00,460.0,480.0,460.0,480.0,0.0
11/09/1987,16:00,460.0,460.0,440.0,440.0,0.0
11/10/1987,16:00,440.0,440.0,420.0,420.0,100.0
11/11/1987,16:00,420.0,440.0,420.0,420.0,0.0
11/12/1987,16:00,440.0,460.0,440.0,460.0,100.0
11/13/1987,16:00,460.0,480.0,440.0,480.0,300.0
11/16/1987,16:00,480.0,500.0,480.0,500.0,300.0
11/17/1987,16:00,500.0,520.0,480.0,500.0,400.0
11/18/1987,16:00,500.0,520.0,500.0,500.0,100.0
11/19/1987,16:00,500.0,520.0,500.0,520.0,0.0
11/20/1987,16:00,500.0,500.0,480.0,500.0,300.0
11/23/1987,16:00,500.0,520.0,480.0,520.0,400.0
11/24/1987,16:00,520.0,529.6,500.0,529.6,600.0
11/25/1987,16:00,529.6,529.6,500.0,520.0,200.0
11/27/1987,16:00,520.0,529.6,510.4,510.4,400.0
11/30/1987,16:00,510.4,529.6,480.0,510.4,200.0
12/01/1987,16:00,500.0,500.0,490.4,490.4,200.0
12/02/1987,16:00,490.4,510.4,480.0,510.4,0.0
12/03/1987,16:00,510.4,510.4,490.4,490.4,0.0
12/04/1987,16:00,490.4,500.0,480.0,480.0,100.0
12/07/1987,16:00,480.0,500.0,460.0,460.0,100.0
12/08/1987,16:00,460.0,480.0,460.0,480.0,100.0
12/09/1987,16:00,480.0,480.0,460.0,469.6,100.0
12/10/1987,16:00,469.6,469.6,449.6,460.0,100.0
12/11/1987,16:00,460.0,460.0,449.6,449.6,0.0
12/14/1987,16:00,449.6,460.0,440.0,460.0,0.0
12/15/1987,16:00,460.0,480.0,440.0,469.6,100.0
12/16/1987,16:00,469.6,469.6,440.0,469.6,0.0
12/17/1987,16:00,469.6,480.0,460.0,460.0,0.0
12/18/1987,16:00,460.0,480.0,460.0,480.0,0.0
12/21/1987,16:00,480.0,480.0,460.0,460.0,0.0
12/22/1987,16:00,460.0,480.0,460.0,480.0,100.0
12/23/1987,16:00,480.0,480.0,460.0,460.0,0.0
12/24/1987,16:00,460.0,480.0,460.0,480.0,0.0
12/28/1987,16:00,480.0,480.0,460.0,460.0,0.0
12/29/1987,16:00,460.0,460.0,440.0,440.0,0.0
12/30/1987,16:00,440.0,460.0,440.0,460.0,100.0
12/31/1987,16:00,460.0,460.0,440.0,440.0,0.0
01/04/1988,16:00,440.0,480.0,440.0,449.6,1300.0
01/05/1988,16:00,449.6,480.0,449.6,480.0,1200.0
01/06/1988,16:00,480.0,480.0,460.0,480.0,1100.0
01/07/1988,16:00,480.0,500.0,469.6,500.0,900.0
01/08/1988,16:00,500.0,500.0,480.0,480.0,0.0
01/11/1988,16:00,480.0,500.0,480.0,480.0,200.0
01/12/1988,16:00,480.0,480.0,460.0,480.0,100.0
01/13/1988,16:00,480.0,480.0,469.6,480.0,300.0
01/14/1988,16:00,480.0,480.0,469.6,480.0,200.0
01/15/1988,16:00,480.0,480.0,460.0,460.0,300.0
01/18/1988,16:00,460.0,469.6,460.0,469.6,0.0
01/19/1988,16:00,469.6,480.0,469.6,480.0,200.0
01/20/1988,16:00,480.0,490.4,469.6,490.4,1600.0
01/21/1988,16:00,490.4,490.4,469.6,469.6,100.0
01/22/1988,16:00,469.6,490.4,469.6,490.4,0.0
01/25/1988,16:00,490.4,490.4,480.0,480.0,0.0
01/26/1988,16:00,480.0,500.0,480.0,480.0,600.0
01/27/1988,16:00,480.0,520.0,480.0,480.0,0.0
01/28/1988,16:00,480.0,500.0,480.0,480.0,100.0
01/29/1988,16:00,480.0,510.4,480.0,490.4,300.0
02/01/1988,16:00,490.4,510.4,480.0,480.0,0.0
02/02/1988,16:00,480.0,500.0,460.0,460.0,200.0
02/03/1988,16:00,460.0,469.6,460.0,469.6,0.0
02/04/1988,16:00,469.6,469.6,449.6,449.6,0.0
02/05/1988,16:00,449.6,469.6,449.6,460.0,300.0
02/08/1988,16:00,469.6,469.6,469.6,469.6,0.0
02/09/1988,16:00,460.0,460.0,449.6,460.0,0.0
02/10/1988,16:00,449.6,449.6,449.6,449.6,0.0
02/11/1988,16:00,460.0,480.0,460.0,460.0,300.0
02/12/1988,16:00,460.0,500.0,460.0,500.0,0.0
02/16/1988,16:00,500.0,500.0,460.0,460.0,0.0
02/17/1988,16:00,460.0,490.4,460.0,460.0,0.0
02/18/1988,16:00,460.0,490.4,460.0,469.6,100.0
02/19/1988,16:00,469.6,469.6,460.0,460.0,0.0
02/22/1988,16:00,460.0,469.6,460.0,460.0,0.0
02/23/1988,16:00,460.0,460.0,449.6,449.6,300.0
02/24/1988,16:00,449.6,460.0,440.0,449.6,0.0
02/25/1988,16:00,449.6,460.0,420.0,420.0,1100.0
02/26/1988,16:00,420.0,449.6,420.0,449.6,0.0
02/29/1988,16:00,449.6,460.0,430.4,460.0,100.0
03/01/1988,16:00,440.0,440.0,420.0,420.0,0.0
03/02/1988,16:00,420.0,440.0,420.0,430.4,200.0
03/03/1988,16:00,430.4,449.6,430.4,449.6,400.0
03/04/1988,16:00,450.4,450.4,450.4,450.4,0.0
03/07/1988,16:00,449.6,469.6,430.4,469.6,100.0
03/08/1988,16:00,449.6,449.6,449.6,449.6,0.0
03/09/1988,16:00,449.6,480.0,440.0,440.0,0.0
03/10/1988,16:00,460.0,490.4,460.0,460.0,300.0
03/11/1988,16:00,460.0,490.4,460.0,460.0,0.0
03/14/1988,16:00,460.0,460.0,460.0,460.0,0.0
03/15/1988,16:00,460.0,490.4,460.0,469.6,100.0
03/16/1988,16:00,480.0,500.0,480.0,480.0,0.0
03/17/1988,16:00,480.0,500.0,480.0,490.4,1100.0
03/18/1988,16:00,490.4,560.0,490.4,529.6,600.0
03/21/1988,16:00,529.6,600.0,529.6,589.6,800.0
03/22/1988,16:00,600.0,649.59,600.0,640.0,1300.0
03/23/1988,16:00,640.0,670.40,630.4,649.59,1200.0
03/24/1988,16:00,649.59,660.0,630.4,630.4,400.0
03/25/1988,16:00,630.4,649.59,630.4,640.0,200.0
03/28/1988,16:00,630.4,630.4,580.0,600.0,600.0
03/29/1988,16:00,600.0,600.0,540.0,560.0,200.0
03/30/1988,16:00,560.0,569.6,529.6,529.6,100.0
03/31/1988,16:00,529.6,550.4,520.0,550.4,0.0
04/04/1988,16:00,550.4,550.4,520.0,520.0,0.0
04/05/1988,16:00,529.6,550.4,529.6,550.4,200.0
04/06/1988,16:00,550.4,580.0,540.0,560.0,100.0
04/07/1988,16:00,560.0,589.6,560.0,580.0,200.0
04/08/1988,16:00,580.0,589.6,580.0,589.6,200.0
04/11/1988,16:00,589.6,600.0,580.0,580.0,100.0
04/12/1988,16:00,580.0,600.0,569.6,569.6,100.0
04/13/1988,16:00,569.6,589.6,560.0,580.0,200.0
04/14/1988,16:00,569.6,569.6,540.0,540.0,100.0
04/15/1988,16:00,540.0,550.4,520.0,550.4,100.0
04/18/1988,16:00,550.4,580.0,540.0,580.0,300.0
04/19/1988,16:00,580.0,600.0,580.0,580.0,0.0
04/20/1988,16:00,580.0,600.0,580.0,600.0,0.0
04/21/1988,16:00,600.0,610.4,580.0,580.0,100.0
04/22/1988,16:00,580.0,600.0,569.6,600.0,0.0
04/25/1988,16:00,600.0,600.0,569.6,600.0,200.0
04/26/1988,16:00,600.0,600.0,580.0,580.0,0.0
04/27/1988,16:00,580.0,600.0,560.0,580.0,100.0
04/28/1988,16:00,580.0,589.6,569.6,589.6,0.0
04/29/1988,16:00,580.0,580.0,569.6,580.0,100.0
05/02/1988,16:00,580.0,589.6,569.6,580.0,0.0
05/03/1988,16:00,580.0,600.0,560.0,600.0,500.0
05/04/1988,16:00,600.0,640.0,600.0,630.4,600.0
05/05/1988,16:00,630.4,640.0,620.0,630.4,600.0
05/06/1988,16:00,630.4,649.59,620.0,640.0,2000.0
