Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,1.34,1.37,1.34,1.37,3299.9999999998
03/27/1990,16:00,1.37,1.37,1.37,1.37,0.0
03/28/1990,16:00,1.37,1.37,1.37,1.37,2399.9999999999
03/29/1990,16:00,1.33,1.33,1.33,1.33,6103.1249999997
03/30/1990,16:00,1.37,1.37,1.37,1.37,103.12499999999
04/02/1990,16:00,1.37,1.37,1.33,1.37,82499.999999996
04/03/1990,16:00,1.31,1.31,1.31,1.31,3299.9999999998
04/04/1990,16:00,1.35,1.35,1.31,1.31,3299.9999999998
04/05/1990,16:00,1.33,1.33,1.33,1.33,11596.874999999
04/06/1990,16:00,1.33,1.33,1.33,1.33,3299.9999999998
04/09/1990,16:00,1.33,1.33,1.33,1.33,3299.9999999998
04/10/1990,16:00,1.33,1.33,1.33,1.33,0.0
04/11/1990,16:00,1.33,1.33,1.33,1.33,103.12499999999
04/12/1990,16:00,1.33,1.33,1.33,1.33,103.12499999999
04/16/1990,16:00,1.33,1.33,1.33,1.33,3299.9999999998
04/17/1990,16:00,1.33,1.33,1.33,1.33,103.12499999999
04/18/1990,16:00,1.33,1.33,1.27,1.33,5596.8749999997
04/19/1990,16:00,1.33,1.33,1.27,1.27,2399.9999999999
04/20/1990,16:00,1.33,1.33,1.33,1.33,103.12499999999
04/23/1990,16:00,1.33,1.33,1.33,1.33,103.12499999999
04/24/1990,16:00,1.33,1.33,1.33,1.33,3299.9999999998
04/25/1990,16:00,1.29,1.29,1.29,1.29,20896.874999999
04/26/1990,16:00,1.35,1.35,1.35,1.35,20896.874999999
04/27/1990,16:00,1.33,1.39,1.33,1.33,11596.874999999
04/30/1990,16:00,1.33,1.33,1.33,1.33,0.0
05/01/1990,16:00,1.35,1.37,1.35,1.37,212896.87499999
05/02/1990,16:00,1.37,1.37,1.37,1.37,0.0
05/03/1990,16:00,1.37,1.37,1.37,1.37,0.0
05/04/1990,16:00,1.33,1.33,1.33,1.33,6103.1249999997
05/07/1990,16:00,1.33,1.33,1.33,1.33,0.0
05/08/1990,16:00,1.39,1.39,1.35,1.35,52799.999999997
05/09/1990,16:00,1.40,1.40,1.35,1.35,20399.999999999
05/10/1990,16:00,1.35,1.35,1.35,1.35,32896.874999998
05/11/1990,16:00,1.35,1.41,1.35,1.39,739303.12499996
05/14/1990,16:00,1.39,1.43,1.39,1.39,31996.874999998
05/15/1990,16:00,1.39,1.39,1.39,1.39,103.12499999999
05/16/1990,16:00,1.43,1.43,1.37,1.41,165299.99999999
05/17/1990,16:00,1.41,1.41,1.41,1.41,0.0
