Date,Time,Open,High,Low,Close,Vol
04/30/2008,16:00,8.49,8.53,8.37,8.47,61800.0
05/01/2008,16:00,8.47,8.58,8.44,8.49,289600.0
05/02/2008,16:00,8.53,8.57,8.49,8.49,131900.0
05/05/2008,16:00,8.50,8.52,8.29,8.41,102300.0
05/06/2008,16:00,8.42,8.42,8.17,8.27,49600.0
05/07/2008,16:00,8.31,8.32,8.24,8.26,26600.0
05/08/2008,16:00,8.27,8.47,8.27,8.43,64600.0
05/09/2008,16:00,8.40,8.46,8.32,8.37,26500.0
05/12/2008,16:00,8.37,8.50,8.37,8.46,75800.0
05/13/2008,16:00,8.47,8.50,8.37,8.39,42700.0
05/14/2008,16:00,8.46,8.52,8.39,8.43,32800.0
05/15/2008,16:00,8.47,8.61,8.37,8.44,90600.0
05/16/2008,16:00,8.47,8.61,8.44,8.53,100000.0
05/19/2008,16:00,8.58,8.59,8.42,8.54,37400.0
05/20/2008,16:00,8.52,8.52,8.43,8.46,18600.0
05/21/2008,16:00,8.44,8.44,8.24,8.32,102300.0
05/22/2008,16:00,8.31,8.39,8.31,8.34,5500.0
05/23/2008,16:00,8.37,8.39,8.34,8.37,12500.0
05/27/2008,16:00,8.71,9.03,8.51,8.83,448800.0
05/28/2008,16:00,8.93,9.07,8.78,8.78,219200.0
05/29/2008,16:00,8.86,8.96,8.70,8.84,176100.0
05/30/2008,16:00,8.88,8.99,8.88,8.93,212100.0
06/02/2008,16:00,8.93,8.94,8.79,8.81,225700.0
06/03/2008,16:00,8.89,9.10,8.72,8.72,228400.0
06/04/2008,16:00,8.75,8.86,8.49,8.58,226500.0
06/05/2008,16:00,8.88,8.88,8.72,8.84,195600.0
06/06/2008,16:00,8.84,8.84,8.63,8.68,158900.0
06/09/2008,16:00,8.80,8.80,8.60,8.63,186700.0
06/10/2008,16:00,8.63,8.63,8.04,8.29,588400.0
06/11/2008,16:00,8.29,8.29,7.68,8.04,359300.0
06/12/2008,16:00,7.99,8.19,7.92,8.04,233600.0
06/13/2008,16:00,8.05,8.40,8.04,8.29,258200.0
06/16/2008,16:00,8.33,8.78,8.31,8.71,193200.0
06/17/2008,16:00,8.73,8.74,8.54,8.56,128200.0
06/18/2008,16:00,8.56,8.58,8.16,8.39,249700.0
06/19/2008,16:00,8.31,8.34,8.10,8.12,141200.0
06/20/2008,16:00,8.15,8.54,7.97,8.11,304200.0
06/23/2008,16:00,8.18,8.24,8.15,8.17,181800.0
06/24/2008,16:00,8.26,8.37,8.12,8.31,286500.0
06/25/2008,16:00,8.39,8.49,8.32,8.33,217300.0
06/26/2008,16:00,8.48,8.50,8.15,8.22,190800.0
06/27/2008,16:00,8.14,8.17,7.78,8.08,926200.0
06/30/2008,16:00,8.12,8.22,7.90,7.94,182400.0
07/01/2008,16:00,7.87,7.92,7.46,7.72,444000.0
07/02/2008,16:00,7.79,7.99,7.64,7.66,293500.0
07/03/2008,16:00,7.66,7.85,7.55,7.58,235300.0
07/07/2008,16:00,7.60,7.74,6.51,7.16,884700.0
07/08/2008,16:00,7.16,7.39,6.97,7.39,456800.0
07/09/2008,16:00,7.39,7.47,7.19,7.21,310000.0
07/10/2008,16:00,7.22,7.22,6.61,6.88,1110500.0
07/11/2008,16:00,6.56,7.31,6.56,7.19,1224400.0
07/14/2008,16:00,7.43,7.77,7.26,7.60,453900.0
07/15/2008,16:00,7.36,7.72,7.33,7.52,319200.0
07/16/2008,16:00,7.42,7.88,7.42,7.83,228400.0
07/17/2008,16:00,7.84,8.04,7.75,7.95,162600.0
07/18/2008,16:00,8.01,8.22,7.96,8.09,206100.0
07/21/2008,16:00,8.29,8.32,8.14,8.22,275200.0
07/22/2008,16:00,8.25,8.39,8.12,8.18,294900.0
07/23/2008,16:00,8.12,8.27,8.05,8.19,155500.0
07/24/2008,16:00,8.19,8.29,8.01,8.18,78600.0
07/25/2008,16:00,8.29,8.29,8.19,8.24,100200.0
07/28/2008,16:00,8.24,8.26,7.82,7.87,94500.0
07/29/2008,16:00,7.83,7.95,7.64,7.88,136700.0
07/30/2008,16:00,7.88,8.48,7.84,8.00,253500.0
07/31/2008,16:00,7.89,8.12,7.87,7.93,178900.0
08/01/2008,16:00,7.95,8.29,7.93,8.15,60900.0
08/04/2008,16:00,8.11,8.25,7.84,8.17,161100.0
08/05/2008,16:00,8.17,8.39,8.09,8.29,103300.0
08/06/2008,16:00,8.29,8.29,7.94,8.15,212300.0
08/07/2008,16:00,8.12,8.26,7.84,7.89,47500.0
08/08/2008,16:00,7.89,8.26,7.81,8.19,91800.0
08/11/2008,16:00,8.17,8.29,8.03,8.25,57200.0
08/12/2008,16:00,8.26,8.29,8.17,8.19,69100.0
08/13/2008,16:00,8.26,8.28,8.05,8.18,76500.0
08/14/2008,16:00,8.15,8.33,8.09,8.30,150900.0
08/15/2008,16:00,8.38,8.38,8.17,8.31,144700.0
08/18/2008,16:00,8.25,8.25,8.06,8.12,81600.0
08/19/2008,16:00,8.09,8.09,7.86,7.88,102800.0
08/20/2008,16:00,7.91,7.96,7.83,7.95,114300.0
08/21/2008,16:00,7.86,8.09,7.77,7.95,197400.0
08/22/2008,16:00,7.95,8.23,7.95,8.09,135000.0
08/25/2008,16:00,8.10,8.14,7.95,8.05,44400.0
08/26/2008,16:00,8.06,8.26,7.93,8.11,92200.0
08/27/2008,16:00,8.09,8.37,8.03,8.34,103800.0
08/28/2008,16:00,8.38,8.65,8.33,8.60,376100.0
08/29/2008,16:00,8.63,8.72,8.53,8.55,125800.0
09/02/2008,16:00,8.57,8.64,8.37,8.39,165100.0
09/03/2008,16:00,8.44,8.45,8.10,8.22,238600.0
