Date,Time,Open,High,Low,Close,Vol
06/03/1998,16:00,12.95,12.95,11.42,11.54,6600.0
06/04/1998,16:00,12.24,12.24,10.83,11.06,6900.0
06/05/1998,16:00,11.54,11.54,11.30,11.42,6000.0
06/08/1998,16:00,11.41,11.41,11.41,11.41,0.0
06/09/1998,16:00,11.30,11.42,11.30,11.30,5500.0
06/10/1998,16:00,11.30,11.30,11.30,11.30,0.0
06/11/1998,16:00,11.30,11.30,11.30,11.30,0.0
06/12/1998,16:00,10.59,10.59,10.59,10.59,1500.0
06/15/1998,16:00,10.59,10.59,10.59,10.59,0.0
06/16/1998,16:00,10.59,10.59,10.59,10.59,0.0
06/17/1998,16:00,10.83,10.83,10.83,10.83,500.0
06/18/1998,16:00,10.83,11.30,10.83,11.30,2500.0
06/19/1998,16:00,11.30,11.30,11.30,11.30,500.0
06/22/1998,16:00,11.42,11.42,11.42,11.42,200.0
06/23/1998,16:00,11.41,11.41,11.41,11.41,0.0
06/24/1998,16:00,11.41,11.41,11.41,11.41,0.0
06/25/1998,16:00,11.30,11.30,11.30,11.30,7200.0
06/26/1998,16:00,11.42,11.42,11.42,11.42,1200.0
06/29/1998,16:00,11.41,11.41,11.41,11.41,0.0
06/30/1998,16:00,11.42,11.42,10.72,10.72,700.0
07/01/1998,16:00,10.72,10.72,10.72,10.72,0.0
07/02/1998,16:00,10.83,11.06,10.83,10.83,8300.0
07/06/1998,16:00,10.83,10.83,10.83,10.83,1500.0
07/07/1998,16:00,10.83,11.06,10.83,11.06,2200.0
07/08/1998,16:00,11.06,11.06,11.06,11.06,0.0
07/09/1998,16:00,11.06,11.06,10.83,10.95,4000.0
07/10/1998,16:00,10.95,11.77,10.95,11.77,9900.0
07/13/1998,16:00,11.77,12.24,11.30,11.30,14700.0
07/14/1998,16:00,12.24,12.24,11.30,11.30,2900.0
07/15/1998,16:00,11.77,11.77,11.77,11.77,1000.0
07/16/1998,16:00,12.01,12.01,12.01,12.01,400.0
07/17/1998,16:00,12.01,12.01,12.01,12.01,900.0
07/20/1998,16:00,12.01,12.01,12.01,12.01,0.0
07/21/1998,16:00,12.01,12.01,12.01,12.01,0.0
07/22/1998,16:00,12.01,12.01,12.01,12.01,0.0
07/23/1998,16:00,11.06,11.06,11.06,11.06,1000.0
07/24/1998,16:00,11.06,11.06,11.06,11.06,0.0
07/27/1998,16:00,11.06,11.06,11.06,11.06,0.0
07/28/1998,16:00,11.06,11.06,11.06,11.06,1200.0
07/29/1998,16:00,10.59,10.59,10.59,10.59,300.0
07/30/1998,16:00,9.89,9.89,9.89,9.89,1000.0
07/31/1998,16:00,9.42,9.89,7.77,8.94,13100.0
08/03/1998,16:00,8.94,8.94,8.94,8.94,0.0
08/04/1998,16:00,8.94,9.06,8.71,9.06,11900.0
08/05/1998,16:00,9.42,9.89,9.42,9.89,1300.0
08/06/1998,16:00,9.89,9.89,9.89,9.89,1600.0
08/07/1998,16:00,9.89,9.89,9.89,9.89,0.0
08/10/1998,16:00,9.89,9.89,9.89,9.89,200.0
08/11/1998,16:00,8.94,9.65,8.71,9.65,1900.0
08/12/1998,16:00,8.94,10.12,8.71,9.65,1900.0
08/13/1998,16:00,9.65,9.65,9.65,9.65,0.0
08/14/1998,16:00,9.42,9.42,9.42,9.42,100.0
08/17/1998,16:00,9.71,9.71,9.71,9.71,1000.0
08/18/1998,16:00,9.65,9.65,9.65,9.65,900.0
08/19/1998,16:00,10.36,10.36,10.36,10.36,100.0
08/20/1998,16:00,10.36,10.36,10.36,10.36,0.0
08/21/1998,16:00,10.72,10.72,9.89,9.89,1200.0
08/24/1998,16:00,10.72,10.72,10.72,10.72,0.0
08/25/1998,16:00,10.72,10.72,10.59,10.59,4200.0
08/26/1998,16:00,10.12,10.12,10.12,10.12,1000.0
08/27/1998,16:00,10.12,10.12,10.12,10.12,0.0
08/28/1998,16:00,10.12,10.12,10.12,10.12,500.0
08/31/1998,16:00,10.12,10.12,10.12,10.12,0.0
09/01/1998,16:00,10.12,10.12,10.12,10.12,0.0
09/02/1998,16:00,9.18,9.18,8.47,8.47,7100.0
09/03/1998,16:00,8.47,8.47,8.47,8.47,0.0
09/04/1998,16:00,8.94,8.94,8.94,8.94,600.0
09/08/1998,16:00,8.94,8.94,8.94,8.94,0.0
09/09/1998,16:00,8.94,8.94,8.94,8.94,0.0
09/10/1998,16:00,8.94,8.94,8.94,8.94,0.0
09/11/1998,16:00,8.94,8.94,8.94,8.94,0.0
09/14/1998,16:00,8.24,8.24,8.24,8.24,1500.0
09/15/1998,16:00,8.24,8.24,8.24,8.24,0.0
09/16/1998,16:00,9.18,9.18,8.71,8.71,2500.0
09/17/1998,16:00,8.71,8.71,8.71,8.71,0.0
09/18/1998,16:00,8.71,8.71,8.71,8.71,0.0
09/21/1998,16:00,8.71,8.71,8.71,8.71,0.0
09/22/1998,16:00,8.71,8.71,8.71,8.71,0.0
09/23/1998,16:00,8.71,8.71,8.71,8.71,0.0
09/24/1998,16:00,8.24,8.47,8.24,8.47,3500.0
09/25/1998,16:00,8.47,8.47,8.47,8.47,0.0
09/28/1998,16:00,8.47,9.18,8.47,9.18,2200.0
09/29/1998,16:00,8.12,8.12,8.12,8.12,400.0
09/30/1998,16:00,8.12,8.12,8.12,8.12,0.0
10/01/1998,16:00,9.18,9.18,8.47,8.47,2000.0
10/02/1998,16:00,8.47,8.47,8.47,8.47,0.0
10/05/1998,16:00,8.47,8.47,8.47,8.47,500.0
10/06/1998,16:00,8.47,8.47,8.47,8.47,500.0
10/07/1998,16:00,8.47,8.94,8.47,8.47,7400.0
10/08/1998,16:00,8.47,8.47,8.47,8.47,8500.0
10/09/1998,16:00,8.24,8.24,8.24,8.24,2000.0
10/12/1998,16:00,8.24,8.24,8.24,8.24,0.0
10/13/1998,16:00,7.53,7.53,7.53,7.53,500.0
10/14/1998,16:00,7.53,7.53,7.53,7.53,0.0
10/15/1998,16:00,7.53,7.53,7.53,7.53,0.0
10/16/1998,16:00,9.18,9.18,8.71,8.71,11200.0
10/19/1998,16:00,9.30,9.30,8.47,8.47,7000.0
10/20/1998,16:00,8.71,8.71,8.71,8.71,200.0
10/21/1998,16:00,8.12,8.12,8.12,8.12,500.0
10/22/1998,16:00,8.24,8.24,8.24,8.24,100.0
10/23/1998,16:00,8.24,8.24,8.24,8.24,1000.0
10/26/1998,16:00,8.47,8.47,8.47,8.47,800.0
10/27/1998,16:00,8.47,8.47,8.47,8.47,0.0
10/28/1998,16:00,8.47,8.47,8.47,8.47,0.0
10/29/1998,16:00,8.47,8.47,8.47,8.47,0.0
10/30/1998,16:00,8.47,8.47,8.47,8.47,0.0
11/02/1998,16:00,8.47,8.47,8.47,8.47,0.0
11/03/1998,16:00,8.47,8.47,8.47,8.47,0.0
11/04/1998,16:00,8.47,8.47,8.47,8.47,0.0
11/05/1998,16:00,8.47,8.47,8.47,8.47,0.0
11/06/1998,16:00,8.47,8.47,8.47,8.47,0.0
11/09/1998,16:00,8.94,9.42,8.94,9.42,900.0
11/10/1998,16:00,9.18,9.18,9.18,9.18,2000.0
11/11/1998,16:00,9.18,9.18,9.18,9.18,0.0
11/12/1998,16:00,9.18,9.18,9.18,9.18,0.0
11/13/1998,16:00,9.18,9.18,9.18,9.18,0.0
11/16/1998,16:00,9.18,9.18,9.18,9.18,1000.0
11/17/1998,16:00,8.59,8.59,8.59,8.59,1000.0
11/18/1998,16:00,8.94,8.94,8.94,8.94,400.0
11/19/1998,16:00,8.94,8.94,8.94,8.94,0.0
11/20/1998,16:00,8.94,8.94,8.94,8.94,0.0
11/23/1998,16:00,8.47,8.94,8.47,8.94,1200.0
11/24/1998,16:00,8.94,8.94,8.94,8.94,0.0
11/25/1998,16:00,8.94,8.94,8.94,8.94,0.0
11/27/1998,16:00,8.94,8.94,8.94,8.94,0.0
11/30/1998,16:00,8.47,8.83,8.47,8.83,2000.0
12/01/1998,16:00,8.83,8.83,8.83,8.83,0.0
12/02/1998,16:00,8.83,8.83,8.83,8.83,0.0
12/03/1998,16:00,8.83,8.83,8.83,8.83,0.0
12/04/1998,16:00,8.83,8.83,8.83,8.83,0.0
12/07/1998,16:00,9.42,9.42,8.00,8.00,6400.0
12/08/1998,16:00,8.12,8.24,8.12,8.24,1700.0
12/09/1998,16:00,8.12,8.12,8.12,8.12,1000.0
12/10/1998,16:00,7.77,7.77,7.77,7.77,400.0
12/11/1998,16:00,8.36,8.36,8.36,8.36,100.0
12/14/1998,16:00,8.00,8.00,8.00,8.00,1400.0
12/15/1998,16:00,8.00,8.00,8.00,8.00,500.0
12/16/1998,16:00,8.00,8.00,8.00,8.00,0.0
12/17/1998,16:00,8.47,8.47,8.47,8.47,500.0
12/18/1998,16:00,7.77,7.77,7.77,7.77,400.0
12/21/1998,16:00,7.77,7.77,7.77,7.77,0.0
12/22/1998,16:00,7.77,7.77,7.77,7.77,0.0
12/23/1998,16:00,8.00,8.00,8.00,8.00,3000.0
12/24/1998,16:00,8.83,8.83,8.83,8.83,500.0
12/28/1998,16:00,8.83,8.83,8.83,8.83,0.0
12/29/1998,16:00,8.59,8.59,8.59,8.59,2800.0
12/30/1998,16:00,8.59,8.59,8.59,8.59,0.0
12/31/1998,16:00,8.24,8.24,8.24,8.24,2000.0
01/04/1999,16:00,9.30,9.30,9.30,9.30,1000.0
01/05/1999,16:00,9.30,9.30,9.30,9.30,0.0
01/06/1999,16:00,8.94,8.94,8.94,8.94,300.0
01/07/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/08/1999,16:00,8.12,8.94,7.30,8.94,6400.0
01/11/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/12/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/13/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/14/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/15/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/19/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/20/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/21/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/22/1999,16:00,8.94,8.94,8.94,8.94,0.0
01/25/1999,16:00,8.94,8.94,8.94,8.94,200.0
01/26/1999,16:00,7.83,8.71,7.83,8.71,900.0
01/27/1999,16:00,8.71,8.71,8.71,8.71,600.0
01/28/1999,16:00,8.71,8.71,8.71,8.71,0.0
01/29/1999,16:00,8.24,8.24,8.24,8.24,1000.0
02/01/1999,16:00,7.53,8.24,7.18,7.89,4500.0
02/02/1999,16:00,7.89,7.89,7.89,7.89,0.0
02/03/1999,16:00,8.47,8.47,8.47,8.47,300.0
02/04/1999,16:00,8.47,8.47,8.47,8.47,0.0
02/05/1999,16:00,8.47,8.47,8.47,8.47,0.0
02/08/1999,16:00,8.47,8.47,8.47,8.47,400.0
