Date,Time,Open,High,Low,Close,Vol
02/02/2010,16:00,71.49,71.49,64.99,67.22,18700.0
02/03/2010,16:00,78.92,78.92,64.99,66.85,9400.0
02/04/2010,16:00,64.99,69.64,64.99,67.78,5600.0
02/05/2010,16:00,67.78,67.78,59.70,64.06,12300.0
02/08/2010,16:00,63.14,66.85,61.28,64.06,4500.0
02/09/2010,16:00,63.14,70.56,62.21,66.85,5400.0
02/10/2010,16:00,64.99,68.71,62.39,68.71,9600.0
02/11/2010,16:00,64.99,68.71,64.16,65.92,3700.0
02/12/2010,16:00,64.99,66.85,64.99,64.99,3600.0
02/16/2010,16:00,68.71,69.64,66.85,67.78,5300.0
02/17/2010,16:00,69.64,76.14,64.99,72.33,8000.0
02/18/2010,16:00,71.49,85.42,69.64,74.28,10700.0
02/19/2010,16:00,74.28,74.28,72.42,74.09,4200.0
02/22/2010,16:00,92.85,92.85,75.21,77.06,3300.0
02/23/2010,16:00,84.49,84.49,75.21,79.85,5900.0
02/24/2010,16:00,74.28,79.85,74.28,77.06,7100.0
02/25/2010,16:00,74.28,76.14,66.94,68.71,15100.0
02/26/2010,16:00,69.64,70.56,68.71,69.64,2900.0
03/01/2010,16:00,68.71,74.28,67.78,71.49,4700.0
03/02/2010,16:00,69.64,70.47,66.85,69.64,5700.0
03/03/2010,16:00,68.71,69.64,65.92,67.31,3700.0
03/04/2010,16:00,65.92,69.64,65.92,69.64,2000.0
03/05/2010,16:00,66.85,71.49,66.85,70.56,2500.0
03/08/2010,16:00,68.71,72.33,68.71,72.33,2000.0
03/09/2010,16:00,74.28,76.14,68.71,68.71,9100.0
03/10/2010,16:00,67.78,75.21,66.85,68.15,13000.0
03/11/2010,16:00,66.85,74.28,65.92,71.03,8400.0
03/12/2010,16:00,72.42,74.28,70.56,71.49,4300.0
03/15/2010,16:00,73.35,73.35,63.14,66.85,9600.0
03/16/2010,16:00,69.64,71.49,66.85,71.31,3600.0
03/17/2010,16:00,72.42,79.85,67.96,74.28,16300.0
