Date,Time,Open,High,Low,Close,Vol
11/16/2005,16:00,7.39,8.38,7.31,7.44,97759000.0
11/17/2005,16:00,7.64,7.91,6.44,6.68,34308500.0
11/18/2005,16:00,6.86,7.00,6.55,6.63,12810000.0
11/21/2005,16:00,6.68,6.81,6.60,6.80,6404000.0
11/22/2005,16:00,6.72,6.72,6.50,6.62,6533000.0
11/23/2005,16:00,6.57,6.62,5.98,6.43,12421000.0
11/25/2005,16:00,6.39,6.53,6.38,6.47,1316000.0
11/28/2005,16:00,6.42,6.42,6.17,6.31,3155000.0
11/29/2005,16:00,6.31,6.35,5.92,6.06,4477500.0
11/30/2005,16:00,6.08,6.14,5.99,6.12,3894500.0
12/01/2005,16:00,6.12,6.67,6.09,6.63,5688500.0
12/02/2005,16:00,6.63,6.88,6.61,6.84,5120000.0
12/05/2005,16:00,6.86,7.10,6.86,6.98,4592500.0
12/06/2005,16:00,6.98,7.13,6.91,6.93,3202500.0
12/07/2005,16:00,6.94,6.94,6.54,6.72,2473000.0
12/08/2005,16:00,6.76,6.87,6.74,6.82,1823500.0
12/09/2005,16:00,6.82,6.91,6.78,6.86,808000.0
12/12/2005,16:00,6.91,6.92,6.83,6.91,953500.0
12/13/2005,16:00,6.90,6.90,6.73,6.74,1843000.0
12/14/2005,16:00,6.73,6.76,6.59,6.63,1422000.0
12/15/2005,16:00,6.62,6.62,6.38,6.44,3273000.0
12/16/2005,16:00,6.41,6.54,6.35,6.48,8170500.0
12/19/2005,16:00,6.44,6.52,6.42,6.51,2242000.0
12/20/2005,16:00,6.56,6.71,6.52,6.62,2423500.0
12/21/2005,16:00,6.61,6.63,6.55,6.59,916500.0
12/22/2005,16:00,6.59,6.59,6.50,6.57,1171000.0
12/23/2005,16:00,6.53,6.57,6.45,6.49,985000.0
12/27/2005,16:00,6.54,6.72,6.54,6.68,1214000.0
12/28/2005,16:00,6.68,6.72,6.64,6.65,581000.0
12/29/2005,16:00,6.61,6.86,6.61,6.85,1076500.0
12/30/2005,16:00,6.87,6.89,6.72,6.89,923500.0
01/03/2006,16:00,6.92,7.25,6.82,7.17,2993000.0
01/04/2006,16:00,7.18,7.18,6.89,6.99,1196500.0
01/05/2006,16:00,7.24,7.53,7.24,7.45,3478500.0
01/06/2006,16:00,7.44,7.66,7.41,7.64,2306500.0
01/09/2006,16:00,7.77,8.39,7.75,8.26,8702000.0
01/10/2006,16:00,8.22,8.87,8.22,8.72,8667500.0
01/11/2006,16:00,8.81,9.13,8.59,8.89,7560000.0
01/12/2006,16:00,8.97,9.07,8.20,8.33,4841500.0
01/13/2006,16:00,8.28,8.45,8.15,8.44,2010500.0
01/17/2006,16:00,8.62,8.91,8.53,8.79,2609500.0
01/18/2006,16:00,8.78,8.78,8.53,8.68,1397500.0
01/19/2006,16:00,8.66,9.06,8.34,8.99,3307000.0
01/20/2006,16:00,9.10,9.17,8.76,8.77,2309500.0
01/23/2006,16:00,8.77,9.06,8.74,9.05,1744500.0
01/24/2006,16:00,9.05,10.12,8.89,10.00,5615000.0
01/25/2006,16:00,10.14,10.46,9.50,10.05,7019000.0
01/26/2006,16:00,10.09,10.26,9.90,9.94,2424000.0
01/27/2006,16:00,9.49,9.97,9.20,9.67,6929000.0
01/30/2006,16:00,9.52,9.70,9.15,9.31,2970000.0
01/31/2006,16:00,9.31,9.67,8.73,9.63,6552500.0
02/01/2006,16:00,9.95,10.81,9.84,10.54,7184500.0
02/02/2006,16:00,10.50,10.99,10.06,10.46,10589500.0
02/03/2006,16:00,10.65,11.07,10.48,10.52,5790500.0
02/06/2006,16:00,10.86,10.86,10.37,10.56,3958000.0
02/07/2006,16:00,10.53,10.64,9.74,10.13,3575000.0
02/08/2006,16:00,10.33,10.39,9.97,10.14,1954000.0
02/09/2006,16:00,10.18,10.30,10.00,10.04,2131500.0
02/10/2006,16:00,10.09,10.09,9.28,9.80,3580500.0
02/13/2006,16:00,9.67,10.17,9.67,10.00,1660500.0
02/14/2006,16:00,10.00,10.04,9.80,9.85,1478000.0
02/15/2006,16:00,9.86,9.91,9.78,9.85,882000.0
02/16/2006,16:00,9.90,9.92,9.68,9.77,848000.0
02/17/2006,16:00,9.81,9.84,9.50,9.73,1626500.0
02/21/2006,16:00,9.74,9.74,9.24,9.41,2389500.0
02/22/2006,16:00,9.31,9.45,9.13,9.33,3314500.0
02/23/2006,16:00,9.51,9.84,9.28,9.46,7781500.0
02/24/2006,16:00,9.82,10.57,9.82,10.33,11018000.0
02/27/2006,16:00,10.42,10.84,10.30,10.78,4822000.0
02/28/2006,16:00,10.73,10.97,10.24,10.38,4038000.0
03/01/2006,16:00,10.42,10.78,10.42,10.76,3081000.0
03/02/2006,16:00,10.73,11.26,10.57,11.25,4253000.0
03/03/2006,16:00,11.47,11.93,11.37,11.49,6878500.0
03/06/2006,16:00,11.66,11.94,11.39,11.62,4600500.0
03/07/2006,16:00,11.62,11.62,11.22,11.37,3193000.0
03/08/2006,16:00,11.56,11.57,11.14,11.22,5132500.0
03/09/2006,16:00,11.27,12.23,11.27,12.13,5446500.0
03/10/2006,16:00,12.13,12.77,11.88,12.73,7088000.0
03/13/2006,16:00,12.94,13.55,12.78,13.51,9415500.0
03/14/2006,16:00,13.55,13.69,12.90,13.01,9242500.0
03/15/2006,16:00,13.03,13.48,12.79,13.13,5496000.0
03/16/2006,16:00,13.14,13.30,12.34,12.66,7085500.0
03/17/2006,16:00,12.66,12.97,12.21,12.91,5977000.0
03/20/2006,16:00,13.09,13.49,13.09,13.49,5575500.0
03/21/2006,16:00,13.59,13.95,13.19,13.32,6876500.0
03/22/2006,16:00,12.99,13.09,12.45,12.89,6843500.0
03/23/2006,16:00,12.84,13.14,12.57,12.71,2925500.0
