Date,Time,Open,High,Low,Close,Vol
07/25/2013,16:00,11.0,11.2,9.5,9.5,3078700.0
07/26/2013,16:00,9.59,10.27,9.58,10.14,215800.0
07/29/2013,16:00,10.35,10.62,10.05,10.36,92000.0
07/30/2013,16:00,10.54,10.54,10.09,10.09,64000.0
07/31/2013,16:00,10.0,10.15,9.94,9.94,71800.0
08/01/2013,16:00,10.0,10.0,9.85,9.85,74700.0
08/02/2013,16:00,10.0,10.02,9.85,9.98,58300.0
08/05/2013,16:00,10.43,10.43,9.8,9.92,34100.0
08/06/2013,16:00,10.4,11.43,10.0,11.01,394800.0
08/07/2013,16:00,11.49,12.5,11.3,12.39,210600.0
08/08/2013,16:00,12.75,12.87,12.0,12.54,104700.0
08/09/2013,16:00,12.36,12.6,12.0,12.11,69100.0
08/12/2013,16:00,12.1,12.38,11.49,12.04,100500.0
08/13/2013,16:00,12.0,12.28,11.82,11.97,42800.0
08/14/2013,16:00,12.05,12.48,12.0,12.39,79000.0
08/15/2013,16:00,12.4,13.63,12.4,13.31,116400.0
08/16/2013,16:00,13.51,14.47,13.50,13.53,177000.0
08/19/2013,16:00,13.58,13.88,13.0,13.13,109500.0
08/20/2013,16:00,13.01,13.6,13.01,13.33,10900.0
08/21/2013,16:00,13.58,14.26,13.07,13.07,38100.0
08/22/2013,16:00,13.0,13.25,12.73,13.02,18100.0
08/23/2013,16:00,12.99,13.27,12.3,12.58,30000.0
08/26/2013,16:00,12.76,12.97,12.22,12.78,15200.0
08/27/2013,16:00,12.76,13.27,12.25,12.86,24700.0
08/28/2013,16:00,13.0,13.23,12.51,12.71,35200.0
08/29/2013,16:00,12.71,12.99,12.6,12.74,25600.0
08/30/2013,16:00,12.93,13.95,12.86,13.06,35800.0
09/03/2013,16:00,13.07,13.94,13.07,13.94,23000.0
09/04/2013,16:00,13.93,15.56,13.55,15.48,57700.0
09/05/2013,16:00,15.63,18.69,15.23,16.5,95000.0
09/06/2013,16:00,17.0,17.84,16.65,17.04,84800.0
09/09/2013,16:00,17.22,17.77,17.02,17.3,43100.0
09/10/2013,16:00,17.48,18.33,17.34,18.02,34400.0
09/11/2013,16:00,18.17,18.95,18.1,18.84,56600.0
09/12/2013,16:00,18.8,18.89,18.1,18.66,96100.0
09/13/2013,16:00,18.8,19.0,18.68,18.9,46100.0
09/16/2013,16:00,19.07,21.4,19.07,20.35,88500.0
09/17/2013,16:00,20.71,21.0,20.0,20.28,71900.0
09/18/2013,16:00,20.29,20.68,19.3,20.29,69400.0
09/19/2013,16:00,20.45,21.03,20.45,20.89,58900.0
09/20/2013,16:00,20.99,20.99,20.13,20.14,80000.0
09/23/2013,16:00,20.48,22.32,20.35,21.0,152500.0
09/24/2013,16:00,20.81,23.56,20.81,22.88,123200.0
09/25/2013,16:00,23.15,24.04,22.72,23.87,119300.0
09/26/2013,16:00,23.99,24.11,23.7,24.07,100700.0
09/27/2013,16:00,24.07,24.07,19.88,21.49,158700.0
09/30/2013,16:00,20.88,20.99,17.00,18.41,632300.0
10/01/2013,16:00,18.25,19.0,16.93,18.87,90500.0
10/02/2013,16:00,18.79,19.99,18.75,19.46,98700.0
10/03/2013,16:00,19.55,19.71,17.25,17.61,60000.0
10/04/2013,16:00,17.59,18.55,17.59,18.3,40900.0
10/07/2013,16:00,18.32,18.75,17.5,17.73,38100.0
10/08/2013,16:00,18.0,18.35,16.05,16.75,130900.0
10/09/2013,16:00,16.75,17.69,15.50,17.0,104600.0
10/10/2013,16:00,17.39,18.15,17.2,17.68,55500.0
10/11/2013,16:00,17.68,18.0,17.41,17.56,28200.0
10/14/2013,16:00,17.36,17.7,17.14,17.58,15200.0
10/15/2013,16:00,17.58,17.83,17.04,17.24,28800.0
10/16/2013,16:00,17.51,17.68,16.55,17.06,81900.0
10/17/2013,16:00,17.05,17.55,17.00,17.30,30100.0
10/18/2013,16:00,17.58,20.68,17.26,17.72,92400.0
10/21/2013,16:00,17.8,19.09,17.07,17.15,31300.0
10/22/2013,16:00,17.25,17.82,16.02,16.12,51000.0
10/23/2013,16:00,15.99,16.2,14.03,15.2,117800.0
10/24/2013,16:00,15.2,15.8,14.80,15.5,20100.0
10/25/2013,16:00,15.51,15.86,14.83,15.49,20500.0
10/28/2013,16:00,15.51,15.51,14.96,15.18,22400.0
10/29/2013,16:00,15.02,15.35,14.78,15.35,18700.0
10/30/2013,16:00,15.3,15.4,14.58,14.63,21000.0
10/31/2013,16:00,14.67,14.79,14.02,14.11,24100.0
11/01/2013,16:00,14.12,15.23,14.11,14.93,32300.0
11/04/2013,16:00,14.75,15.15,14.51,14.99,23700.0
11/05/2013,16:00,15.01,15.4,14.94,15.04,75500.0
11/06/2013,16:00,15.04,15.1,14.5,15.0,35500.0
11/07/2013,16:00,15.02,15.18,14.55,14.75,124900.0
11/08/2013,16:00,14.72,15.92,14.71,15.59,22600.0
11/11/2013,16:00,15.71,17.1,15.61,16.84,25300.0
11/12/2013,16:00,17.35,17.35,15.86,16.54,24500.0
11/13/2013,16:00,16.3,17.4,16.3,17.23,68100.0
11/14/2013,16:00,16.23,16.5,15.7,16.33,118500.0
11/15/2013,16:00,16.29,16.29,14.45,14.79,59100.0
11/18/2013,16:00,14.79,14.79,13.88,14.01,51400.0
11/19/2013,16:00,14.02,14.63,14.0,14.26,99600.0
11/20/2013,16:00,14.37,14.48,14.11,14.48,6600.0
11/21/2013,16:00,14.89,15.14,14.01,14.34,46100.0
11/22/2013,16:00,14.41,14.96,14.25,14.5,30200.0
11/25/2013,16:00,14.47,15.0,14.47,14.72,81100.0
11/26/2013,16:00,14.52,15.52,14.51,15.24,119600.0
11/27/2013,16:00,15.25,15.68,15.2,15.31,8300.0
11/29/2013,16:00,15.4,15.72,15.35,15.51,5300.0
12/02/2013,16:00,15.59,15.88,15.23,15.38,34000.0
12/03/2013,16:00,15.39,15.59,14.94,15.4,22900.0
12/04/2013,16:00,15.4,15.69,14.46,15.02,28300.0
12/05/2013,16:00,15.0,15.63,14.85,15.02,27300.0
12/06/2013,16:00,15.21,15.39,15.05,15.17,15600.0
12/09/2013,16:00,15.18,15.50,15.17,15.26,22300.0
12/10/2013,16:00,15.29,15.93,14.81,15.61,24900.0
12/11/2013,16:00,15.44,15.78,15.22,15.22,19200.0
12/12/2013,16:00,15.28,15.64,15.0,15.26,18300.0
12/13/2013,16:00,15.31,15.73,15.07,15.37,48500.0
12/16/2013,16:00,15.73,18.13,15.73,17.56,130800.0
12/17/2013,16:00,17.65,18.36,17.14,17.5,63700.0
12/18/2013,16:00,17.61,17.61,15.49,16.2,77400.0
12/19/2013,16:00,16.23,17.85,15.80,15.92,27900.0
12/20/2013,16:00,16.0,16.5,15.99,16.5,384700.0
12/23/2013,16:00,16.66,17.7,16.66,17.47,42600.0
12/24/2013,16:00,17.47,17.85,17.21,17.47,45100.0
12/26/2013,16:00,17.45,17.89,17.09,17.09,32900.0
12/27/2013,16:00,17.15,17.9,16.54,17.9,42400.0
12/30/2013,16:00,17.84,17.84,16.68,17.33,27400.0
12/31/2013,16:00,17.15,17.51,16.49,16.50,47800.0
01/02/2014,16:00,16.37,17.33,16.23,16.72,27200.0
01/03/2014,16:00,16.81,17.26,16.8,17.1,24500.0
01/06/2014,16:00,17.2,17.85,17.0,17.19,57200.0
01/07/2014,16:00,17.42,17.7,17.05,17.37,58100.0
01/08/2014,16:00,17.55,17.77,17.24,17.34,21500.0
01/09/2014,16:00,17.46,17.65,17.32,17.53,26300.0
01/10/2014,16:00,17.64,19.72,17.64,19.35,165400.0
01/13/2014,16:00,19.56,22.49,19.51,20.24,166800.0
01/14/2014,16:00,20.43,20.65,19.83,19.99,60500.0
01/15/2014,16:00,20.31,20.73,19.73,19.88,67500.0
01/16/2014,16:00,20.35,20.71,19.89,20.42,48200.0
01/17/2014,16:00,20.45,20.48,19.51,19.76,36800.0
01/21/2014,16:00,19.95,20.65,17.01,18.0,133700.0
01/22/2014,16:00,18.1,18.45,17.87,18.24,61600.0
01/23/2014,16:00,18.14,18.23,17.11,18.11,36700.0
01/24/2014,16:00,17.98,18.15,17.75,17.97,52600.0
01/27/2014,16:00,17.94,18.0,15.85,16.53,75500.0
01/28/2014,16:00,16.47,16.56,16.18,16.45,29700.0
01/29/2014,16:00,16.44,16.44,16.0,16.09,55500.0
01/30/2014,16:00,16.29,16.5,16.0,16.14,48300.0
01/31/2014,16:00,16.0,16.41,15.91,15.91,71200.0
02/03/2014,16:00,15.87,16.03,14.8,14.94,85600.0
02/04/2014,16:00,15.07,15.25,14.85,15.25,34500.0
02/05/2014,16:00,15.13,15.39,15.06,15.17,30600.0
02/06/2014,16:00,15.19,15.75,15.18,15.5,68900.0
02/07/2014,16:00,15.74,16.68,15.6,15.71,37000.0
02/10/2014,16:00,15.76,16.32,15.76,16.19,33600.0
02/11/2014,16:00,16.54,17.22,16.45,16.76,31600.0
02/12/2014,16:00,16.58,17.36,16.23,16.45,30400.0
02/13/2014,16:00,16.27,16.8,15.24,15.56,105800.0
02/14/2014,16:00,15.4,15.86,15.09,15.33,56800.0
02/18/2014,16:00,15.46,15.63,15.13,15.34,62200.0
02/19/2014,16:00,15.36,15.4,15.18,15.27,14300.0
02/20/2014,16:00,15.29,15.3,14.95,15.04,52700.0
02/21/2014,16:00,15.15,15.33,14.9,14.97,38800.0
02/24/2014,16:00,15.21,16.11,14.79,15.24,62800.0
02/25/2014,16:00,15.3,17.16,15.12,16.11,76900.0
02/26/2014,16:00,16.21,16.95,15.61,15.75,70000.0
02/27/2014,16:00,15.75,16.53,15.72,16.0,57400.0
02/28/2014,16:00,16.07,16.16,14.5,14.89,104100.0
03/03/2014,16:00,14.85,14.99,14.14,14.34,79000.0
03/04/2014,16:00,14.42,14.68,14.26,14.44,74500.0
03/05/2014,16:00,14.51,15.35,14.35,15.15,49400.0
03/06/2014,16:00,15.35,15.75,15.17,15.46,51100.0
03/07/2014,16:00,15.64,15.98,15.0,15.79,42000.0
03/10/2014,16:00,15.79,16.18,15.02,16.04,58200.0
03/11/2014,16:00,16.0,17.08,15.14,15.35,201500.0
03/12/2014,16:00,15.3,16.85,15.3,16.73,87100.0
03/13/2014,16:00,16.88,17.3,16.01,16.15,64800.0
03/14/2014,16:00,16.16,17.07,16.16,16.8,58000.0
03/17/2014,16:00,16.96,17.58,16.85,17.16,166300.0
03/18/2014,16:00,17.33,17.9,17.05,17.59,68100.0
03/19/2014,16:00,17.6,17.6,16.81,17.44,43300.0
03/20/2014,16:00,17.43,17.56,16.2,16.37,42400.0
03/21/2014,16:00,16.37,16.48,14.97,15.1,132900.0
03/24/2014,16:00,15.17,15.82,14.12,14.36,76600.0
03/25/2014,16:00,14.53,15.8,14.53,14.93,68000.0
03/26/2014,16:00,15.09,15.21,14.4,14.44,45400.0
03/27/2014,16:00,14.39,14.71,14.03,14.45,58000.0
03/28/2014,16:00,14.43,14.86,13.66,13.89,95500.0
03/31/2014,16:00,14.0,15.0,13.86,14.93,76000.0
04/01/2014,16:00,14.95,15.16,14.65,15.05,32700.0
04/02/2014,16:00,15.04,15.17,14.35,14.61,27300.0
04/03/2014,16:00,14.61,14.85,13.78,14.0,50400.0
04/04/2014,16:00,14.24,14.26,12.87,13.32,104900.0
04/07/2014,16:00,13.25,13.88,13.04,13.35,39100.0
04/08/2014,16:00,13.76,13.76,13.09,13.62,21900.0
04/09/2014,16:00,13.78,14.61,13.66,14.44,31400.0
