Date,Time,Open,High,Low,Close,Vol
10/11/2012,16:00,19.4,20.4,18.74,19.4,813300.0
10/12/2012,16:00,19.01,19.75,18.56,19.05,49900.0
10/15/2012,16:00,19.0,19.55,18.59,19.26,54300.0
10/16/2012,16:00,19.29,19.91,19.2,19.67,80500.0
10/17/2012,16:00,20.0,20.0,19.26,19.78,13600.0
10/18/2012,16:00,19.58,20.01,19.58,20.0,29200.0
10/19/2012,16:00,19.92,20.3,19.65,19.97,114900.0
10/22/2012,16:00,19.22,19.99,19.05,19.5,4100.0
10/23/2012,16:00,19.15,19.5,19.05,19.44,21100.0
10/24/2012,16:00,19.1,19.24,19.0,19.2,10100.0
10/25/2012,16:00,18.90,19.2,18.7,19.2,13900.0
10/26/2012,16:00,19.95,19.95,18.8,19.02,12800.0
10/31/2012,16:00,18.16,19.0,18.06,18.06,8300.0
11/01/2012,16:00,18.21,19.02,17.96,19.0,9000.0
11/02/2012,16:00,18.51,19.0,18.17,18.75,24200.0
11/05/2012,16:00,19.0,20.93,18.79,19.27,7900.0
11/06/2012,16:00,19.57,21.0,19.57,21.0,30600.0
11/07/2012,16:00,20.54,21.35,19.0,20.2,48700.0
11/08/2012,16:00,22.0,22.0,19.03,20.1,131200.0
11/09/2012,16:00,19.52,21.35,19.24,20.0,40600.0
11/12/2012,16:00,20.81,21.0,20.5,20.99,36500.0
11/13/2012,16:00,21.12,22.59,20.79,21.46,59400.0
11/14/2012,16:00,21.5,22.0,21.24,21.99,23200.0
11/15/2012,16:00,22.0,22.8,20.06,22.12,17600.0
11/16/2012,16:00,22.18,22.18,21.1,21.5,14200.0
11/19/2012,16:00,21.46,21.78,20.51,21.48,4000.0
11/20/2012,16:00,21.51,21.59,21.01,21.5,3000.0
11/21/2012,16:00,21.01,21.5,21.01,21.01,2300.0
11/23/2012,16:00,21.0,21.98,20.38,21.21,7100.0
11/26/2012,16:00,21.07,22.0,20.75,21.06,28000.0
11/27/2012,16:00,21.32,21.97,21.04,21.05,3600.0
11/28/2012,16:00,21.01,21.49,20.58,21.49,26200.0
11/29/2012,16:00,21.71,22.43,21.5,22.0,14900.0
11/30/2012,16:00,22.3,23.37,22.07,23.37,1000.0
12/03/2012,16:00,22.46,22.95,22.25,22.55,4000.0
12/04/2012,16:00,22.89,23.49,22.42,23.49,6100.0
12/05/2012,16:00,23.28,25.0,23.05,25.0,9700.0
12/06/2012,16:00,24.93,28.92,24.51,28.2,9800.0
