Date,Time,Open,High,Low,Close,Vol
08/20/1991,16:00,0.86,0.88,0.86,0.88,219601.125
08/21/1991,16:00,0.86,0.86,0.86,0.86,9998.4375
08/22/1991,16:00,0.86,0.88,0.86,0.88,47800.125
08/23/1991,16:00,0.84,0.86,0.82,0.82,78301.6875
08/26/1991,16:00,0.82,0.82,0.78,0.80,90998.4375
08/27/1991,16:00,0.82,0.82,0.80,0.80,25601.0625
08/28/1991,16:00,0.82,0.82,0.80,0.80,30299.0625
08/29/1991,16:00,0.84,0.84,0.82,0.82,35199.5625
08/30/1991,16:00,0.84,0.84,0.82,0.82,4900.5
09/03/1991,16:00,0.84,0.84,0.84,0.84,1898.4375
09/04/1991,16:00,0.82,0.86,0.82,0.86,294399.5625
09/05/1991,16:00,0.86,0.88,0.84,0.88,12301.875
09/06/1991,16:00,0.84,0.90,0.84,0.86,44701.875
09/09/1991,16:00,0.88,0.88,0.86,0.88,39300.1875
09/10/1991,16:00,0.88,0.90,0.86,0.88,60699.375
09/11/1991,16:00,0.86,0.90,0.86,0.90,1301.0625
09/12/1991,16:00,0.86,0.90,0.86,0.90,23500.125
09/13/1991,16:00,0.86,0.88,0.86,0.86,26502.1875
09/16/1991,16:00,0.88,0.90,0.86,0.86,38399.0625
09/17/1991,16:00,0.86,0.86,0.86,0.86,0.0
09/18/1991,16:00,0.86,0.86,0.86,0.86,0.0
09/19/1991,16:00,0.86,0.86,0.86,0.86,3300.75
09/20/1991,16:00,0.88,0.88,0.86,0.86,92400.75
09/23/1991,16:00,0.86,0.88,0.86,0.88,17101.125
09/24/1991,16:00,0.88,0.88,0.86,0.86,2202.1875
09/25/1991,16:00,0.86,0.88,0.86,0.86,377500.5
09/26/1991,16:00,0.86,0.90,0.86,0.86,151201.6875
09/27/1991,16:00,0.90,0.90,0.88,0.90,32400.0
09/30/1991,16:00,0.92,0.94,0.92,0.94,82898.4375
10/01/1991,16:00,0.96,1.00,0.94,0.94,200399.0625
10/02/1991,16:00,0.98,1.00,0.96,1.00,120700.125
10/03/1991,16:00,0.96,1.00,0.96,0.96,6900.1875
10/04/1991,16:00,0.96,0.96,0.96,0.96,2202.1875
10/07/1991,16:00,1.00,1.00,1.00,1.00,5401.6875
10/08/1991,16:00,1.00,1.00,0.96,0.96,405000.0
10/09/1991,16:00,0.96,1.00,0.96,0.96,13501.6875
10/10/1991,16:00,1.00,1.00,1.00,1.00,2202.1875
10/11/1991,16:00,0.96,0.96,0.96,0.96,7300.125
10/14/1991,16:00,0.94,0.94,0.92,0.92,14099.0625
10/15/1991,16:00,0.96,0.96,0.96,0.96,9401.0625
10/16/1991,16:00,0.96,0.96,0.96,0.96,7300.125
10/17/1991,16:00,0.94,0.96,0.92,0.96,114701.0625
10/18/1991,16:00,0.94,0.94,0.92,0.92,70799.0625
10/21/1991,16:00,0.98,1.00,0.96,0.98,84999.375
10/22/1991,16:00,0.98,1.02,0.98,1.02,59499.5625
10/23/1991,16:00,1.02,1.02,0.98,0.98,3999.375
10/24/1991,16:00,0.98,1.02,0.98,1.00,110701.6875
10/25/1991,16:00,1.02,1.02,1.00,1.02,61600.5
