Date,Time,Open,High,Low,Close,Vol
05/04/1994,16:00,2.13,2.45,2.05,2.43,5510802.0
05/05/1994,16:00,2.45,2.45,2.35,2.37,545502.0
05/06/1994,16:00,2.34,2.37,2.24,2.24,872100.0
05/09/1994,16:00,2.22,2.26,2.00,2.00,739500.0
05/10/1994,16:00,2.00,2.05,2.00,2.00,334200.0
05/11/1994,16:00,2.00,2.07,2.00,2.02,111702.0
05/12/1994,16:00,2.02,2.04,2.02,2.02,295200.0
05/13/1994,16:00,2.02,2.05,1.94,1.98,371502.0
05/16/1994,16:00,1.98,2.02,1.94,1.94,175800.0
05/17/1994,16:00,1.94,2.02,1.94,2.02,100602.0
05/18/1994,16:00,1.98,2.02,1.96,2.00,107502.0
05/19/1994,16:00,2.02,2.02,1.94,2.02,54300.0
05/20/1994,16:00,1.98,2.05,1.98,2.02,152400.0
05/23/1994,16:00,2.07,2.11,2.04,2.11,86802.0
05/24/1994,16:00,2.15,2.15,2.09,2.11,43602.0
05/25/1994,16:00,2.09,2.15,2.09,2.13,59502.0
05/26/1994,16:00,2.13,2.20,2.13,2.20,152100.0
05/27/1994,16:00,2.19,2.24,2.17,2.24,99402.0
05/31/1994,16:00,2.24,2.32,2.19,2.28,66102.0
06/01/1994,16:00,2.35,2.47,2.34,2.37,267402.0
06/02/1994,16:00,2.37,2.37,2.26,2.26,88602.0
06/03/1994,16:00,2.32,2.32,2.28,2.32,40302.0
06/06/1994,16:00,2.28,2.32,2.28,2.28,93402.0
06/07/1994,16:00,2.28,2.34,2.28,2.28,169800.0
06/08/1994,16:00,2.28,2.32,2.28,2.32,33600.0
06/09/1994,16:00,2.30,2.30,2.21,2.21,75600.0
06/10/1994,16:00,2.24,2.24,2.09,2.13,121902.0
06/13/1994,16:00,2.13,2.13,2.09,2.09,40800.0
06/14/1994,16:00,2.11,2.15,2.11,2.15,56100.0
06/15/1994,16:00,2.13,2.15,2.07,2.15,33000.0
06/16/1994,16:00,2.15,2.21,2.15,2.17,59202.0
06/17/1994,16:00,2.17,2.20,2.17,2.20,9402.0
06/20/1994,16:00,2.17,2.19,2.11,2.11,74502.0
06/21/1994,16:00,2.13,2.13,2.13,2.13,8202.0
06/22/1994,16:00,2.15,2.15,2.15,2.15,2202.0
06/23/1994,16:00,2.17,2.17,2.09,2.09,25800.0
06/24/1994,16:00,2.09,2.09,2.02,2.05,150000.0
06/27/1994,16:00,2.02,2.02,2.02,2.02,25500.0
06/28/1994,16:00,1.98,1.98,1.98,1.98,2202.0
06/29/1994,16:00,1.98,1.98,1.94,1.96,48000.0
06/30/1994,16:00,1.92,1.94,1.87,1.87,38202.0
07/01/1994,16:00,1.87,1.87,1.81,1.81,13800.0
07/05/1994,16:00,1.81,1.81,1.81,1.81,0.0
07/06/1994,16:00,1.87,1.87,1.66,1.66,125802.0
07/07/1994,16:00,1.61,1.64,1.49,1.55,170100.0
07/08/1994,16:00,1.49,1.57,1.49,1.55,174600.0
07/11/1994,16:00,1.53,1.55,1.51,1.53,39102.0
07/12/1994,16:00,1.51,1.51,1.51,1.51,11802.0
07/13/1994,16:00,1.57,1.59,1.54,1.59,44202.0
07/14/1994,16:00,1.53,1.74,1.53,1.68,125400.0
07/15/1994,16:00,1.77,1.87,1.74,1.74,82200.0
07/18/1994,16:00,1.77,1.77,1.77,1.77,2202.0
07/19/1994,16:00,1.62,1.66,1.61,1.66,39402.0
07/20/1994,16:00,1.57,1.62,1.57,1.57,143700.0
07/21/1994,16:00,1.59,1.59,1.57,1.59,68502.0
07/22/1994,16:00,1.66,1.66,1.57,1.58,73902.0
07/25/1994,16:00,1.61,1.61,1.57,1.59,236100.0
07/26/1994,16:00,1.59,1.61,1.59,1.61,159300.0
07/27/1994,16:00,1.61,1.61,1.61,1.61,4200.0
07/28/1994,16:00,1.62,1.62,1.62,1.62,29100.0
07/29/1994,16:00,1.61,1.62,1.59,1.59,69300.0
08/01/1994,16:00,1.62,1.62,1.57,1.59,15900.0
08/02/1994,16:00,1.59,1.59,1.49,1.57,87402.0
08/03/1994,16:00,1.53,1.53,1.53,1.53,102.0
08/04/1994,16:00,1.57,1.57,1.48,1.48,25800.0
08/05/1994,16:00,1.49,1.53,1.48,1.48,63102.0
08/08/1994,16:00,1.49,1.49,1.46,1.46,15402.0
08/09/1994,16:00,1.48,1.49,1.46,1.46,54900.0
08/10/1994,16:00,1.49,1.51,1.46,1.49,170202.0
08/11/1994,16:00,1.46,1.46,1.46,1.46,1002.0
08/12/1994,16:00,1.46,1.46,1.46,1.46,402.0
08/15/1994,16:00,1.46,1.49,1.46,1.49,498402.0
08/16/1994,16:00,1.49,1.49,1.49,1.49,0.0
08/17/1994,16:00,1.46,1.46,1.46,1.46,102.0
08/18/1994,16:00,1.46,1.46,1.46,1.46,0.0
08/19/1994,16:00,1.46,1.46,1.46,1.46,402.0
08/22/1994,16:00,1.46,1.46,1.38,1.40,618102.0
08/23/1994,16:00,1.42,1.42,1.38,1.38,4500.0
08/24/1994,16:00,1.38,1.49,1.38,1.46,73902.0
08/25/1994,16:00,1.49,1.64,1.49,1.61,181800.0
08/26/1994,16:00,1.68,1.79,1.68,1.72,202800.0
08/29/1994,16:00,1.70,1.72,1.61,1.61,137502.0
08/30/1994,16:00,1.79,1.94,1.74,1.94,313902.0
08/31/1994,16:00,1.92,1.98,1.91,1.96,279000.0
09/01/1994,16:00,1.91,1.98,1.91,1.92,82002.0
09/02/1994,16:00,1.87,1.98,1.87,1.91,63600.0
09/06/1994,16:00,1.98,1.98,1.87,1.98,87000.0
09/07/1994,16:00,1.87,1.87,1.85,1.85,71502.0
09/08/1994,16:00,1.76,1.76,1.57,1.72,95202.0
09/09/1994,16:00,1.76,1.76,1.62,1.64,273702.0
09/12/1994,16:00,1.64,1.64,1.64,1.64,0.0
09/13/1994,16:00,1.72,1.72,1.72,1.72,1002.0
09/14/1994,16:00,1.68,1.83,1.64,1.80,1004802.0
09/15/1994,16:00,1.76,1.91,1.76,1.85,127602.0
09/16/1994,16:00,1.91,1.91,1.79,1.91,88500.0
09/19/1994,16:00,1.91,1.91,1.85,1.91,33900.0
09/20/1994,16:00,1.87,1.91,1.83,1.83,19500.0
09/21/1994,16:00,1.83,1.89,1.83,1.83,121500.0
09/22/1994,16:00,1.83,1.96,1.83,1.87,96600.0
09/23/1994,16:00,1.98,1.98,1.98,1.98,1302.0
09/26/1994,16:00,1.98,1.98,1.92,1.96,199902.0
09/27/1994,16:00,1.98,2.02,1.91,2.02,118200.0
09/28/1994,16:00,2.02,2.05,1.98,1.98,565902.0
09/29/1994,16:00,2.01,2.02,1.98,1.98,314100.0
09/30/1994,16:00,1.98,2.05,1.98,1.98,86802.0
10/03/1994,16:00,1.98,1.98,1.98,1.98,2202.0
10/04/1994,16:00,1.98,2.02,1.94,1.98,162000.0
10/05/1994,16:00,1.98,1.98,1.91,1.91,27702.0
10/06/1994,16:00,2.02,2.02,1.91,1.91,32700.0
10/07/1994,16:00,1.87,1.98,1.79,1.83,76002.0
10/10/1994,16:00,1.76,1.83,1.76,1.77,15000.0
10/11/1994,16:00,1.77,1.83,1.76,1.79,33402.0
10/12/1994,16:00,1.79,1.79,1.57,1.57,140700.0
10/13/1994,16:00,1.57,1.64,1.57,1.64,101802.0
10/14/1994,16:00,1.64,1.64,1.49,1.59,39000.0
10/17/1994,16:00,1.61,1.61,1.61,1.61,4602.0
10/18/1994,16:00,1.61,1.64,1.57,1.61,176802.0
10/19/1994,16:00,1.68,1.68,1.64,1.64,32202.0
10/20/1994,16:00,1.68,1.68,1.61,1.61,32202.0
10/21/1994,16:00,1.62,1.62,1.53,1.53,39900.0
10/24/1994,16:00,1.53,1.59,1.49,1.55,464700.0
10/25/1994,16:00,1.57,1.57,1.57,1.57,2202.0
10/26/1994,16:00,1.57,1.57,1.57,1.57,0.0
10/27/1994,16:00,1.49,1.61,1.49,1.49,14100.0
10/28/1994,16:00,1.61,1.61,1.49,1.61,112200.0
10/31/1994,16:00,1.53,1.61,1.53,1.53,58002.0
11/01/1994,16:00,1.53,1.55,1.53,1.53,776502.0
11/02/1994,16:00,1.44,1.44,1.44,1.44,231600.0
11/03/1994,16:00,1.53,1.61,1.44,1.53,313602.0
11/04/1994,16:00,1.49,1.53,1.49,1.49,5700.0
11/07/1994,16:00,1.49,1.49,1.23,1.23,68802.0
11/08/1994,16:00,1.19,1.38,1.19,1.38,46002.0
11/09/1994,16:00,1.38,1.38,1.34,1.34,10200.0
11/10/1994,16:00,1.38,1.38,1.33,1.33,63300.0
11/11/1994,16:00,1.34,1.38,1.33,1.33,10002.0
11/14/1994,16:00,1.31,1.34,1.30,1.30,1186200.0
11/15/1994,16:00,1.33,1.34,1.31,1.33,72102.0
11/16/1994,16:00,1.31,1.31,1.27,1.27,9300.0
11/17/1994,16:00,1.27,1.34,1.27,1.31,179400.0
11/18/1994,16:00,1.31,1.31,1.31,1.31,5802.0
11/21/1994,16:00,1.31,1.31,1.31,1.31,0.0
11/22/1994,16:00,1.27,1.31,1.27,1.31,48000.0
11/23/1994,16:00,1.30,1.30,1.27,1.29,63300.0
11/25/1994,16:00,1.29,1.29,1.29,1.29,0.0
11/28/1994,16:00,1.31,1.34,1.27,1.27,15402.0
11/29/1994,16:00,1.31,1.38,1.31,1.34,12300.0
11/30/1994,16:00,1.34,1.38,1.31,1.38,58302.0
12/01/1994,16:00,1.31,1.31,1.31,1.31,9000.0
12/02/1994,16:00,1.34,1.34,1.34,1.34,17802.0
12/05/1994,16:00,1.34,1.34,1.31,1.31,25302.0
12/06/1994,16:00,1.31,1.31,1.25,1.27,27900.0
12/07/1994,16:00,1.31,1.31,1.19,1.21,217002.0
12/08/1994,16:00,1.19,1.31,1.19,1.19,68802.0
12/09/1994,16:00,1.19,1.19,1.19,1.19,2202.0
12/12/1994,16:00,1.19,1.27,1.19,1.23,18600.0
12/13/1994,16:00,1.19,1.21,1.16,1.18,22902.0
12/14/1994,16:00,1.08,1.14,1.08,1.12,38202.0
12/15/1994,16:00,1.10,1.12,1.09,1.10,227100.0
12/16/1994,16:00,1.06,1.06,0.71,0.82,1447302.0
12/19/1994,16:00,0.87,0.87,0.78,0.84,323502.0
12/20/1994,16:00,0.86,0.93,0.82,0.86,424902.0
12/21/1994,16:00,0.93,0.93,0.82,0.84,354900.0
