Date,Time,Open,High,Low,Close,Vol
07/17/1997,16:00,25.86,26.96,25.06,26.61,2733000.0
07/18/1997,16:00,25.86,27.48,25.57,27.30,496900.0
07/21/1997,16:00,27.14,27.36,26.50,27.25,230100.0
07/22/1997,16:00,27.14,27.36,26.09,27.25,189100.0
07/23/1997,16:00,27.14,27.14,26.27,26.55,231400.0
07/24/1997,16:00,26.55,26.67,25.86,26.32,113200.0
07/25/1997,16:00,26.27,26.27,25.97,26.27,40400.0
07/28/1997,16:00,26.20,26.20,25.40,25.81,125500.0
07/29/1997,16:00,25.69,26.20,25.63,26.09,26600.0
07/30/1997,16:00,25.92,26.90,25.92,26.90,57200.0
07/31/1997,16:00,27.07,28.46,26.90,27.59,104900.0
08/01/1997,16:00,27.94,28.46,27.94,28.17,59200.0
08/04/1997,16:00,28.06,28.06,27.83,28.06,18900.0
08/05/1997,16:00,27.94,27.94,27.59,27.59,39900.0
08/06/1997,16:00,27.59,27.59,26.73,26.73,62700.0
08/07/1997,16:00,26.78,26.78,26.32,26.55,83600.0
08/08/1997,16:00,26.55,27.25,26.50,26.96,65900.0
08/11/1997,16:00,26.67,26.78,25.97,26.61,77800.0
08/12/1997,16:00,27.25,27.36,25.81,25.86,97100.0
08/13/1997,16:00,25.81,26.44,25.63,26.32,129600.0
08/14/1997,16:00,26.32,26.44,26.15,26.32,26100.0
08/15/1997,16:00,26.20,27.19,25.97,27.14,23900.0
08/18/1997,16:00,27.42,27.42,26.67,26.78,34700.0
08/19/1997,16:00,26.67,26.73,25.97,26.27,49800.0
08/20/1997,16:00,26.15,26.32,26.09,26.32,74200.0
08/21/1997,16:00,26.27,26.32,25.75,25.75,19500.0
08/22/1997,16:00,25.63,25.63,25.29,25.29,11700.0
08/25/1997,16:00,25.51,26.44,25.51,25.97,109100.0
08/26/1997,16:00,26.04,27.71,26.04,27.59,73500.0
08/27/1997,16:00,27.71,28.40,27.65,27.76,55600.0
08/28/1997,16:00,27.65,27.71,27.36,27.36,30300.0
08/29/1997,16:00,27.25,27.48,27.14,27.48,23500.0
09/02/1997,16:00,27.71,28.28,27.65,28.11,7500.0
09/03/1997,16:00,28.28,30.60,28.28,30.13,50100.0
09/04/1997,16:00,31.40,31.40,30.66,30.66,126600.0
09/05/1997,16:00,30.71,30.71,30.48,30.54,5400.0
09/08/1997,16:00,30.48,30.60,30.25,30.25,77800.0
09/09/1997,16:00,30.25,30.36,30.19,30.36,124000.0
09/10/1997,16:00,30.30,31.23,30.30,31.17,54100.0
09/11/1997,16:00,31.23,31.35,31.23,31.35,24400.0
09/12/1997,16:00,31.81,33.08,31.81,33.08,63400.0
09/15/1997,16:00,32.96,33.48,32.90,33.25,14600.0
09/16/1997,16:00,33.25,33.82,33.25,33.60,104100.0
09/17/1997,16:00,33.77,33.89,33.60,33.89,31100.0
09/18/1997,16:00,33.71,33.71,33.25,33.60,51400.0
09/19/1997,16:00,33.37,33.54,33.13,33.13,28500.0
09/22/1997,16:00,33.13,33.13,32.33,32.33,18600.0
09/23/1997,16:00,32.33,32.33,31.99,31.99,36200.0
09/24/1997,16:00,31.99,32.10,31.92,31.92,25400.0
09/25/1997,16:00,31.87,31.99,31.81,31.99,3000.0
09/26/1997,16:00,31.92,31.99,31.92,31.99,8900.0
09/29/1997,16:00,31.99,32.10,31.87,32.10,63300.0
09/30/1997,16:00,32.04,32.38,32.04,32.33,9500.0
10/01/1997,16:00,32.56,32.56,32.33,32.38,4300.0
10/02/1997,16:00,32.33,32.44,32.33,32.44,6100.0
10/03/1997,16:00,32.56,32.79,32.50,32.79,51000.0
10/06/1997,16:00,32.90,32.90,31.35,31.51,25000.0
10/07/1997,16:00,31.51,31.51,31.23,31.51,14200.0
10/08/1997,16:00,31.46,31.69,31.46,31.51,9400.0
10/09/1997,16:00,31.58,31.58,31.29,31.40,8100.0
10/10/1997,16:00,31.29,31.29,31.05,31.12,16800.0
10/13/1997,16:00,31.17,31.51,31.17,31.46,7700.0
10/14/1997,16:00,31.63,31.63,31.46,31.46,4100.0
10/15/1997,16:00,31.69,32.90,31.69,32.22,23000.0
10/16/1997,16:00,32.22,32.44,31.92,31.92,8500.0
10/17/1997,16:00,31.81,31.87,31.29,31.87,62900.0
10/20/1997,16:00,32.10,32.10,31.81,31.99,43200.0
10/21/1997,16:00,32.79,33.66,32.68,33.60,19200.0
10/22/1997,16:00,33.60,34.99,33.60,34.87,39700.0
10/23/1997,16:00,33.48,34.17,33.48,34.17,60500.0
10/24/1997,16:00,34.12,34.99,34.12,34.17,9900.0
10/27/1997,16:00,33.82,33.82,32.44,32.44,47400.0
10/28/1997,16:00,32.10,32.56,31.87,32.56,31000.0
10/29/1997,16:00,32.44,34.17,32.44,33.82,50300.0
10/30/1997,16:00,33.71,33.89,33.66,33.89,7700.0
10/31/1997,16:00,33.82,33.82,33.77,33.77,6800.0
11/03/1997,16:00,33.77,33.82,33.77,33.82,9900.0
11/04/1997,16:00,33.77,34.06,33.71,34.06,9900.0
11/05/1997,16:00,34.06,34.29,34.06,34.17,23500.0
11/06/1997,16:00,34.23,35.21,34.23,34.87,29000.0
11/07/1997,16:00,34.64,34.87,34.52,34.81,43600.0
11/10/1997,16:00,34.69,34.81,34.41,34.41,34400.0
11/11/1997,16:00,34.41,34.41,33.94,33.94,18400.0
11/12/1997,16:00,33.82,33.82,33.71,33.71,4800.0
11/13/1997,16:00,33.60,33.82,32.79,32.79,11400.0
11/14/1997,16:00,32.79,32.79,32.50,32.50,7300.0
11/17/1997,16:00,32.68,33.48,32.68,32.96,22200.0
11/18/1997,16:00,32.96,34.06,32.84,34.06,10700.0
11/19/1997,16:00,34.17,35.04,34.06,35.04,11300.0
11/20/1997,16:00,35.04,35.62,34.99,34.99,11900.0
11/21/1997,16:00,34.99,34.99,34.76,34.92,4900.0
11/24/1997,16:00,34.81,34.81,33.77,33.77,17000.0
11/25/1997,16:00,33.60,33.60,32.56,32.90,10400.0
11/26/1997,16:00,32.84,32.84,32.22,32.22,3600.0
11/28/1997,16:00,32.22,32.22,32.04,32.04,5600.0
12/01/1997,16:00,32.04,32.04,31.51,31.58,7200.0
12/02/1997,16:00,31.17,31.17,30.94,31.05,12200.0
12/03/1997,16:00,30.94,30.94,30.07,30.83,9300.0
12/04/1997,16:00,30.94,31.05,30.66,30.94,9200.0
12/05/1997,16:00,30.89,31.51,30.89,31.40,10600.0
12/08/1997,16:00,31.35,31.35,30.71,30.89,26300.0
12/09/1997,16:00,30.71,30.71,30.13,30.19,4600.0
12/10/1997,16:00,30.25,30.25,28.86,29.09,8100.0
12/11/1997,16:00,28.97,29.09,28.74,29.09,15300.0
12/12/1997,16:00,29.09,29.09,28.81,28.92,6700.0
12/15/1997,16:00,28.92,28.92,28.40,28.40,7400.0
12/16/1997,16:00,28.40,28.40,26.32,26.78,159200.0
12/17/1997,16:00,26.78,28.63,26.78,28.63,44800.0
12/18/1997,16:00,28.86,29.56,28.86,29.45,13600.0
12/19/1997,16:00,29.45,30.60,29.09,30.60,15100.0
12/22/1997,16:00,30.71,31.63,30.71,30.94,41900.0
12/23/1997,16:00,31.05,31.40,30.83,31.17,16800.0
12/24/1997,16:00,31.40,32.10,31.40,31.99,36500.0
12/26/1997,16:00,32.04,32.04,32.04,32.04,100.0
12/29/1997,16:00,31.99,32.22,31.99,32.10,15300.0
12/30/1997,16:00,32.27,32.96,32.27,32.96,31100.0
12/31/1997,16:00,32.96,32.96,32.90,32.90,3000.0
01/02/1998,16:00,32.73,32.90,32.73,32.90,5000.0
01/05/1998,16:00,32.90,33.54,32.79,33.25,11100.0
01/06/1998,16:00,33.13,33.20,32.50,32.50,13900.0
01/07/1998,16:00,32.38,32.38,31.51,31.58,5000.0
01/08/1998,16:00,31.46,31.46,30.83,30.83,4900.0
01/09/1998,16:00,30.94,30.94,28.28,28.69,26200.0
01/12/1998,16:00,28.52,28.52,28.17,28.23,17800.0
01/13/1998,16:00,28.23,28.86,28.17,28.86,13000.0
01/14/1998,16:00,28.97,28.97,28.63,28.63,6400.0
01/15/1998,16:00,28.74,29.27,28.35,29.27,13300.0
01/16/1998,16:00,29.50,30.66,29.50,30.54,10100.0
01/20/1998,16:00,30.54,30.60,30.19,30.60,2200.0
01/21/1998,16:00,30.48,30.60,30.30,30.60,7900.0
01/22/1998,16:00,30.54,30.94,30.54,30.54,8400.0
01/23/1998,16:00,30.36,30.48,30.30,30.36,11900.0
01/26/1998,16:00,30.54,30.60,30.13,30.13,11100.0
01/27/1998,16:00,30.25,30.48,30.25,30.36,2000.0
01/28/1998,16:00,30.02,30.25,29.79,29.79,28400.0
01/29/1998,16:00,29.79,30.13,29.61,30.13,53800.0
01/30/1998,16:00,30.83,31.05,30.66,30.77,45500.0
02/02/1998,16:00,30.71,30.94,30.71,30.94,33500.0
02/03/1998,16:00,30.77,31.23,30.77,31.17,5700.0
02/04/1998,16:00,31.51,32.68,31.51,32.68,15800.0
02/05/1998,16:00,32.79,33.66,32.56,32.56,26700.0
02/06/1998,16:00,32.79,32.79,32.61,32.61,3000.0
02/09/1998,16:00,32.73,32.73,32.50,32.50,4100.0
02/10/1998,16:00,32.61,32.61,31.46,31.63,14200.0
02/11/1998,16:00,31.46,31.69,31.43,31.63,18200.0
02/12/1998,16:00,31.58,31.75,31.51,31.51,11000.0
02/13/1998,16:00,31.46,31.46,31.46,31.46,3400.0
02/17/1998,16:00,31.46,31.51,31.40,31.40,14700.0
02/18/1998,16:00,31.40,31.58,31.40,31.46,9600.0
02/19/1998,16:00,31.58,31.87,31.29,31.87,32800.0
02/20/1998,16:00,31.87,32.10,31.87,31.99,12700.0
02/23/1998,16:00,31.63,31.63,31.05,31.40,48300.0
02/24/1998,16:00,31.29,31.29,30.83,30.83,52400.0
02/25/1998,16:00,30.94,31.58,30.94,31.46,19200.0
02/26/1998,16:00,31.63,31.81,31.63,31.81,2200.0
02/27/1998,16:00,31.92,33.13,31.92,33.13,14000.0
03/02/1998,16:00,33.08,34.00,33.02,33.77,8200.0
03/03/1998,16:00,33.71,33.71,33.48,33.48,7200.0
03/04/1998,16:00,33.43,33.43,33.43,33.43,1400.0
03/05/1998,16:00,33.25,33.25,32.84,32.90,7300.0
03/06/1998,16:00,32.90,33.02,32.90,33.02,1700.0
03/09/1998,16:00,33.02,33.02,32.90,32.90,6200.0
03/10/1998,16:00,32.90,33.25,32.90,33.25,6700.0
03/11/1998,16:00,33.37,33.54,33.37,33.43,2900.0
03/12/1998,16:00,33.43,33.43,31.51,31.63,109600.0
03/13/1998,16:00,31.51,31.63,30.02,30.02,77100.0
03/16/1998,16:00,29.91,30.36,29.45,30.25,30000.0
03/17/1998,16:00,30.71,30.83,30.48,30.71,7800.0
03/18/1998,16:00,30.94,30.94,29.67,29.79,21300.0
03/19/1998,16:00,29.79,29.96,28.17,29.56,48400.0
03/20/1998,16:00,29.56,29.67,29.50,29.56,33900.0
03/23/1998,16:00,29.79,30.42,29.50,29.56,21800.0
03/24/1998,16:00,29.67,29.96,29.61,29.61,20100.0
03/25/1998,16:00,30.02,30.19,29.61,30.13,15500.0
03/26/1998,16:00,30.02,30.02,29.73,30.02,34400.0
03/27/1998,16:00,30.02,30.02,30.02,30.02,2600.0
03/30/1998,16:00,29.91,30.02,29.45,29.96,26800.0
03/31/1998,16:00,29.96,30.48,29.96,30.02,21900.0
04/01/1998,16:00,30.02,30.07,30.02,30.02,3100.0
04/02/1998,16:00,30.07,30.07,29.91,29.91,41800.0
04/03/1998,16:00,29.96,30.02,29.91,30.02,13400.0
04/06/1998,16:00,30.02,30.07,29.84,29.91,9400.0
04/07/1998,16:00,29.91,29.91,28.97,28.97,13700.0
