Date,Time,Open,High,Low,Close,Vol
12/11/2009,16:00,9.75,10.34,9.49,10.29,11558200.0
12/14/2009,16:00,10.34,10.34,10.03,10.27,1239000.0
12/15/2009,16:00,10.27,10.30,10.09,10.09,927900.0
12/16/2009,16:00,10.18,10.67,10.15,10.52,883600.0
12/17/2009,16:00,10.32,11.28,10.27,11.12,479200.0
12/18/2009,16:00,11.00,11.51,10.90,11.39,425700.0
12/21/2009,16:00,11.48,11.55,11.12,11.51,325600.0
12/22/2009,16:00,11.55,11.55,11.14,11.21,89700.0
12/23/2009,16:00,11.34,11.34,11.10,11.16,142600.0
12/24/2009,16:00,11.23,11.52,11.12,11.45,53200.0
12/28/2009,16:00,11.51,11.51,11.15,11.31,82500.0
12/29/2009,16:00,11.28,11.72,11.26,11.57,450800.0
12/30/2009,16:00,11.55,11.91,11.49,11.73,260100.0
12/31/2009,16:00,11.67,11.91,11.55,11.80,224200.0
01/04/2010,16:00,11.79,11.98,11.74,11.95,273600.0
01/05/2010,16:00,11.96,12.19,11.88,11.99,268800.0
01/06/2010,16:00,11.99,12.15,11.72,11.98,256800.0
01/07/2010,16:00,12.09,12.09,11.91,11.99,584800.0
01/08/2010,16:00,11.93,12.53,11.79,12.40,389700.0
01/11/2010,16:00,12.45,12.72,12.30,12.55,200300.0
01/12/2010,16:00,12.58,12.69,12.28,12.46,194700.0
01/13/2010,16:00,12.56,12.56,12.17,12.48,102600.0
01/14/2010,16:00,12.62,12.64,12.41,12.49,71400.0
01/15/2010,16:00,12.38,12.49,12.22,12.45,117200.0
01/19/2010,16:00,12.49,12.58,12.17,12.42,255300.0
01/20/2010,16:00,13.05,13.06,12.60,12.78,532300.0
01/21/2010,16:00,12.94,13.00,12.32,12.39,156100.0
01/22/2010,16:00,12.43,12.45,12.15,12.26,119900.0
01/25/2010,16:00,12.30,12.57,12.07,12.40,209000.0
01/26/2010,16:00,12.38,12.44,12.16,12.40,136300.0
01/27/2010,16:00,12.40,12.40,11.84,12.10,173900.0
01/28/2010,16:00,12.18,12.18,11.89,11.91,194200.0
01/29/2010,16:00,12.04,12.06,11.78,11.87,157000.0
02/01/2010,16:00,11.88,12.57,11.88,12.32,509600.0
02/02/2010,16:00,12.40,12.68,12.25,12.28,190000.0
02/03/2010,16:00,12.17,12.26,11.98,12.19,117300.0
02/04/2010,16:00,12.11,12.22,11.94,11.94,148500.0
02/05/2010,16:00,12.00,12.22,11.88,12.15,163900.0
02/08/2010,16:00,12.11,12.31,12.11,12.18,805800.0
02/09/2010,16:00,12.26,12.45,12.14,12.28,517600.0
02/10/2010,16:00,12.21,12.36,12.19,12.29,30400.0
02/11/2010,16:00,12.37,12.40,12.27,12.39,45900.0
02/12/2010,16:00,12.31,12.77,12.28,12.64,70300.0
02/16/2010,16:00,12.69,12.82,11.90,11.92,2785100.0
02/17/2010,16:00,11.97,12.11,11.35,11.36,430900.0
02/18/2010,16:00,11.33,12.06,11.33,12.05,618900.0
02/19/2010,16:00,12.05,12.14,12.01,12.11,117700.0
02/22/2010,16:00,12.11,12.11,11.94,12.01,135100.0
02/23/2010,16:00,11.96,11.99,11.54,11.89,82300.0
02/24/2010,16:00,11.97,12.05,11.59,11.59,163900.0
02/25/2010,16:00,11.45,12.12,11.24,12.06,243000.0
02/26/2010,16:00,11.98,11.98,11.21,11.46,686000.0
03/01/2010,16:00,11.57,11.92,11.38,11.51,431500.0
03/02/2010,16:00,11.58,11.98,11.55,11.94,374700.0
03/03/2010,16:00,12.00,12.20,11.86,12.14,506700.0
03/04/2010,16:00,12.10,12.23,11.91,11.98,322600.0
03/05/2010,16:00,12.01,12.34,11.99,12.15,221700.0
03/08/2010,16:00,12.10,12.17,12.00,12.15,143400.0
03/09/2010,16:00,12.14,12.19,11.96,12.13,224300.0
03/10/2010,16:00,12.08,12.18,12.06,12.15,115300.0
03/11/2010,16:00,12.08,12.11,11.94,11.94,164000.0
03/12/2010,16:00,11.94,12.15,11.80,12.15,95100.0
03/15/2010,16:00,12.15,12.15,11.89,12.09,154400.0
03/16/2010,16:00,12.15,12.49,11.90,12.46,247500.0
03/17/2010,16:00,12.50,12.62,12.34,12.44,129700.0
03/18/2010,16:00,12.42,12.42,12.21,12.34,22600.0
03/19/2010,16:00,12.27,12.66,12.19,12.56,378700.0
