Date,Time,Open,High,Low,Close,Vol
10/16/2012,16:00,23.66,25.2,21.65,22.5,100200.0
10/17/2012,16:00,22.9,24.79,22.6,23.41,54100.0
10/18/2012,16:00,24.02,24.02,23.0,23.87,34700.0
10/19/2012,16:00,23.74,24.0,23.02,23.3,77600.0
10/22/2012,16:00,23.04,23.98,21.23,22.95,76000.0
10/23/2012,16:00,22.0,24.37,22.0,23.37,34800.0
10/24/2012,16:00,24.41,24.41,23.14,23.93,5000.0
10/25/2012,16:00,24.47,24.47,22.74,24.0,15600.0
10/26/2012,16:00,23.88,25.3,23.0,24.05,42800.0
10/31/2012,16:00,24.89,24.89,21.98,21.98,19800.0
11/01/2012,16:00,21.98,23.1,21.5,22.21,34100.0
11/02/2012,16:00,21.97,22.88,21.81,22.11,48100.0
11/05/2012,16:00,23.09,23.94,21.97,23.94,27600.0
11/06/2012,16:00,24.0,24.0,22.39,23.1,29200.0
11/07/2012,16:00,23.25,23.79,22.52,22.71,10200.0
11/08/2012,16:00,22.41,22.85,20.67,21.15,36900.0
11/09/2012,16:00,21.74,21.97,21.48,21.97,3600.0
11/12/2012,16:00,21.29,23.82,21.0,23.4,40100.0
11/13/2012,16:00,23.2,25.24,22.43,24.77,18700.0
11/14/2012,16:00,24.75,25.49,23.45,25.14,61100.0
11/15/2012,16:00,25.1,26.0,24.82,25.88,79900.0
11/16/2012,16:00,26.7,28.34,24.95,25.64,144000.0
11/19/2012,16:00,25.67,27.82,24.26,24.49,18800.0
11/20/2012,16:00,24.11,25.25,23.51,24.09,22200.0
11/21/2012,16:00,25.9,25.9,23.57,24.77,800.0
11/23/2012,16:00,24.06,24.98,24.0,24.01,23200.0
11/26/2012,16:00,24.71,25.45,23.78,23.78,8400.0
11/27/2012,16:00,23.95,25.27,23.75,24.14,4700.0
11/28/2012,16:00,24.13,24.43,23.57,23.73,19800.0
11/29/2012,16:00,23.92,24.07,23.56,23.70,5600.0
11/30/2012,16:00,23.55,24.47,23.55,24.47,25000.0
12/03/2012,16:00,24.76,25.46,23.81,24.37,42000.0
12/04/2012,16:00,24.53,26.8,24.04,25.85,23400.0
12/05/2012,16:00,25.89,26.41,25.13,26.41,11200.0
12/06/2012,16:00,26.3,26.6,25.31,25.5,11500.0
12/07/2012,16:00,25.5,26.5,24.94,25.5,6500.0
12/10/2012,16:00,25.6,25.6,25.5,25.5,2800.0
12/11/2012,16:00,25.5,25.88,25.0,25.88,4900.0
12/12/2012,16:00,25.72,26.33,24.51,25.15,23900.0
12/13/2012,16:00,25.72,25.72,24.83,25.06,25700.0
12/14/2012,16:00,25.13,25.88,24.94,25.88,21100.0
12/17/2012,16:00,25.51,25.91,25.26,25.37,11100.0
12/18/2012,16:00,25.55,26.27,25.5,25.77,40500.0
12/19/2012,16:00,26.3,26.48,25.53,26.13,75600.0
12/20/2012,16:00,26.49,26.88,25.59,26.39,45700.0
12/21/2012,16:00,26.16,26.45,25.56,26.21,620300.0
12/24/2012,16:00,26.27,27.3,25.75,26.92,22700.0
12/26/2012,16:00,27.44,27.7,26.37,27.24,13400.0
12/27/2012,16:00,27.17,28.58,26.21,27.2,48500.0
12/28/2012,16:00,27.31,28.0,27.02,27.91,26400.0
12/31/2012,16:00,28.01,31.93,28.01,30.34,80100.0
01/02/2013,16:00,31.0,31.37,27.3,29.41,119900.0
01/03/2013,16:00,28.82,29.69,28.11,28.78,26100.0
01/04/2013,16:00,28.95,28.95,27.7,28.05,49400.0
01/07/2013,16:00,27.95,28.14,27.76,27.9,15900.0
01/08/2013,16:00,27.81,28.14,26.01,27.16,36400.0
01/09/2013,16:00,27.11,28.44,26.62,28.23,15900.0
01/10/2013,16:00,28.05,30.0,27.97,30.0,67300.0
01/11/2013,16:00,30.06,31.49,29.54,30.83,40300.0
01/14/2013,16:00,30.65,30.66,28.87,28.9,38700.0
01/15/2013,16:00,30.0,31.3,28.58,29.52,71500.0
01/16/2013,16:00,29.36,29.58,29.16,29.49,5300.0
01/17/2013,16:00,29.44,30.4,29.01,29.44,16300.0
01/18/2013,16:00,29.28,29.28,28.46,29.15,14400.0
01/22/2013,16:00,29.4,29.4,28.05,28.91,11900.0
01/23/2013,16:00,28.8,28.8,26.84,27.4,70400.0
01/24/2013,16:00,27.62,27.94,27.02,27.53,56700.0
01/25/2013,16:00,27.5,27.78,27.17,27.5,7500.0
01/28/2013,16:00,27.62,27.98,27.27,27.62,42800.0
01/29/2013,16:00,27.69,28.39,27.29,27.5,7300.0
01/30/2013,16:00,27.6,28.22,27.27,27.44,19600.0
01/31/2013,16:00,27.56,28.0,27.0,27.97,81800.0
02/01/2013,16:00,28.06,28.46,27.66,28.05,45200.0
02/04/2013,16:00,28.18,28.18,26.74,26.93,23900.0
02/05/2013,16:00,27.09,27.17,26.17,26.29,16400.0
02/06/2013,16:00,26.42,26.5,26.02,26.11,65800.0
02/07/2013,16:00,25.58,26.13,25.01,25.76,31800.0
02/08/2013,16:00,25.81,26.03,25.26,25.56,12700.0
02/11/2013,16:00,25.84,25.9,25.0,25.0,5300.0
02/12/2013,16:00,25.0,25.37,24.91,24.97,24600.0
02/13/2013,16:00,24.92,24.92,24.55,24.67,9200.0
02/14/2013,16:00,24.75,25.0,24.62,24.78,35300.0
02/15/2013,16:00,25.08,25.28,24.6,25.22,16800.0
02/19/2013,16:00,25.23,26.58,25.23,26.57,7800.0
02/20/2013,16:00,26.59,26.62,25.13,25.13,28700.0
02/21/2013,16:00,25.28,26.05,25.2,25.24,10500.0
02/22/2013,16:00,25.53,26.23,25.53,26.23,2500.0
02/25/2013,16:00,26.3,26.3,25.37,25.37,16800.0
02/26/2013,16:00,25.78,26.3,25.19,25.85,16600.0
02/27/2013,16:00,25.91,26.29,25.71,26.08,25500.0
