Date,Time,Open,High,Low,Close,Vol
11/05/1987,16:00,5.36,5.41,5.36,5.36,87000.0
11/06/1987,16:00,5.36,5.47,5.36,5.47,114400.0
11/09/1987,16:00,5.44,5.47,5.41,5.44,13600.0
11/10/1987,16:00,5.39,5.47,5.33,5.41,48600.0
11/11/1987,16:00,5.41,5.71,5.41,5.52,45200.0
11/12/1987,16:00,5.50,5.74,5.50,5.52,59400.0
11/13/1987,16:00,5.50,5.63,5.50,5.50,25200.0
11/16/1987,16:00,5.50,5.50,5.47,5.47,31400.0
11/17/1987,16:00,5.41,5.41,5.22,5.22,25800.0
11/18/1987,16:00,5.28,5.39,5.28,5.39,8600.0
11/19/1987,16:00,5.44,5.52,5.44,5.47,52600.0
11/20/1987,16:00,5.52,5.52,5.36,5.39,23800.0
11/23/1987,16:00,5.44,5.44,5.30,5.36,30400.0
11/24/1987,16:00,5.30,5.58,5.30,5.41,16200.0
11/25/1987,16:00,5.36,5.41,5.36,5.41,5000.0
11/27/1987,16:00,5.36,5.36,5.36,5.36,400.0
11/30/1987,16:00,5.39,5.39,5.30,5.30,4800.0
12/01/1987,16:00,5.26,5.26,5.23,5.26,2600.0
12/02/1987,16:00,5.23,5.23,5.23,5.23,21000.0
12/03/1987,16:00,5.20,5.26,5.18,5.23,14600.0
12/04/1987,16:00,5.23,5.23,4.95,4.95,36800.0
12/07/1987,16:00,5.01,5.01,4.98,4.98,17600.0
12/08/1987,16:00,4.95,5.06,4.95,5.06,15800.0
12/09/1987,16:00,5.06,5.29,5.06,5.29,16400.0
12/10/1987,16:00,5.26,5.34,5.20,5.20,12800.0
12/11/1987,16:00,5.12,5.12,5.06,5.06,18800.0
12/14/1987,16:00,5.12,5.23,5.09,5.23,10800.0
12/15/1987,16:00,5.20,5.26,5.20,5.26,7400.0
12/16/1987,16:00,5.31,5.31,5.29,5.29,17800.0
12/17/1987,16:00,5.29,5.29,5.09,5.09,21200.0
12/18/1987,16:00,5.18,5.18,4.98,5.01,14000.0
12/21/1987,16:00,5.01,5.01,4.93,4.93,111200.0
12/22/1987,16:00,4.90,4.93,4.84,4.90,24200.0
12/23/1987,16:00,4.95,5.01,4.95,5.01,7600.0
12/24/1987,16:00,4.95,5.01,4.95,4.95,217200.0
12/28/1987,16:00,4.93,4.93,4.90,4.90,27200.0
12/29/1987,16:00,4.84,4.95,4.84,4.84,12400.0
12/30/1987,16:00,4.84,4.95,4.82,4.95,30600.0
12/31/1987,16:00,4.90,5.29,4.84,5.29,19800.0
01/04/1988,16:00,5.29,5.37,5.29,5.37,45200.0
01/05/1988,16:00,5.40,5.51,5.34,5.34,37000.0
01/06/1988,16:00,5.34,5.34,5.26,5.31,8200.0
01/07/1988,16:00,5.40,5.40,5.34,5.34,5200.0
01/08/1988,16:00,5.29,5.31,5.09,5.09,39200.0
01/11/1988,16:00,5.15,5.15,5.04,5.04,16200.0
01/12/1988,16:00,5.06,5.06,5.01,5.01,29200.0
01/13/1988,16:00,5.01,5.01,5.01,5.01,10000.0
01/14/1988,16:00,4.95,4.95,4.95,4.95,10600.0
01/15/1988,16:00,4.98,5.12,4.98,5.12,13000.0
01/18/1988,16:00,5.06,5.06,5.06,5.06,2800.0
01/19/1988,16:00,5.04,5.06,5.01,5.01,12400.0
01/20/1988,16:00,5.04,5.04,4.87,4.87,14800.0
01/21/1988,16:00,4.93,4.95,4.79,4.95,42800.0
01/22/1988,16:00,4.93,4.93,4.93,4.93,600.0
01/25/1988,16:00,4.95,5.06,4.95,5.01,9800.0
01/26/1988,16:00,5.06,5.06,5.01,5.01,15200.0
01/27/1988,16:00,5.04,5.06,4.95,5.04,141400.0
01/28/1988,16:00,5.04,5.09,5.04,5.09,34600.0
01/29/1988,16:00,5.06,5.12,5.06,5.09,33400.0
02/01/1988,16:00,5.15,5.20,5.04,5.12,19000.0
02/02/1988,16:00,5.18,5.18,5.12,5.12,217800.0
02/03/1988,16:00,5.18,5.23,5.15,5.20,38200.0
02/04/1988,16:00,5.15,5.15,5.06,5.06,28000.0
02/05/1988,16:00,5.12,5.23,5.12,5.20,29600.0
02/08/1988,16:00,5.26,5.26,5.23,5.26,3400.0
02/09/1988,16:00,5.20,5.20,5.12,5.12,25800.0
02/10/1988,16:00,5.18,5.23,5.18,5.23,4200.0
02/11/1988,16:00,5.26,5.26,5.26,5.26,2800.0
02/12/1988,16:00,5.23,5.31,5.20,5.29,84600.0
02/16/1988,16:00,5.23,5.26,5.20,5.26,8000.0
02/17/1988,16:00,5.26,5.26,5.26,5.26,11400.0
02/18/1988,16:00,5.26,5.26,5.20,5.20,13400.0
02/19/1988,16:00,5.18,5.23,5.18,5.20,8800.0
02/22/1988,16:00,5.26,5.29,5.26,5.29,28000.0
02/23/1988,16:00,5.29,5.40,5.29,5.31,13400.0
02/24/1988,16:00,5.38,5.46,5.38,5.46,9600.0
02/25/1988,16:00,5.43,5.49,5.43,5.43,5000.0
02/26/1988,16:00,5.43,5.51,5.40,5.46,16000.0
02/29/1988,16:00,5.51,5.60,5.49,5.60,21000.0
03/01/1988,16:00,5.54,5.54,5.49,5.51,138000.0
03/02/1988,16:00,5.49,5.54,5.49,5.54,19400.0
03/03/1988,16:00,5.51,5.60,5.51,5.57,4800.0
03/04/1988,16:00,5.57,5.60,5.51,5.60,28400.0
03/07/1988,16:00,5.54,5.63,5.54,5.63,56400.0
03/08/1988,16:00,5.71,5.74,5.68,5.74,17800.0
03/09/1988,16:00,5.68,5.74,5.68,5.74,24400.0
03/10/1988,16:00,5.76,5.79,5.74,5.76,55800.0
