Date,Time,Open,High,Low,Close,Vol
02/15/1996,16:00,13.0,13.25,12.0,12.75,1507100.0
02/16/1996,16:00,12.5,12.75,12.25,12.75,421000.0
02/20/1996,16:00,12.5,12.75,12.5,12.5,129200.0
02/21/1996,16:00,12.5,12.88,12.5,12.5,94000.0
02/22/1996,16:00,12.5,13.25,12.5,12.88,158200.0
02/23/1996,16:00,12.75,15.38,12.75,13.63,174700.0
02/26/1996,16:00,13.63,13.63,12.5,13.25,395300.0
02/27/1996,16:00,12.63,13.25,12.63,13.0,87900.0
02/28/1996,16:00,13.25,13.5,12.63,13.5,68400.0
02/29/1996,16:00,13.5,13.5,13.0,13.0,224600.0
03/01/1996,16:00,13.5,13.5,13.0,13.5,114200.0
03/04/1996,16:00,13.0,13.5,13.0,13.38,102500.0
03/05/1996,16:00,13.5,13.5,13.25,13.25,67400.0
03/06/1996,16:00,13.25,13.5,13.19,13.38,56000.0
03/07/1996,16:00,13.25,13.5,13.25,13.5,31700.0
03/08/1996,16:00,12.75,14.13,12.75,13.25,114000.0
03/11/1996,16:00,13.25,14.0,13.25,13.25,12200.0
03/12/1996,16:00,13.25,14.0,13.25,14.0,18200.0
03/13/1996,16:00,14.0,14.25,13.63,14.25,69400.0
03/14/1996,16:00,14.75,15.5,14.5,15.0,115000.0
03/15/1996,16:00,15.75,15.75,15.0,15.5,79900.0
03/18/1996,16:00,15.0,16.0,15.0,16.0,73300.0
03/19/1996,16:00,15.25,16.0,15.25,15.5,27200.0
03/20/1996,16:00,15.25,16.5,15.25,15.75,61300.0
03/21/1996,16:00,16.5,17.0,16.0,16.75,56900.0
03/22/1996,16:00,17.0,17.0,16.25,16.5,10000.0
03/25/1996,16:00,16.5,17.5,16.5,17.0,26700.0
03/26/1996,16:00,17.5,17.5,17.0,17.0,77700.0
03/27/1996,16:00,17.5,17.5,16.5,16.5,42500.0
03/28/1996,16:00,16.0,17.0,16.0,16.0,54700.0
03/29/1996,16:00,16.0,16.25,15.5,16.25,47800.0
04/01/1996,16:00,13.5,13.5,13.0,13.5,72800.0
04/02/1996,16:00,15.5,16.25,15.5,16.0,26700.0
04/03/1996,16:00,15.5,16.25,15.5,15.5,25200.0
04/04/1996,16:00,13.0,13.5,13.0,13.37,39600.0
04/08/1996,16:00,12.75,14.12,12.75,13.25,19100.0
04/09/1996,16:00,16.0,16.0,15.0,15.0,1400.0
04/10/1996,16:00,15.0,16.0,15.0,15.38,125400.0
04/11/1996,16:00,13.25,14.0,13.25,13.25,30100.0
04/12/1996,16:00,13.25,14.0,13.25,14.0,253100.0
04/15/1996,16:00,15.75,15.75,15.0,15.5,94100.0
04/16/1996,16:00,15.5,15.75,15.5,15.5,12300.0
