Date,Time,Open,High,Low,Close,Vol
11/18/2010,16:00,27.44,28.10,26.60,26.70,10095400.0
11/19/2010,16:00,26.41,27.27,26.37,27.07,753400.0
11/22/2010,16:00,26.94,26.98,26.61,26.74,379400.0
11/23/2010,16:00,26.58,27.40,26.16,27.20,288400.0
11/24/2010,16:00,27.32,27.41,26.79,27.35,66300.0
11/26/2010,16:00,26.68,27.35,26.67,27.32,123600.0
11/29/2010,16:00,27.51,27.92,27.29,27.87,336200.0
11/30/2010,16:00,27.71,28.47,27.55,28.15,662900.0
12/01/2010,16:00,27.85,29.43,27.69,29.07,359800.0
12/02/2010,16:00,28.83,29.16,28.42,28.82,241900.0
12/03/2010,16:00,28.55,29.09,28.54,28.82,140600.0
12/06/2010,16:00,28.65,29.68,28.65,29.38,556300.0
12/07/2010,16:00,29.10,30.58,29.09,29.68,324900.0
12/08/2010,16:00,29.85,29.90,29.55,29.67,151400.0
12/09/2010,16:00,30.02,30.02,29.12,29.72,150400.0
12/10/2010,16:00,28.97,29.72,28.73,28.94,290200.0
12/13/2010,16:00,29.48,29.48,27.87,28.04,407800.0
12/14/2010,16:00,27.98,28.63,26.94,27.94,334000.0
12/15/2010,16:00,28.02,28.07,27.23,27.66,229000.0
12/16/2010,16:00,28.08,28.23,27.43,27.71,183900.0
12/17/2010,16:00,27.98,28.74,27.63,27.63,1422700.0
12/20/2010,16:00,27.59,28.05,27.15,27.99,201100.0
12/21/2010,16:00,27.99,28.49,27.74,28.30,164300.0
12/22/2010,16:00,28.39,28.78,28.13,28.74,178200.0
12/23/2010,16:00,28.72,29.35,28.13,28.94,50100.0
12/27/2010,16:00,28.87,29.12,28.32,29.06,56800.0
12/28/2010,16:00,29.45,29.80,29.45,29.63,213800.0
12/29/2010,16:00,29.69,30.19,29.37,30.06,119200.0
12/30/2010,16:00,30.24,30.45,30.03,30.14,102500.0
12/31/2010,16:00,30.14,30.91,29.22,30.20,81000.0
01/03/2011,16:00,30.10,30.10,28.58,29.04,266500.0
01/04/2011,16:00,29.06,29.06,27.82,27.96,146200.0
01/05/2011,16:00,27.97,28.55,27.40,28.33,437300.0
01/06/2011,16:00,28.19,28.54,27.54,28.39,388100.0
01/07/2011,16:00,28.39,28.43,28.06,28.20,210900.0
01/10/2011,16:00,28.13,28.27,27.51,28.03,103200.0
01/11/2011,16:00,28.24,28.66,28.01,28.43,117000.0
01/12/2011,16:00,28.67,28.67,27.82,28.38,355200.0
01/13/2011,16:00,28.30,28.36,27.89,27.94,268600.0
01/14/2011,16:00,27.84,28.24,27.40,27.70,503100.0
01/18/2011,16:00,27.60,27.99,27.60,27.88,219800.0
01/19/2011,16:00,27.77,28.38,27.77,28.24,184600.0
01/20/2011,16:00,28.26,28.48,27.97,28.24,113400.0
01/21/2011,16:00,28.49,28.57,27.95,28.40,161400.0
01/24/2011,16:00,28.45,29.09,28.03,28.23,236900.0
01/25/2011,16:00,28.18,28.18,26.69,27.12,627100.0
01/26/2011,16:00,27.20,27.74,26.98,27.15,109400.0
01/27/2011,16:00,27.18,27.83,26.85,27.44,76600.0
01/28/2011,16:00,27.49,27.77,27.15,27.47,181500.0
01/31/2011,16:00,27.56,28.61,27.56,28.45,135900.0
02/01/2011,16:00,28.63,28.86,28.24,28.67,220900.0
02/02/2011,16:00,28.57,28.74,28.28,28.37,203000.0
02/03/2011,16:00,28.40,28.48,27.71,28.25,141700.0
02/04/2011,16:00,28.23,28.43,27.92,28.15,162500.0
02/07/2011,16:00,28.28,28.28,27.90,28.03,132300.0
02/08/2011,16:00,28.59,28.64,27.88,28.10,221100.0
02/09/2011,16:00,28.10,28.18,27.36,27.40,218900.0
02/10/2011,16:00,27.40,27.73,26.75,27.45,269800.0
02/11/2011,16:00,27.54,27.81,26.83,27.36,221600.0
02/14/2011,16:00,27.41,27.59,26.93,27.44,180600.0
02/15/2011,16:00,27.40,27.69,27.20,27.39,90500.0
02/16/2011,16:00,27.47,28.22,27.16,27.44,588200.0
02/17/2011,16:00,27.47,27.53,27.20,27.27,73600.0
02/18/2011,16:00,27.29,27.59,27.03,27.33,151200.0
02/22/2011,16:00,27.15,27.39,26.62,26.81,209500.0
02/23/2011,16:00,27.33,27.33,26.33,26.70,93200.0
02/24/2011,16:00,26.72,27.15,26.66,26.96,242700.0
02/25/2011,16:00,27.12,27.30,26.86,27.22,159100.0
02/28/2011,16:00,27.31,27.99,27.13,27.91,146500.0
03/01/2011,16:00,27.99,28.22,27.49,28.02,129800.0
03/02/2011,16:00,28.05,28.14,26.77,27.06,186300.0
03/03/2011,16:00,27.29,27.29,26.69,26.85,115500.0
03/04/2011,16:00,26.77,26.88,26.61,26.85,145700.0
03/07/2011,16:00,26.98,26.98,26.76,26.86,95100.0
03/08/2011,16:00,27.00,27.31,26.81,27.21,272600.0
03/09/2011,16:00,27.14,27.74,27.14,27.68,206400.0
03/10/2011,16:00,27.47,27.55,27.19,27.44,181600.0
03/11/2011,16:00,27.61,27.70,27.29,27.65,108400.0
03/14/2011,16:00,27.55,27.88,27.30,27.79,95800.0
