Date,Time,Open,High,Low,Close,Vol
01/04/1982,16:00,3.20,3.22,3.18,3.20,45201.0
01/05/1982,16:00,3.20,3.20,3.18,3.20,55800.0
01/06/1982,16:00,3.20,3.22,3.16,3.18,88401.0
01/07/1982,16:00,3.22,3.24,3.17,3.22,72600.0
01/08/1982,16:00,3.18,3.22,3.12,3.14,280800.0
01/11/1982,16:00,3.10,3.14,3.04,3.08,106401.0
01/12/1982,16:00,2.97,3.03,2.91,2.95,99600.0
01/13/1982,16:00,2.87,2.93,2.78,2.82,113400.0
01/14/1982,16:00,2.89,2.93,2.83,2.89,82200.0
01/15/1982,16:00,2.93,2.95,2.91,2.93,198801.0
01/18/1982,16:00,2.91,2.93,2.87,2.93,100800.0
01/19/1982,16:00,2.93,2.93,2.91,2.93,215001.0
01/20/1982,16:00,2.93,2.93,2.91,2.93,56400.0
01/21/1982,16:00,2.93,2.93,2.91,2.93,192201.0
01/22/1982,16:00,2.91,2.93,2.89,2.91,252801.0
01/25/1982,16:00,2.89,2.91,2.87,2.91,50400.0
01/26/1982,16:00,2.89,2.91,2.85,2.87,203400.0
01/27/1982,16:00,2.83,2.87,2.79,2.79,123600.0
01/28/1982,16:00,2.83,2.89,2.77,2.89,168000.0
01/29/1982,16:00,2.95,3.01,2.87,3.01,126000.0
02/01/1982,16:00,3.01,3.07,2.95,2.99,66201.0
02/02/1982,16:00,3.08,3.18,2.98,3.12,66600.0
02/03/1982,16:00,3.07,3.11,3.03,3.03,76800.0
02/04/1982,16:00,3.06,3.08,3.04,3.06,273000.0
02/05/1982,16:00,3.08,3.10,3.06,3.08,145401.0
02/08/1982,16:00,3.03,3.07,2.97,2.99,77400.0
02/09/1982,16:00,2.99,3.03,2.95,2.95,69801.0
02/10/1982,16:00,2.92,2.94,2.88,2.92,36000.0
02/11/1982,16:00,2.94,2.96,2.92,2.96,54600.0
02/12/1982,16:00,2.94,2.96,2.92,2.92,40800.0
02/16/1982,16:00,2.92,2.94,2.88,2.92,58200.0
02/17/1982,16:00,2.90,2.92,2.86,2.92,107601.0
02/18/1982,16:00,2.90,2.92,2.88,2.92,33000.0
02/19/1982,16:00,2.90,2.90,2.88,2.88,30000.0
02/22/1982,16:00,2.91,2.95,2.86,2.86,139401.0
02/23/1982,16:00,2.86,2.89,2.82,2.86,109401.0
02/24/1982,16:00,2.88,2.90,2.84,2.90,36801.0
02/25/1982,16:00,2.96,3.03,2.88,2.92,70200.0
02/26/1982,16:00,2.92,2.94,2.88,2.88,39201.0
03/01/1982,16:00,2.94,2.96,2.90,2.92,60600.0
03/02/1982,16:00,3.01,3.07,2.92,3.05,76401.0
03/03/1982,16:00,3.01,3.03,2.97,3.03,131400.0
03/04/1982,16:00,2.99,3.01,2.95,3.01,152601.0
03/05/1982,16:00,3.03,3.05,2.99,3.03,174000.0
03/08/1982,16:00,3.07,3.09,3.03,3.05,34401.0
03/09/1982,16:00,2.98,3.03,2.94,2.94,95601.0
03/10/1982,16:00,2.96,2.96,2.94,2.94,39201.0
03/11/1982,16:00,2.98,2.98,2.96,2.98,41001.0
03/12/1982,16:00,2.96,2.98,2.94,2.94,33600.0
03/15/1982,16:00,2.86,2.92,2.80,2.80,63801.0
03/16/1982,16:00,2.84,2.86,2.80,2.80,94401.0
03/17/1982,16:00,2.76,2.82,2.68,2.68,52200.0
03/18/1982,16:00,2.72,2.76,2.67,2.74,89400.0
03/19/1982,16:00,2.77,2.81,2.71,2.81,124401.0
03/22/1982,16:00,2.81,2.83,2.77,2.81,54600.0
03/23/1982,16:00,2.80,2.81,2.77,2.81,57201.0
03/24/1982,16:00,2.78,2.82,2.74,2.74,95400.0
03/25/1982,16:00,2.78,2.80,2.73,2.78,21801.0
03/26/1982,16:00,2.75,2.80,2.71,2.80,33201.0
03/29/1982,16:00,2.73,2.78,2.69,2.76,58800.0
03/30/1982,16:00,2.78,2.80,2.73,2.76,38400.0
03/31/1982,16:00,2.80,2.84,2.76,2.78,57600.0
04/01/1982,16:00,2.95,3.07,2.82,3.05,124800.0
04/02/1982,16:00,2.96,3.09,2.84,2.96,127401.0
04/05/1982,16:00,2.96,2.98,2.92,2.96,71400.0
04/06/1982,16:00,2.92,2.96,2.86,2.94,76800.0
04/07/1982,16:00,2.94,2.96,2.90,2.92,31800.0
04/08/1982,16:00,2.90,2.94,2.86,2.92,32001.0
04/12/1982,16:00,2.94,3.01,2.88,2.92,49800.0
04/13/1982,16:00,2.98,3.00,2.94,2.96,33600.0
04/14/1982,16:00,2.87,2.89,2.84,2.84,40800.0
04/15/1982,16:00,2.84,2.86,2.82,2.86,21000.0
04/16/1982,16:00,2.90,2.96,2.84,2.92,99600.0
04/19/1982,16:00,2.96,3.00,2.90,2.96,53001.0
04/20/1982,16:00,3.05,3.13,2.96,3.07,100401.0
04/21/1982,16:00,3.07,3.11,3.03,3.07,39000.0
04/22/1982,16:00,3.09,3.16,3.01,3.03,359001.0
04/23/1982,16:00,3.15,3.26,3.03,3.26,657000.0
04/26/1982,16:00,3.32,3.38,3.26,3.36,168201.0
04/27/1982,16:00,3.34,3.37,3.30,3.34,156000.0
04/28/1982,16:00,3.31,3.31,3.29,3.29,114201.0
04/29/1982,16:00,3.24,3.28,3.20,3.22,160800.0
04/30/1982,16:00,3.22,3.26,3.18,3.20,82200.0
05/03/1982,16:00,3.14,3.20,3.07,3.18,105801.0
05/04/1982,16:00,3.28,3.32,3.21,3.28,162600.0
05/05/1982,16:00,3.28,3.30,3.23,3.26,69000.0
05/06/1982,16:00,3.23,3.29,3.17,3.29,173601.0
05/07/1982,16:00,3.29,3.31,3.25,3.31,37401.0
05/10/1982,16:00,3.30,3.32,3.26,3.26,159201.0
05/11/1982,16:00,3.27,3.31,3.21,3.29,97401.0
05/12/1982,16:00,3.29,3.31,3.25,3.31,69801.0
05/13/1982,16:00,3.30,3.34,3.26,3.26,116001.0
05/14/1982,16:00,3.23,3.28,3.19,3.26,119601.0
05/17/1982,16:00,3.23,3.29,3.15,3.15,82200.0
05/18/1982,16:00,3.13,3.15,3.09,3.11,61800.0
05/19/1982,16:00,3.09,3.11,3.07,3.07,31401.0
05/20/1982,16:00,3.05,3.09,3.01,3.01,58800.0
05/21/1982,16:00,3.02,3.06,2.98,3.02,476001.0
05/24/1982,16:00,3.08,3.12,3.04,3.04,58800.0
05/25/1982,16:00,2.93,2.95,2.91,2.95,89001.0
05/26/1982,16:00,2.92,2.94,2.87,2.89,50400.0
05/27/1982,16:00,2.81,2.87,2.73,2.75,193200.0
05/28/1982,16:00,2.79,2.83,2.73,2.83,80001.0
06/01/1982,16:00,2.77,2.81,2.73,2.73,57600.0
06/02/1982,16:00,2.73,2.75,2.69,2.69,185001.0
06/03/1982,16:00,2.68,2.70,2.66,2.66,63000.0
06/04/1982,16:00,2.60,2.69,2.52,2.56,110601.0
06/07/1982,16:00,2.49,2.51,2.47,2.51,155001.0
06/08/1982,16:00,2.48,2.56,2.39,2.39,171201.0
06/09/1982,16:00,2.39,2.44,2.33,2.39,190800.0
06/10/1982,16:00,2.47,2.54,2.41,2.45,404400.0
06/11/1982,16:00,2.67,2.77,2.56,2.71,239400.0
06/14/1982,16:00,2.69,2.71,2.65,2.69,103800.0
06/15/1982,16:00,2.66,2.68,2.64,2.66,124401.0
06/16/1982,16:00,2.64,2.66,2.62,2.64,84600.0
06/17/1982,16:00,2.64,2.66,2.62,2.62,59601.0
06/18/1982,16:00,2.62,2.64,2.58,2.58,93201.0
06/21/1982,16:00,2.58,2.64,2.52,2.56,138000.0
06/22/1982,16:00,2.54,2.56,2.52,2.56,45000.0
06/23/1982,16:00,2.60,2.64,2.56,2.62,61800.0
06/24/1982,16:00,2.68,2.72,2.64,2.66,70401.0
06/25/1982,16:00,2.69,2.71,2.65,2.69,57000.0
06/28/1982,16:00,2.70,2.73,2.66,2.73,89001.0
06/29/1982,16:00,2.75,2.77,2.73,2.75,65400.0
06/30/1982,16:00,2.81,2.87,2.75,2.85,53400.0
07/01/1982,16:00,2.85,2.90,2.81,2.83,38400.0
07/02/1982,16:00,2.83,2.85,2.81,2.85,34800.0
07/06/1982,16:00,2.85,2.85,2.83,2.83,45801.0
07/07/1982,16:00,2.85,2.87,2.83,2.85,150000.0
07/08/1982,16:00,2.81,2.85,2.74,2.81,57000.0
07/09/1982,16:00,2.83,2.85,2.79,2.81,42201.0
07/12/1982,16:00,2.85,2.87,2.81,2.83,28800.0
07/13/1982,16:00,2.81,2.83,2.79,2.79,18000.0
07/14/1982,16:00,2.79,2.81,2.77,2.77,60201.0
07/15/1982,16:00,2.77,2.79,2.73,2.73,45801.0
07/16/1982,16:00,2.79,2.83,2.72,2.81,84600.0
07/19/1982,16:00,2.83,2.85,2.81,2.81,125601.0
07/20/1982,16:00,2.79,2.83,2.72,2.81,145800.0
07/21/1982,16:00,2.85,2.89,2.81,2.81,71601.0
07/22/1982,16:00,2.92,3.00,2.81,3.00,58401.0
