Date,Time,Open,High,Low,Close,Vol
08/25/1992,16:00,1.71,1.71,1.71,1.71,40700.0
08/26/1992,16:00,1.71,1.71,1.71,1.71,800.0
08/27/1992,16:00,1.71,1.73,1.71,1.73,19000.0
08/28/1992,16:00,1.71,1.73,1.71,1.73,9900.0
08/31/1992,16:00,1.71,1.73,1.71,1.73,9700.0
09/01/1992,16:00,1.73,1.73,1.71,1.73,11000.0
09/02/1992,16:00,1.71,1.73,1.71,1.73,40500.0
09/03/1992,16:00,1.73,1.73,1.73,1.73,11600.0
09/04/1992,16:00,1.71,1.73,1.71,1.73,2400.0
09/08/1992,16:00,1.73,1.73,1.73,1.73,5500.0
09/09/1992,16:00,1.73,1.73,1.73,1.73,4200.0
09/10/1992,16:00,1.73,1.73,1.73,1.73,4900.0
09/11/1992,16:00,1.73,1.73,1.71,1.71,15100.0
09/14/1992,16:00,1.73,1.73,1.71,1.73,7100.0
09/15/1992,16:00,1.73,1.77,1.73,1.75,28700.0
09/16/1992,16:00,1.75,1.77,1.75,1.75,18500.0
09/17/1992,16:00,1.75,1.75,1.75,1.75,2900.0
09/18/1992,16:00,1.77,1.77,1.73,1.77,19500.0
09/21/1992,16:00,1.77,1.77,1.75,1.77,5300.0
09/22/1992,16:00,1.77,1.77,1.75,1.77,56600.0
09/23/1992,16:00,3.31,3.31,1.75,1.77,15400.0
09/24/1992,16:00,1.77,1.77,1.75,1.77,7900.0
09/25/1992,16:00,1.77,1.77,1.75,1.77,4600.0
09/28/1992,16:00,1.77,1.77,1.77,1.77,0.0
09/29/1992,16:00,1.75,1.75,1.75,1.75,1700.0
09/30/1992,16:00,1.75,1.75,1.73,1.75,18500.0
10/01/1992,16:00,1.75,1.77,1.66,1.73,46900.0
10/02/1992,16:00,1.72,1.74,1.72,1.74,21400.0
10/05/1992,16:00,1.70,1.70,1.70,1.70,2700.0
10/06/1992,16:00,1.70,1.77,1.70,1.74,18400.0
10/07/1992,16:00,1.77,1.77,1.74,1.74,16200.0
10/08/1992,16:00,1.77,1.77,1.77,1.77,7400.0
10/09/1992,16:00,1.77,1.77,1.77,1.77,1100.0
10/12/1992,16:00,1.77,1.79,1.77,1.77,8800.0
10/13/1992,16:00,1.77,1.77,1.77,1.77,9300.0
10/14/1992,16:00,1.77,1.77,1.74,1.74,7700.0
10/15/1992,16:00,1.77,1.77,1.77,1.77,4400.0
10/16/1992,16:00,1.77,1.77,1.77,1.77,600.0
10/19/1992,16:00,1.77,1.77,1.77,1.77,10800.0
10/20/1992,16:00,1.74,1.79,1.74,1.74,6100.0
10/21/1992,16:00,1.77,1.77,1.77,1.77,4700.0
10/22/1992,16:00,1.77,1.79,1.77,1.79,5900.0
10/23/1992,16:00,1.77,1.77,1.77,1.77,35200.0
10/26/1992,16:00,1.74,1.77,1.74,1.77,7300.0
10/27/1992,16:00,1.77,1.77,1.72,1.72,27000.0
10/28/1992,16:00,1.74,1.77,1.74,1.77,7800.0
10/29/1992,16:00,1.77,1.77,1.77,1.77,2400.0
10/30/1992,16:00,1.74,1.77,1.74,1.77,5100.0
11/02/1992,16:00,1.74,1.77,1.74,1.77,2700.0
11/03/1992,16:00,1.74,1.77,1.74,1.77,11500.0
11/04/1992,16:00,1.74,1.74,1.74,1.74,4500.0
11/05/1992,16:00,1.77,1.77,1.77,1.77,1800.0
11/06/1992,16:00,1.77,1.77,1.77,1.77,3000.0
11/09/1992,16:00,1.77,1.77,1.77,1.77,7800.0
11/10/1992,16:00,1.74,1.74,1.72,1.72,5600.0
11/11/1992,16:00,1.77,1.77,1.72,1.74,18100.0
11/12/1992,16:00,1.74,1.77,1.72,1.74,8200.0
11/13/1992,16:00,1.74,1.74,1.72,1.72,3400.0
11/16/1992,16:00,1.74,1.77,1.74,1.74,4600.0
11/17/1992,16:00,1.72,1.74,1.72,1.74,2800.0
11/18/1992,16:00,1.74,1.77,1.74,1.77,2800.0
11/19/1992,16:00,1.77,1.77,1.77,1.77,11800.0
11/20/1992,16:00,1.74,1.77,1.74,1.77,8200.0
11/23/1992,16:00,1.74,1.77,1.74,1.77,700.0
11/24/1992,16:00,1.77,1.77,1.74,1.74,2400.0
11/25/1992,16:00,1.77,1.77,1.74,1.74,1900.0
11/27/1992,16:00,1.74,1.74,1.74,1.74,0.0
11/30/1992,16:00,1.72,1.72,1.72,1.72,8200.0
12/01/1992,16:00,1.74,1.74,1.74,1.74,1600.0
12/02/1992,16:00,1.74,1.74,1.72,1.72,2400.0
12/03/1992,16:00,1.72,1.74,1.72,1.72,21300.0
12/04/1992,16:00,1.74,1.74,1.72,1.72,2700.0
12/07/1992,16:00,1.74,1.74,1.72,1.74,3000.0
12/08/1992,16:00,1.72,1.77,1.72,1.74,15900.0
12/09/1992,16:00,1.77,1.81,1.77,1.81,18800.0
12/10/1992,16:00,1.81,1.81,1.77,1.79,64500.0
12/11/1992,16:00,1.81,1.83,1.81,1.83,7700.0
12/14/1992,16:00,1.81,1.81,1.79,1.81,3500.0
12/15/1992,16:00,1.77,1.79,1.74,1.74,27800.0
12/16/1992,16:00,1.77,1.79,1.77,1.79,3500.0
12/17/1992,16:00,1.79,1.79,1.74,1.77,43500.0
12/18/1992,16:00,1.77,1.77,1.77,1.77,63400.0
12/21/1992,16:00,1.74,1.77,1.74,1.74,12100.0
12/22/1992,16:00,1.74,1.74,1.72,1.72,18200.0
12/23/1992,16:00,1.74,1.77,1.72,1.74,12600.0
12/24/1992,16:00,1.77,1.77,1.74,1.77,7000.0
12/28/1992,16:00,1.79,1.79,1.77,1.77,10800.0
12/29/1992,16:00,1.74,1.79,1.74,1.79,132100.0
12/30/1992,16:00,1.77,1.79,1.77,1.77,20900.0
12/31/1992,16:00,1.77,1.77,1.77,1.77,57900.0
01/04/1993,16:00,1.77,1.77,1.74,1.77,15800.0
01/05/1993,16:00,1.77,1.77,1.77,1.77,12600.0
01/06/1993,16:00,1.74,1.74,1.72,1.74,87200.0
01/07/1993,16:00,1.77,1.77,1.74,1.77,695700.0
01/08/1993,16:00,1.79,1.83,1.79,1.83,33200.0
01/11/1993,16:00,1.85,1.90,1.85,1.90,2900.0
