Date,Time,Open,High,Low,Close,Vol
06/30/2000,16:00,12.40,13.24,11.39,12.79,3518000.0
07/03/2000,16:00,12.89,12.89,12.04,12.34,778800.0
07/05/2000,16:00,12.18,12.34,11.22,11.57,2986000.0
07/06/2000,16:00,11.59,11.67,9.48,10.21,3596000.0
07/07/2000,16:00,10.24,10.86,9.65,10.75,1938800.0
07/10/2000,16:00,10.66,12.25,10.21,11.19,2824400.0
07/11/2000,16:00,11.00,12.12,10.41,10.86,2786800.0
07/12/2000,16:00,11.23,13.12,10.88,13.05,4570400.0
07/13/2000,16:00,13.41,14.31,12.13,13.55,5894400.0
07/14/2000,16:00,13.58,13.58,12.23,12.40,1805200.0
07/17/2000,16:00,12.51,13.61,11.67,13.28,1578000.0
07/18/2000,16:00,13.02,14.52,12.62,14.08,2166000.0
07/19/2000,16:00,14.20,15.26,13.64,14.84,3068800.0
07/20/2000,16:00,15.16,15.82,14.76,15.35,1586400.0
07/21/2000,16:00,15.26,15.59,13.80,13.82,1402000.0
07/24/2000,16:00,14.83,14.83,12.34,12.34,3320800.0
07/25/2000,16:00,12.68,13.05,11.84,12.71,1588400.0
07/26/2000,16:00,12.74,12.74,11.39,11.83,1924400.0
07/27/2000,16:00,11.73,11.73,10.44,10.84,2432000.0
07/28/2000,16:00,11.08,11.11,10.10,11.11,1814000.0
07/31/2000,16:00,11.18,11.25,10.21,10.25,1662000.0
08/01/2000,16:00,10.44,10.55,9.65,9.69,894400.0
08/02/2000,16:00,9.68,10.44,9.34,10.32,1896800.0
08/03/2000,16:00,10.10,12.04,9.94,12.04,1499200.0
08/04/2000,16:00,11.77,12.96,11.77,12.96,1474800.0
08/07/2000,16:00,13.20,13.24,11.96,12.34,492400.0
08/08/2000,16:00,12.40,12.77,12.12,12.12,323600.0
08/09/2000,16:00,12.36,12.57,11.67,11.81,369200.0
08/10/2000,16:00,11.96,11.96,11.22,11.67,300400.0
08/11/2000,16:00,11.67,11.84,11.12,11.64,134000.0
08/14/2000,16:00,11.50,11.67,11.11,11.19,593200.0
08/15/2000,16:00,11.17,11.53,11.00,11.45,204000.0
08/16/2000,16:00,11.49,12.37,11.45,12.34,740800.0
08/17/2000,16:00,12.34,12.40,11.50,11.87,575200.0
08/18/2000,16:00,11.87,12.12,11.45,11.72,198800.0
08/21/2000,16:00,11.73,12.46,11.50,12.34,263200.0
08/22/2000,16:00,12.12,12.99,12.12,12.54,379600.0
08/23/2000,16:00,12.54,12.58,11.84,12.01,454400.0
08/24/2000,16:00,11.96,12.57,11.89,12.37,1924000.0
08/25/2000,16:00,12.51,12.84,11.92,12.43,1748000.0
08/28/2000,16:00,12.71,13.13,12.46,13.13,1642800.0
08/29/2000,16:00,13.02,15.59,12.99,15.24,3262000.0
08/30/2000,16:00,14.83,16.76,14.81,15.77,1767200.0
08/31/2000,16:00,15.74,16.60,15.66,16.02,850800.0
