Date,Time,Open,High,Low,Close,Vol
11/15/2007,16:00,22.12,27.36,21.22,25.10,11770500.0
11/16/2007,16:00,24.33,24.99,22.60,24.01,1242900.0
11/19/2007,16:00,23.65,24.77,23.59,24.77,469500.0
11/20/2007,16:00,25.01,28.09,24.29,26.28,522200.0
11/21/2007,16:00,25.64,26.09,24.95,25.63,167500.0
11/23/2007,16:00,26.63,27.25,25.79,26.35,100700.0
11/26/2007,16:00,26.78,28.36,26.48,26.74,438300.0
11/27/2007,16:00,27.24,27.65,25.28,25.95,305800.0
11/28/2007,16:00,26.11,26.56,25.66,26.26,273600.0
11/29/2007,16:00,25.84,26.92,25.58,26.26,110600.0
11/30/2007,16:00,26.59,27.60,26.06,26.59,524000.0
12/03/2007,16:00,26.59,27.12,26.35,26.90,83600.0
12/04/2007,16:00,26.20,28.61,26.20,28.23,387400.0
12/05/2007,16:00,31.43,31.43,27.79,28.16,207200.0
12/06/2007,16:00,27.89,28.30,27.35,27.81,97700.0
12/07/2007,16:00,27.81,27.99,27.41,27.78,82500.0
12/10/2007,16:00,27.50,28.81,27.50,27.89,177900.0
12/11/2007,16:00,27.65,28.28,27.17,27.89,236200.0
12/12/2007,16:00,27.87,28.24,27.22,27.39,64700.0
12/13/2007,16:00,26.86,27.89,26.86,27.83,78000.0
12/14/2007,16:00,27.63,27.83,27.25,27.62,118200.0
12/17/2007,16:00,26.87,27.95,26.61,26.91,128600.0
12/18/2007,16:00,27.02,27.70,26.93,27.41,132400.0
12/19/2007,16:00,27.88,28.23,27.47,27.84,197600.0
12/20/2007,16:00,27.87,27.90,27.79,27.79,197800.0
12/21/2007,16:00,28.35,33.02,28.28,32.43,498600.0
12/24/2007,16:00,31.89,33.09,31.31,32.62,142000.0
12/26/2007,16:00,33.68,34.63,32.51,33.04,228300.0
12/27/2007,16:00,32.70,35.77,32.51,35.15,194600.0
12/28/2007,16:00,35.71,36.81,34.63,35.90,165900.0
12/31/2007,16:00,35.97,36.93,34.63,36.93,136200.0
01/02/2008,16:00,35.52,36.50,31.85,32.56,442900.0
01/03/2008,16:00,32.56,32.56,29.39,29.61,395900.0
