Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,3.86,3.90,3.81,3.90,3175.03125
03/27/1990,16:00,3.95,3.95,3.86,3.95,11799.84375
03/28/1990,16:00,3.86,3.95,3.86,3.90,40500.0
03/29/1990,16:00,3.95,3.95,3.93,3.95,1825.03125
03/30/1990,16:00,3.95,3.95,3.86,3.88,8424.84375
04/02/1990,16:00,3.90,3.95,3.86,3.95,6225.1875
04/03/1990,16:00,3.90,3.99,3.90,3.99,6300.28125
04/04/1990,16:00,3.95,3.99,3.90,3.90,8575.03125
04/05/1990,16:00,3.95,3.95,3.90,3.90,3250.125
04/06/1990,16:00,3.90,3.90,3.72,3.72,19450.125
04/09/1990,16:00,3.68,3.77,3.68,3.68,8125.3125
04/10/1990,16:00,3.68,3.68,3.54,3.58,21924.84375
04/11/1990,16:00,3.58,3.58,3.54,3.58,3024.84375
04/12/1990,16:00,3.54,3.72,3.54,3.63,9824.625
04/16/1990,16:00,3.72,3.72,3.63,3.63,2050.3125
04/17/1990,16:00,3.63,3.72,3.63,3.72,7225.03125
04/18/1990,16:00,3.77,3.77,3.68,3.68,1900.125
04/19/1990,16:00,3.68,3.72,3.63,3.68,1575.28125
04/20/1990,16:00,3.72,3.72,3.63,3.72,1500.1875
04/23/1990,16:00,3.72,3.72,3.63,3.68,3024.84375
04/24/1990,16:00,3.68,3.68,3.63,3.63,1575.28125
04/25/1990,16:00,3.68,3.72,3.63,3.63,9149.625
04/26/1990,16:00,3.63,3.63,3.58,3.58,7749.84375
04/27/1990,16:00,3.61,3.63,3.58,3.63,15550.3125
04/30/1990,16:00,3.68,3.68,3.63,3.63,18225.0
05/01/1990,16:00,3.63,3.72,3.63,3.68,16225.3125
05/02/1990,16:00,3.77,3.77,3.68,3.68,8474.625
05/03/1990,16:00,3.68,3.77,3.68,3.77,1900.125
05/04/1990,16:00,3.77,3.77,3.68,3.68,2175.1875
05/07/1990,16:00,3.68,3.77,3.68,3.68,4424.625
05/08/1990,16:00,3.77,3.84,3.74,3.84,12300.1875
05/09/1990,16:00,3.81,3.86,3.77,3.86,6900.1875
05/10/1990,16:00,3.77,3.88,3.77,3.88,9000.28125
05/11/1990,16:00,3.81,3.90,3.81,3.81,3375.0
05/14/1990,16:00,3.90,3.99,3.86,3.90,22750.03125
05/15/1990,16:00,3.90,4.02,3.90,3.97,47925.0
05/16/1990,16:00,3.95,3.99,3.95,3.95,2399.625
05/17/1990,16:00,3.95,3.99,3.95,3.99,10675.125
05/18/1990,16:00,3.95,3.99,3.90,3.90,43750.125
05/21/1990,16:00,3.90,3.95,3.90,3.90,3024.84375
05/22/1990,16:00,3.99,3.99,3.90,3.95,36149.625
05/23/1990,16:00,3.99,3.99,3.95,3.95,4075.3125
05/24/1990,16:00,3.95,3.99,3.95,3.97,15525.0
05/25/1990,16:00,3.95,3.99,3.88,3.90,19575.0
05/29/1990,16:00,3.86,3.90,3.76,3.83,10800.0
05/30/1990,16:00,3.83,3.86,3.76,3.86,3250.125
05/31/1990,16:00,3.76,3.86,3.76,3.86,324.84375
06/01/1990,16:00,3.76,3.79,3.76,3.79,324.84375
06/04/1990,16:00,3.79,3.86,3.76,3.76,6100.3125
06/05/1990,16:00,3.76,3.86,3.76,3.86,11625.1875
06/06/1990,16:00,3.81,3.86,3.81,3.81,11799.84375
06/07/1990,16:00,3.81,3.86,3.81,3.86,324.84375
06/08/1990,16:00,3.86,4.09,3.86,4.04,58075.3125
06/11/1990,16:00,4.04,4.04,3.99,4.04,33100.3125
06/12/1990,16:00,4.04,4.09,4.04,4.04,23274.84375
06/13/1990,16:00,4.04,4.09,4.02,4.02,19224.84375
06/14/1990,16:00,4.02,4.09,4.02,4.04,13375.125
06/15/1990,16:00,4.02,4.09,4.02,4.04,114900.1875
06/18/1990,16:00,4.02,4.02,4.02,4.02,8424.84375
06/19/1990,16:00,4.02,4.04,3.95,3.95,5875.03125
06/20/1990,16:00,3.95,3.95,3.81,3.81,15224.625
06/21/1990,16:00,3.90,3.90,3.76,3.76,12474.84375
06/22/1990,16:00,3.86,3.86,3.81,3.81,65849.625
06/25/1990,16:00,3.76,3.81,3.76,3.79,3175.03125
06/26/1990,16:00,3.76,3.81,3.76,3.76,2925.28125
06/27/1990,16:00,3.76,3.76,3.67,3.67,11174.625
06/28/1990,16:00,3.67,3.72,3.67,3.67,26200.125
06/29/1990,16:00,3.67,3.72,3.67,3.67,30375.0
07/02/1990,16:00,3.67,3.72,3.67,3.72,26475.1875
07/03/1990,16:00,3.72,3.72,3.67,3.70,35650.125
07/05/1990,16:00,3.70,3.72,3.67,3.72,3074.625
07/06/1990,16:00,3.67,3.72,3.67,3.72,6225.1875
07/09/1990,16:00,3.81,3.81,3.72,3.81,2349.84375
07/10/1990,16:00,3.76,3.76,3.74,3.74,2500.03125
07/11/1990,16:00,3.74,3.79,3.74,3.74,1724.625
07/12/1990,16:00,3.79,3.81,3.74,3.81,1674.84375
07/13/1990,16:00,3.81,3.86,3.76,3.86,11350.125
07/16/1990,16:00,3.86,3.95,3.86,3.95,7900.03125
07/17/1990,16:00,3.88,3.99,3.88,3.88,5724.84375
07/18/1990,16:00,3.88,3.95,3.86,3.95,10800.0
07/19/1990,16:00,3.90,3.99,3.90,3.95,7799.625
07/20/1990,16:00,3.90,4.04,3.90,3.90,1150.03125
07/23/1990,16:00,3.90,3.95,3.86,3.90,31600.125
07/24/1990,16:00,3.90,3.90,3.90,3.90,3175.03125
07/25/1990,16:00,3.90,3.95,3.90,3.90,28225.125
07/26/1990,16:00,3.90,3.93,3.86,3.86,12025.125
07/27/1990,16:00,3.81,3.86,3.81,3.81,5550.1875
07/30/1990,16:00,3.81,3.90,3.76,3.81,22500.28125
07/31/1990,16:00,3.76,3.76,3.67,3.72,20800.125
08/01/1990,16:00,3.72,3.72,3.67,3.70,18225.0
08/02/1990,16:00,3.67,3.76,3.67,3.76,5275.125
08/03/1990,16:00,3.72,3.72,3.70,3.70,2700.0
08/06/1990,16:00,3.70,3.72,3.65,3.65,17425.125
08/07/1990,16:00,3.67,3.70,3.65,3.67,16524.84375
08/08/1990,16:00,3.72,3.86,3.72,3.76,15750.28125
08/09/1990,16:00,3.76,3.86,3.76,3.86,550.125
08/10/1990,16:00,3.76,3.81,3.72,3.76,7300.125
08/13/1990,16:00,3.72,3.72,3.72,3.72,2399.625
08/14/1990,16:00,3.76,3.76,3.72,3.72,7074.84375
08/15/1990,16:00,3.76,3.76,3.72,3.72,550.125
