Date,Time,Open,High,Low,Close,Vol
05/23/1996,16:00,12.0,13.25,11.0,12.5,4194100.0
05/24/1996,16:00,12.25,13.0,11.75,11.75,623500.0
05/28/1996,16:00,11.75,12.13,10.75,10.88,592500.0
05/29/1996,16:00,10.75,11.12,10.75,10.88,225500.0
05/30/1996,16:00,10.75,11.0,10.5,10.75,157400.0
05/31/1996,16:00,10.88,11.5,10.63,11.0,410600.0
06/03/1996,16:00,11.0,11.25,10.5,10.75,129200.0
06/04/1996,16:00,10.63,11.25,10.5,11.0,33500.0
06/05/1996,16:00,10.94,11.25,10.63,11.25,31800.0
06/06/1996,16:00,11.0,11.25,10.5,10.5,125700.0
06/07/1996,16:00,10.5,10.88,10.5,10.5,104200.0
06/10/1996,16:00,10.69,10.88,10.5,10.63,80900.0
06/11/1996,16:00,11.0,11.0,10.5,10.5,14600.0
06/12/1996,16:00,10.94,11.0,10.5,10.63,67200.0
06/13/1996,16:00,10.5,11.0,10.5,10.5,26000.0
06/14/1996,16:00,10.75,11.25,10.75,11.0,37000.0
06/17/1996,16:00,11.25,11.25,10.75,11.12,131600.0
06/18/1996,16:00,11.87,12.0,11.25,11.62,213400.0
06/19/1996,16:00,11.75,11.75,10.5,10.5,200600.0
06/20/1996,16:00,10.75,10.75,9.5,10.0,307500.0
06/21/1996,16:00,10.0,10.0,9.5,10.0,74200.0
06/24/1996,16:00,12.25,13.0,11.75,11.75,70800.0
06/25/1996,16:00,9.5,10.0,9.0,9.38,113000.0
06/26/1996,16:00,9.5,9.75,9.0,9.0,84800.0
06/27/1996,16:00,9.5,9.5,8.25,8.25,91800.0
06/28/1996,16:00,11.75,12.12,10.75,10.87,89200.0
07/01/1996,16:00,10.87,11.5,10.62,11.0,89800.0
07/02/1996,16:00,8.75,8.75,8.0,8.0,71500.0
07/03/1996,16:00,11.0,11.25,10.5,10.75,160000.0
07/05/1996,16:00,10.93,11.25,10.62,11.25,3300.0
07/08/1996,16:00,8.0,8.25,7.75,8.25,21200.0
07/09/1996,16:00,7.75,8.25,7.75,8.25,4800.0
07/10/1996,16:00,7.88,8.25,7.75,8.25,115100.0
07/11/1996,16:00,11.0,11.0,10.5,10.5,37800.0
07/12/1996,16:00,10.93,11.0,10.5,10.62,53000.0
07/15/1996,16:00,7.5,7.5,6.75,7.0,42300.0
07/16/1996,16:00,6.5,7.0,6.5,7.0,91600.0
07/17/1996,16:00,10.93,11.25,10.75,11.12,311800.0
07/18/1996,16:00,11.87,12.0,11.25,11.62,290900.0
07/19/1996,16:00,11.75,11.75,10.5,10.5,88900.0
07/22/1996,16:00,8.75,9.5,8.75,9.0,78500.0
07/23/1996,16:00,8.75,9.5,8.75,8.75,33000.0
07/24/1996,16:00,9.5,9.75,9.0,9.5,9000.0
07/25/1996,16:00,9.5,10.0,9.0,9.37,145100.0
07/26/1996,16:00,9.5,9.75,9.0,9.0,35100.0
07/29/1996,16:00,8.25,8.25,7.75,7.75,11900.0
07/30/1996,16:00,8.25,8.25,7.75,7.75,47000.0
07/31/1996,16:00,8.25,8.25,8.0,8.0,33900.0
08/01/1996,16:00,8.5,8.75,8.0,8.68,48100.0
08/02/1996,16:00,8.75,8.75,8.0,8.0,48700.0
08/05/1996,16:00,8.0,8.06,8.0,8.0,43800.0
08/06/1996,16:00,8.38,8.38,8.0,8.12,32300.0
08/07/1996,16:00,8.62,8.62,8.0,8.0,43500.0
08/08/1996,16:00,8.0,8.25,7.75,8.25,17800.0
08/09/1996,16:00,7.75,8.25,7.75,8.25,28900.0
08/12/1996,16:00,8.25,8.25,7.0,7.25,14300.0
08/13/1996,16:00,8.5,8.5,8.25,8.38,35800.0
08/14/1996,16:00,8.5,8.5,8.25,8.25,14600.0
08/15/1996,16:00,7.5,7.5,6.75,7.0,4900.0
08/16/1996,16:00,7.0,7.0,6.5,7.0,46300.0
08/19/1996,16:00,7.56,9.25,7.56,8.87,10300.0
08/20/1996,16:00,9.25,9.25,8.75,8.94,44800.0
08/21/1996,16:00,9.12,9.12,8.62,8.88,33900.0
08/22/1996,16:00,8.75,9.5,8.75,9.0,15800.0
08/23/1996,16:00,8.75,9.5,8.75,8.75,24200.0
08/26/1996,16:00,8.25,8.25,7.75,8.0,43500.0
08/27/1996,16:00,8.88,8.88,8.5,8.62,58600.0
08/28/1996,16:00,8.88,8.88,8.38,8.38,19400.0
08/29/1996,16:00,8.25,8.25,7.75,7.75,11700.0
08/30/1996,16:00,8.25,8.25,7.75,7.75,5900.0
09/03/1996,16:00,8.88,8.88,8.38,8.5,37200.0
09/04/1996,16:00,8.88,8.88,8.38,8.38,8000.0
09/05/1996,16:00,8.37,8.37,8.0,8.37,11600.0
09/06/1996,16:00,8.37,8.37,8.0,8.12,4500.0
09/09/1996,16:00,8.0,8.5,8.0,8.5,10600.0
09/10/1996,16:00,8.75,8.75,8.25,8.38,39300.0
09/11/1996,16:00,8.62,8.62,8.12,8.5,48100.0
09/12/1996,16:00,8.5,8.5,8.25,8.5,175200.0
09/13/1996,16:00,8.5,8.5,8.25,8.37,148000.0
09/16/1996,16:00,8.5,9.0,8.25,9.0,372200.0
09/17/1996,16:00,9.0,9.38,8.88,9.25,457200.0
09/18/1996,16:00,9.25,10.38,9.12,10.38,332400.0
09/19/1996,16:00,9.25,9.25,8.87,8.87,356500.0
09/20/1996,16:00,9.25,9.25,8.75,8.93,212000.0
09/23/1996,16:00,9.12,9.12,8.5,9.0,57500.0
09/24/1996,16:00,11.0,11.25,10.62,10.62,103400.0
09/25/1996,16:00,10.38,10.75,10.12,10.62,40600.0
09/26/1996,16:00,9.0,9.0,8.5,8.75,117400.0
09/27/1996,16:00,8.87,8.87,8.5,8.62,29100.0
09/30/1996,16:00,8.37,8.87,8.37,8.5,145200.0
10/01/1996,16:00,11.38,11.38,10.88,11.38,77700.0
10/02/1996,16:00,11.38,12.0,11.0,11.5,102500.0
10/03/1996,16:00,8.87,8.87,8.37,8.5,105300.0
10/04/1996,16:00,8.87,8.87,8.37,8.37,137200.0
10/07/1996,16:00,12.75,13.0,12.5,13.0,159600.0
10/08/1996,16:00,13.0,13.0,12.0,12.38,116700.0
10/09/1996,16:00,8.5,8.75,8.37,8.75,137100.0
10/10/1996,16:00,8.75,8.75,8.25,8.37,195600.0
10/11/1996,16:00,8.62,8.62,8.12,8.5,31400.0
10/14/1996,16:00,11.5,11.5,11.0,11.25,14300.0
10/15/1996,16:00,11.25,11.62,11.0,11.12,23800.0
10/16/1996,16:00,8.75,8.87,8.5,8.75,23800.0
10/17/1996,16:00,9.0,9.37,8.87,9.25,73900.0
10/18/1996,16:00,9.25,10.37,9.12,10.37,102700.0
10/21/1996,16:00,11.38,12.62,11.12,11.12,300200.0
10/22/1996,16:00,11.38,11.62,10.75,10.88,269200.0
10/23/1996,16:00,11.0,11.37,10.62,10.87,142100.0
