Date,Time,Open,High,Low,Close,Vol
02/20/2014,16:00,29.42,29.42,13.72,13.97,226800.0
02/21/2014,16:00,13.97,14.17,13.79,13.94,230000.0
02/24/2014,16:00,13.94,14.22,13.92,13.97,23700.0
02/25/2014,16:00,13.83,14.17,13.78,13.78,6100.0
02/26/2014,16:00,13.78,13.89,13.78,13.89,2900.0
02/27/2014,16:00,13.82,13.83,13.78,13.81,20100.0
02/28/2014,16:00,13.96,14.08,13.92,13.92,61300.0
03/03/2014,16:00,13.87,14.02,13.87,13.92,36500.0
03/04/2014,16:00,13.92,13.92,13.76,13.92,25800.0
03/05/2014,16:00,13.82,13.84,13.78,13.84,1300.0
03/06/2014,16:00,13.84,13.84,13.83,13.83,11100.0
03/07/2014,16:00,13.84,13.92,13.84,13.92,1700.0
03/10/2014,16:00,13.91,13.92,13.73,13.92,13700.0
03/11/2014,16:00,13.92,13.97,13.84,13.92,7200.0
03/12/2014,16:00,14.22,14.22,13.83,13.92,13400.0
03/13/2014,16:00,13.92,13.92,13.73,13.92,21600.0
03/14/2014,16:00,13.74,13.92,13.74,13.78,28800.0
03/17/2014,16:00,13.73,13.73,13.53,13.73,5800.0
03/18/2014,16:00,13.73,13.73,13.71,13.72,5500.0
03/19/2014,16:00,13.87,13.87,13.69,13.70,5900.0
03/20/2014,16:00,13.73,13.73,13.69,13.73,16700.0
03/21/2014,16:00,13.73,13.73,13.31,13.31,31600.0
03/24/2014,16:00,13.73,13.73,13.56,13.69,86200.0
03/25/2014,16:00,13.72,13.97,13.59,13.73,24400.0
03/26/2014,16:00,13.73,13.73,13.63,13.73,29600.0
03/27/2014,16:00,13.64,13.72,13.64,13.69,2300.0
03/28/2014,16:00,13.64,13.74,13.64,13.73,13500.0
03/31/2014,16:00,13.74,13.74,13.66,13.74,15900.0
04/01/2014,16:00,13.69,13.74,13.66,13.74,28800.0
04/02/2014,16:00,13.67,13.74,13.67,13.74,54900.0
04/03/2014,16:00,13.74,13.74,13.70,13.74,19100.0
04/04/2014,16:00,13.74,13.74,13.54,13.73,7800.0
04/07/2014,16:00,13.64,13.74,13.37,13.73,57500.0
04/08/2014,16:00,13.71,13.74,13.53,13.74,22900.0
04/09/2014,16:00,13.72,14.23,13.61,13.74,35400.0
04/10/2014,16:00,13.74,13.74,13.50,13.69,56400.0
04/11/2014,16:00,13.59,13.74,13.54,13.69,19900.0
04/14/2014,16:00,13.74,13.74,13.65,13.72,40500.0
04/15/2014,16:00,13.69,13.69,13.58,13.69,19700.0
04/16/2014,16:00,13.50,13.74,13.50,13.73,25000.0
04/17/2014,16:00,13.64,13.75,13.64,13.75,67700.0
04/21/2014,16:00,13.74,13.74,13.54,13.71,20100.0
04/22/2014,16:00,13.74,13.74,13.65,13.73,38200.0
04/23/2014,16:00,13.69,13.74,13.69,13.74,13900.0
04/24/2014,16:00,13.70,13.74,13.70,13.74,22400.0
04/25/2014,16:00,13.74,13.74,13.54,13.74,10600.0
04/28/2014,16:00,13.74,13.74,13.54,13.74,14900.0
04/29/2014,16:00,13.74,13.74,13.62,13.74,19700.0
04/30/2014,16:00,13.74,14.02,13.61,13.61,13700.0
05/01/2014,16:00,13.74,14.13,13.69,13.74,556600.0
05/02/2014,16:00,13.69,13.83,13.67,13.72,30700.0
05/05/2014,16:00,13.73,13.74,13.69,13.73,93200.0
05/06/2014,16:00,13.74,13.74,13.54,13.74,129800.0
05/07/2014,16:00,13.74,13.74,13.57,13.73,1128300.0
05/08/2014,16:00,13.74,13.74,13.70,13.73,142600.0
05/09/2014,16:00,13.74,13.74,13.61,13.71,70500.0
05/12/2014,16:00,13.74,13.98,13.60,13.74,60700.0
05/13/2014,16:00,13.73,13.74,13.65,13.73,35700.0
05/14/2014,16:00,13.74,13.74,13.72,13.74,23800.0
05/15/2014,16:00,13.74,14.23,13.72,14.06,3692500.0
05/16/2014,16:00,14.34,14.96,14.22,14.55,136600.0
05/19/2014,16:00,14.54,14.72,14.09,14.33,128600.0
05/20/2014,16:00,14.34,14.70,14.13,14.41,138600.0
05/21/2014,16:00,14.45,14.67,14.41,14.48,229300.0
05/22/2014,16:00,14.49,14.76,14.47,14.60,476000.0
05/23/2014,16:00,15.04,15.20,14.65,15.10,93000.0
05/27/2014,16:00,15.17,18.34,15.17,15.61,157300.0
05/28/2014,16:00,15.55,15.75,15.54,15.70,67200.0
05/29/2014,16:00,15.71,16.84,15.71,16.18,114700.0
05/30/2014,16:00,16.17,16.43,16.05,16.09,125400.0
06/02/2014,16:00,15.88,16.50,15.88,16.29,212600.0
06/03/2014,16:00,16.31,16.42,15.94,16.19,340700.0
06/04/2014,16:00,16.12,16.63,16.12,16.51,318700.0
06/05/2014,16:00,16.49,16.87,16.34,16.44,365100.0
06/06/2014,16:00,16.44,16.68,16.24,16.29,134000.0
06/09/2014,16:00,16.19,16.45,15.76,16.20,298700.0
06/10/2014,16:00,16.07,17.06,16.06,16.40,221100.0
06/11/2014,16:00,16.56,16.67,16.08,16.27,372600.0
06/12/2014,16:00,16.30,16.85,16.06,16.62,443600.0
06/13/2014,16:00,16.68,16.69,16.55,16.64,750600.0
06/16/2014,16:00,16.64,16.94,16.45,16.61,484300.0
06/17/2014,16:00,16.52,16.88,16.50,16.68,481200.0
06/18/2014,16:00,16.62,16.95,16.50,16.93,1112100.0
06/19/2014,16:00,17.03,18.03,17.03,17.63,856600.0
06/20/2014,16:00,17.47,17.86,17.40,17.42,3341100.0
06/23/2014,16:00,16.99,17.63,16.68,16.93,934900.0
06/24/2014,16:00,16.90,17.43,16.90,17.17,750100.0
06/25/2014,16:00,17.10,17.60,16.98,17.42,408200.0
06/26/2014,16:00,17.42,17.42,16.68,16.98,479000.0
06/27/2014,16:00,16.77,17.30,16.33,16.78,5139700.0
06/30/2014,16:00,16.79,17.24,16.79,17.08,400300.0
07/01/2014,16:00,17.15,17.42,17.00,17.24,486400.0
07/02/2014,16:00,17.25,17.55,16.97,17.54,685700.0
07/03/2014,16:00,17.61,17.90,17.53,17.87,157100.0
07/07/2014,16:00,17.75,17.98,17.36,17.50,159400.0
07/08/2014,16:00,17.51,18.06,17.30,18.01,383700.0
07/09/2014,16:00,17.98,18.53,17.98,18.34,399400.0
07/10/2014,16:00,18.09,18.54,17.66,17.80,84500.0
07/11/2014,16:00,17.84,18.07,17.69,17.83,65900.0
07/14/2014,16:00,17.91,18.25,17.77,17.83,123300.0
07/15/2014,16:00,17.88,18.34,17.88,18.17,202800.0
07/16/2014,16:00,18.28,18.75,18.16,18.71,139500.0
07/17/2014,16:00,18.65,19.10,18.45,18.47,481900.0
07/18/2014,16:00,18.39,18.78,18.20,18.28,136000.0
07/21/2014,16:00,18.19,18.26,17.83,18.05,108200.0
07/22/2014,16:00,18.10,18.35,18.05,18.10,88500.0
07/23/2014,16:00,18.15,18.33,17.97,18.15,49000.0
07/24/2014,16:00,18.18,18.23,17.89,18.11,92300.0
07/25/2014,16:00,18.04,18.13,17.40,17.52,113500.0
07/28/2014,16:00,17.58,17.86,17.22,17.71,110500.0
07/29/2014,16:00,17.71,18.00,17.60,17.90,56500.0
07/30/2014,16:00,18.02,18.20,17.69,18.02,115300.0
07/31/2014,16:00,17.92,17.92,16.94,17.09,225100.0
08/01/2014,16:00,17.15,17.63,16.87,17.24,81700.0
08/04/2014,16:00,17.34,17.70,17.13,17.40,112400.0
08/05/2014,16:00,17.39,17.82,17.09,17.71,123600.0
08/06/2014,16:00,17.64,18.09,17.57,17.95,76700.0
08/07/2014,16:00,18.28,18.76,17.56,17.69,61800.0
08/08/2014,16:00,17.76,18.05,17.52,17.96,99000.0
08/11/2014,16:00,18.06,18.19,16.75,17.98,77700.0
08/12/2014,16:00,17.92,17.98,17.63,17.77,50200.0
08/13/2014,16:00,17.78,18.14,17.67,17.97,43300.0
08/14/2014,16:00,18.03,18.13,17.83,18.03,38700.0
08/15/2014,16:00,18.11,18.16,17.64,18.09,98800.0
08/18/2014,16:00,18.21,18.92,18.21,18.55,110000.0
08/19/2014,16:00,18.55,18.78,18.39,18.52,213100.0
08/20/2014,16:00,18.43,18.52,18.16,18.20,54000.0
08/21/2014,16:00,18.14,18.27,17.80,18.18,38100.0
08/22/2014,16:00,18.17,18.38,18.05,18.18,36900.0
08/25/2014,16:00,18.23,18.42,18.08,18.22,21000.0
08/26/2014,16:00,18.24,18.41,18.15,18.41,60500.0
08/27/2014,16:00,18.47,18.47,18.18,18.38,37600.0
08/28/2014,16:00,18.31,18.41,18.20,18.29,58600.0
08/29/2014,16:00,18.28,18.47,18.13,18.39,91900.0
09/02/2014,16:00,18.41,18.41,18.23,18.35,73200.0
09/03/2014,16:00,18.41,18.44,18.12,18.21,76000.0
09/04/2014,16:00,18.34,18.44,18.25,18.32,57000.0
09/05/2014,16:00,18.27,18.70,18.26,18.35,58200.0
09/08/2014,16:00,18.42,18.42,18.20,18.28,193200.0
09/09/2014,16:00,18.26,18.28,17.98,18.17,217500.0
09/10/2014,16:00,18.13,18.57,18.07,18.16,224700.0
09/11/2014,16:00,18.09,18.14,17.91,17.99,104500.0
09/12/2014,16:00,18.04,18.04,17.69,17.82,248700.0
09/15/2014,16:00,17.68,17.68,17.14,17.27,113500.0
09/16/2014,16:00,17.26,17.50,16.77,17.26,72100.0
09/17/2014,16:00,17.31,17.48,17.18,17.22,95900.0
09/18/2014,16:00,17.26,17.46,17.20,17.41,242100.0
09/19/2014,16:00,17.44,18.26,17.44,17.76,632500.0
09/22/2014,16:00,17.68,17.83,17.07,17.16,90600.0
09/23/2014,16:00,17.13,17.13,16.54,16.58,108600.0
09/24/2014,16:00,16.66,16.78,16.61,16.69,130093.0
09/25/2014,16:00,16.64,16.76,16.46,16.57,72457.0
09/26/2014,16:00,16.59,16.90,16.57,16.66,102368.0
09/29/2014,16:00,16.55,16.68,16.40,16.48,60328.0
09/30/2014,16:00,16.48,17.15,16.30,16.59,208739.0
10/01/2014,16:00,16.63,17.04,16.41,16.82,379884.0
10/02/2014,16:00,16.85,17.30,16.30,17.26,293177.0
10/03/2014,16:00,17.47,17.77,17.37,17.65,141377.0
10/06/2014,16:00,17.64,17.69,17.37,17.62,95220.0
10/07/2014,16:00,17.48,17.57,17.21,17.28,62203.0
10/08/2014,16:00,17.22,17.84,17.15,17.67,77773.0
10/09/2014,16:00,17.47,17.61,16.99,17.15,67360.0
10/10/2014,16:00,17.01,17.53,17.00,17.16,74041.0
10/13/2014,16:00,17.12,17.93,17.12,17.60,124178.0
10/14/2014,16:00,17.71,17.74,17.31,17.46,199772.0
10/15/2014,16:00,17.29,17.64,17.22,17.54,181973.0
10/16/2014,16:00,17.35,17.84,17.31,17.60,96093.0
10/17/2014,16:00,17.83,17.83,17.52,17.55,90496.0
10/20/2014,16:00,17.51,17.98,17.41,17.96,86591.0
10/21/2014,16:00,17.98,18.17,17.30,18.12,149046.0
10/22/2014,16:00,18.22,18.96,17.91,18.41,314994.0
10/23/2014,16:00,18.59,19.09,18.15,18.47,115737.0
10/24/2014,16:00,18.53,19.06,18.33,18.78,65330.0
10/27/2014,16:00,18.70,18.81,18.46,18.58,126024.0
10/28/2014,16:00,18.67,18.93,18.39,18.83,184262.0
10/29/2014,16:00,18.82,18.89,18.46,18.56,193988.0
10/30/2014,16:00,18.47,18.89,18.19,18.54,126687.0
10/31/2014,16:00,18.99,18.99,18.40,18.42,195887.0
11/03/2014,16:00,18.42,18.70,17.86,18.43,212699.0
11/04/2014,16:00,18.67,19.36,18.35,18.59,218834.0
11/05/2014,16:00,18.67,18.69,18.41,18.44,135274.0
11/06/2014,16:00,18.40,18.66,18.33,18.43,250317.0
11/07/2014,16:00,18.45,18.67,18.38,18.63,149669.0
11/10/2014,16:00,18.66,18.84,18.56,18.67,317417.0
11/11/2014,16:00,18.67,18.69,18.55,18.61,195528.0
11/12/2014,16:00,18.52,18.69,18.22,18.65,83049.0
11/13/2014,16:00,18.64,18.64,18.18,18.20,73511.0
11/14/2014,16:00,18.26,18.45,18.05,18.34,69852.0
11/17/2014,16:00,18.37,18.37,17.81,17.86,151642.0
11/18/2014,16:00,17.96,18.30,17.57,18.17,155274.0
11/19/2014,16:00,18.14,18.16,17.62,17.98,60561.0
11/20/2014,16:00,17.92,18.33,17.59,18.20,83849.0
11/21/2014,16:00,18.33,18.33,18.02,18.23,88307.0
11/24/2014,16:00,18.25,18.52,18.25,18.46,70598.0
11/25/2014,16:00,18.49,18.68,18.38,18.44,126973.0
11/26/2014,16:00,18.50,18.70,18.48,18.60,49733.0
11/28/2014,16:00,18.67,18.68,18.29,18.42,50353.0
12/01/2014,16:00,18.44,18.50,18.12,18.18,112434.0
12/02/2014,16:00,18.25,18.49,17.98,18.42,89279.0
12/03/2014,16:00,18.47,18.67,18.47,18.53,175340.0
12/04/2014,16:00,18.46,18.62,18.20,18.30,141966.0
12/05/2014,16:00,18.28,18.60,18.05,18.26,226024.0
12/08/2014,16:00,18.20,18.47,18.11,18.25,138962.0
12/09/2014,16:00,18.12,18.43,17.98,18.27,169665.0
12/10/2014,16:00,18.21,18.47,18.04,18.06,99090.0
12/11/2014,16:00,18.13,18.41,18.04,18.24,85282.0
12/12/2014,16:00,18.01,18.37,18.01,18.27,94290.0
12/15/2014,16:00,18.28,18.37,18.22,18.28,102148.0
12/16/2014,16:00,18.28,18.67,18.13,18.38,316510.0
12/17/2014,16:00,18.37,19.16,18.34,18.75,176530.0
12/18/2014,16:00,18.94,19.23,18.67,18.81,88736.0
12/19/2014,16:00,18.75,18.95,18.40,18.58,396262.0
12/22/2014,16:00,18.65,18.94,18.42,18.88,127337.0
12/23/2014,16:00,18.91,19.12,18.78,18.91,75528.0
12/24/2014,16:00,18.91,18.91,18.68,18.68,37628.0
12/26/2014,16:00,18.79,18.79,18.40,18.53,42759.0
12/29/2014,16:00,18.52,18.78,18.32,18.44,76487.0
12/30/2014,16:00,18.36,18.78,18.36,18.50,45365.0
12/31/2014,16:00,18.54,18.92,18.30,18.30,106117.0
01/02/2015,16:00,18.42,18.73,18.08,18.49,60064.0
01/05/2015,16:00,18.42,18.42,17.54,18.05,83496.0
01/06/2015,16:00,18.16,18.52,17.73,18.15,204125.0
01/07/2015,16:00,18.23,18.38,17.95,18.19,98513.0
01/08/2015,16:00,18.34,18.77,18.34,18.58,94056.0
01/09/2015,16:00,18.52,18.82,17.41,18.30,76198.0
01/12/2015,16:00,18.34,18.69,17.92,18.36,105531.0
01/13/2015,16:00,18.55,18.79,17.81,18.33,59857.0
01/14/2015,16:00,18.19,18.34,17.99,18.18,401102.0
01/15/2015,16:00,18.24,18.24,17.76,17.92,104878.0
01/16/2015,16:00,17.80,18.44,17.47,18.14,501530.0
01/20/2015,16:00,18.19,18.34,17.46,18.00,77260.0
01/21/2015,16:00,17.91,18.30,17.70,18.18,155954.0
01/22/2015,16:00,18.35,18.36,17.95,18.10,70956.0
01/23/2015,16:00,18.03,18.19,17.86,17.99,69941.0
01/26/2015,16:00,17.91,18.26,17.66,18.15,73843.0
01/27/2015,16:00,17.97,18.19,17.76,18.09,44772.0
01/28/2015,16:00,18.19,18.19,17.59,17.71,57823.0
01/29/2015,16:00,17.91,18.19,17.90,18.19,119282.0
01/30/2015,16:00,18.03,18.17,17.66,17.67,288067.0
02/02/2015,16:00,17.77,18.13,17.63,18.11,85753.0
02/03/2015,16:00,18.09,18.19,17.79,17.90,162242.0
02/04/2015,16:00,17.88,18.14,17.85,17.99,90254.0
02/05/2015,16:00,18.01,18.19,17.93,18.10,237522.0
02/06/2015,16:00,18.08,18.15,17.93,18.10,127850.0
02/09/2015,16:00,18.06,18.10,17.72,17.74,85560.0
02/10/2015,16:00,17.88,18.29,17.79,18.06,74286.0
02/11/2015,16:00,18.47,18.87,18.08,18.13,448531.0
02/12/2015,16:00,18.25,18.36,18.14,18.17,177372.0
02/13/2015,16:00,18.12,18.21,17.90,17.93,78851.0
02/17/2015,16:00,17.68,17.89,17.68,17.79,88856.0
02/18/2015,16:00,17.80,17.97,17.75,17.91,201910.0
02/19/2015,16:00,17.92,18.21,17.82,18.13,72589.0
02/20/2015,16:00,18.16,18.29,18.06,18.10,115478.0
02/23/2015,16:00,18.08,18.16,17.87,18.10,34243.0
02/24/2015,16:00,18.17,18.24,17.97,18.08,63271.0
02/25/2015,16:00,18.00,18.24,18.00,18.20,80891.0
02/26/2015,16:00,18.14,18.47,17.85,18.26,156489.0
02/27/2015,16:00,18.18,18.41,18.17,18.29,121573.0
03/02/2015,16:00,18.21,18.54,18.20,18.50,170697.0
