Date,Time,Open,High,Low,Close,Vol
12/31/1981,16:00,3.28,3.29,3.27,3.28,33798.0
01/04/1982,16:00,3.27,3.28,3.26,3.26,64998.0
01/05/1982,16:00,3.27,3.28,3.26,3.26,318000.0
01/06/1982,16:00,3.19,3.25,3.12,3.16,369198.0
01/07/1982,16:00,3.08,3.10,3.04,3.10,151398.0
01/08/1982,16:00,3.16,3.23,3.10,3.21,305400.0
01/11/1982,16:00,3.04,3.19,2.87,2.87,687300.0
01/12/1982,16:00,2.85,2.88,2.81,2.81,238398.0
01/13/1982,16:00,2.73,2.79,2.68,2.68,478098.0
01/14/1982,16:00,2.71,2.72,2.69,2.69,130098.0
01/15/1982,16:00,2.74,2.77,2.71,2.77,564402.0
01/18/1982,16:00,2.73,2.75,2.71,2.72,813498.0
01/19/1982,16:00,2.72,2.74,2.70,2.72,345300.0
01/20/1982,16:00,2.76,2.81,2.72,2.79,763002.0
01/21/1982,16:00,2.86,2.89,2.82,2.88,56400.0
01/22/1982,16:00,2.93,2.96,2.90,2.96,82302.0
01/25/1982,16:00,3.02,3.04,3.01,3.02,70302.0
01/26/1982,16:00,3.04,3.07,3.02,3.04,292800.0
01/27/1982,16:00,3.04,3.04,3.04,3.04,95598.0
01/28/1982,16:00,3.04,3.05,3.04,3.05,67002.0
01/29/1982,16:00,3.08,3.10,3.04,3.08,115500.0
02/01/1982,16:00,3.10,3.13,3.07,3.10,320700.0
02/02/1982,16:00,3.12,3.15,3.08,3.15,79602.0
02/03/1982,16:00,3.20,3.32,3.08,3.12,929700.0
02/04/1982,16:00,3.12,3.16,3.07,3.09,195198.0
02/05/1982,16:00,3.12,3.15,3.08,3.13,132798.0
02/08/1982,16:00,3.09,3.13,3.04,3.04,70998.0
02/09/1982,16:00,3.01,3.04,2.97,2.98,156702.0
02/10/1982,16:00,2.92,2.96,2.88,2.88,39102.0
02/11/1982,16:00,2.86,2.88,2.85,2.87,61002.0
02/12/1982,16:00,2.86,2.87,2.83,2.83,51102.0
02/16/1982,16:00,2.86,2.90,2.82,2.90,70998.0
02/17/1982,16:00,2.93,2.93,2.91,2.91,35100.0
02/18/1982,16:00,2.93,2.97,2.90,2.96,161298.0
02/19/1982,16:00,2.95,2.96,2.94,2.95,94200.0
02/22/1982,16:00,2.93,2.97,2.88,2.88,146700.0
02/23/1982,16:00,2.85,2.86,2.83,2.84,71700.0
02/24/1982,16:00,2.86,2.87,2.84,2.85,67698.0
02/25/1982,16:00,2.87,2.88,2.86,2.86,70998.0
02/26/1982,16:00,2.86,2.86,2.86,2.86,4602.0
03/01/1982,16:00,2.86,2.86,2.86,2.86,17898.0
03/02/1982,16:00,2.87,2.88,2.86,2.86,19200.0
03/03/1982,16:00,2.89,2.91,2.86,2.89,108900.0
03/04/1982,16:00,2.89,2.90,2.88,2.89,182598.0
03/05/1982,16:00,2.89,2.90,2.88,2.88,102198.0
03/08/1982,16:00,2.83,2.90,2.77,2.77,222402.0
