Date,Time,Open,High,Low,Close,Vol
04/13/2007,16:00,4.0,4.0,4.0,4.0,400.0
04/16/2007,16:00,4.0,4.0,4.0,4.0,0.0
04/17/2007,16:00,4.0,4.0,4.0,4.0,0.0
04/18/2007,16:00,4.0,4.0,4.0,4.0,0.0
04/19/2007,16:00,4.0,4.0,4.0,4.0,0.0
04/20/2007,16:00,4.0,4.0,4.0,4.0,0.0
04/23/2007,16:00,4.0,4.0,4.0,4.0,0.0
04/24/2007,16:00,4.0,4.0,4.0,4.0,0.0
04/25/2007,16:00,3.4,3.4,3.4,3.4,2000.0
04/26/2007,16:00,3.4,3.4,3.4,3.4,0.0
04/27/2007,16:00,3.4,3.4,3.4,3.4,2400.0
04/30/2007,16:00,3.4,3.4,3.4,3.4,0.0
05/01/2007,16:00,3.4,3.4,3.4,3.4,0.0
05/02/2007,16:00,3.75,4.0,3.75,4.0,2000.0
05/03/2007,16:00,4.0,5.0,4.0,4.75,5600.0
05/04/2007,16:00,5.0,5.0,4.1,4.5,3100.0
05/07/2007,16:00,4.5,4.8,4.0,4.8,6900.0
05/08/2007,16:00,4.8,4.8,4.8,4.8,0.0
05/09/2007,16:00,4.8,4.8,4.8,4.8,0.0
05/10/2007,16:00,4.9,4.9,4.9,4.9,500.0
05/11/2007,16:00,4.9,4.9,4.9,4.9,500.0
05/14/2007,16:00,4.9,4.9,4.9,4.9,500.0
05/15/2007,16:00,4.9,4.9,4.9,4.9,0.0
05/16/2007,16:00,4.9,4.9,4.9,4.9,0.0
05/17/2007,16:00,4.9,4.9,4.9,4.9,0.0
05/18/2007,16:00,4.8,4.8,4.75,4.75,2000.0
05/21/2007,16:00,4.3,4.5,4.3,4.5,2100.0
05/22/2007,16:00,4.4,4.5,4.4,4.4,4000.0
05/23/2007,16:00,4.4,4.4,4.4,4.4,200.0
05/24/2007,16:00,4.2,4.4,4.1,4.4,1600.0
05/25/2007,16:00,4.4,4.4,4.4,4.4,1000.0
05/29/2007,16:00,4.4,4.4,4.4,4.4,0.0
05/30/2007,16:00,4.3,4.3,4.15,4.15,1000.0
05/31/2007,16:00,4.3,4.3,4.3,4.3,1000.0
06/01/2007,16:00,4.25,4.25,4.25,4.25,1300.0
06/04/2007,16:00,4.25,4.3,4.15,4.3,3400.0
06/05/2007,16:00,4.25,4.25,4.0,4.0,3500.0
06/06/2007,16:00,4.4,4.4,4.35,4.4,5300.0
06/07/2007,16:00,4.4,4.4,4.0,4.3,2200.0
06/08/2007,16:00,4.4,4.4,4.2,4.3,3500.0
06/11/2007,16:00,4.3,4.3,4.3,4.3,300.0
06/12/2007,16:00,4.1,4.35,4.1,4.35,1000.0
06/13/2007,16:00,4.35,4.35,4.35,4.35,0.0
06/14/2007,16:00,4.35,4.35,4.35,4.35,3300.0
06/15/2007,16:00,4.35,4.35,4.1,4.1,1400.0
06/18/2007,16:00,4.0,4.35,4.0,4.35,600.0
06/19/2007,16:00,4.35,4.35,4.35,4.35,2000.0
06/20/2007,16:00,4.5,4.5,4.3,4.5,5300.0
06/21/2007,16:00,4.6,4.6,4.55,4.55,2600.0
06/22/2007,16:00,4.6,5.5,4.55,5.5,5800.0
06/25/2007,16:00,5.0,5.4,5.0,5.0,4400.0
06/26/2007,16:00,4.3,4.65,4.2,4.3,2600.0
06/27/2007,16:00,4.4,5.25,4.4,5.2,19000.0
06/28/2007,16:00,5.1,5.25,5.1,5.25,3600.0
06/29/2007,16:00,5.25,5.25,5.25,5.25,2000.0
07/02/2007,16:00,5.4,5.4,5.35,5.4,3600.0
07/03/2007,16:00,4.95,5.5,4.95,5.5,900.0
07/05/2007,16:00,5.5,5.5,5.5,5.5,0.0
07/06/2007,16:00,5.5,5.6,5.5,5.6,4900.0
07/09/2007,16:00,5.2,5.75,4.4,5.75,10700.0
