Date,Time,Open,High,Low,Close,Vol
10/25/1993,16:00,5.02,5.32,5.02,5.32,6700.0
10/26/1993,16:00,5.17,5.32,5.17,5.17,1600.0
10/27/1993,16:00,5.32,5.32,5.17,5.32,5200.0
10/28/1993,16:00,5.17,5.32,5.17,5.32,9600.0
10/29/1993,16:00,5.02,5.17,5.02,5.17,14000.0
11/01/1993,16:00,5.32,5.32,5.10,5.32,4600.0
11/02/1993,16:00,5.32,5.39,5.10,5.17,12100.0
11/03/1993,16:00,5.17,5.25,5.17,5.17,12900.0
11/04/1993,16:00,5.25,5.25,5.02,5.25,13900.0
11/05/1993,16:00,5.02,5.02,5.02,5.02,800.0
11/08/1993,16:00,5.32,5.32,5.32,5.32,2200.0
11/09/1993,16:00,5.32,5.32,5.32,5.32,200.0
11/10/1993,16:00,5.32,5.32,5.10,5.10,23000.0
11/11/1993,16:00,5.32,5.32,5.10,5.10,300.0
11/12/1993,16:00,5.32,5.32,5.10,5.10,3100.0
11/15/1993,16:00,5.32,5.32,5.32,5.32,500.0
11/16/1993,16:00,5.10,5.32,5.02,5.32,18500.0
11/17/1993,16:00,5.02,5.32,5.02,5.17,1200.0
11/18/1993,16:00,5.02,5.32,5.02,5.25,10400.0
11/19/1993,16:00,5.02,5.10,5.02,5.10,4200.0
11/22/1993,16:00,5.17,5.32,5.10,5.32,16100.0
11/23/1993,16:00,5.17,5.17,5.17,5.17,1100.0
11/24/1993,16:00,5.39,5.39,5.17,5.17,3500.0
11/26/1993,16:00,5.25,5.25,5.25,5.25,500.0
11/29/1993,16:00,5.24,5.24,5.24,5.24,0.0
11/30/1993,16:00,5.25,5.39,5.17,5.17,1200.0
12/01/1993,16:00,5.39,5.39,5.25,5.25,1100.0
12/02/1993,16:00,5.24,5.24,5.24,5.24,0.0
12/03/1993,16:00,5.39,5.39,5.10,5.10,700.0
12/06/1993,16:00,5.39,5.39,5.10,5.10,600.0
12/07/1993,16:00,5.17,5.25,5.10,5.10,1400.0
12/08/1993,16:00,5.17,5.17,5.17,5.17,500.0
12/09/1993,16:00,5.17,5.17,5.10,5.10,1400.0
12/10/1993,16:00,5.17,5.39,5.17,5.39,700.0
12/13/1993,16:00,5.17,5.17,5.17,5.17,200.0
12/14/1993,16:00,5.39,5.39,5.25,5.25,1800.0
12/15/1993,16:00,5.24,5.24,5.24,5.24,0.0
12/16/1993,16:00,5.10,5.10,5.10,5.10,20600.0
12/17/1993,16:00,5.10,5.32,5.10,5.32,1300.0
12/20/1993,16:00,5.10,5.25,5.10,5.25,3000.0
12/21/1993,16:00,5.47,5.47,5.25,5.25,400.0
12/22/1993,16:00,5.24,5.24,5.24,5.24,0.0
12/23/1993,16:00,5.47,5.47,5.10,5.10,3000.0
12/27/1993,16:00,5.47,5.47,5.10,5.10,700.0
12/28/1993,16:00,5.10,5.32,5.10,5.25,3200.0
12/29/1993,16:00,5.39,5.39,5.10,5.10,300.0
12/30/1993,16:00,5.10,5.10,5.10,5.10,1100.0
12/31/1993,16:00,5.10,5.10,5.10,5.10,500.0
01/03/1994,16:00,5.17,5.17,5.10,5.17,5900.0
01/04/1994,16:00,5.17,5.17,5.17,5.17,0.0
01/05/1994,16:00,5.10,5.17,5.02,5.02,10000.0
01/06/1994,16:00,5.02,5.10,5.02,5.10,3100.0
01/07/1994,16:00,4.95,5.10,4.95,5.10,600.0
01/10/1994,16:00,5.10,5.10,5.02,5.10,1400.0
01/11/1994,16:00,4.95,5.02,4.95,4.95,19600.0
01/12/1994,16:00,5.02,5.02,4.80,4.95,1800.0
01/13/1994,16:00,5.02,5.02,5.02,5.02,100.0
01/14/1994,16:00,4.80,4.95,4.80,4.80,21400.0
01/17/1994,16:00,4.73,4.73,4.73,4.73,300.0
01/18/1994,16:00,4.58,4.88,4.58,4.88,10800.0
01/19/1994,16:00,4.88,4.88,4.88,4.88,3600.0
01/20/1994,16:00,4.88,4.88,4.88,4.88,1300.0
01/21/1994,16:00,4.88,4.88,4.88,4.88,200.0
01/24/1994,16:00,4.88,4.88,4.88,4.88,0.0
01/25/1994,16:00,4.58,4.80,4.43,4.43,6500.0
01/26/1994,16:00,4.43,4.43,4.43,4.43,800.0
01/27/1994,16:00,4.43,4.43,4.43,4.43,0.0
01/28/1994,16:00,4.58,4.88,4.43,4.88,3000.0
01/31/1994,16:00,4.43,4.88,4.43,4.88,400.0
02/01/1994,16:00,4.88,4.88,4.88,4.88,200.0
02/02/1994,16:00,4.88,4.88,4.73,4.73,5900.0
02/03/1994,16:00,4.43,4.58,4.43,4.43,1600.0
02/04/1994,16:00,4.73,4.73,4.73,4.73,1200.0
02/07/1994,16:00,4.73,4.73,4.73,4.73,0.0
02/08/1994,16:00,4.73,4.73,4.73,4.73,0.0
02/09/1994,16:00,4.58,4.73,4.58,4.73,3700.0
02/10/1994,16:00,4.43,4.73,4.43,4.58,4800.0
02/11/1994,16:00,4.73,4.73,4.43,4.51,5900.0
02/14/1994,16:00,4.73,4.73,4.73,4.73,300.0
02/15/1994,16:00,4.43,4.43,4.43,4.43,14800.0
02/16/1994,16:00,4.28,4.28,4.28,4.28,4000.0
02/17/1994,16:00,4.28,4.43,3.84,3.84,16900.0
02/18/1994,16:00,4.14,4.21,4.06,4.21,21400.0
02/22/1994,16:00,4.06,4.36,4.06,4.36,5000.0
02/23/1994,16:00,4.36,4.43,4.14,4.43,5900.0
02/24/1994,16:00,4.14,4.14,4.14,4.14,800.0
02/25/1994,16:00,4.43,4.43,4.43,4.43,400.0
02/28/1994,16:00,4.14,4.14,4.14,4.14,1300.0
03/01/1994,16:00,4.36,4.43,4.36,4.43,300.0
03/02/1994,16:00,4.43,4.43,4.14,4.43,1600.0
03/03/1994,16:00,4.43,4.43,4.28,4.28,1200.0
03/04/1994,16:00,4.28,4.43,4.28,4.43,3600.0
03/07/1994,16:00,4.14,4.14,4.14,4.14,100.0
03/08/1994,16:00,4.14,4.43,4.14,4.14,3700.0
03/09/1994,16:00,4.14,4.43,4.14,4.43,800.0
03/10/1994,16:00,4.14,4.43,4.14,4.43,1200.0
03/11/1994,16:00,4.14,4.43,4.14,4.36,5200.0
03/14/1994,16:00,4.21,4.21,4.21,4.21,500.0
03/15/1994,16:00,4.21,4.21,4.21,4.21,0.0
03/16/1994,16:00,4.21,4.21,4.21,4.21,0.0
03/17/1994,16:00,4.28,4.28,4.28,4.28,500.0
03/18/1994,16:00,4.43,4.43,4.43,4.43,1100.0
03/21/1994,16:00,4.21,4.21,4.21,4.21,500.0
03/22/1994,16:00,4.21,4.21,4.14,4.21,12800.0
03/23/1994,16:00,4.14,4.28,4.14,4.28,800.0
03/24/1994,16:00,4.14,4.28,4.14,4.28,700.0
03/25/1994,16:00,4.28,4.43,4.28,4.28,5600.0
03/28/1994,16:00,4.28,4.28,4.28,4.28,0.0
03/29/1994,16:00,4.14,4.43,4.14,4.43,1300.0
03/30/1994,16:00,4.28,4.28,3.84,4.28,13600.0
03/31/1994,16:00,4.14,4.28,3.99,4.14,7900.0
04/04/1994,16:00,3.99,3.99,3.99,3.99,400.0
04/05/1994,16:00,3.99,4.28,3.99,4.28,5400.0
04/06/1994,16:00,4.28,4.28,4.14,4.14,1500.0
04/07/1994,16:00,4.14,4.14,4.14,4.14,0.0
04/08/1994,16:00,3.99,4.28,3.99,4.28,12000.0
04/11/1994,16:00,4.28,4.28,3.99,3.99,1300.0
04/12/1994,16:00,4.28,4.28,4.06,4.14,5900.0
04/13/1994,16:00,4.14,4.28,4.14,4.21,500.0
04/14/1994,16:00,4.21,4.21,4.21,4.21,0.0
04/15/1994,16:00,4.43,4.43,4.43,4.43,100.0
04/18/1994,16:00,4.43,4.43,4.43,4.43,0.0
04/19/1994,16:00,4.14,4.43,4.14,4.14,1800.0
04/20/1994,16:00,4.14,4.28,4.14,4.28,11300.0
04/21/1994,16:00,4.28,4.28,4.28,4.28,0.0
04/22/1994,16:00,4.14,4.14,4.14,4.14,1100.0
04/25/1994,16:00,4.28,4.28,4.14,4.14,8500.0
04/26/1994,16:00,4.14,4.14,4.14,4.14,300.0
04/28/1994,16:00,4.43,4.43,4.43,4.43,100.0
04/29/1994,16:00,4.43,4.43,4.43,4.43,0.0
05/02/1994,16:00,4.43,4.43,4.14,4.14,1400.0
05/03/1994,16:00,4.14,4.14,4.14,4.14,0.0
05/04/1994,16:00,4.14,4.14,4.14,4.14,300.0
05/05/1994,16:00,4.43,4.43,4.14,4.28,1300.0
05/06/1994,16:00,4.14,4.43,4.14,4.14,1600.0
05/09/1994,16:00,4.43,4.43,4.43,4.43,1100.0
05/10/1994,16:00,4.43,4.43,4.43,4.43,200.0
05/11/1994,16:00,4.28,4.28,4.28,4.28,500.0
05/12/1994,16:00,4.14,4.43,4.14,4.43,800.0
05/13/1994,16:00,4.43,4.43,4.43,4.43,0.0
05/16/1994,16:00,4.21,4.21,4.21,4.21,400.0
05/17/1994,16:00,4.21,4.21,4.21,4.21,1100.0
05/18/1994,16:00,4.21,4.21,4.21,4.21,4000.0
05/19/1994,16:00,4.28,4.43,4.21,4.43,3700.0
05/20/1994,16:00,4.43,4.43,4.21,4.21,600.0
05/23/1994,16:00,4.28,4.28,4.28,4.28,1100.0
05/24/1994,16:00,4.21,4.43,4.21,4.43,1600.0
05/25/1994,16:00,4.21,4.21,4.21,4.21,1100.0
05/26/1994,16:00,4.43,4.43,4.28,4.28,900.0
05/27/1994,16:00,4.28,4.28,4.28,4.28,0.0
05/31/1994,16:00,4.43,4.43,4.43,4.43,500.0
06/01/1994,16:00,4.28,4.43,4.28,4.43,600.0
06/02/1994,16:00,4.43,4.43,4.43,4.43,100.0
06/03/1994,16:00,4.43,4.43,4.28,4.28,900.0
06/06/1994,16:00,4.28,4.36,4.28,4.28,28000.0
06/07/1994,16:00,4.14,4.14,4.14,4.14,500.0
06/08/1994,16:00,4.14,4.14,4.14,4.14,0.0
06/09/1994,16:00,4.14,4.14,4.14,4.14,0.0
06/10/1994,16:00,4.14,4.14,4.14,4.14,0.0
06/13/1994,16:00,4.36,4.36,4.36,4.36,200.0
06/14/1994,16:00,4.21,4.21,4.21,4.21,300.0
06/15/1994,16:00,4.28,4.28,4.28,4.28,6100.0
06/16/1994,16:00,4.28,4.28,4.28,4.28,0.0
06/17/1994,16:00,4.21,4.43,4.21,4.43,8000.0
06/20/1994,16:00,4.43,4.43,4.43,4.43,0.0
06/21/1994,16:00,4.65,4.65,4.36,4.51,4200.0
06/22/1994,16:00,4.36,4.36,4.36,4.36,600.0
06/23/1994,16:00,4.65,4.65,4.43,4.43,3700.0
06/24/1994,16:00,4.43,4.73,4.43,4.73,700.0
06/27/1994,16:00,4.43,4.58,4.43,4.58,5400.0
06/28/1994,16:00,4.73,4.73,4.73,4.73,600.0
06/29/1994,16:00,4.73,4.73,4.73,4.73,100.0
06/30/1994,16:00,4.73,4.73,4.43,4.43,1800.0
07/01/1994,16:00,4.43,4.43,4.36,4.36,800.0
07/05/1994,16:00,4.36,4.36,4.36,4.36,1300.0
07/06/1994,16:00,4.36,4.73,4.36,4.73,400.0
07/07/1994,16:00,4.73,4.73,4.73,4.73,500.0
07/08/1994,16:00,4.73,4.73,4.73,4.73,200.0
07/11/1994,16:00,4.73,4.73,4.73,4.73,300.0
07/12/1994,16:00,4.36,4.36,4.36,4.36,500.0
