Date,Time,Open,High,Low,Close,Vol
01/25/1995,16:00,2.12,2.12,2.02,2.02,936400.5
01/26/1995,16:00,2.12,2.12,2.02,2.02,651999.375
01/27/1995,16:00,2.12,2.12,2.02,2.02,494201.25
01/30/1995,16:00,2.12,2.12,2.02,2.09,265497.75
01/31/1995,16:00,2.12,2.12,2.02,2.02,370797.75
02/01/1995,16:00,2.12,2.22,2.02,2.14,605697.75
02/02/1995,16:00,2.22,2.37,2.17,2.32,1036000.125
02/03/1995,16:00,2.37,2.37,2.22,2.22,1000501.875
02/06/1995,16:00,2.27,2.27,2.02,2.02,174301.875
02/07/1995,16:00,2.02,2.22,2.02,2.12,193600.125
02/08/1995,16:00,2.22,2.22,2.07,2.14,212802.1875
02/09/1995,16:00,2.22,2.22,2.02,2.05,270600.75
02/10/1995,16:00,2.02,2.12,2.02,2.05,179101.125
02/13/1995,16:00,2.12,2.12,1.97,2.07,230799.375
02/14/1995,16:00,1.97,2.07,1.97,1.97,61600.5
02/15/1995,16:00,2.07,2.07,1.92,1.97,56700.0
02/16/1995,16:00,1.92,2.07,1.92,1.97,127499.0625
02/17/1995,16:00,1.92,2.02,1.92,1.92,119399.0625
02/21/1995,16:00,2.02,2.02,1.97,2.02,41401.125
02/22/1995,16:00,2.02,2.07,1.92,1.97,207901.6875
02/23/1995,16:00,1.97,2.07,1.97,2.02,165300.75
02/24/1995,16:00,2.02,2.02,1.92,1.97,35199.5625
02/27/1995,16:00,2.02,2.02,1.92,1.92,29701.6875
02/28/1995,16:00,2.02,2.02,1.92,2.00,43800.75
03/01/1995,16:00,2.02,2.02,1.92,2.00,2202.1875
03/02/1995,16:00,2.02,2.02,1.92,1.97,39300.1875
03/03/1995,16:00,2.02,2.02,1.92,1.92,46797.75
03/06/1995,16:00,2.02,2.02,1.92,1.92,36601.875
03/07/1995,16:00,2.02,2.02,1.92,1.95,8201.25
03/08/1995,16:00,1.87,2.02,1.77,1.87,179501.0625
03/09/1995,16:00,1.87,1.87,1.87,1.87,5401.6875
03/10/1995,16:00,1.77,1.92,1.77,1.92,673601.0625
03/13/1995,16:00,1.92,1.95,1.85,1.87,117399.375
03/14/1995,16:00,1.85,1.97,1.85,1.90,918099.5625
03/15/1995,16:00,2.02,2.07,1.92,2.00,147698.4375
03/16/1995,16:00,2.07,2.17,1.97,2.14,465699.375
03/17/1995,16:00,2.17,2.17,2.05,2.14,113501.25
03/20/1995,16:00,2.05,2.24,2.05,2.22,151799.0625
03/21/1995,16:00,2.14,2.27,2.14,2.17,323200.125
03/22/1995,16:00,2.27,2.27,2.17,2.27,149799.375
03/23/1995,16:00,2.17,2.27,2.17,2.17,258400.125
03/24/1995,16:00,2.22,2.24,2.14,2.14,303000.75
03/27/1995,16:00,2.14,2.17,2.14,2.17,193200.1875
03/28/1995,16:00,2.14,2.24,2.14,2.17,259301.25
03/29/1995,16:00,2.17,2.24,2.14,2.14,375399.5625
03/30/1995,16:00,2.14,2.17,2.14,2.17,52801.875
03/31/1995,16:00,2.07,2.09,2.02,2.02,44701.875
04/03/1995,16:00,2.05,2.12,2.02,2.12,55900.125
04/04/1995,16:00,2.05,2.12,2.05,2.12,46797.75
04/05/1995,16:00,2.05,2.17,2.05,2.12,37801.6875
04/06/1995,16:00,2.07,2.17,2.07,2.07,27099.5625
04/07/1995,16:00,2.07,2.17,2.07,2.07,32400.0
04/10/1995,16:00,2.07,2.17,2.07,2.07,29701.6875
04/11/1995,16:00,2.17,2.17,2.07,2.07,42702.1875
04/12/1995,16:00,2.12,2.29,2.07,2.27,190299.375
04/13/1995,16:00,2.19,2.29,2.19,2.19,182401.875
04/17/1995,16:00,2.29,2.29,2.14,2.27,30299.0625
04/18/1995,16:00,2.27,2.27,2.17,2.17,8100.0
04/19/1995,16:00,2.29,2.29,2.14,2.14,91302.1875
04/20/1995,16:00,2.22,2.22,2.05,2.14,110701.6875
04/21/1995,16:00,2.17,2.17,2.05,2.14,27600.75
04/24/1995,16:00,2.17,2.17,2.17,2.17,2799.5625
04/25/1995,16:00,2.14,2.14,2.05,2.05,85201.875
04/26/1995,16:00,2.09,2.09,2.02,2.05,20401.875
04/27/1995,16:00,2.12,2.12,2.07,2.12,60901.875
04/28/1995,16:00,2.07,2.12,2.02,2.05,111597.75
05/01/1995,16:00,2.12,2.12,2.02,2.02,4900.5
05/02/1995,16:00,2.14,2.22,2.12,2.14,314097.75
05/03/1995,16:00,2.19,2.27,2.14,2.22,291600.0
05/04/1995,16:00,2.27,2.41,2.22,2.34,702599.0625
05/05/1995,16:00,2.32,2.41,2.19,2.22,433299.375
05/08/1995,16:00,2.32,2.32,2.17,2.32,22497.75
05/09/1995,16:00,2.17,2.29,2.17,2.29,135897.75
05/10/1995,16:00,2.22,2.29,2.22,2.22,163898.4375
05/11/1995,16:00,2.22,2.29,2.22,2.27,468600.1875
05/12/1995,16:00,2.17,2.29,2.17,2.29,832497.75
05/15/1995,16:00,2.29,2.34,2.27,2.32,150700.5
05/16/1995,16:00,2.37,2.37,2.29,2.34,252401.0625
05/17/1995,16:00,2.37,2.51,2.32,2.44,585999.5625
05/18/1995,16:00,2.49,2.51,2.37,2.46,142600.5
05/19/1995,16:00,2.37,2.44,2.37,2.41,112200.1875
05/22/1995,16:00,2.46,2.46,2.37,2.44,41401.125
05/23/1995,16:00,2.51,2.51,2.39,2.44,152700.1875
05/24/1995,16:00,2.54,2.64,2.44,2.54,259301.25
05/25/1995,16:00,2.54,2.61,2.54,2.54,42702.1875
05/26/1995,16:00,2.61,2.61,2.54,2.54,46797.75
05/30/1995,16:00,2.62,2.66,2.59,2.64,109299.375
05/31/1995,16:00,2.71,2.71,2.59,2.69,91302.1875
06/01/1995,16:00,2.66,2.71,2.61,2.61,34298.4375
06/02/1995,16:00,2.69,2.81,2.66,2.76,171998.4375
06/05/1995,16:00,2.86,3.01,2.76,3.01,448800.75
06/06/1995,16:00,2.96,3.11,2.91,2.91,719700.1875
06/07/1995,16:00,3.01,3.01,2.91,2.91,83799.5625
06/08/1995,16:00,3.01,3.01,2.84,2.86,79197.75
06/09/1995,16:00,2.86,2.96,2.86,2.86,54001.6875
06/12/1995,16:00,2.84,3.11,2.84,3.06,627000.75
06/13/1995,16:00,3.06,3.11,2.96,3.03,233097.75
06/14/1995,16:00,3.06,3.20,2.96,3.20,586500.75
06/15/1995,16:00,3.20,3.40,3.11,3.38,227701.125
06/16/1995,16:00,3.38,3.38,3.11,3.20,358602.1875
06/19/1995,16:00,3.30,3.35,3.16,3.30,95099.0625
06/20/1995,16:00,3.25,3.30,3.20,3.20,64901.25
06/21/1995,16:00,3.23,3.30,3.20,3.23,208499.0625
06/22/1995,16:00,3.30,3.30,3.23,3.25,32400.0
06/23/1995,16:00,3.30,3.30,3.11,3.20,41801.0625
06/26/1995,16:00,3.20,3.20,3.11,3.11,81000.0
06/27/1995,16:00,3.11,3.20,3.11,3.13,460900.125
06/28/1995,16:00,3.20,3.20,3.13,3.13,59499.5625
06/29/1995,16:00,3.08,3.18,3.03,3.03,115298.4375
06/30/1995,16:00,3.06,3.16,3.06,3.06,41801.0625
07/03/1995,16:00,3.16,3.25,3.13,3.23,115298.4375
07/05/1995,16:00,3.25,3.43,3.16,3.35,329999.0625
07/06/1995,16:00,3.43,3.43,3.30,3.33,119697.75
07/07/1995,16:00,3.43,3.43,3.30,3.43,49901.0625
07/10/1995,16:00,3.43,3.43,3.33,3.40,62699.0625
07/11/1995,16:00,3.40,3.40,3.28,3.38,41401.125
07/12/1995,16:00,3.38,3.38,3.28,3.38,68100.75
