Date,Time,Open,High,Low,Close,Vol
06/26/2013,16:00,9.9,9.9,8.06,8.06,3061900.0
06/27/2013,16:00,8.05,8.3,7.81,8.02,391700.0
06/28/2013,16:00,8.0,8.15,8.0,8.0,61100.0
07/01/2013,16:00,8.24,8.24,8.04,8.1,44000.0
07/02/2013,16:00,8.3,8.53,8.11,8.47,133100.0
07/03/2013,16:00,8.52,8.58,8.41,8.57,29200.0
07/05/2013,16:00,8.67,8.68,8.5,8.62,40600.0
07/08/2013,16:00,8.68,8.82,8.47,8.82,52400.0
07/09/2013,16:00,8.92,9.03,8.9,8.93,127700.0
07/10/2013,16:00,9.05,9.05,8.88,8.95,50800.0
07/11/2013,16:00,9.05,9.12,8.95,9.03,55400.0
07/12/2013,16:00,9.12,9.12,8.8,9.0,64600.0
07/15/2013,16:00,9.05,9.4,9.03,9.35,49900.0
07/16/2013,16:00,9.45,9.49,9.21,9.21,44800.0
07/17/2013,16:00,9.45,9.45,9.07,9.27,24700.0
07/18/2013,16:00,9.5,9.6,9.29,9.46,103300.0
07/19/2013,16:00,9.53,9.53,9.15,9.44,199700.0
07/22/2013,16:00,9.6,9.64,9.07,9.27,211700.0
07/23/2013,16:00,9.49,9.49,9.04,9.38,159200.0
07/24/2013,16:00,9.45,9.74,9.04,9.51,188100.0
07/25/2013,16:00,9.50,9.64,9.22,9.28,25800.0
07/26/2013,16:00,9.75,9.75,9.16,9.2,49400.0
07/29/2013,16:00,9.53,9.53,9.31,9.35,25400.0
07/30/2013,16:00,9.51,9.51,9.06,9.2,35800.0
07/31/2013,16:00,9.26,9.26,9.0,9.11,23800.0
08/01/2013,16:00,9.1,9.21,8.88,8.9,29600.0
08/02/2013,16:00,8.97,8.97,8.4,8.47,41000.0
08/05/2013,16:00,8.4,8.89,8.4,8.52,26600.0
08/06/2013,16:00,8.4,8.84,8.0,8.0,28700.0
08/07/2013,16:00,8.09,8.60,7.26,7.52,81500.0
08/08/2013,16:00,7.69,7.93,7.51,7.55,26300.0
08/09/2013,16:00,7.57,7.58,7.06,7.24,72600.0
08/12/2013,16:00,7.16,7.25,7.01,7.19,97700.0
08/13/2013,16:00,7.10,7.2,7.06,7.16,198600.0
08/14/2013,16:00,7.21,7.53,7.21,7.28,83500.0
08/15/2013,16:00,7.29,7.42,7.28,7.35,24000.0
08/16/2013,16:00,7.53,8.4,7.29,7.79,23900.0
08/19/2013,16:00,7.72,7.94,7.29,7.34,35400.0
08/20/2013,16:00,7.48,7.65,7.32,7.46,44400.0
08/21/2013,16:00,7.8,7.83,7.32,7.52,12600.0
08/22/2013,16:00,7.65,8.05,7.51,8.01,13800.0
08/23/2013,16:00,8.28,8.38,8.09,8.35,19600.0
08/26/2013,16:00,8.4,8.4,7.92,7.92,17000.0
08/27/2013,16:00,7.94,7.98,7.57,7.78,3000.0
08/28/2013,16:00,7.75,8.0,7.66,8.0,6400.0
08/29/2013,16:00,7.9,8.04,7.07,7.63,38100.0
08/30/2013,16:00,7.55,7.84,7.50,7.65,11300.0
09/03/2013,16:00,7.66,7.9,7.5,7.9,24800.0
09/04/2013,16:00,7.89,8.35,7.61,8.01,91100.0
09/05/2013,16:00,8.1,8.36,7.85,7.94,45800.0
09/06/2013,16:00,7.91,8.03,7.56,7.6,134900.0
09/09/2013,16:00,7.7,7.92,7.5,7.62,16100.0
09/10/2013,16:00,8.29,14.1,8.29,13.0,937000.0
09/11/2013,16:00,12.83,12.95,10.17,11.0,374900.0
09/12/2013,16:00,11.0,11.7,10.57,11.23,94100.0
09/13/2013,16:00,11.22,11.5,10.95,11.13,30400.0
09/16/2013,16:00,11.39,11.53,10.58,10.94,109800.0
09/17/2013,16:00,10.98,11.18,10.7,10.75,66300.0
09/18/2013,16:00,10.86,11.0,10.53,10.62,73400.0
09/19/2013,16:00,10.76,10.89,10.31,10.71,64600.0
09/20/2013,16:00,10.82,10.87,10.1,10.78,201000.0
09/23/2013,16:00,10.8,12.1,10.67,11.5,162400.0
09/24/2013,16:00,11.41,12.39,11.05,11.75,208600.0
09/25/2013,16:00,12.02,12.6,11.35,11.5,134500.0
09/26/2013,16:00,11.88,12.34,11.55,12.02,67000.0
09/27/2013,16:00,11.91,12.13,11.33,11.64,137300.0
09/30/2013,16:00,11.59,11.59,10.67,11.0,185400.0
10/01/2013,16:00,11.0,11.28,10.94,11.1,40900.0
10/02/2013,16:00,11.2,11.66,10.92,11.35,50000.0
10/03/2013,16:00,11.25,11.68,11.06,11.39,35300.0
10/04/2013,16:00,11.5,11.5,11.13,11.39,50300.0
10/07/2013,16:00,11.25,11.8,11.25,11.73,22700.0
10/08/2013,16:00,11.84,11.9,10.0,10.88,96700.0
10/09/2013,16:00,10.12,10.92,10.08,10.87,43800.0
10/10/2013,16:00,10.88,11.25,10.17,10.72,83200.0
10/11/2013,16:00,10.77,11.21,10.65,11.0,19200.0
10/14/2013,16:00,10.81,11.18,10.66,11.04,24700.0
10/15/2013,16:00,11.11,11.11,10.55,10.78,27400.0
10/16/2013,16:00,10.69,11.02,10.50,10.72,35300.0
10/17/2013,16:00,10.83,10.97,10.5,10.89,43800.0
10/18/2013,16:00,10.9,11.58,10.65,11.15,49500.0
10/21/2013,16:00,11.23,11.68,10.38,10.75,18200.0
10/22/2013,16:00,10.76,11.08,10.76,11.08,30000.0
10/23/2013,16:00,11.1,11.34,10.7,10.76,31000.0
10/24/2013,16:00,10.7,10.97,10.51,10.56,19500.0
10/25/2013,16:00,10.55,10.7,10.43,10.5,18900.0
10/28/2013,16:00,10.59,10.7,10.25,10.69,35400.0
10/29/2013,16:00,10.62,10.62,10.24,10.37,13300.0
10/30/2013,16:00,10.36,10.47,10.01,10.16,26100.0
10/31/2013,16:00,9.76,10.32,9.25,10.20,36100.0
11/01/2013,16:00,10.2,10.45,8.64,9.95,86500.0
11/04/2013,16:00,10.53,10.84,9.86,10.27,38000.0
11/05/2013,16:00,10.44,10.63,10.17,10.2,10200.0
11/06/2013,16:00,10.74,11.25,10.1,10.11,17500.0
11/07/2013,16:00,10.23,10.58,10.16,10.37,35200.0
11/08/2013,16:00,10.58,10.9,10.52,10.66,16900.0
11/11/2013,16:00,10.78,10.78,10.38,10.38,7900.0
11/12/2013,16:00,10.43,11.34,10.36,11.34,24000.0
11/13/2013,16:00,11.18,11.64,11.01,11.57,27700.0
11/14/2013,16:00,11.64,13.01,11.55,11.95,55900.0
11/15/2013,16:00,12.09,12.67,12.0,12.05,43300.0
11/18/2013,16:00,12.18,12.5,11.76,12.0,44200.0
11/19/2013,16:00,12.0,12.47,11.55,11.86,55100.0
11/20/2013,16:00,12.0,12.37,11.9,12.04,61100.0
11/21/2013,16:00,12.16,12.16,11.51,11.84,32500.0
11/22/2013,16:00,11.96,12.97,11.93,12.17,34000.0
11/25/2013,16:00,12.23,12.45,11.87,12.03,36600.0
11/26/2013,16:00,12.12,12.15,11.85,12.08,53800.0
11/27/2013,16:00,11.99,12.08,11.8,12.07,10400.0
11/29/2013,16:00,12.1,12.1,11.8,11.81,1700.0
12/02/2013,16:00,11.81,12.07,11.75,11.96,17000.0
12/03/2013,16:00,11.84,12.06,11.83,12.06,5700.0
12/04/2013,16:00,12.0,12.9,11.9,12.13,101700.0
12/05/2013,16:00,12.24,12.61,12.0,12.5,75100.0
12/06/2013,16:00,12.6,13.53,12.59,13.28,102100.0
12/09/2013,16:00,13.4,14.0,13.4,13.59,58700.0
12/10/2013,16:00,13.74,14.5,13.74,14.05,81000.0
12/11/2013,16:00,17.55,18.09,15.56,15.6,470500.0
12/12/2013,16:00,15.96,16.45,15.96,16.26,89600.0
12/13/2013,16:00,16.43,16.50,16.13,16.24,44800.0
12/16/2013,16:00,16.49,16.8,16.07,16.33,57200.0
12/17/2013,16:00,16.23,16.59,15.84,15.91,67300.0
12/18/2013,16:00,15.84,16.3,15.41,15.8,106700.0
12/19/2013,16:00,15.27,16.31,14.9,15.43,134400.0
12/20/2013,16:00,15.4,16.11,15.37,15.45,121500.0
12/23/2013,16:00,15.68,16.0,15.45,15.84,20500.0
12/24/2013,16:00,15.8,15.98,15.65,15.9,47600.0
12/26/2013,16:00,15.93,16.89,15.61,16.43,81200.0
12/27/2013,16:00,16.29,17.22,16.26,16.39,76700.0
12/30/2013,16:00,16.5,17.05,16.5,16.88,52500.0
12/31/2013,16:00,17.0,17.5,16.86,17.24,180100.0
01/02/2014,16:00,17.18,17.21,16.59,16.87,40000.0
01/03/2014,16:00,16.75,17.39,16.62,17.08,63600.0
01/06/2014,16:00,16.48,17.0,16.28,16.93,63300.0
01/07/2014,16:00,17.0,17.77,16.59,17.32,176800.0
01/08/2014,16:00,17.33,17.82,17.08,17.52,64000.0
01/09/2014,16:00,17.52,20.78,17.34,19.01,149400.0
01/10/2014,16:00,19.12,19.86,19.12,19.51,167800.0
01/13/2014,16:00,19.53,20.12,19.36,19.62,152900.0
01/14/2014,16:00,19.85,20.25,19.41,20.04,69900.0
01/15/2014,16:00,20.04,20.45,19.69,19.94,65300.0
01/16/2014,16:00,20.0,20.13,19.83,20.0,65100.0
01/17/2014,16:00,20.0,20.06,19.76,19.79,81200.0
01/21/2014,16:00,19.64,19.71,18.65,19.11,71600.0
01/22/2014,16:00,19.0,20.49,18.06,19.94,107500.0
01/23/2014,16:00,19.94,20.36,19.11,19.56,53500.0
01/24/2014,16:00,18.3,18.45,17.34,17.78,1268000.0
01/27/2014,16:00,17.84,18.0,17.01,17.61,172500.0
01/28/2014,16:00,17.59,18.55,17.59,18.36,183200.0
01/29/2014,16:00,18.02,18.47,17.25,18.25,137700.0
01/30/2014,16:00,18.31,18.87,17.69,18.5,168600.0
01/31/2014,16:00,18.14,18.46,17.55,18.18,111100.0
02/03/2014,16:00,18.2,18.45,17.51,17.75,99600.0
02/04/2014,16:00,17.93,18.08,17.41,17.94,65300.0
02/05/2014,16:00,17.74,18.0,17.35,17.8,49400.0
02/06/2014,16:00,18.06,18.2,17.35,17.63,62400.0
02/07/2014,16:00,17.87,18.07,16.78,17.12,68300.0
02/10/2014,16:00,17.0,17.96,16.31,17.9,63400.0
02/11/2014,16:00,17.64,18.0,17.60,17.86,36100.0
02/12/2014,16:00,17.84,17.99,17.37,17.83,42800.0
02/13/2014,16:00,17.68,17.88,17.30,17.77,32900.0
02/14/2014,16:00,17.79,18.01,17.3,17.74,113700.0
02/18/2014,16:00,17.86,17.99,17.39,17.82,77200.0
02/19/2014,16:00,17.83,18.99,17.75,18.0,122900.0
02/20/2014,16:00,17.9,17.96,17.55,17.89,39200.0
02/21/2014,16:00,17.75,17.84,17.4,17.65,55600.0
02/24/2014,16:00,17.8,18.53,17.79,18.3,165400.0
02/25/2014,16:00,18.2,18.60,17.97,18.55,146100.0
02/26/2014,16:00,18.91,18.91,18.01,18.41,125000.0
02/27/2014,16:00,18.5,19.36,18.06,18.91,248400.0
02/28/2014,16:00,19.0,19.1,18.68,18.9,143100.0
03/03/2014,16:00,18.87,19.93,18.65,19.9,156800.0
03/04/2014,16:00,20.0,20.5,19.66,20.2,174400.0
03/05/2014,16:00,20.07,20.07,19.11,19.94,98700.0
03/06/2014,16:00,19.57,19.98,19.57,19.9,234400.0
03/07/2014,16:00,19.9,20.17,19.55,19.95,193900.0
03/10/2014,16:00,19.97,20.33,19.57,20.22,48700.0
03/11/2014,16:00,20.15,21.13,20.02,20.62,248200.0
03/12/2014,16:00,20.77,22.36,20.7,21.99,307500.0
03/13/2014,16:00,22.12,22.44,20.82,21.38,115000.0
03/14/2014,16:00,21.33,21.34,20.46,20.58,75200.0
03/17/2014,16:00,20.84,21.03,20.23,20.25,58400.0
03/18/2014,16:00,20.4,20.4,19.48,20.0,70100.0
03/19/2014,16:00,19.9,20.74,19.9,20.6,172300.0
03/20/2014,16:00,20.47,21.19,20.47,20.79,75800.0
03/21/2014,16:00,21.12,21.17,20.17,20.45,44100.0
03/24/2014,16:00,20.42,20.44,19.53,20.43,125600.0
03/25/2014,16:00,20.37,20.87,19.86,20.17,48200.0
03/26/2014,16:00,20.26,20.77,19.95,20.41,57800.0
03/27/2014,16:00,20.33,20.76,20.09,20.3,70300.0
03/28/2014,16:00,20.38,20.86,20.01,20.39,100000.0
03/31/2014,16:00,20.55,21.16,20.4,20.65,79200.0
04/01/2014,16:00,20.77,20.78,19.9,20.24,169900.0
04/02/2014,16:00,20.13,21.86,20.13,21.62,155600.0
04/03/2014,16:00,21.62,21.66,20.63,21.05,190700.0
04/04/2014,16:00,21.38,21.38,19.4,19.84,186700.0
04/07/2014,16:00,19.7,19.7,17.19,17.42,243500.0
04/08/2014,16:00,17.64,17.84,16.72,17.23,157500.0
04/09/2014,16:00,17.38,17.66,16.78,17.01,114900.0
04/10/2014,16:00,16.86,16.89,15.2,15.63,113600.0
04/11/2014,16:00,15.45,15.85,15.01,15.5,142100.0
04/14/2014,16:00,15.54,16.02,15.41,15.74,106700.0
04/15/2014,16:00,15.73,15.81,14.68,15.61,131700.0
04/16/2014,16:00,15.68,16.23,15.36,15.97,128100.0
04/17/2014,16:00,15.92,16.84,15.43,16.67,101300.0
04/21/2014,16:00,16.67,17.5,16.67,17.24,96800.0
04/22/2014,16:00,17.24,17.77,16.99,17.42,75600.0
04/23/2014,16:00,17.47,17.69,16.81,17.22,75900.0
04/24/2014,16:00,17.25,17.78,16.91,17.59,72600.0
04/25/2014,16:00,17.6,17.6,15.78,16.34,107600.0
04/28/2014,16:00,16.44,17.48,15.50,16.13,84900.0
04/29/2014,16:00,16.25,16.85,15.88,16.52,57800.0
04/30/2014,16:00,16.56,16.6,16.03,16.22,56000.0
05/01/2014,16:00,16.33,16.66,15.95,16.62,48500.0
05/02/2014,16:00,16.72,16.89,15.77,16.28,56200.0
05/05/2014,16:00,16.12,17.06,16.09,16.76,54700.0
