Date,Time,Open,High,Low,Close,Vol
09/11/1996,16:00,19.48,19.48,18.55,18.55,300.0
09/12/1996,16:00,20.86,20.86,18.55,19.19,800.0
09/13/1996,16:00,19.00,20.41,19.00,20.41,100.0
09/16/1996,16:00,20.41,20.86,19.48,19.48,1200.0
09/17/1996,16:00,21.34,21.34,18.55,21.34,500.0
09/18/1996,16:00,21.34,21.34,19.93,19.93,1000.0
09/19/1996,16:00,19.93,19.93,19.93,19.93,0.0
09/20/1996,16:00,19.00,19.00,19.00,19.00,100.0
09/23/1996,16:00,18.55,19.48,18.55,19.48,200.0
09/24/1996,16:00,19.48,19.48,19.48,19.48,0.0
09/25/1996,16:00,19.48,19.48,18.55,18.55,500.0
09/26/1996,16:00,18.55,19.48,18.55,19.48,15400.0
09/27/1996,16:00,19.48,20.41,19.00,19.00,4900.0
09/30/1996,16:00,19.48,20.41,19.00,20.41,2100.0
10/01/1996,16:00,19.00,20.41,19.00,19.48,2700.0
10/02/1996,16:00,19.48,21.34,19.48,21.34,2700.0
10/03/1996,16:00,21.34,22.71,21.34,21.34,700.0
10/04/1996,16:00,22.71,23.64,21.34,22.71,1200.0
10/07/1996,16:00,22.71,25.05,22.27,24.57,1800.0
10/08/1996,16:00,25.05,25.50,22.71,24.12,2800.0
10/09/1996,16:00,23.19,25.05,23.19,25.05,2500.0
10/10/1996,16:00,25.05,25.05,23.19,23.19,500.0
10/11/1996,16:00,23.19,24.83,23.19,23.64,1800.0
10/14/1996,16:00,23.19,25.05,23.19,23.19,500.0
10/15/1996,16:00,23.19,24.12,23.19,23.19,200.0
10/16/1996,16:00,23.19,24.12,23.19,24.12,700.0
10/17/1996,16:00,23.19,24.57,23.19,23.64,500.0
10/18/1996,16:00,23.64,24.12,23.19,23.19,800.0
10/21/1996,16:00,24.12,24.12,23.19,24.12,1500.0
10/22/1996,16:00,23.19,24.12,23.19,23.64,2900.0
10/23/1996,16:00,24.12,24.12,23.19,24.12,800.0
10/24/1996,16:00,23.19,24.12,23.19,23.19,300.0
10/25/1996,16:00,23.64,24.57,23.19,24.12,700.0
10/28/1996,16:00,23.19,24.57,23.19,23.64,300.0
10/29/1996,16:00,24.57,24.57,23.19,23.19,200.0
10/30/1996,16:00,24.57,24.57,23.19,23.64,300.0
10/31/1996,16:00,23.19,23.64,22.71,23.64,1400.0
11/01/1996,16:00,23.19,24.12,23.19,24.12,700.0
11/04/1996,16:00,23.19,25.05,23.19,25.05,200.0
11/05/1996,16:00,23.19,25.05,23.19,25.05,0.0
11/06/1996,16:00,23.64,25.05,23.19,23.19,400.0
11/07/1996,16:00,23.64,24.12,23.19,24.12,300.0
11/08/1996,16:00,23.19,24.12,23.19,23.19,1300.0
11/11/1996,16:00,23.64,23.64,23.19,23.19,2300.0
11/12/1996,16:00,23.19,23.19,23.19,23.19,600.0
11/13/1996,16:00,23.19,23.64,23.19,23.64,2100.0
11/14/1996,16:00,23.19,23.19,23.19,23.19,1300.0
11/15/1996,16:00,23.64,23.64,23.19,23.19,1200.0
11/18/1996,16:00,23.19,23.64,23.19,23.64,600.0
11/19/1996,16:00,23.19,23.64,23.19,23.64,700.0
11/20/1996,16:00,23.19,23.64,23.19,23.64,700.0
11/21/1996,16:00,23.19,23.64,23.19,23.64,600.0
