Date,Time,Open,High,Low,Close,Vol
07/26/2004,16:00,16.41,16.44,16.26,16.37,1000.0
07/27/2004,16:00,16.30,16.30,16.17,16.20,900.0
07/28/2004,16:00,16.17,16.20,16.13,16.19,1200.0
07/29/2004,16:00,16.15,16.26,16.08,16.17,1300.0
07/30/2004,16:00,15.98,16.00,15.89,15.97,8000.0
08/02/2004,16:00,15.98,16.02,15.80,15.98,1400.0
08/03/2004,16:00,16.02,16.08,15.97,16.04,11400.0
08/04/2004,16:00,16.08,16.31,16.08,16.31,1100.0
08/05/2004,16:00,16.33,16.41,16.22,16.22,2200.0
08/06/2004,16:00,16.26,16.33,16.22,16.22,2800.0
08/09/2004,16:00,16.22,16.22,15.80,16.04,900.0
08/10/2004,16:00,15.89,16.04,15.80,16.02,500.0
08/11/2004,16:00,15.98,16.17,15.89,15.89,1400.0
08/12/2004,16:00,15.98,15.98,15.80,15.80,1400.0
08/13/2004,16:00,15.80,15.98,15.80,15.80,1400.0
08/16/2004,16:00,15.89,15.89,15.80,15.86,1000.0
08/17/2004,16:00,15.89,15.89,15.71,15.71,500.0
08/18/2004,16:00,15.80,15.80,15.62,15.62,3800.0
08/19/2004,16:00,15.62,15.80,15.62,15.78,1200.0
08/20/2004,16:00,15.80,15.89,15.71,15.89,3000.0
08/23/2004,16:00,15.80,16.08,15.80,16.08,2400.0
08/24/2004,16:00,16.11,16.35,16.11,16.26,1100.0
08/25/2004,16:00,16.35,16.35,16.26,16.30,7000.0
08/26/2004,16:00,16.26,16.33,16.26,16.26,2200.0
08/27/2004,16:00,16.26,16.53,16.26,16.31,5400.0
08/30/2004,16:00,16.35,16.44,16.31,16.33,16100.0
08/31/2004,16:00,16.35,16.62,16.35,16.59,8700.0
09/01/2004,16:00,16.62,16.86,16.62,16.83,34200.0
09/02/2004,16:00,16.81,16.99,16.72,16.72,4400.0
09/03/2004,16:00,16.81,17.08,16.81,17.08,14100.0
09/07/2004,16:00,17.17,17.63,17.17,17.54,12800.0
09/08/2004,16:00,17.54,17.72,17.54,17.61,26900.0
09/09/2004,16:00,17.59,17.63,17.26,17.36,6200.0
09/10/2004,16:00,17.36,17.63,17.36,17.45,9700.0
09/13/2004,16:00,17.41,17.50,17.36,17.45,13400.0
09/14/2004,16:00,17.36,17.54,17.26,17.54,1900.0
09/15/2004,16:00,17.54,17.63,17.41,17.50,13100.0
09/16/2004,16:00,17.63,18.09,17.63,17.81,20100.0
09/17/2004,16:00,17.90,17.90,17.72,17.81,8700.0
09/20/2004,16:00,17.78,17.78,17.63,17.63,3100.0
09/21/2004,16:00,17.59,17.59,17.43,17.45,1700.0
09/22/2004,16:00,17.41,17.41,17.08,17.26,4300.0
09/23/2004,16:00,17.26,17.36,17.17,17.17,4700.0
09/24/2004,16:00,17.17,17.23,17.10,17.17,1500.0
09/27/2004,16:00,17.17,17.25,17.15,17.25,1500.0
09/28/2004,16:00,17.17,17.26,17.14,17.25,1200.0
09/29/2004,16:00,17.17,17.17,16.90,16.99,1500.0
09/30/2004,16:00,16.99,17.08,16.97,17.08,5400.0
10/01/2004,16:00,17.08,17.85,17.03,17.65,9300.0
10/04/2004,16:00,17.65,18.11,17.65,17.74,31300.0
10/05/2004,16:00,17.66,17.66,17.55,17.63,3100.0
10/06/2004,16:00,17.61,17.89,17.57,17.63,5000.0
10/07/2004,16:00,17.65,17.65,17.55,17.61,1400.0
10/08/2004,16:00,17.65,17.74,17.55,17.55,3500.0
10/11/2004,16:00,17.65,17.65,17.55,17.57,800.0
10/12/2004,16:00,17.55,17.74,17.46,17.55,2900.0
10/13/2004,16:00,17.61,17.61,17.53,17.55,100.0
10/14/2004,16:00,17.55,17.55,17.37,17.37,500.0
10/15/2004,16:00,17.39,17.46,17.33,17.35,800.0
10/18/2004,16:00,17.37,17.46,17.33,17.39,800.0
10/19/2004,16:00,17.37,17.39,17.27,17.27,600.0
10/20/2004,16:00,17.29,17.29,17.03,17.07,3200.0
10/21/2004,16:00,17.09,17.09,16.96,16.96,1200.0
10/22/2004,16:00,16.90,17.00,16.90,16.92,1800.0
10/25/2004,16:00,16.92,16.98,16.83,16.83,1700.0
10/26/2004,16:00,16.90,16.90,16.68,16.72,2400.0
10/27/2004,16:00,16.81,16.81,16.70,16.72,600.0
10/28/2004,16:00,16.72,16.74,16.70,16.70,2000.0
10/29/2004,16:00,16.72,16.74,16.53,16.55,1800.0
11/01/2004,16:00,16.70,16.72,16.68,16.72,900.0
11/02/2004,16:00,16.72,16.72,16.68,16.68,2600.0
11/03/2004,16:00,16.72,16.72,16.70,16.70,1100.0
11/04/2004,16:00,16.72,16.72,16.70,16.72,300.0
11/05/2004,16:00,16.81,17.37,16.81,17.27,33300.0
11/08/2004,16:00,17.27,17.37,16.94,16.98,2100.0
11/09/2004,16:00,16.92,17.37,16.92,17.22,1200.0
11/10/2004,16:00,17.11,17.37,17.09,17.18,1500.0
11/11/2004,16:00,17.18,17.33,17.09,17.09,1600.0
11/12/2004,16:00,17.16,17.16,17.03,17.03,2700.0
