Date,Time,Open,High,Low,Close,Vol
10/02/1997,16:00,14.25,15.25,13.75,15.13,3421300.0
10/03/1997,16:00,15.75,16.0,15.13,15.5,848000.0
10/06/1997,16:00,15.63,15.88,15.38,15.88,221300.0
10/07/1997,16:00,15.63,16.0,15.5,15.75,145500.0
10/08/1997,16:00,15.63,16.0,14.88,15.0,317500.0
10/09/1997,16:00,15.13,15.25,14.5,14.88,115500.0
10/10/1997,16:00,15.25,15.25,14.75,15.13,76600.0
10/13/1997,16:00,14.88,15.0,14.63,15.0,97700.0
10/14/1997,16:00,15.0,15.0,14.13,14.25,175000.0
10/15/1997,16:00,14.38,15.0,14.25,15.0,143900.0
10/16/1997,16:00,15.25,15.25,14.88,15.0,10500.0
10/17/1997,16:00,14.63,14.88,14.13,14.13,74700.0
10/20/1997,16:00,14.13,14.63,14.13,14.5,375400.0
10/21/1997,16:00,14.13,14.75,14.13,14.5,26700.0
10/22/1997,16:00,14.75,15.0,14.25,14.63,104900.0
10/23/1997,16:00,14.5,15.0,14.38,14.5,61200.0
10/24/1997,16:00,14.75,15.0,14.5,14.5,32000.0
10/27/1997,16:00,14.25,14.63,13.38,13.41,57200.0
10/28/1997,16:00,12.75,13.75,11.75,13.63,209800.0
10/29/1997,16:00,13.63,13.75,13.0,13.13,175900.0
10/30/1997,16:00,13.5,13.63,13.0,13.25,164700.0
10/31/1997,16:00,13.5,13.63,13.0,13.0,34000.0
11/03/1997,16:00,13.5,13.63,13.0,13.5,29400.0
11/04/1997,16:00,13.13,13.63,13.0,13.31,27400.0
11/05/1997,16:00,14.38,14.88,14.0,14.5,193900.0
11/06/1997,16:00,14.63,15.5,14.38,15.38,76600.0
11/07/1997,16:00,15.25,15.25,14.25,14.88,41400.0
11/10/1997,16:00,15.25,15.63,15.0,15.13,14100.0
11/11/1997,16:00,15.0,15.5,15.0,15.13,74700.0
11/12/1997,16:00,15.38,15.38,14.75,14.75,103400.0
11/13/1997,16:00,14.63,14.75,14.5,14.5,25300.0
11/14/1997,16:00,14.5,14.75,14.5,14.75,7100.0
11/17/1997,16:00,14.75,14.88,14.75,14.88,7400.0
11/18/1997,16:00,14.88,14.88,14.75,14.75,61200.0
11/19/1997,16:00,14.5,14.5,14.0,14.5,8400.0
11/20/1997,16:00,14.5,14.5,14.0,14.0,9400.0
11/21/1997,16:00,13.88,14.38,13.63,13.63,14000.0
11/24/1997,16:00,13.5,13.5,13.0,13.0,15900.0
11/25/1997,16:00,13.0,13.25,13.0,13.25,4200.0
11/26/1997,16:00,13.25,13.5,12.88,12.88,48600.0
11/28/1997,16:00,13.25,13.25,13.0,13.0,4200.0
12/01/1997,16:00,13.25,13.25,13.25,13.25,1000.0
