Date,Time,Open,High,Low,Close,Vol
05/30/2002,16:00,13.69,14.11,12.99,13.03,1663700.0
05/31/2002,16:00,13.16,13.43,12.99,13.02,308600.0
06/03/2002,16:00,13.11,13.26,13.0,13.0,99700.0
06/04/2002,16:00,13.14,13.14,12.65,12.8,350200.0
06/05/2002,16:00,12.8,12.8,12.28,12.32,51000.0
06/06/2002,16:00,12.26,12.35,12.25,12.25,11000.0
06/07/2002,16:00,12.35,12.59,12.25,12.51,21900.0
06/10/2002,16:00,12.6,13.0,12.6,12.95,77400.0
06/11/2002,16:00,13.0,13.59,12.8,13.0,83200.0
06/12/2002,16:00,13.1,14.15,13.1,14.14,43000.0
06/13/2002,16:00,14.0,15.1,14.0,14.6,51100.0
06/14/2002,16:00,14.5,14.5,13.6,14.31,32000.0
06/17/2002,16:00,14.4,14.55,14.2,14.41,14400.0
06/18/2002,16:00,14.45,14.5,13.61,13.81,15500.0
06/19/2002,16:00,13.81,13.95,13.65,13.66,23300.0
06/20/2002,16:00,13.89,13.89,12.97,13.22,44600.0
06/21/2002,16:00,13.2,13.25,12.96,13.1,15400.0
06/24/2002,16:00,13.1,13.35,12.95,13.16,25400.0
06/25/2002,16:00,13.2,13.74,13.09,13.41,32500.0
06/26/2002,16:00,13.3,13.5,13.11,13.5,23300.0
06/27/2002,16:00,13.6,14.06,13.45,14.06,21500.0
06/28/2002,16:00,14.1,14.55,13.97,14.05,162400.0
07/01/2002,16:00,14.0,14.61,13.4,14.55,125500.0
07/02/2002,16:00,14.39,14.5,13.26,13.26,59700.0
07/03/2002,16:00,13.26,13.75,13.2,13.25,105600.0
07/05/2002,16:00,13.25,13.25,12.77,13.0,61800.0
07/08/2002,16:00,12.79,13.18,12.0,12.52,42900.0
07/09/2002,16:00,12.45,12.45,12.15,12.26,24400.0
07/10/2002,16:00,12.35,12.98,12.34,12.92,9000.0
07/11/2002,16:00,12.92,12.95,12.55,12.56,10300.0
07/12/2002,16:00,12.5,12.7,12.42,12.43,9800.0
07/15/2002,16:00,12.42,13.0,12.1,12.99,24100.0
07/16/2002,16:00,13.0,13.05,12.64,13.05,9000.0
07/17/2002,16:00,12.75,12.8,12.6,12.62,7300.0
07/18/2002,16:00,12.7,12.94,12.18,12.25,18000.0
