Date,Time,Open,High,Low,Close,Vol
07/14/2000,16:00,13.5,18.81,13.5,17.0,22626800.0
07/17/2000,16:00,17.5,20.90,17.12,20.22,4394000.0
07/18/2000,16:00,20.01,22.0,18.06,19.12,2141400.0
07/19/2000,16:00,19.34,20.22,18.5,18.81,1310800.0
07/20/2000,16:00,18.90,20.94,18.62,19.25,1380800.0
07/21/2000,16:00,19.19,19.56,17.37,17.78,1013200.0
07/24/2000,16:00,17.75,18.06,15.06,16.31,929000.0
07/25/2000,16:00,16.25,18.0,16.19,18.0,559800.0
07/26/2000,16:00,17.94,18.0,16.37,17.47,313200.0
07/27/2000,16:00,17.15,17.15,14.31,15.28,750600.0
07/28/2000,16:00,15.25,16.0,11.25,12.65,962400.0
07/31/2000,16:00,12.56,12.61,11.06,11.37,1038400.0
08/01/2000,16:00,11.56,12.5,10.37,11.57,466400.0
08/02/2000,16:00,11.75,12.75,11.44,12.0,458800.0
08/03/2000,16:00,11.97,14.0,11.5,13.84,438600.0
08/04/2000,16:00,13.5,15.65,13.5,15.65,302600.0
08/07/2000,16:00,14.69,16.0,14.69,15.34,343400.0
08/08/2000,16:00,15.0,15.34,14.5,14.94,410000.0
08/09/2000,16:00,14.94,16.0,14.94,15.12,424400.0
08/10/2000,16:00,15.22,15.5,15.0,15.06,157200.0
08/11/2000,16:00,15.06,15.14,12.25,13.75,245000.0
08/14/2000,16:00,13.62,13.84,13.5,13.72,240000.0
08/15/2000,16:00,13.78,14.0,13.53,13.69,81800.0
08/16/2000,16:00,14.03,14.03,12.87,13.06,76600.0
08/17/2000,16:00,13.19,14.0,12.94,13.87,100400.0
08/18/2000,16:00,13.97,15.5,13.94,15.37,97000.0
08/21/2000,16:00,15.25,16.75,15.25,16.44,194800.0
08/22/2000,16:00,16.75,18.0,16.53,17.19,364600.0
08/23/2000,16:00,16.75,17.97,16.19,17.97,182400.0
08/24/2000,16:00,17.69,18.94,17.12,18.5,124000.0
08/25/2000,16:00,19.34,20.94,19.25,20.0,754200.0
08/28/2000,16:00,20.25,22.5,19.75,22.0,527600.0
08/29/2000,16:00,22.23,24.06,21.5,23.62,932000.0
08/30/2000,16:00,23.48,25.0,20.75,21.0,367000.0
08/31/2000,16:00,21.12,22.5,21.0,22.5,449000.0
09/01/2000,16:00,22.5,22.5,19.0,21.62,376400.0
09/05/2000,16:00,21.53,21.53,20.94,21.31,105200.0
09/06/2000,16:00,20.97,21.25,20.25,20.25,211000.0
09/07/2000,16:00,20.31,20.37,17.44,17.65,320200.0
09/08/2000,16:00,17.75,18.78,17.62,18.59,148200.0
09/11/2000,16:00,18.69,19.87,18.69,19.37,58800.0
09/12/2000,16:00,19.06,19.25,17.5,17.5,101600.0
09/13/2000,16:00,17.25,19.5,15.19,18.5,138800.0
09/14/2000,16:00,19.0,19.09,17.37,18.69,34400.0
09/15/2000,16:00,18.69,19.06,17.37,18.12,103400.0
09/18/2000,16:00,17.83,18.0,17.25,17.37,169200.0
09/19/2000,16:00,17.37,19.87,17.34,19.0,98200.0
09/20/2000,16:00,19.37,19.37,18.5,19.12,544600.0
09/21/2000,16:00,18.61,18.61,17.0,17.75,265200.0
09/22/2000,16:00,16.62,18.65,16.5,18.62,49600.0
09/25/2000,16:00,18.69,19.78,17.62,17.62,80800.0
09/26/2000,16:00,17.54,18.0,16.65,16.97,155600.0
09/27/2000,16:00,18.25,18.28,17.56,17.87,109400.0
09/28/2000,16:00,17.5,18.5,17.5,18.25,337600.0
09/29/2000,16:00,18.44,18.44,17.5,18.09,129200.0
10/02/2000,16:00,17.87,18.56,17.87,18.12,266200.0
10/03/2000,16:00,18.5,18.5,18.12,18.25,40000.0
10/04/2000,16:00,17.37,18.5,17.0,18.5,259000.0
10/05/2000,16:00,17.87,20.28,17.87,18.59,177800.0
10/06/2000,16:00,18.0,18.12,16.0,16.26,127200.0
10/09/2000,16:00,16.68,16.68,13.25,14.94,208400.0
10/10/2000,16:00,15.0,15.37,13.75,14.31,209800.0
10/11/2000,16:00,13.88,15.37,12.53,13.0,113000.0
10/12/2000,16:00,13.75,14.5,13.62,13.87,61000.0
10/13/2000,16:00,14.03,17.25,14.0,17.12,285200.0
10/16/2000,16:00,16.12,17.62,16.0,17.37,87600.0
10/17/2000,16:00,17.5,18.37,15.0,15.94,74600.0
10/18/2000,16:00,15.12,15.12,14.75,14.81,48200.0
10/19/2000,16:00,14.75,16.81,14.75,16.40,124800.0
10/20/2000,16:00,15.99,16.0,13.97,14.94,55000.0
