Date,Time,Open,High,Low,Close,Vol
04/29/2005,16:00,10.75,11.3,10.5,10.75,4604800.0
05/02/2005,16:00,10.9,11.3,10.8,11.16,498600.0
05/03/2005,16:00,11.14,12.37,11.14,12.2,571100.0
05/04/2005,16:00,12.2,12.25,11.75,12.03,336600.0
05/05/2005,16:00,12.1,12.65,12.01,12.52,278700.0
05/06/2005,16:00,12.55,13.2,12.5,13.2,138600.0
05/09/2005,16:00,13.25,13.25,12.65,12.8,73700.0
05/10/2005,16:00,12.9,12.95,12.65,12.75,95300.0
05/11/2005,16:00,12.78,12.85,12.7,12.8,68600.0
05/12/2005,16:00,12.85,13.0,12.75,12.9,50900.0
05/13/2005,16:00,13.0,13.15,12.5,12.75,151500.0
05/16/2005,16:00,12.8,13.02,12.75,13.0,208900.0
05/17/2005,16:00,13.0,13.15,12.9,13.1,70400.0
05/18/2005,16:00,13.18,13.55,13.05,13.15,162700.0
05/19/2005,16:00,13.25,13.65,13.25,13.65,106100.0
05/20/2005,16:00,13.65,13.77,13.4,13.4,120000.0
05/23/2005,16:00,13.43,13.74,13.43,13.74,75900.0
05/24/2005,16:00,13.74,13.75,12.96,13.0,289000.0
05/25/2005,16:00,12.97,12.97,12.5,12.94,87400.0
05/26/2005,16:00,12.94,12.94,12.75,12.89,19800.0
05/27/2005,16:00,12.8,12.92,12.75,12.9,25300.0
05/31/2005,16:00,12.9,12.99,12.75,12.97,34400.0
06/01/2005,16:00,12.97,13.18,12.8,12.95,124500.0
06/02/2005,16:00,13.0,13.44,12.92,13.39,269500.0
06/03/2005,16:00,13.8,16.45,13.78,15.95,1520000.0
06/06/2005,16:00,16.05,16.93,15.95,16.38,910800.0
06/07/2005,16:00,16.45,16.5,15.38,15.82,428000.0
06/08/2005,16:00,15.9,16.03,15.4,15.73,226600.0
06/09/2005,16:00,15.55,15.55,15.11,15.3,201500.0
06/10/2005,16:00,15.2,16.39,14.82,15.93,267600.0
06/13/2005,16:00,15.93,16.3,15.6,15.99,235900.0
06/14/2005,16:00,16.0,16.0,15.61,15.96,95500.0
06/15/2005,16:00,15.99,16.0,15.62,15.84,157000.0
06/16/2005,16:00,15.8,15.9,15.63,15.8,82300.0
06/17/2005,16:00,15.9,16.05,14.81,15.35,189500.0
06/20/2005,16:00,15.2,15.99,15.2,15.73,123500.0
06/21/2005,16:00,15.73,16.0,15.61,15.97,136900.0
06/22/2005,16:00,16.0,16.36,15.49,15.9,239900.0
06/23/2005,16:00,15.88,16.15,15.75,15.93,484300.0
06/24/2005,16:00,15.9,16.08,15.6,15.9,1309300.0
06/27/2005,16:00,16.0,16.0,15.55,16.0,136100.0
06/28/2005,16:00,16.0,16.49,15.85,16.0,248100.0
06/29/2005,16:00,16.03,16.2,15.95,16.05,277800.0
06/30/2005,16:00,16.05,16.5,16.05,16.25,198700.0
07/01/2005,16:00,16.25,16.34,16.05,16.26,358600.0
07/05/2005,16:00,16.5,18.38,16.4,18.0,512000.0
07/06/2005,16:00,18.0,18.15,17.5,17.89,198500.0
07/07/2005,16:00,17.5,17.97,17.26,17.78,167700.0
07/08/2005,16:00,17.9,18.1,17.55,17.65,280600.0
07/11/2005,16:00,17.7,17.8,17.5,17.74,179000.0
07/12/2005,16:00,17.74,17.85,17.68,17.75,196400.0
07/13/2005,16:00,17.8,18.49,17.4,17.48,119000.0
07/14/2005,16:00,17.25,17.55,16.85,17.2,233200.0
07/15/2005,16:00,17.1,17.99,17.1,17.91,186900.0
07/18/2005,16:00,17.95,18.14,17.75,17.97,248800.0
07/19/2005,16:00,17.98,18.5,17.94,18.5,241600.0
07/20/2005,16:00,18.45,18.64,18.15,18.2,107500.0
07/21/2005,16:00,18.2,18.25,17.8,18.17,100300.0
07/22/2005,16:00,18.18,18.3,17.85,18.24,59900.0
07/25/2005,16:00,18.25,18.64,18.25,18.57,220200.0
07/26/2005,16:00,18.65,19.25,18.55,19.06,210200.0
07/27/2005,16:00,19.15,19.45,19.06,19.34,102600.0
07/28/2005,16:00,19.47,20.39,19.44,20.19,177800.0
07/29/2005,16:00,20.06,22.33,19.93,20.85,396000.0
08/01/2005,16:00,20.96,21.49,20.78,20.79,123400.0
08/02/2005,16:00,20.84,21.0,20.21,20.49,142700.0
08/03/2005,16:00,20.42,20.42,20.01,20.16,63400.0
08/04/2005,16:00,20.11,20.32,19.26,19.72,112900.0
08/05/2005,16:00,19.8,19.8,18.7,18.9,162100.0
08/08/2005,16:00,19.0,20.74,19.0,19.94,161300.0
08/09/2005,16:00,19.9,20.75,19.89,20.69,95200.0
08/10/2005,16:00,20.95,21.73,19.07,19.6,131800.0
08/11/2005,16:00,19.55,20.4,19.41,20.0,126000.0
08/12/2005,16:00,19.95,19.95,18.5,19.4,155800.0
08/15/2005,16:00,19.35,19.9,18.7,19.79,35500.0
08/16/2005,16:00,19.7,19.7,17.99,18.47,154300.0
08/17/2005,16:00,18.47,18.6,18.12,18.46,74800.0
08/18/2005,16:00,18.3,19.0,18.25,18.73,120500.0
08/19/2005,16:00,18.74,19.2,18.74,19.16,48100.0
08/22/2005,16:00,19.2,19.43,19.14,19.33,132600.0
08/23/2005,16:00,19.4,19.74,19.31,19.57,81100.0
08/24/2005,16:00,19.5,20.45,19.5,20.2,208900.0
08/25/2005,16:00,20.45,20.75,19.64,19.75,138700.0
08/26/2005,16:00,19.6,20.24,19.01,19.98,560200.0
08/29/2005,16:00,20.05,21.5,20.05,21.35,362000.0
08/30/2005,16:00,21.95,22.15,21.5,21.65,224500.0
08/31/2005,16:00,21.8,22.0,21.5,21.95,112100.0
09/01/2005,16:00,21.7,21.75,19.35,20.78,253400.0
09/02/2005,16:00,20.8,20.8,19.66,20.4,103900.0
09/06/2005,16:00,20.25,20.56,19.75,20.55,84300.0
09/07/2005,16:00,20.7,21.4,20.6,21.24,132700.0
09/08/2005,16:00,21.24,21.24,20.69,20.95,48900.0
09/09/2005,16:00,21.1,21.45,20.65,20.95,47900.0
09/12/2005,16:00,20.98,21.45,20.71,21.22,46000.0
09/13/2005,16:00,21.23,21.23,20.27,20.34,59700.0
09/14/2005,16:00,20.4,20.4,19.28,19.55,186000.0
09/15/2005,16:00,19.45,20.59,19.45,20.27,112200.0
09/16/2005,16:00,20.38,20.45,19.84,20.37,151900.0
09/19/2005,16:00,20.3,20.86,19.9,20.78,385600.0
09/20/2005,16:00,20.92,21.25,20.77,20.79,4457900.0
09/21/2005,16:00,20.78,20.79,20.5,20.5,829900.0
09/22/2005,16:00,20.5,20.75,20.46,20.51,332400.0
