Date,Time,Open,High,Low,Close,Vol
10/24/1995,16:00,12.0,12.5,12.0,12.0,661600.0
10/25/1995,16:00,12.5,12.5,12.0,12.5,120100.0
10/26/1995,16:00,12.0,12.5,12.0,12.0,31300.0
10/27/1995,16:00,12.0,13.25,12.0,13.0,112300.0
10/30/1995,16:00,13.5,14.25,13.0,14.25,51600.0
10/31/1995,16:00,14.5,14.5,14.0,14.5,27300.0
11/01/1995,16:00,14.5,14.5,13.75,14.25,23400.0
11/02/1995,16:00,14.25,14.25,13.5,14.0,3400.0
11/03/1995,16:00,13.25,13.25,12.38,12.5,98500.0
11/06/1995,16:00,12.5,12.5,12.5,12.5,0.0
11/07/1995,16:00,13.0,13.0,12.5,12.63,33400.0
11/08/1995,16:00,12.88,13.75,12.75,13.75,116500.0
11/09/1995,16:00,14.0,15.25,13.75,15.25,85900.0
11/10/1995,16:00,15.25,15.25,14.5,15.0,43800.0
11/13/1995,16:00,15.0,15.69,15.0,15.31,12200.0
11/14/1995,16:00,15.0,15.75,15.0,15.25,15800.0
11/15/1995,16:00,15.25,15.38,15.25,15.38,11800.0
11/16/1995,16:00,15.63,15.63,15.25,15.25,15400.0
11/17/1995,16:00,15.5,15.5,15.38,15.38,2000.0
11/20/1995,16:00,15.75,16.0,15.75,16.0,10900.0
11/21/1995,16:00,16.25,16.25,15.5,15.5,5400.0
11/22/1995,16:00,15.5,16.25,15.5,16.25,1000.0
11/24/1995,16:00,16.25,16.25,16.25,16.25,0.0
11/27/1995,16:00,15.5,16.75,15.5,16.75,49600.0
11/28/1995,16:00,16.75,16.75,16.25,16.25,600.0
11/29/1995,16:00,16.25,16.25,16.0,16.0,7000.0
11/30/1995,16:00,16.0,16.0,15.38,15.38,25300.0
12/01/1995,16:00,15.75,16.0,15.5,15.5,2000.0
12/04/1995,16:00,15.5,15.5,15.5,15.5,0.0
12/05/1995,16:00,15.5,15.5,15.0,15.0,700.0
12/06/1995,16:00,15.25,15.38,15.0,15.0,8800.0
12/07/1995,16:00,15.25,15.25,15.25,15.25,1300.0
12/08/1995,16:00,15.0,15.0,15.0,15.0,2500.0
12/11/1995,16:00,15.0,15.0,14.75,14.75,14700.0
12/12/1995,16:00,14.5,14.5,13.5,13.75,10500.0
12/13/1995,16:00,13.25,13.25,13.25,13.25,2500.0
12/14/1995,16:00,13.25,13.75,13.25,13.5,15700.0
12/15/1995,16:00,14.0,14.0,13.5,13.5,2500.0
12/18/1995,16:00,13.5,13.5,13.5,13.5,1000.0
12/19/1995,16:00,13.5,13.5,13.5,13.5,0.0
12/20/1995,16:00,13.25,13.63,13.25,13.63,5600.0
12/21/1995,16:00,13.25,13.38,13.25,13.25,18800.0
12/22/1995,16:00,13.25,13.25,13.25,13.25,0.0
12/26/1995,16:00,14.0,14.0,13.25,13.25,4700.0
12/27/1995,16:00,13.75,14.0,13.75,14.0,700.0
12/28/1995,16:00,13.75,14.0,13.75,14.0,3000.0
12/29/1995,16:00,13.25,14.0,13.25,14.0,5100.0
01/02/1996,16:00,14.0,14.0,14.0,14.0,0.0
01/03/1996,16:00,13.25,14.0,13.25,13.75,5100.0
