Date,Time,Open,High,Low,Close,Vol
07/01/1985,16:00,1.62,1.67,1.62,1.63,178400.0
07/02/1985,16:00,1.63,1.63,1.59,1.60,337600.0
07/03/1985,16:00,1.62,1.65,1.62,1.65,1909600.0
07/05/1985,16:00,1.65,1.65,1.64,1.64,116800.0
07/08/1985,16:00,1.64,1.65,1.63,1.65,158400.0
07/09/1985,16:00,1.65,1.65,1.60,1.63,261600.0
07/10/1985,16:00,1.63,1.63,1.57,1.59,1311200.0
07/11/1985,16:00,1.59,1.65,1.59,1.63,1032800.0
07/12/1985,16:00,1.63,1.65,1.62,1.63,1602400.0
07/15/1985,16:00,1.63,1.68,1.63,1.68,782400.0
07/16/1985,16:00,1.68,1.73,1.67,1.73,472800.0
07/17/1985,16:00,1.74,1.80,1.74,1.79,1344000.0
07/18/1985,16:00,1.79,1.80,1.75,1.76,608800.0
07/19/1985,16:00,1.76,1.80,1.76,1.78,1107200.0
07/22/1985,16:00,1.78,1.78,1.75,1.78,449600.0
07/23/1985,16:00,1.78,1.78,1.74,1.76,228000.0
07/24/1985,16:00,1.76,1.76,1.72,1.73,293600.0
07/25/1985,16:00,1.73,1.73,1.70,1.70,116800.0
07/26/1985,16:00,1.70,1.72,1.68,1.69,529600.0
07/29/1985,16:00,1.69,1.69,1.63,1.65,158400.0
07/30/1985,16:00,1.64,1.64,1.55,1.58,301600.0
07/31/1985,16:00,1.58,1.60,1.57,1.58,252000.0
08/01/1985,16:00,1.58,1.60,1.57,1.59,217600.0
08/02/1985,16:00,1.59,1.59,1.57,1.57,313600.0
08/05/1985,16:00,1.55,1.55,1.49,1.52,208800.0
08/06/1985,16:00,1.52,1.52,1.42,1.48,649600.0
08/07/1985,16:00,1.48,1.48,1.47,1.48,155200.0
08/08/1985,16:00,1.48,1.48,1.38,1.43,1389600.0
08/09/1985,16:00,1.44,1.48,1.44,1.48,577600.0
08/12/1985,16:00,1.48,1.49,1.45,1.45,57600.0
08/13/1985,16:00,1.45,1.45,1.44,1.44,336800.0
08/14/1985,16:00,1.44,1.44,1.43,1.43,112800.0
08/15/1985,16:00,1.43,1.45,1.42,1.44,34400.0
08/16/1985,16:00,1.44,1.45,1.41,1.41,68800.0
08/19/1985,16:00,1.41,1.43,1.38,1.38,334400.0
08/20/1985,16:00,1.38,1.41,1.38,1.38,911200.0
08/21/1985,16:00,1.38,1.39,1.37,1.38,513600.0
08/22/1985,16:00,1.38,1.42,1.38,1.39,130400.0
08/23/1985,16:00,1.39,1.41,1.38,1.41,81600.0
08/26/1985,16:00,1.41,1.42,1.38,1.38,69600.0
08/27/1985,16:00,1.38,1.39,1.38,1.39,130400.0
08/28/1985,16:00,1.39,1.39,1.34,1.34,258400.0
08/29/1985,16:00,1.34,1.37,1.34,1.36,772000.0
08/30/1985,16:00,1.38,1.42,1.38,1.42,383200.0
09/03/1985,16:00,1.42,1.44,1.38,1.41,148800.0
09/04/1985,16:00,1.41,1.43,1.39,1.42,159200.0
09/05/1985,16:00,1.42,1.42,1.34,1.38,127200.0
09/06/1985,16:00,1.37,1.37,1.33,1.37,158400.0
09/09/1985,16:00,1.36,1.36,1.32,1.34,79200.0
09/10/1985,16:00,1.34,1.36,1.32,1.33,77600.0
09/11/1985,16:00,1.32,1.32,1.27,1.27,193600.0
09/12/1985,16:00,1.27,1.27,1.21,1.21,200800.0
09/13/1985,16:00,1.21,1.22,1.17,1.18,352000.0
09/16/1985,16:00,1.17,1.17,1.08,1.13,292800.0
