Date,Time,Open,High,Low,Close,Vol
01/28/2000,16:00,7.39,7.51,7.39,7.39,11192000.0
01/31/2000,16:00,7.39,7.43,7.39,7.43,1880900.0
02/01/2000,16:00,7.39,7.43,7.39,7.39,367100.0
02/02/2000,16:00,7.39,7.43,7.39,7.43,697400.0
02/03/2000,16:00,7.39,7.43,7.39,7.39,579800.0
02/04/2000,16:00,7.39,7.43,6.93,7.01,1681900.0
02/07/2000,16:00,6.85,6.85,6.47,6.66,927200.0
02/08/2000,16:00,6.62,6.70,6.01,6.09,795400.0
02/09/2000,16:00,6.09,6.31,6.01,6.23,1710100.0
02/10/2000,16:00,6.47,6.93,6.43,6.54,571500.0
02/11/2000,16:00,6.62,6.74,6.16,6.20,1062000.0
02/14/2000,16:00,6.28,6.35,6.01,6.04,289000.0
02/15/2000,16:00,6.16,6.54,6.12,6.43,541400.0
02/16/2000,16:00,6.51,6.54,6.31,6.51,360700.0
02/17/2000,16:00,6.70,6.70,6.31,6.39,291600.0
02/18/2000,16:00,6.47,6.62,6.35,6.47,330700.0
02/22/2000,16:00,6.31,6.54,6.09,6.35,314500.0
02/23/2000,16:00,6.12,6.35,6.04,6.23,494300.0
02/24/2000,16:00,6.23,6.35,6.09,6.12,919900.0
02/25/2000,16:00,6.35,6.54,6.16,6.43,1095500.0
02/28/2000,16:00,6.31,6.35,6.16,6.23,366800.0
02/29/2000,16:00,6.23,6.93,6.16,6.70,1652500.0
03/01/2000,16:00,6.70,6.93,6.70,6.78,266700.0
03/02/2000,16:00,6.70,7.36,6.66,7.09,890300.0
03/03/2000,16:00,7.09,7.09,6.70,6.74,160300.0
03/06/2000,16:00,6.47,6.66,6.39,6.62,242800.0
03/07/2000,16:00,6.54,6.62,6.20,6.31,393500.0
03/08/2000,16:00,6.28,6.47,6.09,6.39,424200.0
03/09/2000,16:00,6.35,6.66,6.31,6.47,310100.0
03/10/2000,16:00,6.47,6.47,6.16,6.31,168900.0
03/13/2000,16:00,6.16,6.23,5.89,6.01,1767400.0
03/14/2000,16:00,6.01,6.23,6.01,6.09,660500.0
03/15/2000,16:00,6.09,6.09,5.70,5.93,1231100.0
03/16/2000,16:00,6.04,6.31,5.85,6.01,404100.0
03/17/2000,16:00,6.01,6.12,5.70,5.89,814800.0
03/20/2000,16:00,5.97,6.09,5.85,5.93,473200.0
03/21/2000,16:00,5.89,6.04,5.85,5.93,176200.0
03/22/2000,16:00,5.93,6.01,5.85,5.89,430300.0
03/23/2000,16:00,5.85,6.04,5.85,5.97,477400.0
03/24/2000,16:00,5.89,6.09,5.89,6.01,236700.0
03/27/2000,16:00,6.01,6.16,6.01,6.09,67600.0
03/28/2000,16:00,6.09,6.16,6.01,6.04,157900.0
03/29/2000,16:00,6.04,6.12,6.04,6.04,253000.0
