Date,Time,Open,High,Low,Close,Vol
10/29/1993,16:00,12.82,13.39,12.76,13.11,21900300.0
11/01/1993,16:00,13.10,13.39,12.82,13.03,3684600.0
11/02/1993,16:00,13.24,13.24,12.39,12.53,3340100.0
11/03/1993,16:00,12.39,12.67,11.82,12.10,4876500.0
11/04/1993,16:00,12.04,12.11,11.83,12.04,2076400.0
11/05/1993,16:00,12.10,12.25,11.68,12.25,1939200.0
11/08/1993,16:00,12.25,12.67,12.10,12.39,714600.0
11/09/1993,16:00,12.39,12.53,12.10,12.10,727300.0
11/10/1993,16:00,12.10,12.60,12.10,12.39,474500.0
11/11/1993,16:00,12.53,12.67,12.25,12.25,615400.0
11/12/1993,16:00,12.25,12.39,11.96,11.96,334700.0
11/15/1993,16:00,11.96,12.25,11.96,12.10,528700.0
11/16/1993,16:00,11.96,12.25,11.54,11.68,685500.0
11/17/1993,16:00,11.54,11.82,11.11,11.11,893100.0
11/18/1993,16:00,11.39,11.68,11.11,11.54,463400.0
11/19/1993,16:00,11.39,11.54,11.25,11.54,645800.0
11/22/1993,16:00,11.54,11.68,11.11,11.25,1408900.0
11/23/1993,16:00,11.39,11.54,11.25,11.39,272700.0
11/24/1993,16:00,11.54,11.96,11.39,11.96,484000.0
11/26/1993,16:00,11.68,12.25,11.68,12.25,70200.0
11/29/1993,16:00,11.96,12.39,11.96,12.39,431200.0
11/30/1993,16:00,12.25,12.39,11.96,11.96,335600.0
12/01/1993,16:00,11.96,12.11,11.68,11.90,345000.0
12/02/1993,16:00,11.96,11.96,11.82,11.82,171500.0
12/03/1993,16:00,11.82,11.96,11.54,11.54,192200.0
12/06/1993,16:00,11.82,11.96,11.54,11.82,232400.0
12/07/1993,16:00,11.82,12.10,11.68,11.96,563900.0
12/08/1993,16:00,11.82,12.39,11.82,11.96,392300.0
12/09/1993,16:00,12.39,12.39,11.96,11.96,551200.0
12/10/1993,16:00,12.10,12.10,11.82,11.96,530500.0
12/13/1993,16:00,11.82,12.11,11.82,11.82,541600.0
12/14/1993,16:00,11.82,12.11,11.82,11.82,326300.0
12/15/1993,16:00,11.96,12.25,11.82,12.25,401100.0
12/16/1993,16:00,12.18,12.25,11.96,11.96,262000.0
12/17/1993,16:00,11.96,12.25,11.96,12.25,422600.0
12/20/1993,16:00,12.25,12.25,11.96,12.10,205400.0
12/21/1993,16:00,12.03,12.25,11.89,11.96,576100.0
12/22/1993,16:00,11.96,12.11,11.82,11.90,164500.0
12/23/1993,16:00,11.82,12.11,11.82,11.82,184400.0
12/27/1993,16:00,11.82,11.96,11.82,11.96,160900.0
12/28/1993,16:00,11.96,11.96,11.82,11.82,172000.0
12/29/1993,16:00,11.82,12.11,11.82,11.82,245000.0
12/30/1993,16:00,11.89,12.10,11.82,12.10,132200.0
12/31/1993,16:00,12.18,12.39,11.96,12.39,152200.0
01/03/1994,16:00,12.10,12.39,12.10,12.10,149300.0
01/04/1994,16:00,12.11,12.18,12.11,12.18,236100.0
01/05/1994,16:00,12.11,12.25,12.03,12.18,245900.0
01/06/1994,16:00,12.25,12.25,11.96,12.25,336100.0
01/07/1994,16:00,11.96,12.25,11.68,11.68,471600.0
01/10/1994,16:00,11.96,11.96,11.68,11.82,791500.0
01/11/1994,16:00,11.82,12.25,11.68,12.10,289200.0
01/12/1994,16:00,12.10,12.10,11.82,11.96,309100.0
01/13/1994,16:00,12.03,12.11,11.90,11.90,202300.0
01/14/1994,16:00,11.96,12.10,11.82,12.10,286400.0
01/17/1994,16:00,11.89,12.10,11.82,11.96,420300.0
01/18/1994,16:00,11.90,12.19,11.90,12.04,143300.0
01/19/1994,16:00,11.96,12.10,11.89,11.96,174600.0
01/20/1994,16:00,11.89,12.03,11.75,11.82,361600.0
01/21/1994,16:00,11.75,11.89,11.39,11.54,947700.0
01/24/1994,16:00,11.68,11.68,11.39,11.39,315700.0
01/25/1994,16:00,11.62,11.62,11.05,11.18,965700.0
01/26/1994,16:00,11.04,11.39,11.04,11.39,751300.0
01/27/1994,16:00,11.39,11.39,11.11,11.25,460200.0
01/28/1994,16:00,11.39,11.39,11.18,11.39,497600.0
01/31/1994,16:00,11.39,11.39,11.18,11.25,775500.0
02/01/1994,16:00,11.18,11.39,11.18,11.39,740800.0
02/02/1994,16:00,11.39,11.46,11.18,11.39,601300.0
02/03/1994,16:00,11.39,11.46,11.18,11.25,437000.0
02/04/1994,16:00,11.33,11.33,11.11,11.11,287600.0
02/07/1994,16:00,11.04,11.33,11.04,11.25,187400.0
02/08/1994,16:00,11.33,11.54,11.18,11.47,397200.0
02/09/1994,16:00,11.60,11.60,11.39,11.53,592400.0
02/10/1994,16:00,11.59,11.59,11.45,11.45,71900.0
02/11/1994,16:00,11.59,11.74,11.45,11.59,218100.0
02/14/1994,16:00,11.59,11.95,11.59,11.67,133200.0
02/15/1994,16:00,11.67,12.10,11.67,12.10,451000.0
02/16/1994,16:00,12.09,12.16,11.73,11.73,788400.0
02/17/1994,16:00,11.73,12.02,11.52,11.73,229800.0
02/18/1994,16:00,11.53,11.74,11.53,11.53,287900.0
02/22/1994,16:00,11.52,11.73,11.52,11.73,70700.0
02/23/1994,16:00,11.74,12.03,11.52,12.03,552900.0
02/24/1994,16:00,11.74,12.03,11.67,11.89,272100.0
02/25/1994,16:00,11.67,11.88,11.67,11.73,659600.0
02/28/1994,16:00,12.03,12.03,11.74,11.81,183100.0
03/01/1994,16:00,11.89,11.89,11.74,11.81,326500.0
03/02/1994,16:00,11.60,11.74,11.53,11.53,167200.0
03/03/1994,16:00,11.53,11.74,11.53,11.53,152100.0
03/04/1994,16:00,11.52,11.59,11.31,11.59,297900.0
03/07/1994,16:00,11.45,11.74,11.45,11.59,170500.0
03/08/1994,16:00,11.45,11.80,11.45,11.59,374800.0
03/09/1994,16:00,11.80,11.80,11.45,11.73,194500.0
03/10/1994,16:00,11.46,11.74,11.39,11.53,61600.0
03/11/1994,16:00,11.45,11.59,11.23,11.31,321700.0
03/14/1994,16:00,11.32,11.53,11.24,11.24,127700.0
03/15/1994,16:00,11.45,11.67,11.23,11.59,229700.0
03/16/1994,16:00,11.45,11.74,11.45,11.59,469200.0
03/17/1994,16:00,11.67,11.74,11.59,11.67,276900.0
03/18/1994,16:00,11.67,11.67,11.45,11.67,71100.0
03/21/1994,16:00,11.67,11.67,11.52,11.67,28100.0
03/22/1994,16:00,11.52,11.67,11.38,11.38,103500.0
03/23/1994,16:00,11.45,11.52,11.31,11.31,127800.0
03/24/1994,16:00,11.31,11.45,11.24,11.38,171300.0
03/25/1994,16:00,11.23,11.45,11.23,11.45,151000.0
03/28/1994,16:00,11.39,11.46,11.24,11.24,64200.0
03/29/1994,16:00,11.24,11.46,11.17,11.24,58000.0
03/30/1994,16:00,11.17,11.46,11.17,11.24,1144800.0
03/31/1994,16:00,11.17,11.39,11.03,11.24,632000.0
04/04/1994,16:00,11.17,11.17,10.88,10.95,85600.0
04/05/1994,16:00,11.17,11.17,10.81,10.88,103800.0
04/06/1994,16:00,10.95,11.17,10.81,10.88,53500.0
04/07/1994,16:00,10.81,11.10,10.81,10.88,42500.0
04/08/1994,16:00,11.09,11.09,10.87,11.09,64500.0
04/11/1994,16:00,10.88,11.17,10.74,10.88,130800.0
04/12/1994,16:00,10.74,11.02,10.59,10.66,213800.0
04/13/1994,16:00,10.60,10.81,10.60,10.60,253800.0
04/14/1994,16:00,10.73,10.73,10.59,10.63,255600.0
04/15/1994,16:00,10.63,10.74,10.60,10.60,355300.0
04/18/1994,16:00,10.74,10.74,10.60,10.74,37700.0
04/19/1994,16:00,10.60,10.74,10.60,10.60,550100.0
04/20/1994,16:00,10.60,10.74,10.60,10.60,351700.0
04/21/1994,16:00,10.59,10.87,10.59,10.62,52200.0
04/22/1994,16:00,10.59,10.88,10.59,10.88,129800.0
04/25/1994,16:00,10.88,11.02,10.74,10.88,68100.0
04/26/1994,16:00,10.74,11.02,10.74,11.02,93900.0
04/28/1994,16:00,10.88,11.02,10.88,10.88,38500.0
04/29/1994,16:00,11.02,11.02,10.88,11.02,31300.0
05/02/1994,16:00,10.88,11.31,10.88,11.31,64200.0
05/03/1994,16:00,11.31,11.31,10.88,10.95,73100.0
05/04/1994,16:00,11.02,11.02,10.88,10.88,56500.0
05/05/1994,16:00,11.46,11.89,11.24,11.89,972100.0
05/06/1994,16:00,11.60,12.10,11.31,12.10,530300.0
05/09/1994,16:00,12.17,12.17,11.67,12.03,211400.0
05/10/1994,16:00,12.01,12.23,12.01,12.23,306700.0
05/11/1994,16:00,12.01,12.37,12.01,12.23,454600.0
05/12/1994,16:00,12.30,12.51,12.15,12.51,485600.0
05/13/1994,16:00,12.51,12.51,12.22,12.51,640200.0
05/16/1994,16:00,12.37,12.59,12.30,12.51,778300.0
05/17/1994,16:00,12.37,12.59,12.37,12.59,981000.0
05/18/1994,16:00,12.59,12.59,12.37,12.59,615200.0
05/19/1994,16:00,12.59,12.72,12.44,12.65,206800.0
05/20/1994,16:00,12.51,12.80,12.51,12.65,261800.0
05/23/1994,16:00,12.59,12.80,12.51,12.65,101700.0
05/24/1994,16:00,12.51,12.72,12.51,12.65,278400.0
05/25/1994,16:00,12.73,12.73,12.59,12.73,114100.0
05/26/1994,16:00,12.73,12.73,12.66,12.73,79500.0
05/27/1994,16:00,12.73,12.73,12.59,12.73,86900.0
05/31/1994,16:00,12.59,12.73,12.59,12.59,247200.0
06/01/1994,16:00,12.59,12.73,12.59,12.73,172600.0
06/02/1994,16:00,12.72,12.72,12.59,12.65,281700.0
06/03/1994,16:00,12.73,12.73,12.37,12.73,97900.0
06/06/1994,16:00,12.73,12.73,12.59,12.59,92000.0
06/07/1994,16:00,12.59,12.73,12.59,12.69,376900.0
06/08/1994,16:00,12.66,12.73,12.51,12.59,30500.0
06/09/1994,16:00,12.59,12.73,12.59,12.59,16200.0
06/10/1994,16:00,12.59,12.73,12.59,12.59,108000.0
06/13/1994,16:00,12.59,12.72,12.37,12.65,104300.0
06/14/1994,16:00,12.51,12.66,12.51,12.51,37600.0
06/15/1994,16:00,12.51,12.66,12.30,12.37,39700.0
06/16/1994,16:00,12.30,12.52,12.23,12.23,83800.0
06/17/1994,16:00,12.51,12.51,12.08,12.15,48600.0
06/20/1994,16:00,11.94,11.94,11.65,11.65,45200.0
06/21/1994,16:00,11.86,11.86,11.65,11.65,148400.0
06/22/1994,16:00,11.65,11.87,11.65,11.87,246900.0
06/23/1994,16:00,11.83,11.87,11.73,11.87,178900.0
06/24/1994,16:00,11.65,11.86,11.65,11.65,162900.0
06/27/1994,16:00,11.65,11.79,11.65,11.79,134100.0
06/28/1994,16:00,11.65,11.79,11.65,11.79,30500.0
06/29/1994,16:00,11.80,11.87,11.73,11.87,96000.0
06/30/1994,16:00,11.86,11.86,11.65,11.65,84600.0
07/01/1994,16:00,11.65,11.80,11.65,11.76,48800.0
07/05/1994,16:00,11.79,11.79,11.65,11.79,75500.0
07/06/1994,16:00,11.73,11.94,11.73,11.87,248100.0
07/07/1994,16:00,11.94,12.09,11.80,12.09,151800.0
07/08/1994,16:00,12.01,12.15,12.01,12.01,25500.0
07/11/1994,16:00,12.09,12.15,12.02,12.09,161900.0
07/12/1994,16:00,12.15,12.23,12.09,12.09,232500.0
07/13/1994,16:00,12.08,12.23,12.08,12.15,129700.0
07/14/1994,16:00,12.15,12.37,12.15,12.15,51400.0
07/15/1994,16:00,12.15,12.37,12.15,12.37,17900.0
07/18/1994,16:00,12.30,12.37,12.23,12.37,41900.0
07/19/1994,16:00,12.38,12.45,12.31,12.45,215900.0
07/20/1994,16:00,12.31,12.45,12.31,12.45,328000.0
07/21/1994,16:00,12.31,12.44,12.23,12.27,232800.0
07/22/1994,16:00,12.23,12.37,12.23,12.23,86300.0
07/25/1994,16:00,12.22,12.36,12.22,12.29,40700.0
07/26/1994,16:00,12.30,12.37,12.23,12.37,97500.0
07/27/1994,16:00,12.23,12.37,12.23,12.23,942300.0
07/28/1994,16:00,12.23,12.37,11.87,11.90,568100.0
07/29/1994,16:00,12.02,12.15,11.87,12.09,367800.0
08/01/1994,16:00,12.15,12.15,11.94,12.15,19700.0
08/02/1994,16:00,11.94,12.16,11.94,11.94,128100.0
08/03/1994,16:00,11.94,12.09,11.94,11.94,53500.0
08/04/1994,16:00,12.02,12.09,11.94,11.94,128000.0
08/05/1994,16:00,12.09,12.45,12.02,12.45,972700.0
08/08/1994,16:00,12.51,12.51,12.37,12.51,468700.0
08/09/1994,16:00,12.50,12.72,12.50,12.50,882900.0
08/10/1994,16:00,12.50,12.65,12.28,12.28,230500.0
08/11/1994,16:00,12.29,12.50,12.07,12.14,51900.0
08/12/1994,16:00,12.29,12.29,12.07,12.14,30500.0
08/15/1994,16:00,12.14,12.28,12.07,12.07,19900.0
08/16/1994,16:00,12.21,12.28,11.92,12.03,249200.0
08/17/1994,16:00,12.14,12.36,12.00,12.21,568500.0
08/18/1994,16:00,12.21,12.28,12.14,12.28,149000.0
08/19/1994,16:00,12.21,12.28,12.14,12.21,138100.0
08/22/1994,16:00,12.21,12.28,12.07,12.07,102800.0
08/23/1994,16:00,12.21,12.36,12.07,12.21,102700.0
08/24/1994,16:00,12.36,12.43,12.21,12.32,266900.0
08/25/1994,16:00,12.36,12.43,12.14,12.14,226900.0
