Date,Time,Open,High,Low,Close,Vol
08/20/2003,16:00,13.66,14.64,13.6,13.8,359200.0
08/21/2003,16:00,13.97,13.97,13.25,13.29,278100.0
08/22/2003,16:00,13.25,13.85,13.25,13.85,227700.0
08/25/2003,16:00,13.85,13.97,13.35,13.63,51900.0
08/26/2003,16:00,13.57,13.64,13.4,13.5,65400.0
08/27/2003,16:00,13.5,13.59,13.24,13.4,100200.0
08/28/2003,16:00,13.4,13.5,13.25,13.39,57100.0
08/29/2003,16:00,13.25,13.7,13.25,13.6,37300.0
09/02/2003,16:00,13.5,13.6,12.8,13.0,219300.0
09/03/2003,16:00,12.95,13.39,12.85,13.05,183300.0
09/04/2003,16:00,13.05,13.3,13.0,13.25,32400.0
09/05/2003,16:00,13.3,13.38,13.2,13.38,72700.0
09/08/2003,16:00,13.35,13.55,13.35,13.45,62300.0
09/09/2003,16:00,13.4,13.49,13.4,13.44,32500.0
09/10/2003,16:00,13.45,13.49,13.4,13.48,25600.0
09/11/2003,16:00,13.4,13.61,13.4,13.55,78600.0
09/12/2003,16:00,13.63,13.69,13.4,13.4,23900.0
09/15/2003,16:00,13.35,13.64,13.3,13.63,32900.0
09/16/2003,16:00,13.6,14.06,13.5,14.06,90100.0
09/17/2003,16:00,13.9,15.25,13.9,14.94,60600.0
09/18/2003,16:00,14.94,15.0,14.49,14.79,45000.0
09/19/2003,16:00,14.65,14.89,13.75,14.88,19400.0
09/22/2003,16:00,14.89,15.12,14.52,15.05,38200.0
09/23/2003,16:00,15.09,16.3,15.0,15.9,15200.0
09/24/2003,16:00,16.05,16.05,14.85,15.0,27100.0
09/25/2003,16:00,15.47,15.75,15.47,15.75,2800.0
09/26/2003,16:00,15.75,16.1,15.75,15.94,59400.0
09/29/2003,16:00,16.0,16.05,15.49,15.8,85000.0
09/30/2003,16:00,15.8,16.0,15.44,15.8,10700.0
10/01/2003,16:00,15.7,15.9,15.3,15.3,59900.0
10/02/2003,16:00,15.75,15.75,15.3,15.3,8200.0
10/03/2003,16:00,15.75,15.9,15.2,15.2,34600.0
10/06/2003,16:00,15.43,15.75,15.25,15.25,25200.0
10/07/2003,16:00,15.6,15.6,14.72,14.72,15300.0
10/08/2003,16:00,15.44,15.44,14.25,14.25,28500.0
10/09/2003,16:00,14.99,15.4,14.5,15.12,141800.0
10/10/2003,16:00,15.4,15.4,15.0,15.01,2200.0
10/13/2003,16:00,15.4,15.4,15.13,15.17,10000.0
10/14/2003,16:00,15.36,15.5,15.14,15.26,7200.0
10/15/2003,16:00,15.55,15.6,15.26,15.26,32200.0
10/16/2003,16:00,15.34,15.34,15.0,15.0,4100.0
10/17/2003,16:00,15.07,15.5,15.0,15.0,2700.0
10/20/2003,16:00,15.13,15.13,15.05,15.13,1400.0
10/21/2003,16:00,15.08,15.08,14.8,14.8,5200.0
10/22/2003,16:00,14.76,15.39,14.75,15.25,79800.0
10/23/2003,16:00,15.1,15.25,14.85,14.85,3100.0
10/24/2003,16:00,15.2,15.2,15.2,15.2,100.0
10/27/2003,16:00,15.3,15.3,14.9,15.05,34900.0
10/28/2003,16:00,14.97,14.97,14.95,14.97,500.0
10/29/2003,16:00,15.05,16.2,14.97,16.15,72600.0
10/30/2003,16:00,16.1,16.6,16.0,16.1,20300.0
10/31/2003,16:00,16.5,16.5,15.95,16.0,38900.0
11/03/2003,16:00,16.5,16.5,15.65,15.65,23000.0
11/04/2003,16:00,16.4,16.4,16.0,16.4,44900.0
11/05/2003,16:00,16.5,16.5,16.2,16.2,76000.0
11/06/2003,16:00,16.00,16.1,15.25,15.84,5600.0
11/07/2003,16:00,16.0,16.49,15.85,15.95,17000.0
11/10/2003,16:00,15.85,15.96,15.8,15.9,3200.0
11/11/2003,16:00,15.9,15.9,15.05,15.05,6500.0
11/12/2003,16:00,15.62,15.9,14.95,15.15,127700.0
11/13/2003,16:00,15.0,15.39,15.0,15.39,69200.0
11/14/2003,16:00,15.5,16.0,15.0,15.8,26400.0
11/17/2003,16:00,15.30,16.0,15.30,16.0,1500.0
11/18/2003,16:00,16.0,16.9,15.84,16.1,64100.0
11/19/2003,16:00,16.29,16.3,16.0,16.3,7000.0
11/20/2003,16:00,16.29,16.29,16.29,16.29,100.0
11/21/2003,16:00,16.2,16.2,16.2,16.2,1300.0
