Date,Time,Open,High,Low,Close,Vol
03/26/1990,16:00,0.77,0.77,0.77,0.77,100.0
03/27/1990,16:00,0.77,0.77,0.77,0.77,100.0
03/28/1990,16:00,0.78,0.78,0.78,0.78,0.0
03/29/1990,16:00,0.89,0.89,0.89,0.89,100.0
03/30/1990,16:00,0.89,0.89,0.89,0.89,0.0
04/02/1990,16:00,0.89,0.89,0.89,0.89,200.0
04/03/1990,16:00,0.77,0.77,0.77,0.77,2000.0
04/04/1990,16:00,0.77,0.82,0.72,0.77,19200.0
04/05/1990,16:00,0.78,0.78,0.78,0.78,0.0
04/06/1990,16:00,0.80,0.80,0.80,0.80,4800.0
04/09/1990,16:00,0.80,0.80,0.67,0.80,2200.0
04/10/1990,16:00,0.68,0.68,0.68,0.68,500.0
04/11/1990,16:00,0.81,0.81,0.68,0.68,1400.0
04/12/1990,16:00,0.86,0.86,0.86,0.86,2000.0
04/16/1990,16:00,0.82,0.82,0.72,0.72,1200.0
04/17/1990,16:00,0.72,0.72,0.72,0.72,900.0
04/18/1990,16:00,0.72,0.72,0.72,0.72,300.0
04/19/1990,16:00,0.73,0.73,0.73,0.73,0.0
04/20/1990,16:00,0.73,0.73,0.73,0.73,0.0
04/23/1990,16:00,0.72,0.77,0.72,0.72,2500.0
04/24/1990,16:00,0.86,0.86,0.86,0.86,400.0
04/25/1990,16:00,0.72,0.72,0.72,0.72,5000.0
04/26/1990,16:00,0.72,0.72,0.72,0.72,1000.0
04/27/1990,16:00,0.77,0.77,0.72,0.72,8000.0
04/30/1990,16:00,0.73,0.73,0.73,0.73,0.0
05/01/1990,16:00,0.73,0.73,0.73,0.73,0.0
05/02/1990,16:00,0.73,0.73,0.73,0.73,0.0
05/03/1990,16:00,0.80,0.80,0.80,0.80,1000.0
05/04/1990,16:00,0.81,0.81,0.81,0.81,0.0
05/07/1990,16:00,0.72,0.72,0.72,0.72,3000.0
05/08/1990,16:00,0.83,0.83,0.83,0.83,1000.0
05/09/1990,16:00,0.72,0.72,0.72,0.72,300.0
05/10/1990,16:00,0.72,0.72,0.72,0.72,1600.0
05/11/1990,16:00,0.72,0.82,0.72,0.77,6200.0
05/14/1990,16:00,0.78,0.78,0.78,0.78,0.0
05/15/1990,16:00,0.73,0.80,0.73,0.80,10800.0
05/16/1990,16:00,0.68,0.73,0.63,0.63,15700.0
05/17/1990,16:00,0.68,0.68,0.52,0.63,33800.0
05/18/1990,16:00,0.51,0.56,0.51,0.56,2000.0
05/21/1990,16:00,0.56,0.56,0.56,0.56,0.0
05/22/1990,16:00,0.51,0.56,0.51,0.56,2600.0
05/23/1990,16:00,0.68,0.68,0.57,0.63,4500.0
05/24/1990,16:00,0.72,0.72,0.51,0.72,10600.0
05/25/1990,16:00,0.80,0.83,0.62,0.83,9400.0
05/29/1990,16:00,0.83,0.83,0.83,0.83,0.0
05/30/1990,16:00,0.83,0.83,0.83,0.83,0.0
05/31/1990,16:00,0.63,0.63,0.63,0.63,4000.0
06/01/1990,16:00,0.83,0.83,0.83,0.83,1000.0
06/04/1990,16:00,0.72,0.72,0.54,0.54,3200.0
06/05/1990,16:00,0.69,0.69,0.51,0.56,1300.0
06/06/1990,16:00,0.69,0.69,0.51,0.56,7900.0
06/07/1990,16:00,0.68,0.68,0.68,0.68,3000.0
06/08/1990,16:00,0.67,0.67,0.67,0.67,0.0
06/11/1990,16:00,0.67,0.67,0.67,0.67,0.0
06/12/1990,16:00,0.67,0.67,0.67,0.67,0.0
06/13/1990,16:00,0.67,0.67,0.67,0.67,0.0
06/14/1990,16:00,0.67,0.67,0.67,0.67,0.0
06/15/1990,16:00,0.56,0.56,0.56,0.56,3800.0
06/18/1990,16:00,0.67,0.67,0.56,0.56,15000.0
06/19/1990,16:00,0.56,0.56,0.56,0.56,100.0
06/20/1990,16:00,0.56,0.56,0.56,0.56,0.0
06/21/1990,16:00,0.56,0.56,0.56,0.56,100.0
06/22/1990,16:00,0.57,0.63,0.57,0.63,2500.0
06/25/1990,16:00,0.56,0.56,0.56,0.56,200.0
06/26/1990,16:00,0.77,0.77,0.77,0.77,300.0
06/27/1990,16:00,0.77,0.77,0.77,0.77,1200.0
06/28/1990,16:00,0.56,0.56,0.56,0.56,200.0
06/29/1990,16:00,0.57,0.77,0.57,0.77,2400.0
07/02/1990,16:00,0.78,0.78,0.78,0.78,0.0
07/03/1990,16:00,0.57,0.63,0.57,0.63,5500.0
07/05/1990,16:00,0.56,0.56,0.56,0.56,3600.0
07/06/1990,16:00,0.52,0.63,0.52,0.63,4000.0
07/09/1990,16:00,0.68,0.68,0.68,0.68,300.0
07/10/1990,16:00,0.68,0.68,0.68,0.68,1000.0
07/11/1990,16:00,0.67,0.67,0.67,0.67,0.0
07/12/1990,16:00,0.68,0.68,0.47,0.47,4000.0
07/13/1990,16:00,0.47,0.73,0.47,0.47,1700.0
07/16/1990,16:00,0.46,0.72,0.46,0.72,2100.0
07/17/1990,16:00,0.73,0.73,0.47,0.47,900.0
07/18/1990,16:00,0.47,0.47,0.47,0.47,200.0
07/19/1990,16:00,0.72,0.72,0.72,0.72,100.0
07/20/1990,16:00,0.72,0.72,0.72,0.72,1100.0
07/23/1990,16:00,0.73,0.73,0.47,0.47,1100.0
07/24/1990,16:00,0.46,0.56,0.46,0.56,2500.0
07/25/1990,16:00,0.56,0.56,0.56,0.56,0.0
07/26/1990,16:00,0.73,0.73,0.47,0.47,3000.0
07/27/1990,16:00,0.68,0.68,0.68,0.68,1000.0
07/30/1990,16:00,0.68,0.68,0.52,0.52,3000.0
07/31/1990,16:00,0.52,0.52,0.52,0.52,0.0
08/01/1990,16:00,0.52,0.52,0.52,0.52,0.0
08/02/1990,16:00,0.52,0.52,0.52,0.52,0.0
08/03/1990,16:00,0.52,0.52,0.47,0.47,6000.0
08/06/1990,16:00,0.68,0.68,0.68,0.68,1200.0
08/07/1990,16:00,0.35,0.35,0.35,0.35,2900.0
08/08/1990,16:00,0.36,0.36,0.36,0.36,0.0
08/09/1990,16:00,0.33,0.33,0.33,0.33,100.0
08/10/1990,16:00,0.68,0.68,0.68,0.68,5000.0
08/13/1990,16:00,0.70,0.70,0.70,0.70,1000.0
08/14/1990,16:00,0.70,0.70,0.70,0.70,0.0
08/15/1990,16:00,0.70,0.70,0.70,0.70,0.0
08/16/1990,16:00,0.35,0.35,0.35,0.35,500.0
08/17/1990,16:00,0.70,0.70,0.70,0.70,1000.0
08/20/1990,16:00,0.35,0.35,0.35,0.35,200.0
08/21/1990,16:00,0.35,0.40,0.35,0.35,9100.0
08/22/1990,16:00,0.35,0.35,0.35,0.35,1000.0
08/23/1990,16:00,0.33,0.35,0.30,0.35,30600.0
08/24/1990,16:00,0.30,0.40,0.30,0.30,13000.0
08/27/1990,16:00,0.30,0.50,0.30,0.30,1300.0
08/28/1990,16:00,0.63,0.63,0.63,0.63,500.0
