Date,Time,Open,High,Low,Close,Vol
02/11/2010,16:00,15.0,15.55,14.85,15.0,5815700.0
02/12/2010,16:00,15.0,15.05,14.3,14.55,859300.0
02/16/2010,16:00,14.75,14.75,14.49,14.63,385000.0
02/17/2010,16:00,14.74,14.74,14.5,14.59,264900.0
02/18/2010,16:00,14.56,14.87,14.5,14.51,1257600.0
02/19/2010,16:00,14.5,14.6,13.86,13.9,670000.0
02/22/2010,16:00,13.85,14.42,13.33,13.59,154900.0
02/23/2010,16:00,13.5,13.58,12.77,12.98,504000.0
02/24/2010,16:00,12.87,13.7,12.77,13.57,196700.0
02/25/2010,16:00,13.2,14.75,13.2,14.29,155600.0
02/26/2010,16:00,14.41,14.7,14.0,14.6,211200.0
03/01/2010,16:00,14.92,14.92,14.45,14.69,82900.0
03/02/2010,16:00,14.58,14.9,14.28,14.46,101000.0
03/03/2010,16:00,14.53,14.86,14.06,14.24,208300.0
03/04/2010,16:00,14.48,14.69,14.16,14.56,278200.0
03/05/2010,16:00,14.68,15.26,14.5,15.23,280800.0
03/08/2010,16:00,15.25,15.39,15.1,15.39,126000.0
03/09/2010,16:00,15.22,15.39,14.91,15.06,106600.0
03/10/2010,16:00,15.1,15.4,14.92,15.4,57100.0
03/11/2010,16:00,15.23,15.62,15.16,15.56,80600.0
03/12/2010,16:00,15.52,15.67,15.13,15.51,151300.0
03/15/2010,16:00,15.29,15.3,14.59,14.96,94100.0
03/16/2010,16:00,14.96,16.04,14.96,15.95,279900.0
03/17/2010,16:00,15.85,17.74,15.76,17.25,218300.0
03/18/2010,16:00,17.19,17.19,16.24,16.62,48400.0
03/19/2010,16:00,16.62,17.05,16.36,16.56,102600.0
03/22/2010,16:00,16.59,16.87,16.25,16.76,163300.0
03/23/2010,16:00,17.21,17.25,16.6,16.67,119000.0
03/24/2010,16:00,16.53,16.74,16.05,16.3,85600.0
03/25/2010,16:00,16.25,16.5,15.78,16.05,154600.0
03/26/2010,16:00,16.01,16.71,15.96,16.41,27300.0
03/29/2010,16:00,16.37,16.94,16.37,16.92,64200.0
03/30/2010,16:00,16.86,17.2,16.84,16.89,105600.0
03/31/2010,16:00,16.81,17.68,16.8,17.01,1438800.0
04/01/2010,16:00,17.01,17.25,16.33,16.69,167100.0
04/05/2010,16:00,16.71,18.25,16.71,17.45,156700.0
04/06/2010,16:00,17.31,18.0,17.15,17.8,64900.0
04/07/2010,16:00,17.83,17.91,17.35,17.44,71300.0
04/08/2010,16:00,17.32,17.99,17.01,17.09,85600.0
04/09/2010,16:00,17.08,17.25,16.29,16.46,154700.0
04/12/2010,16:00,16.39,16.70,16.0,16.22,95200.0
04/13/2010,16:00,16.3,16.5,16.08,16.14,117300.0
04/14/2010,16:00,16.31,16.49,16.23,16.46,317000.0
