Date,Time,Open,High,Low,Close,Vol
10/09/2012,16:00,4.44,4.44,4.24,4.38,35600.0
10/10/2012,16:00,4.35,4.35,4.15,4.15,20400.0
10/11/2012,16:00,4.29,4.29,4.02,4.15,51200.0
10/12/2012,16:00,4.4,4.4,4.19,4.24,4800.0
10/15/2012,16:00,4.26,4.38,4.2,4.24,57100.0
10/16/2012,16:00,4.25,4.34,4.15,4.2,50100.0
10/17/2012,16:00,4.21,4.25,4.16,4.19,56700.0
10/18/2012,16:00,4.1,4.46,4.1,4.46,135600.0
10/19/2012,16:00,4.22,4.94,4.22,4.72,287000.0
10/22/2012,16:00,4.92,4.92,4.51,4.8,25400.0
10/23/2012,16:00,4.84,4.9,4.62,4.84,19800.0
10/24/2012,16:00,4.95,5.39,4.84,5.12,48200.0
10/25/2012,16:00,5.2,5.24,5.07,5.14,60100.0
10/26/2012,16:00,5.1,5.11,5.05,5.11,18000.0
10/31/2012,16:00,5.2,5.2,4.32,4.78,35000.0
11/01/2012,16:00,5.22,5.22,4.9,4.99,13700.0
11/02/2012,16:00,4.95,5.02,4.76,4.76,9000.0
11/05/2012,16:00,4.86,5.19,4.4,5.03,43400.0
11/06/2012,16:00,5.01,5.07,4.83,5.0,20100.0
11/07/2012,16:00,4.9,5.0,4.7,4.97,17300.0
11/08/2012,16:00,4.99,5.0,4.75,4.75,10700.0
11/09/2012,16:00,4.85,5.0,4.61,4.91,35300.0
11/12/2012,16:00,4.65,5.0,4.65,4.9,29800.0
11/13/2012,16:00,4.7,4.7,4.7,4.7,600.0
11/14/2012,16:00,4.8,4.89,4.64,4.87,26000.0
11/15/2012,16:00,4.59,4.79,4.50,4.74,10000.0
11/16/2012,16:00,4.5,4.82,4.39,4.69,39700.0
11/19/2012,16:00,4.48,4.69,4.42,4.64,35400.0
11/20/2012,16:00,4.5,4.52,4.25,4.35,23400.0
11/21/2012,16:00,4.35,4.52,4.35,4.51,27600.0
11/23/2012,16:00,4.5,4.79,4.5,4.79,4000.0
11/26/2012,16:00,4.69,4.78,4.44,4.7,7100.0
11/27/2012,16:00,4.66,4.77,4.53,4.74,5100.0
11/28/2012,16:00,4.46,4.74,4.15,4.34,48000.0
