Date,Time,Open,High,Low,Close,Vol
05/28/1993,16:00,9.59,9.64,9.53,9.64,4879400.0
06/01/1993,16:00,9.65,10.14,9.65,10.14,1154200.0
06/02/1993,16:00,10.24,10.24,9.91,10.02,850800.0
06/03/1993,16:00,10.02,10.02,9.75,9.81,255700.0
06/04/1993,16:00,9.81,9.86,9.65,9.86,493000.0
06/07/1993,16:00,9.87,9.87,9.48,9.48,168600.0
06/08/1993,16:00,9.48,9.59,9.48,9.59,271800.0
06/09/1993,16:00,9.48,9.59,9.48,9.54,177800.0
06/10/1993,16:00,9.59,9.59,9.54,9.59,271400.0
06/11/1993,16:00,9.54,9.59,9.43,9.48,417200.0
06/14/1993,16:00,9.47,9.47,9.09,9.09,144500.0
06/15/1993,16:00,9.10,9.10,8.99,8.99,146600.0
06/16/1993,16:00,8.93,8.93,8.71,8.77,219500.0
06/17/1993,16:00,8.82,9.04,8.82,8.93,155300.0
06/18/1993,16:00,9.05,9.32,9.05,9.27,82900.0
06/21/1993,16:00,9.32,9.38,9.21,9.27,51200.0
06/22/1993,16:00,9.27,9.43,9.21,9.43,159000.0
06/23/1993,16:00,9.37,9.37,9.32,9.32,82400.0
06/24/1993,16:00,9.21,9.21,8.93,9.04,57500.0
06/25/1993,16:00,8.99,8.99,8.88,8.88,108700.0
06/28/1993,16:00,8.88,9.10,8.88,8.93,150100.0
06/29/1993,16:00,8.93,8.93,8.66,8.77,78200.0
06/30/1993,16:00,8.67,8.88,8.67,8.88,357900.0
07/01/1993,16:00,8.82,8.82,8.66,8.66,85600.0
07/02/1993,16:00,8.56,8.61,8.39,8.39,220500.0
07/06/1993,16:00,8.33,8.33,8.00,8.11,178300.0
07/07/1993,16:00,8.18,8.39,8.18,8.28,441700.0
07/08/1993,16:00,8.33,8.33,8.06,8.06,511900.0
07/09/1993,16:00,8.06,8.06,7.90,8.01,244800.0
07/12/1993,16:00,8.01,8.34,8.01,8.28,100400.0
07/13/1993,16:00,8.34,8.40,8.29,8.34,104300.0
07/14/1993,16:00,8.28,8.34,8.28,8.28,92900.0
07/15/1993,16:00,8.28,8.28,8.06,8.06,36200.0
07/16/1993,16:00,8.12,8.17,8.06,8.17,18300.0
07/19/1993,16:00,8.12,8.17,8.06,8.06,37300.0
07/20/1993,16:00,8.06,8.12,8.01,8.06,114400.0
07/21/1993,16:00,8.06,8.12,8.01,8.01,132500.0
07/22/1993,16:00,8.06,8.06,7.95,7.95,72800.0
07/23/1993,16:00,7.95,8.11,7.95,8.11,23500.0
07/26/1993,16:00,8.18,8.28,8.07,8.28,201300.0
