Date,Time,Open,High,Low,Close,Vol
02/08/2012,16:00,7.10,7.70,6.98,7.61,10868200.0
02/09/2012,16:00,7.66,8.93,7.66,8.52,1524700.0
02/10/2012,16:00,8.44,8.69,8.29,8.65,423900.0
02/13/2012,16:00,9.07,9.08,8.48,8.59,263500.0
02/14/2012,16:00,8.23,8.85,8.17,8.38,206700.0
02/15/2012,16:00,8.46,8.46,8.20,8.37,246900.0
02/16/2012,16:00,8.42,8.80,8.28,8.65,344500.0
02/17/2012,16:00,8.80,8.80,8.46,8.55,259800.0
02/21/2012,16:00,8.76,8.76,8.50,8.55,74500.0
02/22/2012,16:00,8.74,8.75,8.57,8.61,141700.0
02/23/2012,16:00,8.61,8.63,8.30,8.38,217800.0
02/24/2012,16:00,8.38,8.50,8.32,8.37,161000.0
02/27/2012,16:00,8.37,8.46,8.37,8.42,139600.0
02/28/2012,16:00,8.45,8.49,8.42,8.49,91000.0
02/29/2012,16:00,8.52,8.55,8.43,8.46,143700.0
03/01/2012,16:00,8.50,8.76,8.41,8.59,373300.0
03/02/2012,16:00,8.78,8.78,8.51,8.61,362200.0
03/05/2012,16:00,8.59,8.81,8.59,8.69,249100.0
03/06/2012,16:00,8.71,8.80,8.59,8.61,150200.0
03/07/2012,16:00,8.65,8.75,8.56,8.57,141400.0
03/08/2012,16:00,8.63,8.83,8.60,8.80,194200.0
03/09/2012,16:00,8.83,9.16,8.81,9.03,322000.0
03/12/2012,16:00,9.10,9.12,9.01,9.05,166500.0
03/13/2012,16:00,9.09,9.41,9.09,9.27,405100.0
03/14/2012,16:00,9.30,9.33,9.07,9.31,154400.0
03/15/2012,16:00,9.32,9.34,9.20,9.29,238400.0
03/16/2012,16:00,9.26,9.26,9.07,9.19,187000.0
03/19/2012,16:00,9.31,9.51,8.98,9.50,669400.0
03/20/2012,16:00,9.40,9.47,9.20,9.33,304200.0
03/21/2012,16:00,9.35,9.37,9.24,9.25,192400.0
03/22/2012,16:00,9.21,9.31,9.11,9.17,179800.0
03/23/2012,16:00,9.18,9.21,9.09,9.18,84800.0
03/26/2012,16:00,9.24,9.27,8.98,9.15,218600.0
03/27/2012,16:00,9.14,9.19,9.02,9.03,126000.0
03/28/2012,16:00,9.03,9.14,8.98,9.14,362700.0
03/29/2012,16:00,9.10,9.14,9.03,9.09,202400.0
03/30/2012,16:00,9.13,9.63,9.03,9.05,2384000.0
04/02/2012,16:00,9.98,10.02,9.49,9.74,7644200.0
04/03/2012,16:00,9.93,10.15,9.86,9.89,2287600.0
04/04/2012,16:00,9.87,10.19,9.86,10.07,2028000.0
04/05/2012,16:00,10.23,10.49,10.11,10.18,1612000.0
04/09/2012,16:00,10.18,10.25,9.85,9.89,1201200.0
04/10/2012,16:00,9.94,10.04,9.56,9.71,1078000.0
04/11/2012,16:00,9.86,10.02,9.74,9.87,664400.0
04/12/2012,16:00,9.87,10.01,9.81,9.92,554800.0
04/13/2012,16:00,9.94,10.02,9.86,9.94,311200.0
04/16/2012,16:00,10.02,10.02,9.85,9.89,417300.0
04/17/2012,16:00,9.90,9.94,9.56,9.83,1048600.0
04/18/2012,16:00,9.74,9.81,9.69,9.77,457100.0
04/19/2012,16:00,9.77,9.86,9.67,9.80,291200.0
04/20/2012,16:00,9.88,9.93,9.82,9.89,266400.0
04/23/2012,16:00,9.83,9.91,9.64,9.90,358900.0
04/24/2012,16:00,9.90,9.90,9.83,9.87,351600.0
04/25/2012,16:00,9.94,9.94,9.75,9.75,683100.0
04/26/2012,16:00,9.76,9.93,9.76,9.89,393700.0
04/27/2012,16:00,9.88,10.25,9.86,10.10,924600.0
04/30/2012,16:00,10.13,10.48,10.12,10.47,734500.0
05/01/2012,16:00,10.55,10.55,10.36,10.42,502600.0
05/02/2012,16:00,10.41,10.41,10.16,10.28,384300.0
05/03/2012,16:00,10.41,10.53,10.12,10.15,772000.0
05/04/2012,16:00,10.13,10.41,10.11,10.38,341400.0
05/07/2012,16:00,10.42,10.51,10.19,10.50,357000.0
05/08/2012,16:00,10.41,10.58,10.26,10.52,378300.0
05/09/2012,16:00,10.45,10.52,10.36,10.36,296400.0
05/10/2012,16:00,10.47,10.49,10.17,10.36,482200.0
05/11/2012,16:00,9.07,9.31,8.24,8.58,4818000.0
05/14/2012,16:00,8.46,8.76,8.31,8.70,854000.0
05/15/2012,16:00,8.67,8.68,8.37,8.42,879300.0
05/16/2012,16:00,8.41,8.59,8.29,8.54,762400.0
05/17/2012,16:00,8.59,8.71,8.42,8.50,575300.0
05/18/2012,16:00,8.89,8.89,8.54,8.56,575800.0
05/21/2012,16:00,8.55,8.81,8.54,8.76,388700.0
05/22/2012,16:00,8.81,9.29,8.81,9.20,620300.0
05/23/2012,16:00,9.25,9.30,9.03,9.18,677000.0
05/24/2012,16:00,9.33,9.33,8.97,9.04,401200.0
05/25/2012,16:00,9.03,9.42,9.03,9.29,196400.0
05/29/2012,16:00,9.40,9.48,9.12,9.22,365800.0
05/30/2012,16:00,9.17,9.18,8.94,9.09,200700.0
05/31/2012,16:00,9.10,9.35,9.07,9.33,467300.0
06/01/2012,16:00,9.29,9.34,9.09,9.32,449900.0
06/04/2012,16:00,9.39,9.39,9.16,9.26,381100.0
06/05/2012,16:00,9.25,9.34,9.06,9.23,463600.0
06/06/2012,16:00,9.25,9.32,9.03,9.10,359300.0
06/07/2012,16:00,9.02,9.21,8.76,8.78,518300.0
06/08/2012,16:00,8.97,9.03,8.75,8.97,458500.0
06/11/2012,16:00,9.07,9.17,8.80,8.80,479700.0
06/12/2012,16:00,8.84,9.03,8.72,8.90,425900.0
06/13/2012,16:00,8.90,8.97,8.73,8.75,392300.0
06/14/2012,16:00,8.81,8.89,8.69,8.75,279900.0
06/15/2012,16:00,8.72,8.79,8.65,8.70,550700.0
06/18/2012,16:00,8.68,8.74,8.47,8.56,612400.0
06/19/2012,16:00,8.52,8.82,8.52,8.73,543900.0
06/20/2012,16:00,8.78,8.82,8.52,8.52,521200.0
06/21/2012,16:00,8.57,8.58,8.26,8.38,504500.0
06/22/2012,16:00,8.45,8.57,8.30,8.56,955800.0
06/25/2012,16:00,8.55,8.55,8.34,8.41,366500.0
06/26/2012,16:00,8.45,8.46,8.34,8.39,269000.0
06/27/2012,16:00,8.47,8.65,8.43,8.50,299100.0
06/28/2012,16:00,8.49,8.59,8.39,8.49,283200.0
06/29/2012,16:00,8.60,9.05,8.47,8.83,455900.0
07/02/2012,16:00,8.77,9.00,8.71,8.99,464000.0
07/03/2012,16:00,8.99,9.00,8.71,8.99,153900.0
