Date,Time,Open,High,Low,Close,Vol
12/15/2010,16:00,12.0,12.6,11.16,12.55,2098500.0
12/16/2010,16:00,12.5,12.92,12.43,12.6,178900.0
12/17/2010,16:00,12.85,12.85,12.5,12.75,23200.0
12/20/2010,16:00,13.48,13.48,12.55,13.05,105200.0
12/21/2010,16:00,14.66,14.66,13.01,13.7,85500.0
12/22/2010,16:00,13.89,14.07,13.06,13.32,39600.0
12/23/2010,16:00,13.08,13.7,13.08,13.41,14500.0
12/27/2010,16:00,13.9,13.9,13.22,13.44,39500.0
12/28/2010,16:00,13.45,13.7,13.02,13.25,107500.0
12/29/2010,16:00,13.08,13.74,13.08,13.6,18900.0
12/30/2010,16:00,13.77,13.77,13.33,13.49,7300.0
12/31/2010,16:00,13.5,13.74,13.31,13.63,49400.0
01/03/2011,16:00,13.6,14.8,13.26,14.5,68500.0
01/04/2011,16:00,14.04,14.72,13.99,14.25,13700.0
01/05/2011,16:00,14.36,14.48,14.0,14.2,9600.0
01/06/2011,16:00,14.34,14.34,14.0,14.1,13600.0
01/07/2011,16:00,14.01,14.5,14.01,14.21,27800.0
01/10/2011,16:00,14.02,14.65,14.02,14.48,74400.0
01/11/2011,16:00,14.05,14.64,14.05,14.58,24900.0
01/12/2011,16:00,14.6,14.62,14.23,14.35,37900.0
01/13/2011,16:00,14.38,14.58,14.29,14.5,44200.0
01/14/2011,16:00,14.5,14.6,14.14,14.46,79100.0
01/18/2011,16:00,14.4,14.58,14.23,14.36,77600.0
01/19/2011,16:00,14.35,14.64,14.31,14.47,20700.0
01/20/2011,16:00,14.3,14.44,13.78,14.14,61700.0
01/21/2011,16:00,14.47,14.58,14.13,14.17,168500.0
01/24/2011,16:00,14.38,14.47,13.15,13.71,151300.0
01/25/2011,16:00,14.0,14.22,13.16,13.22,234100.0
01/26/2011,16:00,13.61,13.61,12.86,13.53,69900.0
01/27/2011,16:00,13.46,13.73,13.04,13.34,14000.0
01/28/2011,16:00,13.45,13.62,13.1,13.44,96200.0
01/31/2011,16:00,13.3,13.94,13.1,13.75,74300.0
02/01/2011,16:00,13.97,14.54,13.4,14.3,53900.0
02/02/2011,16:00,14.0,14.48,13.02,14.3,37000.0
02/03/2011,16:00,14.68,14.68,14.02,14.44,60800.0
02/04/2011,16:00,13.92,14.25,13.5,13.97,41400.0
02/07/2011,16:00,14.2,14.99,14.2,14.72,141800.0
02/08/2011,16:00,14.91,15.35,14.78,15.0,28200.0
02/09/2011,16:00,15.05,15.11,14.68,14.86,33100.0
02/10/2011,16:00,14.81,15.0,14.6,14.72,28500.0
02/11/2011,16:00,14.55,16.11,14.5,15.65,97000.0
02/14/2011,16:00,15.85,16.00,15.13,15.45,69400.0
02/15/2011,16:00,15.41,15.42,14.81,15.07,62600.0
02/16/2011,16:00,15.1,15.26,14.74,14.99,116000.0
02/17/2011,16:00,15.08,15.09,14.87,14.91,7200.0
02/18/2011,16:00,14.72,15.07,14.72,14.93,37300.0
02/22/2011,16:00,14.77,14.97,14.52,14.62,12100.0
02/23/2011,16:00,14.71,14.77,14.56,14.7,33100.0
02/24/2011,16:00,14.62,14.84,14.62,14.78,9800.0
02/25/2011,16:00,14.98,14.98,14.55,14.74,9900.0
02/28/2011,16:00,14.88,14.89,14.5,14.7,83700.0
03/01/2011,16:00,14.82,14.91,14.57,14.6,34800.0
03/02/2011,16:00,14.53,14.71,14.5,14.51,9800.0
03/03/2011,16:00,14.86,14.86,14.47,14.59,18800.0
03/04/2011,16:00,14.75,14.9,14.57,14.77,108800.0
03/07/2011,16:00,14.82,15.97,14.75,15.67,38900.0
03/08/2011,16:00,15.67,18.92,15.67,17.8,98400.0
03/09/2011,16:00,17.86,18.17,17.33,18.01,80500.0
03/10/2011,16:00,17.82,18.24,17.13,17.34,152800.0
03/11/2011,16:00,17.29,17.29,16.28,17.0,88500.0
03/14/2011,16:00,16.99,17.15,16.95,17.07,58400.0
03/15/2011,16:00,16.86,17.57,16.0,17.4,68000.0
03/16/2011,16:00,16.55,19.29,16.55,17.33,40600.0
03/17/2011,16:00,17.55,19.58,17.45,17.91,33900.0
03/18/2011,16:00,17.86,18.47,17.86,18.19,57400.0
03/21/2011,16:00,18.14,18.49,18.14,18.25,43000.0
03/22/2011,16:00,19.52,19.91,18.23,18.31,25100.0
03/23/2011,16:00,18.31,18.5,17.98,18.37,16200.0
03/24/2011,16:00,18.4,18.54,18.05,18.37,30200.0
03/25/2011,16:00,18.39,18.6,18.25,18.6,27800.0
03/28/2011,16:00,18.54,19.18,18.11,18.64,37000.0
03/29/2011,16:00,17.95,18.5,17.06,18.23,58400.0
03/30/2011,16:00,18.64,19.53,18.6,18.82,70600.0
03/31/2011,16:00,17.56,18.82,17.38,18.18,498000.0
04/01/2011,16:00,18.06,18.8,18.06,18.75,97600.0
04/04/2011,16:00,18.63,19.31,18.27,18.69,83000.0
04/05/2011,16:00,18.75,19.05,18.46,18.59,41300.0
04/06/2011,16:00,18.58,19.42,18.58,19.12,95600.0
04/07/2011,16:00,18.4,19.47,18.4,19.34,68500.0
04/08/2011,16:00,19.85,20.48,18.65,18.95,113700.0
04/11/2011,16:00,19.19,19.19,18.6,18.66,14500.0
04/12/2011,16:00,18.51,19.62,17.68,17.95,52100.0
04/13/2011,16:00,17.95,17.95,17.21,17.38,18500.0
04/14/2011,16:00,17.32,18.76,17.32,18.43,39100.0
04/15/2011,16:00,18.43,19.98,18.43,19.98,36400.0
04/18/2011,16:00,19.81,19.99,19.17,19.76,24500.0
04/19/2011,16:00,19.41,19.41,18.31,18.94,30900.0
04/20/2011,16:00,19.25,19.25,18.7,18.78,7700.0
04/21/2011,16:00,18.8,19.06,18.79,18.97,4100.0
04/25/2011,16:00,18.89,19.38,18.89,19.37,15800.0
04/26/2011,16:00,19.31,20.0,18.96,19.89,11400.0
04/27/2011,16:00,19.79,20.1,19.07,20.08,11500.0
04/28/2011,16:00,20.11,20.69,19.32,19.76,20300.0
04/29/2011,16:00,19.68,19.76,19.14,19.4,21000.0
05/02/2011,16:00,19.43,19.75,18.85,19.6,20700.0
05/03/2011,16:00,19.6,19.6,18.16,18.39,20600.0
05/04/2011,16:00,18.46,19.34,17.98,18.15,17000.0
05/05/2011,16:00,18.16,18.16,17.51,17.66,27900.0
05/06/2011,16:00,17.9,18.54,17.78,18.38,19000.0
05/09/2011,16:00,18.18,18.62,18.05,18.11,4500.0
05/10/2011,16:00,18.26,18.81,18.1,18.27,20900.0
05/11/2011,16:00,17.52,17.91,16.7,17.07,28800.0
05/12/2011,16:00,17.37,17.55,16.22,17.41,22100.0
05/13/2011,16:00,17.45,17.72,16.85,17.25,34600.0
05/16/2011,16:00,17.14,17.55,16.3,16.32,24000.0
05/17/2011,16:00,16.35,18.03,16.35,17.49,41600.0
05/18/2011,16:00,17.6,17.82,17.02,17.5,40100.0
05/19/2011,16:00,17.5,17.5,15.98,16.57,32400.0
05/20/2011,16:00,16.42,17.47,16.42,17.05,29200.0
05/23/2011,16:00,16.91,17.5,16.43,17.5,38800.0
05/24/2011,16:00,17.45,17.5,16.82,17.03,29000.0
05/25/2011,16:00,17.06,17.62,16.89,17.32,16500.0
05/26/2011,16:00,17.27,17.5,16.7,17.35,29500.0
05/27/2011,16:00,17.49,17.53,17.01,17.41,35800.0
05/31/2011,16:00,17.58,17.92,16.66,16.69,285900.0
06/01/2011,16:00,16.77,16.82,15.18,15.5,71600.0
06/02/2011,16:00,15.66,15.98,15.5,15.6,18700.0
06/03/2011,16:00,15.35,15.84,15.35,15.68,32700.0
06/06/2011,16:00,16.03,16.38,15.69,16.26,25400.0
06/07/2011,16:00,16.33,16.63,16.28,16.3,22000.0
06/08/2011,16:00,16.22,16.4,15.78,15.78,19400.0
06/09/2011,16:00,15.92,15.92,15.21,15.79,4100.0
06/10/2011,16:00,15.26,15.92,15.26,15.52,19900.0
06/13/2011,16:00,15.26,16.44,15.17,16.14,33500.0
06/14/2011,16:00,16.02,16.75,16.02,16.57,24200.0
06/15/2011,16:00,16.54,17.05,15.73,15.94,10200.0
06/16/2011,16:00,16.02,16.56,15.92,16.53,8800.0
06/17/2011,16:00,16.57,17.21,16.07,16.54,26000.0
06/20/2011,16:00,16.09,17.89,16.09,17.47,47400.0
06/21/2011,16:00,17.45,17.6,17.0,17.5,24800.0
06/22/2011,16:00,17.35,17.77,17.17,17.32,15500.0
06/23/2011,16:00,17.05,17.14,16.64,16.93,6300.0
06/24/2011,16:00,17.03,17.54,16.76,17.4,350300.0
06/27/2011,16:00,17.25,17.25,15.7,17.17,38900.0
06/28/2011,16:00,17.14,17.55,16.9,17.2,30500.0
06/29/2011,16:00,17.07,17.13,16.69,16.83,15200.0
06/30/2011,16:00,16.84,17.49,16.65,17.0,41000.0
07/01/2011,16:00,17.1,17.1,16.53,16.89,15700.0
07/05/2011,16:00,16.73,17.0,16.39,16.41,11300.0
07/06/2011,16:00,16.38,17.28,16.33,17.01,11800.0
07/07/2011,16:00,17.16,17.16,16.78,16.98,11200.0
07/08/2011,16:00,16.87,17.16,16.68,16.99,7100.0
07/11/2011,16:00,16.89,17.49,16.89,17.16,8200.0
07/12/2011,16:00,17.09,17.29,17.09,17.09,5500.0
07/13/2011,16:00,17.29,17.39,17.0,17.17,6600.0
07/14/2011,16:00,17.06,17.33,17.06,17.24,11500.0
07/15/2011,16:00,17.26,17.66,17.15,17.49,47700.0
07/18/2011,16:00,17.18,17.18,16.52,16.66,9500.0
07/19/2011,16:00,16.71,17.5,16.71,17.5,9000.0
07/20/2011,16:00,17.16,17.27,16.84,17.15,1900.0
07/21/2011,16:00,17.31,17.58,17.19,17.4,4200.0
07/22/2011,16:00,17.31,17.41,16.82,17.07,4400.0
07/25/2011,16:00,16.91,17.09,16.69,16.69,4800.0
07/26/2011,16:00,16.73,17.02,16.44,16.51,4600.0
07/27/2011,16:00,16.52,17.29,16.34,16.6,10400.0
07/28/2011,16:00,16.54,17.44,16.36,16.88,3900.0
07/29/2011,16:00,16.64,17.5,16.64,17.29,23100.0
08/01/2011,16:00,17.3,17.3,16.51,16.83,14800.0
08/02/2011,16:00,16.81,17.3,16.61,16.62,7300.0
08/03/2011,16:00,16.84,17.0,16.33,16.73,7100.0
08/04/2011,16:00,16.7,16.78,15.8,15.81,35400.0
08/05/2011,16:00,16.29,16.29,15.0,15.0,113500.0
08/08/2011,16:00,14.65,16.03,13.02,13.37,16800.0
08/09/2011,16:00,13.76,16.49,12.52,15.23,115600.0
08/10/2011,16:00,14.8,16.0,13.56,14.11,14700.0
08/11/2011,16:00,14.65,15.82,14.02,15.64,28100.0
08/12/2011,16:00,16.21,16.21,14.97,14.99,38100.0
08/15/2011,16:00,14.99,15.0,14.61,14.92,9000.0
08/16/2011,16:00,14.76,15.11,14.25,14.25,19300.0
08/17/2011,16:00,14.3,15.01,14.3,14.62,20200.0
08/18/2011,16:00,14.26,14.57,14.0,14.01,19800.0
08/19/2011,16:00,14.0,14.7,13.2,13.8,20900.0
08/22/2011,16:00,14.25,14.25,13.89,14.04,20400.0
08/23/2011,16:00,14.53,14.9,14.31,14.87,11600.0
08/24/2011,16:00,14.88,15.0,14.29,15.0,19300.0
08/25/2011,16:00,15.06,15.06,14.17,14.28,26400.0
08/26/2011,16:00,14.29,14.29,13.81,14.21,12600.0
08/29/2011,16:00,14.28,15.0,14.28,14.96,15900.0
08/30/2011,16:00,14.89,14.89,14.54,14.85,5800.0
08/31/2011,16:00,14.95,15.4,14.50,15.37,64000.0
09/01/2011,16:00,15.29,16.28,15.23,15.5,20000.0
09/02/2011,16:00,15.24,15.87,14.68,14.81,11900.0
09/06/2011,16:00,14.38,14.55,13.87,14.17,5900.0
09/07/2011,16:00,14.5,15.07,14.5,15.03,9700.0
09/08/2011,16:00,14.93,16.49,14.93,15.62,17000.0
09/09/2011,16:00,15.45,16.5,14.88,14.9,11100.0
09/12/2011,16:00,16.1,16.34,14.78,15.88,8700.0
09/13/2011,16:00,16.21,17.52,16.21,17.24,6700.0
09/14/2011,16:00,17.35,17.35,16.79,16.98,20200.0
09/15/2011,16:00,17.16,17.3,16.84,17.05,5000.0
09/16/2011,16:00,17.14,17.22,16.44,16.5,39500.0
09/19/2011,16:00,16.26,17.25,15.09,15.31,8200.0
09/20/2011,16:00,15.51,16.63,14.64,15.98,17600.0
09/21/2011,16:00,15.97,17.09,15.59,16.15,53000.0
09/22/2011,16:00,15.68,16.39,13.67,14.02,36200.0
09/23/2011,16:00,14.04,15.43,14.04,15.03,17800.0
09/26/2011,16:00,15.16,16.92,14.99,16.41,8900.0
09/27/2011,16:00,16.46,16.46,15.86,16.4,12800.0
09/28/2011,16:00,16.32,16.43,15.04,15.18,14400.0
09/29/2011,16:00,15.57,16.45,14.37,16.39,18000.0
09/30/2011,16:00,16.06,16.51,15.38,16.03,20500.0
10/03/2011,16:00,16.07,16.29,14.52,14.52,23300.0
10/04/2011,16:00,14.45,16.5,14.17,16.01,25300.0
10/05/2011,16:00,15.9,16.46,15.1,16.43,28000.0
10/06/2011,16:00,16.16,16.16,15.66,15.99,9300.0
10/07/2011,16:00,15.56,15.98,15.53,15.61,6000.0
10/10/2011,16:00,15.84,15.99,15.11,15.99,12900.0
10/11/2011,16:00,15.69,16.0,15.55,15.8,7100.0
10/12/2011,16:00,15.8,15.98,15.16,15.6,17100.0
10/13/2011,16:00,15.38,15.51,15.24,15.35,4800.0
10/14/2011,16:00,15.46,15.83,14.21,15.79,54500.0
10/17/2011,16:00,15.54,15.66,14.51,14.59,26300.0
10/18/2011,16:00,14.69,15.96,14.61,15.86,69900.0
10/19/2011,16:00,15.7,15.91,14.66,14.96,13500.0
10/20/2011,16:00,15.1,15.1,14.34,14.86,15500.0
10/21/2011,16:00,15.25,16.0,14.77,15.99,30200.0
10/24/2011,16:00,15.98,16.0,15.81,16.0,8000.0
10/25/2011,16:00,15.88,15.98,15.46,15.54,11700.0
10/26/2011,16:00,15.78,16.0,15.22,16.0,17000.0
10/27/2011,16:00,16.0,16.46,15.4,16.34,47200.0
10/28/2011,16:00,16.05,16.4,15.65,16.0,14700.0
10/31/2011,16:00,15.88,16.05,15.57,15.63,10000.0
11/01/2011,16:00,15.02,16.0,14.39,15.11,28000.0
11/02/2011,16:00,15.43,15.82,15.0,15.69,13200.0
11/03/2011,16:00,15.92,16.0,15.6,16.0,9600.0
11/04/2011,16:00,16.0,16.0,15.93,15.98,15500.0
11/07/2011,16:00,15.72,16.19,15.65,16.08,3800.0
11/08/2011,16:00,16.0,16.04,15.9,15.95,31800.0
11/09/2011,16:00,15.65,15.7,15.15,15.45,12100.0
11/10/2011,16:00,15.69,16.97,15.34,16.46,93000.0
11/11/2011,16:00,16.46,16.55,16.34,16.44,21200.0
11/14/2011,16:00,16.25,16.32,16.1,16.24,6800.0
11/15/2011,16:00,16.17,16.42,15.71,16.24,15900.0
11/16/2011,16:00,16.01,16.46,16.01,16.11,9200.0
11/17/2011,16:00,16.23,16.45,16.13,16.2,13100.0
11/18/2011,16:00,16.2,16.23,15.76,15.78,21600.0
11/21/2011,16:00,15.54,15.79,15.38,15.47,24800.0
11/22/2011,16:00,15.5,16.28,15.31,15.57,19300.0
11/23/2011,16:00,15.54,15.85,15.23,15.65,23400.0
11/25/2011,16:00,15.64,15.7,15.51,15.65,9100.0
11/28/2011,16:00,15.75,16.0,15.7,15.99,26100.0
11/29/2011,16:00,15.96,16.0,15.73,15.96,47700.0
11/30/2011,16:00,16.14,16.46,16.05,16.46,86500.0
12/01/2011,16:00,16.43,17.04,16.4,16.6,53900.0
12/02/2011,16:00,16.86,16.98,16.31,16.6,25500.0
12/05/2011,16:00,16.8,16.85,16.23,16.72,32300.0
12/06/2011,16:00,16.53,16.69,16.23,16.44,33600.0
12/07/2011,16:00,16.31,16.69,15.86,15.94,41100.0
12/08/2011,16:00,15.75,15.99,15.52,15.64,19400.0
12/09/2011,16:00,15.74,16.0,15.74,16.0,23700.0
12/12/2011,16:00,15.79,15.88,15.72,15.76,12700.0
12/13/2011,16:00,15.89,16.03,15.75,15.76,16000.0
12/14/2011,16:00,15.68,15.83,15.41,15.77,18800.0
12/15/2011,16:00,15.89,15.89,15.17,15.67,19600.0
12/16/2011,16:00,15.75,15.97,15.39,15.94,49700.0
12/19/2011,16:00,15.96,16.18,15.69,16.02,27600.0
12/20/2011,16:00,16.17,16.88,15.45,16.71,33300.0
