Date,Time,Open,High,Low,Close,Vol
03/17/1980,16:00,4.74,4.86,4.74,4.77,8800.0
03/18/1980,16:00,4.74,4.74,4.62,4.68,14000.0
03/19/1980,16:00,4.68,4.98,4.62,4.92,22000.0
03/20/1980,16:00,4.92,5.19,4.86,5.19,21600.0
03/21/1980,16:00,5.04,5.04,5.04,5.04,4000.0
03/24/1980,16:00,4.95,4.95,4.50,4.59,30800.0
03/25/1980,16:00,4.59,4.65,4.53,4.56,27200.0
03/26/1980,16:00,4.56,4.62,4.53,4.53,8800.0
03/27/1980,16:00,4.44,4.44,4.08,4.26,50800.0
03/28/1980,16:00,4.53,4.74,4.53,4.62,52000.0
03/31/1980,16:00,4.62,4.68,4.56,4.56,9200.0
04/01/1980,16:00,4.56,4.74,4.56,4.74,4800.0
04/02/1980,16:00,4.74,4.77,4.44,4.77,69600.0
04/03/1980,16:00,4.77,4.80,4.68,4.71,4400.0
04/07/1980,16:00,4.65,4.65,4.50,4.50,2800.0
04/08/1980,16:00,4.47,4.47,4.29,4.47,29200.0
04/09/1980,16:00,4.50,4.98,4.50,4.98,35600.0
04/10/1980,16:00,5.10,5.34,5.10,5.28,46400.0
04/11/1980,16:00,5.28,5.37,5.19,5.28,12400.0
04/14/1980,16:00,5.19,5.19,5.16,5.19,3200.0
04/15/1980,16:00,5.13,5.13,5.04,5.04,11200.0
04/16/1980,16:00,4.95,4.95,4.65,4.65,19600.0
04/17/1980,16:00,4.50,4.50,4.50,4.50,8800.0
04/18/1980,16:00,4.47,4.47,4.38,4.38,4400.0
04/21/1980,16:00,4.38,4.41,4.38,4.38,1200.0
04/22/1980,16:00,4.44,4.95,4.44,4.95,35200.0
04/23/1980,16:00,4.95,5.10,4.92,4.92,77200.0
04/24/1980,16:00,4.92,5.10,4.92,5.10,10400.0
04/25/1980,16:00,5.10,5.37,4.98,5.37,86000.0
04/28/1980,16:00,5.37,5.37,5.22,5.22,30800.0
04/29/1980,16:00,5.22,5.64,5.16,5.64,57600.0
04/30/1980,16:00,5.64,5.70,5.52,5.70,14400.0
05/01/1980,16:00,5.64,5.64,5.34,5.52,19600.0
05/02/1980,16:00,5.49,5.49,5.16,5.25,22800.0
05/05/1980,16:00,5.19,5.19,5.04,5.07,8800.0
05/06/1980,16:00,5.07,5.10,5.01,5.04,1600.0
05/07/1980,16:00,5.04,5.22,4.95,5.22,66400.0
