Date,Time,Open,High,Low,Close,Vol
12/31/1981,16:00,2.67,2.70,2.63,2.68,109601.458
01/04/1982,16:00,2.67,2.67,2.66,2.66,80801.974
01/05/1982,16:00,2.63,2.66,2.59,2.59,138400.942
01/06/1982,16:00,2.55,2.59,2.51,2.53,151601.732
01/07/1982,16:00,2.52,2.53,2.50,2.51,96798.95
01/08/1982,16:00,2.53,2.54,2.51,2.52,258801.18
01/11/1982,16:00,2.49,2.52,2.45,2.45,159998.502
01/12/1982,16:00,2.40,2.45,2.33,2.39,249201.352
01/13/1982,16:00,2.37,2.40,2.33,2.34,227201.404
01/14/1982,16:00,2.36,2.38,2.33,2.36,52799.054
01/15/1982,16:00,2.38,2.40,2.36,2.38,75201.39
01/18/1982,16:00,2.36,2.38,2.32,2.32,243198.38
01/19/1982,16:00,2.39,2.41,2.37,2.40,395600.782
01/20/1982,16:00,2.46,2.51,2.40,2.49,547999.078
01/21/1982,16:00,2.54,2.56,2.51,2.54,395600.782
01/22/1982,16:00,2.53,2.54,2.52,2.53,341598.67
01/25/1982,16:00,2.52,2.53,2.50,2.53,253598.878
01/26/1982,16:00,2.54,2.56,2.51,2.51,262800.424
01/27/1982,16:00,2.49,2.51,2.46,2.46,349601.264
01/28/1982,16:00,2.47,2.49,2.45,2.46,153999.636
01/29/1982,16:00,2.53,2.57,2.48,2.56,309600.612
02/01/1982,16:00,2.53,2.55,2.50,2.50,272001.97
02/02/1982,16:00,2.50,2.52,2.47,2.50,140400.564
02/03/1982,16:00,2.51,2.54,2.48,2.48,142001.904
02/04/1982,16:00,2.49,2.50,2.47,2.48,93600.376
02/05/1982,16:00,2.56,2.59,2.52,2.58,149598.004
02/08/1982,16:00,2.62,2.64,2.59,2.60,177198.536
02/09/1982,16:00,2.62,2.63,2.61,2.62,108398.4
02/10/1982,16:00,2.64,2.67,2.60,2.60,299200.114
02/11/1982,16:00,2.61,2.61,2.60,2.60,138799.224
02/12/1982,16:00,2.60,2.61,2.59,2.60,42398.556
02/16/1982,16:00,2.53,2.54,2.52,2.53,258398.792
02/17/1982,16:00,2.53,2.55,2.50,2.50,221198.432
02/18/1982,16:00,2.49,2.51,2.46,2.48,101200.582
02/19/1982,16:00,2.45,2.47,2.43,2.43,254399.548
02/22/1982,16:00,2.46,2.48,2.44,2.44,174800.632
02/23/1982,16:00,2.40,2.43,2.36,2.40,281199.41
02/24/1982,16:00,2.38,2.40,2.36,2.37,208001.748
02/25/1982,16:00,2.37,2.38,2.36,2.36,405200.61
02/26/1982,16:00,2.37,2.38,2.34,2.34,71998.71
03/01/1982,16:00,2.37,2.39,2.33,2.33,287198.276
03/02/1982,16:00,2.36,2.37,2.33,2.33,124399.482
03/03/1982,16:00,2.32,2.32,2.31,2.31,262800.424
03/04/1982,16:00,2.30,2.32,2.28,2.28,157600.598
03/05/1982,16:00,2.27,2.29,2.25,2.26,179198.158
03/08/1982,16:00,2.14,2.21,2.06,2.06,782800.688
03/09/1982,16:00,2.11,2.16,2.06,2.12,776399.434
03/10/1982,16:00,2.21,2.26,2.16,2.23,307999.272
03/11/1982,16:00,2.23,2.27,2.18,2.18,330799.89
03/12/1982,16:00,2.16,2.17,2.14,2.15,127199.774
03/15/1982,16:00,2.16,2.17,2.15,2.17,90401.802
03/16/1982,16:00,2.20,2.24,2.16,2.21,618798.836
03/17/1982,16:00,2.21,2.23,2.19,2.22,107199.448
03/18/1982,16:00,2.23,2.24,2.21,2.22,57200.686
03/19/1982,16:00,2.23,2.24,2.22,2.22,84398.83
03/22/1982,16:00,2.28,2.32,2.23,2.31,164001.852
03/23/1982,16:00,2.30,2.33,2.26,2.26,168399.378
03/24/1982,16:00,2.27,2.30,2.24,2.25,237601.902
03/25/1982,16:00,2.26,2.27,2.25,2.27,216000.236
03/26/1982,16:00,2.27,2.28,2.26,2.26,121599.19
03/29/1982,16:00,2.27,2.28,2.25,2.25,52400.772
03/30/1982,16:00,2.25,2.26,2.23,2.23,319200.44
03/31/1982,16:00,2.18,2.23,2.13,2.13,320801.78
04/01/1982,16:00,2.17,2.22,2.12,2.22,218800.528
04/02/1982,16:00,2.27,2.28,2.26,2.28,246401.06
04/05/1982,16:00,2.28,2.29,2.26,2.28,410000.524
04/06/1982,16:00,2.27,2.28,2.25,2.26,178799.876
04/07/1982,16:00,2.25,2.26,2.24,2.25,83598.16
04/08/1982,16:00,2.22,2.24,2.20,2.21,164001.852
04/12/1982,16:00,2.18,2.21,2.15,2.18,212399.274
04/13/1982,16:00,2.21,2.23,2.19,2.20,404399.94
04/14/1982,16:00,2.22,2.23,2.21,2.22,65199.174
04/15/1982,16:00,2.24,2.25,2.22,2.24,219198.81
04/16/1982,16:00,2.23,2.24,2.22,2.23,575201.328
04/19/1982,16:00,2.25,2.26,2.23,2.25,898401.012
04/20/1982,16:00,2.29,2.33,2.25,2.31,666399.694
04/21/1982,16:00,2.37,2.42,2.30,2.36,321598.344
04/22/1982,16:00,2.40,2.44,2.34,2.41,471200.454
04/23/1982,16:00,2.45,2.49,2.40,2.48,490400.11
04/26/1982,16:00,2.52,2.55,2.49,2.55,366398.91
04/27/1982,16:00,2.58,2.59,2.56,2.59,494801.742
04/28/1982,16:00,2.61,2.64,2.57,2.58,573599.988
04/29/1982,16:00,2.55,2.57,2.53,2.53,323199.684
04/30/1982,16:00,2.53,2.54,2.52,2.54,163201.182
05/03/1982,16:00,2.53,2.54,2.51,2.53,137201.99
05/04/1982,16:00,2.58,2.62,2.53,2.59,183201.508
05/05/1982,16:00,2.63,2.66,2.59,2.62,551201.758
05/06/1982,16:00,2.66,2.70,2.62,2.68,432801.142
05/07/1982,16:00,2.76,2.79,2.71,2.79,802398.626
05/10/1982,16:00,2.77,2.79,2.75,2.76,1247201.606
