Date,Time,Open,High,Low,Close,Vol
04/09/2012,16:00,6.63,7.04,6.61,6.91,2037100.0
04/10/2012,16:00,6.99,7.24,6.69,6.69,2001200.0
04/11/2012,16:00,6.87,6.97,6.74,6.94,587900.0
04/12/2012,16:00,6.90,7.01,6.80,7.01,492800.0
04/13/2012,16:00,6.98,7.08,6.78,6.90,530100.0
04/16/2012,16:00,7.01,7.04,6.79,6.91,413800.0
04/17/2012,16:00,6.92,6.99,6.84,6.89,386100.0
04/18/2012,16:00,6.86,6.97,6.86,6.91,543000.0
04/19/2012,16:00,6.90,6.98,6.87,6.94,751300.0
04/20/2012,16:00,6.94,7.05,6.90,7.02,568900.0
04/23/2012,16:00,6.94,7.05,6.90,7.01,351600.0
04/24/2012,16:00,6.95,7.04,6.95,7.01,523500.0
04/25/2012,16:00,6.97,7.07,6.96,7.01,1231000.0
04/26/2012,16:00,6.99,7.02,6.95,6.97,375700.0
04/27/2012,16:00,6.96,6.98,6.94,6.96,201700.0
04/30/2012,16:00,6.96,6.97,6.90,6.94,283000.0
05/01/2012,16:00,6.91,7.01,6.91,6.97,230100.0
05/02/2012,16:00,6.94,7.00,6.91,6.95,287500.0
05/03/2012,16:00,6.84,6.99,6.84,6.94,602000.0
05/04/2012,16:00,6.84,6.96,6.84,6.87,429200.0
05/07/2012,16:00,6.83,6.90,6.81,6.87,253000.0
05/08/2012,16:00,6.82,6.90,6.74,6.88,654800.0
05/09/2012,16:00,6.51,6.90,6.51,6.84,184600.0
05/10/2012,16:00,6.82,6.97,6.82,6.97,247000.0
05/11/2012,16:00,6.90,6.99,6.90,6.97,638200.0
05/14/2012,16:00,6.96,7.01,6.96,6.98,251800.0
05/15/2012,16:00,6.97,7.03,6.94,6.97,366200.0
05/16/2012,16:00,6.94,6.97,6.86,6.90,319100.0
05/17/2012,16:00,6.87,6.87,6.73,6.74,328800.0
05/18/2012,16:00,6.71,6.74,6.61,6.62,214300.0
05/21/2012,16:00,6.68,6.90,6.68,6.84,224500.0
05/22/2012,16:00,6.79,6.84,6.75,6.81,868900.0
05/23/2012,16:00,6.74,6.87,6.74,6.80,168000.0
05/24/2012,16:00,6.82,6.86,6.77,6.84,272500.0
05/25/2012,16:00,6.81,6.85,6.67,6.83,259400.0
05/29/2012,16:00,6.87,6.95,6.80,6.91,318300.0
05/30/2012,16:00,6.87,6.93,6.80,6.93,247600.0
05/31/2012,16:00,6.90,7.01,6.86,7.01,180400.0
06/01/2012,16:00,6.85,7.00,6.79,6.79,261900.0
06/04/2012,16:00,6.77,6.78,6.51,6.63,330600.0
06/05/2012,16:00,6.63,6.82,6.63,6.81,137900.0
06/06/2012,16:00,6.82,6.99,6.77,6.90,224900.0
06/07/2012,16:00,6.97,7.00,6.85,6.85,461800.0
06/08/2012,16:00,6.88,7.37,6.84,7.19,629600.0
06/11/2012,16:00,7.24,7.24,6.78,6.81,561100.0
06/12/2012,16:00,6.84,7.10,6.79,7.09,440800.0
06/13/2012,16:00,7.01,7.40,6.98,7.22,651500.0
06/14/2012,16:00,7.26,7.37,7.23,7.24,272100.0
06/15/2012,16:00,7.23,7.40,7.17,7.40,647300.0
06/18/2012,16:00,7.34,7.50,7.33,7.44,493700.0
06/19/2012,16:00,7.50,7.50,7.38,7.42,487200.0
06/20/2012,16:00,7.39,7.45,7.26,7.27,862700.0
06/21/2012,16:00,7.31,7.31,7.01,7.06,812800.0
06/22/2012,16:00,7.12,7.22,7.01,7.10,4487100.0
06/25/2012,16:00,7.05,7.30,6.94,7.21,328100.0
06/26/2012,16:00,7.24,7.34,7.14,7.30,428100.0
06/27/2012,16:00,7.39,7.53,7.18,7.52,228600.0
06/28/2012,16:00,7.46,7.56,7.36,7.52,457600.0
06/29/2012,16:00,7.61,7.61,7.50,7.58,653300.0
07/02/2012,16:00,7.56,7.60,7.44,7.53,488700.0
07/03/2012,16:00,7.50,7.64,7.50,7.62,136600.0
07/05/2012,16:00,7.58,7.64,7.55,7.56,212100.0
07/06/2012,16:00,7.52,7.61,7.50,7.54,200400.0
07/09/2012,16:00,7.55,7.61,7.37,7.51,122500.0
07/10/2012,16:00,7.46,7.57,7.38,7.55,221400.0
07/11/2012,16:00,7.48,7.58,7.40,7.57,154500.0
07/12/2012,16:00,7.46,7.67,7.43,7.61,349600.0
