Date,Time,Open,High,Low,Close,Vol
05/04/2011,16:00,23.90,24.60,22.91,23.78,6838400.0
05/05/2011,16:00,23.30,24.79,23.21,24.56,625200.0
05/06/2011,16:00,25.89,27.29,25.01,26.64,347800.0
05/09/2011,16:00,27.49,27.63,26.06,27.34,198200.0
05/10/2011,16:00,27.73,28.27,26.69,27.40,136800.0
05/11/2011,16:00,26.95,27.59,26.04,26.74,85800.0
05/12/2011,16:00,26.61,27.11,25.90,27.01,39700.0
05/13/2011,16:00,27.37,27.37,26.24,26.75,86200.0
05/16/2011,16:00,26.88,27.26,25.82,25.83,153000.0
05/17/2011,16:00,25.65,26.64,25.65,26.23,85400.0
05/18/2011,16:00,26.57,27.89,26.30,27.89,65800.0
05/19/2011,16:00,27.89,28.23,27.51,28.23,103200.0
05/20/2011,16:00,28.33,29.42,27.95,28.31,164300.0
05/23/2011,16:00,28.14,28.31,27.36,27.81,47700.0
05/24/2011,16:00,27.41,28.32,26.92,27.89,137000.0
05/25/2011,16:00,28.08,28.87,27.71,27.77,41000.0
05/26/2011,16:00,27.77,28.58,27.29,27.85,68900.0
05/27/2011,16:00,28.02,28.87,27.76,28.43,69700.0
05/31/2011,16:00,28.87,29.36,28.49,28.78,86800.0
06/01/2011,16:00,28.68,29.83,28.36,28.39,74100.0
06/02/2011,16:00,28.85,28.86,27.52,28.53,117300.0
06/03/2011,16:00,28.05,28.88,27.38,28.78,82000.0
06/06/2011,16:00,28.00,28.66,27.59,28.49,46000.0
06/07/2011,16:00,28.59,28.84,26.55,28.84,44500.0
06/08/2011,16:00,28.71,29.64,27.44,28.28,78200.0
06/09/2011,16:00,28.42,30.10,28.38,29.82,245400.0
06/10/2011,16:00,29.64,31.28,29.14,30.87,90800.0
06/13/2011,16:00,31.26,31.26,28.54,29.20,193600.0
06/14/2011,16:00,29.31,29.31,26.72,27.55,121000.0
06/15/2011,16:00,27.15,28.37,26.20,26.34,137400.0
06/16/2011,16:00,26.15,26.54,24.04,24.73,228300.0
06/17/2011,16:00,24.83,25.43,23.74,24.38,237200.0
06/20/2011,16:00,23.88,24.85,23.82,24.26,264300.0
06/21/2011,16:00,24.55,25.86,23.90,25.78,254400.0
06/22/2011,16:00,25.84,27.79,25.81,27.52,126700.0
06/23/2011,16:00,27.42,27.49,26.53,27.26,148700.0
06/24/2011,16:00,27.43,28.40,25.95,27.19,1611200.0
06/27/2011,16:00,27.53,27.72,26.41,26.86,83100.0
06/28/2011,16:00,27.13,27.61,26.33,26.92,95400.0
06/29/2011,16:00,27.50,27.73,26.52,26.86,75400.0
06/30/2011,16:00,26.77,28.31,25.89,27.92,170000.0
07/01/2011,16:00,27.83,29.76,27.55,28.66,106000.0
07/05/2011,16:00,28.76,28.96,28.18,28.48,54100.0
07/06/2011,16:00,28.30,28.86,27.65,27.95,61500.0
07/07/2011,16:00,28.10,28.71,27.13,27.46,214100.0
07/08/2011,16:00,27.29,28.38,26.64,27.96,183900.0
07/11/2011,16:00,27.84,28.46,27.19,27.44,92400.0
07/12/2011,16:00,27.35,27.85,26.59,27.28,165500.0
07/13/2011,16:00,27.38,27.88,27.08,27.63,51200.0
07/14/2011,16:00,27.76,27.76,26.33,26.67,543200.0
07/15/2011,16:00,26.84,28.15,26.84,27.04,38100.0
07/18/2011,16:00,26.89,27.52,25.89,26.21,105500.0
07/19/2011,16:00,26.38,27.88,26.38,27.87,105900.0
07/20/2011,16:00,27.74,29.16,27.54,28.47,97500.0
07/21/2011,16:00,28.58,29.50,28.43,28.87,226100.0
07/22/2011,16:00,28.76,29.88,28.76,29.41,239700.0
07/25/2011,16:00,29.09,29.82,29.09,29.63,155700.0
07/26/2011,16:00,29.72,29.72,28.82,29.12,27400.0
07/27/2011,16:00,29.04,29.04,27.42,27.48,54100.0
07/28/2011,16:00,27.49,28.88,27.24,27.47,166800.0
07/29/2011,16:00,27.50,27.50,25.63,26.64,67600.0
08/01/2011,16:00,27.08,27.10,25.89,26.03,42500.0
08/02/2011,16:00,26.09,26.23,25.20,25.38,145800.0
08/03/2011,16:00,24.96,26.87,24.50,25.11,200200.0
