Date,Time,Open,High,Low,Close,Vol
12/28/1992,16:00,2.62,2.62,2.62,2.62,400.5
12/29/1992,16:00,2.62,2.62,2.47,2.62,5400.0
12/30/1992,16:00,2.47,2.47,2.39,2.47,17200.5
12/31/1992,16:00,2.39,2.62,2.39,2.62,1500.0
01/04/1993,16:00,2.39,2.39,2.39,2.39,100.5
01/05/1993,16:00,2.39,2.39,2.39,2.39,1500.0
01/06/1993,16:00,2.39,2.39,2.39,2.39,3900.0
01/07/1993,16:00,2.47,2.47,2.39,2.39,6000.0
01/08/1993,16:00,2.47,2.47,2.39,2.39,15000.0
01/11/1993,16:00,2.47,2.47,2.39,2.39,2800.5
01/12/1993,16:00,2.47,2.47,2.39,2.47,3300.0
01/13/1993,16:00,2.39,2.39,2.39,2.39,1300.5
01/14/1993,16:00,2.39,2.47,2.39,2.47,28500.0
01/15/1993,16:00,2.47,2.51,2.47,2.47,3900.0
01/18/1993,16:00,2.47,2.62,2.47,2.51,17800.5
01/19/1993,16:00,2.54,2.62,2.47,2.62,23700.0
01/20/1993,16:00,2.62,2.62,2.54,2.54,45600.0
01/21/1993,16:00,2.47,2.70,2.47,2.54,9600.0
01/22/1993,16:00,2.62,2.62,2.59,2.59,17400.0
01/25/1993,16:00,2.54,2.62,2.54,2.62,28200.0
01/26/1993,16:00,2.70,2.78,2.62,2.70,73900.5
01/27/1993,16:00,2.62,2.62,2.54,2.62,12400.5
01/28/1993,16:00,2.54,2.62,2.54,2.62,15600.0
01/29/1993,16:00,2.62,2.62,2.62,2.62,3000.0
02/01/1993,16:00,2.62,2.62,2.54,2.54,4300.5
02/02/1993,16:00,2.62,2.62,2.47,2.47,11100.0
02/03/1993,16:00,2.54,2.54,2.47,2.47,1600.5
02/04/1993,16:00,2.62,2.62,2.54,2.54,2200.5
02/05/1993,16:00,2.54,2.62,2.47,2.62,70800.0
02/08/1993,16:00,2.54,2.54,2.54,2.54,1800.0
02/09/1993,16:00,2.54,2.54,2.54,2.54,14700.0
02/10/1993,16:00,2.47,2.47,2.47,2.47,700.5
02/11/1993,16:00,2.47,2.47,2.47,2.47,6600.0
02/12/1993,16:00,2.47,2.47,2.47,2.47,700.5
02/16/1993,16:00,2.47,2.47,2.47,2.47,1200.0
02/17/1993,16:00,2.47,2.54,2.39,2.39,29700.0
02/18/1993,16:00,2.39,2.54,2.39,2.54,11700.0
