Date,Time,Open,High,Low,Close,Vol
12/30/1987,16:00,2.22,2.34,2.16,2.24,313200.0
12/31/1987,16:00,2.18,2.36,2.18,2.30,239600.0
01/04/1988,16:00,2.30,2.32,2.28,2.32,129600.0
01/05/1988,16:00,2.40,2.55,2.40,2.51,325600.0
01/06/1988,16:00,2.49,2.51,2.34,2.34,204800.0
01/07/1988,16:00,2.38,2.45,2.38,2.42,26400.0
01/08/1988,16:00,2.42,2.42,2.34,2.38,101200.0
01/11/1988,16:00,2.38,2.44,2.28,2.44,74400.0
01/12/1988,16:00,2.44,2.44,2.32,2.36,61600.0
01/13/1988,16:00,2.32,2.40,2.30,2.34,124800.0
01/14/1988,16:00,2.34,2.38,2.32,2.34,133200.0
01/15/1988,16:00,2.34,2.44,2.34,2.44,82800.0
01/18/1988,16:00,2.42,2.57,2.42,2.50,277600.0
01/19/1988,16:00,2.52,2.61,2.52,2.61,182400.0
01/20/1988,16:00,2.55,2.55,2.42,2.42,144800.0
01/21/1988,16:00,2.40,2.46,2.38,2.40,57600.0
01/22/1988,16:00,2.42,2.48,2.40,2.46,375200.0
01/25/1988,16:00,2.46,2.50,2.46,2.46,12400.0
01/26/1988,16:00,2.50,2.50,2.48,2.48,132000.0
01/27/1988,16:00,2.50,2.52,2.44,2.44,147200.0
01/28/1988,16:00,2.44,2.65,2.42,2.61,223600.0
01/29/1988,16:00,2.65,2.79,2.65,2.79,415600.0
02/01/1988,16:00,2.81,2.90,2.73,2.73,330000.0
02/02/1988,16:00,2.77,2.81,2.67,2.71,98800.0
02/03/1988,16:00,2.77,2.83,2.71,2.73,220000.0
02/04/1988,16:00,2.69,2.73,2.65,2.69,46000.0
02/05/1988,16:00,2.65,2.79,2.65,2.77,157200.0
02/08/1988,16:00,2.79,2.79,2.59,2.75,61200.0
02/09/1988,16:00,2.71,2.75,2.67,2.71,108800.0
02/10/1988,16:00,2.71,2.77,2.71,2.73,32000.0
02/11/1988,16:00,2.73,2.75,2.63,2.63,45600.0
02/12/1988,16:00,2.57,2.73,2.57,2.69,190000.0
