Date,Time,Open,High,Low,Close,Vol
10/15/2010,16:00,18.55,18.55,18.55,18.55,0.0
10/18/2010,16:00,18.79,18.79,18.77,18.77,27000.0
10/19/2010,16:00,18.53,18.55,18.53,18.55,5100.0
10/20/2010,16:00,18.55,18.55,18.55,18.55,0.0
10/21/2010,16:00,18.55,18.55,18.55,18.55,0.0
10/22/2010,16:00,18.75,18.75,18.75,18.75,3900.0
10/25/2010,16:00,18.75,18.75,18.75,18.75,0.0
10/26/2010,16:00,18.55,18.55,18.35,18.35,968000.0
10/27/2010,16:00,18.35,18.55,18.35,18.55,15000.0
10/28/2010,16:00,18.55,18.55,18.55,18.55,55000.0
10/29/2010,16:00,18.79,18.79,18.79,18.79,2000.0
11/01/2010,16:00,18.35,18.55,18.31,18.55,139500.0
11/02/2010,16:00,18.55,18.55,18.55,18.55,0.0
11/03/2010,16:00,18.55,18.55,18.55,18.55,0.0
11/04/2010,16:00,18.75,18.79,18.35,18.79,3426500.0
11/05/2010,16:00,18.55,18.95,18.55,18.87,400300.0
11/08/2010,16:00,18.95,18.99,18.75,18.75,76300.0
11/09/2010,16:00,19.07,19.07,19.03,19.07,93700.0
11/10/2010,16:00,19.24,19.56,19.24,19.36,177800.0
11/11/2010,16:00,19.40,19.95,19.40,19.71,30300.0
11/12/2010,16:00,19.72,20.91,19.72,20.11,1622300.0
11/15/2010,16:00,20.16,21.82,20.16,20.92,282700.0
11/16/2010,16:00,20.85,21.16,20.85,20.97,124500.0
11/17/2010,16:00,21.01,21.09,20.93,20.97,223000.0
11/18/2010,16:00,21.01,21.21,21.01,21.17,34300.0
11/19/2010,16:00,21.24,22.38,21.24,22.17,1310400.0
11/22/2010,16:00,22.10,22.57,21.75,22.09,359300.0
11/23/2010,16:00,21.98,21.98,21.17,21.28,85000.0
11/24/2010,16:00,21.28,21.52,21.05,21.45,23900.0
11/26/2010,16:00,21.50,21.94,21.50,21.91,3800.0
11/29/2010,16:00,21.86,21.86,21.33,21.37,114800.0
11/30/2010,16:00,21.29,21.33,20.95,21.07,116800.0
12/01/2010,16:00,20.94,21.80,20.94,21.36,391100.0
12/02/2010,16:00,21.41,21.50,21.09,21.21,88200.0
12/03/2010,16:00,21.11,21.37,20.99,21.17,122000.0
12/06/2010,16:00,21.18,21.86,21.10,21.86,307300.0
12/07/2010,16:00,22.20,22.46,22.06,22.37,209600.0
12/08/2010,16:00,22.37,22.44,22.27,22.27,70000.0
12/09/2010,16:00,22.35,22.41,22.18,22.32,47300.0
12/10/2010,16:00,22.26,22.26,21.87,22.12,43500.0
12/13/2010,16:00,22.34,22.34,22.11,22.22,5300.0
12/14/2010,16:00,22.22,22.41,22.22,22.33,137900.0
12/15/2010,16:00,22.26,22.33,22.13,22.13,284100.0
12/16/2010,16:00,22.10,22.10,21.53,21.86,48300.0
12/17/2010,16:00,21.95,22.07,21.82,21.94,355400.0
12/20/2010,16:00,22.06,22.24,21.86,21.90,101700.0
12/21/2010,16:00,21.90,21.99,21.87,21.90,16600.0
12/22/2010,16:00,21.99,21.99,21.55,21.95,30400.0
12/23/2010,16:00,23.45,23.45,21.66,21.77,42700.0
12/27/2010,16:00,21.78,21.82,21.74,21.78,1500.0
12/28/2010,16:00,21.75,21.78,21.62,21.78,8400.0
12/29/2010,16:00,21.79,22.02,21.49,21.65,21700.0
12/30/2010,16:00,21.67,21.82,21.64,21.64,30700.0
12/31/2010,16:00,21.67,21.91,21.59,21.91,49100.0
01/03/2011,16:00,22.02,22.50,21.82,22.10,141300.0
01/04/2011,16:00,22.21,22.21,21.94,21.99,112500.0
01/05/2011,16:00,22.04,22.10,21.90,22.01,39500.0
01/06/2011,16:00,21.95,22.07,21.87,21.94,100700.0
01/07/2011,16:00,21.91,21.96,21.82,21.89,5600.0
01/10/2011,16:00,21.91,21.91,21.76,21.76,53600.0
01/11/2011,16:00,21.79,21.85,21.68,21.85,45600.0
01/12/2011,16:00,21.88,21.88,21.35,21.59,48500.0
01/13/2011,16:00,21.57,21.60,21.17,21.27,111200.0
01/14/2011,16:00,21.16,21.88,20.97,21.84,227100.0
01/18/2011,16:00,21.82,21.82,21.37,21.70,81600.0
01/19/2011,16:00,21.74,21.74,21.56,21.58,311100.0
01/20/2011,16:00,21.52,21.61,21.42,21.47,115300.0
01/21/2011,16:00,21.54,21.54,21.34,21.53,348400.0
01/24/2011,16:00,21.64,21.84,21.64,21.77,127800.0
01/25/2011,16:00,21.78,21.86,21.61,21.76,68900.0
01/26/2011,16:00,21.78,21.78,21.57,21.76,53600.0
01/27/2011,16:00,21.84,22.21,21.71,22.21,241900.0
01/28/2011,16:00,22.26,22.74,22.16,22.51,212900.0
01/31/2011,16:00,22.58,23.73,22.58,23.23,736400.0
02/01/2011,16:00,23.13,23.46,23.13,23.39,826600.0
02/02/2011,16:00,23.35,23.38,22.77,23.26,33000.0
02/03/2011,16:00,23.25,23.56,23.08,23.39,596300.0
02/04/2011,16:00,23.35,23.44,23.10,23.39,399600.0
02/07/2011,16:00,23.33,23.41,22.95,23.34,94300.0
02/08/2011,16:00,23.30,23.39,23.02,23.31,53800.0
02/09/2011,16:00,23.37,23.39,23.06,23.13,12300.0
02/10/2011,16:00,23.20,23.39,23.20,23.37,131500.0
02/11/2011,16:00,23.38,23.39,23.16,23.33,18300.0
02/14/2011,16:00,23.39,23.57,23.36,23.47,33000.0
02/15/2011,16:00,23.39,24.40,23.39,24.29,258800.0
02/16/2011,16:00,24.25,25.29,24.25,24.68,1266000.0
02/17/2011,16:00,24.57,24.61,24.10,24.40,761900.0
02/18/2011,16:00,24.38,24.93,24.38,24.83,1110600.0
02/22/2011,16:00,24.77,25.62,24.70,24.79,119400.0
02/23/2011,16:00,24.86,25.21,24.79,25.12,873300.0
02/24/2011,16:00,25.18,25.95,24.99,25.00,943200.0
02/25/2011,16:00,25.13,26.64,24.91,26.20,1122200.0
02/28/2011,16:00,26.24,26.41,25.73,25.90,251100.0
03/01/2011,16:00,25.98,26.02,25.50,25.89,423100.0
03/02/2011,16:00,26.05,26.11,25.78,25.85,691600.0
03/03/2011,16:00,25.91,26.21,25.87,25.94,565300.0
03/04/2011,16:00,25.83,26.63,25.83,26.62,272200.0
03/07/2011,16:00,26.69,27.01,26.66,26.76,212300.0
03/08/2011,16:00,26.66,27.13,26.56,26.83,250600.0
03/09/2011,16:00,26.78,27.07,26.55,26.83,355100.0
03/10/2011,16:00,26.76,27.03,26.16,26.17,145600.0
03/11/2011,16:00,26.05,26.45,25.99,26.22,278200.0
03/14/2011,16:00,26.17,26.21,26.01,26.15,175300.0
03/15/2011,16:00,25.78,26.12,25.28,25.75,220000.0
03/16/2011,16:00,25.62,26.08,25.62,25.92,340800.0
03/17/2011,16:00,26.15,26.24,25.82,25.86,473000.0
03/18/2011,16:00,25.98,26.24,25.83,26.17,548900.0
03/21/2011,16:00,26.15,26.33,26.15,26.21,187000.0
03/22/2011,16:00,26.21,26.66,26.21,26.61,365800.0
03/23/2011,16:00,26.70,27.65,26.70,27.21,546200.0
03/24/2011,16:00,27.44,27.44,27.07,27.10,258300.0
03/25/2011,16:00,27.17,27.33,27.02,27.04,205000.0
03/28/2011,16:00,27.20,27.20,26.83,26.92,151800.0
03/29/2011,16:00,26.86,26.86,26.40,26.53,493100.0
03/30/2011,16:00,26.62,26.62,26.11,26.19,302000.0
03/31/2011,16:00,26.44,26.63,22.08,22.71,4779200.0
04/01/2011,16:00,22.86,23.82,22.53,23.27,1900700.0
04/04/2011,16:00,23.36,23.59,23.19,23.29,291700.0
04/05/2011,16:00,23.21,23.35,21.46,21.82,1406200.0
04/06/2011,16:00,22.01,22.39,21.87,22.18,458300.0
04/07/2011,16:00,22.37,22.37,21.94,21.98,253300.0
04/08/2011,16:00,22.03,22.08,21.72,21.99,282200.0
04/11/2011,16:00,22.04,22.42,21.13,21.61,402500.0
04/12/2011,16:00,21.74,21.74,20.77,21.14,1213300.0
04/13/2011,16:00,21.28,21.78,20.87,21.53,343900.0
04/14/2011,16:00,21.66,21.88,21.55,21.88,380200.0
04/15/2011,16:00,21.79,22.10,21.63,21.78,364800.0
04/18/2011,16:00,21.58,21.95,21.49,21.82,195800.0
04/19/2011,16:00,21.72,22.08,21.70,21.83,219200.0
04/20/2011,16:00,21.95,22.25,21.86,22.20,359400.0
04/21/2011,16:00,22.26,22.47,22.11,22.47,131600.0
04/25/2011,16:00,22.27,22.57,22.27,22.43,102200.0
04/26/2011,16:00,22.35,22.60,22.31,22.45,207200.0
04/27/2011,16:00,22.36,22.91,22.32,22.84,146600.0
04/28/2011,16:00,22.73,22.85,22.66,22.70,67900.0
04/29/2011,16:00,22.60,22.73,22.51,22.62,114000.0
05/02/2011,16:00,22.74,23.08,22.67,22.78,235000.0
05/03/2011,16:00,22.84,23.06,22.38,22.56,179000.0
05/04/2011,16:00,22.56,22.61,22.07,22.29,668500.0
05/05/2011,16:00,22.16,22.29,21.92,21.99,227600.0
05/06/2011,16:00,22.17,22.30,21.98,22.03,115200.0
05/09/2011,16:00,22.03,22.56,22.03,22.56,225000.0
05/10/2011,16:00,22.66,22.95,22.48,22.81,163400.0
05/11/2011,16:00,22.89,22.90,22.42,22.49,213400.0
05/12/2011,16:00,22.36,22.39,22.18,22.27,192000.0
05/13/2011,16:00,22.22,22.23,21.86,21.98,228400.0
05/16/2011,16:00,21.78,21.81,19.65,19.74,1360000.0
05/17/2011,16:00,19.61,20.56,19.35,20.29,1074800.0
05/18/2011,16:00,20.34,20.76,19.95,20.71,868800.0
05/19/2011,16:00,20.72,21.11,20.11,20.55,373100.0
05/20/2011,16:00,20.61,20.89,20.39,20.47,340700.0
05/23/2011,16:00,20.15,20.70,20.06,20.56,235300.0
05/24/2011,16:00,20.67,20.67,19.88,20.17,519400.0
05/25/2011,16:00,20.09,20.32,19.97,20.14,285800.0
05/26/2011,16:00,20.09,20.57,19.65,20.26,278600.0
05/27/2011,16:00,20.37,20.95,20.34,20.50,418500.0
05/31/2011,16:00,20.72,20.78,20.29,20.53,1888600.0
06/01/2011,16:00,20.46,20.62,20.17,20.46,368400.0
06/02/2011,16:00,20.40,20.71,20.36,20.46,239100.0
06/03/2011,16:00,20.23,20.49,20.16,20.35,441800.0
06/06/2011,16:00,20.29,20.44,19.56,19.74,374000.0
06/07/2011,16:00,19.84,19.89,19.19,19.72,281500.0
06/08/2011,16:00,19.74,19.74,19.33,19.67,332900.0
06/09/2011,16:00,19.75,20.49,19.64,20.40,445800.0
06/10/2011,16:00,20.28,20.84,20.28,20.69,583900.0
06/13/2011,16:00,20.77,20.85,20.68,20.82,463500.0
06/14/2011,16:00,20.97,21.36,20.78,21.28,547100.0
06/15/2011,16:00,21.15,21.41,20.74,21.11,727100.0
06/16/2011,16:00,21.15,21.80,20.85,21.67,647300.0
06/17/2011,16:00,21.72,22.03,21.45,21.80,612300.0
06/20/2011,16:00,21.78,21.78,21.32,21.41,276600.0
06/21/2011,16:00,21.61,21.70,21.32,21.43,480700.0
06/22/2011,16:00,21.45,21.57,20.77,21.20,702600.0
06/23/2011,16:00,21.11,21.21,20.57,20.95,524400.0
06/24/2011,16:00,20.98,21.66,20.53,20.75,5256000.0
06/27/2011,16:00,20.86,21.18,20.57,21.04,447500.0
06/28/2011,16:00,21.08,21.39,21.02,21.21,551700.0
06/29/2011,16:00,21.21,21.49,21.09,21.14,288900.0
06/30/2011,16:00,21.20,21.67,20.65,20.70,720500.0
07/01/2011,16:00,20.69,20.69,19.94,20.36,703000.0
07/05/2011,16:00,20.39,20.39,20.04,20.12,290600.0
07/06/2011,16:00,20.04,20.24,19.99,20.07,293000.0
07/07/2011,16:00,20.20,20.27,20.02,20.08,392000.0
07/08/2011,16:00,19.90,20.18,19.78,19.98,353600.0
07/11/2011,16:00,19.85,19.95,19.37,19.46,199000.0
07/12/2011,16:00,19.43,19.57,19.37,19.45,240600.0
07/13/2011,16:00,19.53,19.72,19.29,19.45,247000.0
07/14/2011,16:00,19.54,19.61,19.07,19.07,168000.0
07/15/2011,16:00,19.27,19.46,19.04,19.25,187800.0
07/18/2011,16:00,19.17,19.36,18.70,18.96,143800.0
07/19/2011,16:00,19.07,19.33,19.03,19.17,213300.0
07/20/2011,16:00,19.21,19.22,18.84,19.11,101100.0
07/21/2011,16:00,19.12,19.21,19.03,19.11,280900.0
07/22/2011,16:00,19.10,19.16,18.97,19.12,138400.0
07/25/2011,16:00,19.03,19.14,18.94,19.01,216900.0
07/26/2011,16:00,18.94,19.13,18.78,18.94,153600.0
07/27/2011,16:00,18.86,18.86,18.50,18.69,236700.0
07/28/2011,16:00,18.71,18.84,18.62,18.83,216500.0
07/29/2011,16:00,18.69,18.86,18.51,18.78,220400.0
08/01/2011,16:00,18.89,19.27,18.46,18.72,261700.0
08/02/2011,16:00,18.72,18.85,17.85,17.86,339600.0
08/03/2011,16:00,17.93,17.96,17.38,17.83,191400.0
08/04/2011,16:00,17.69,17.69,16.17,16.19,290000.0
08/05/2011,16:00,16.30,16.61,16.13,16.48,601700.0
08/08/2011,16:00,16.19,16.51,14.56,14.67,540200.0
08/09/2011,16:00,14.81,14.84,13.35,14.52,1199300.0
08/10/2011,16:00,14.34,14.92,14.04,14.64,546200.0
08/11/2011,16:00,14.76,15.57,14.52,15.53,424000.0
08/12/2011,16:00,15.62,15.77,15.23,15.59,341100.0
08/15/2011,16:00,15.71,17.90,15.71,17.29,313200.0
08/16/2011,16:00,17.10,17.15,16.36,16.98,275900.0
08/17/2011,16:00,17.06,17.59,16.21,16.54,453800.0
08/18/2011,16:00,16.23,16.23,15.25,15.89,473100.0
08/19/2011,16:00,15.70,16.23,15.49,15.82,352400.0
08/22/2011,16:00,16.09,16.36,14.90,15.02,335700.0
08/23/2011,16:00,15.08,15.55,14.89,15.51,427400.0
08/24/2011,16:00,15.45,16.65,15.31,16.55,251800.0
08/25/2011,16:00,16.64,16.75,15.74,15.97,291700.0
08/26/2011,16:00,15.85,16.48,15.53,16.27,190200.0
08/29/2011,16:00,16.41,16.73,16.18,16.73,230400.0
08/30/2011,16:00,16.63,16.82,16.37,16.69,179900.0
08/31/2011,16:00,16.98,18.78,16.86,18.49,995700.0
09/01/2011,16:00,18.53,18.83,18.00,18.05,407800.0
09/02/2011,16:00,17.80,18.20,17.54,17.85,507200.0
09/06/2011,16:00,17.50,18.00,17.19,17.82,442600.0
09/07/2011,16:00,18.11,18.27,17.79,18.03,523900.0
09/08/2011,16:00,17.98,18.67,17.86,18.55,560200.0
09/09/2011,16:00,18.34,18.57,17.64,17.94,598200.0
09/12/2011,16:00,17.66,18.40,17.57,18.31,266700.0
09/13/2011,16:00,18.36,18.56,18.07,18.28,172700.0
09/14/2011,16:00,18.44,18.84,18.38,18.67,240900.0
09/15/2011,16:00,18.86,18.99,18.53,18.90,164900.0
09/16/2011,16:00,18.59,19.39,18.59,18.95,386900.0
09/19/2011,16:00,18.65,18.86,18.40,18.68,243400.0
09/20/2011,16:00,18.83,19.13,18.17,18.35,258700.0
09/21/2011,16:00,18.30,18.86,18.18,18.36,385100.0
09/22/2011,16:00,17.78,18.06,17.55,17.77,550100.0
09/23/2011,16:00,17.74,17.97,16.69,17.34,332500.0
09/26/2011,16:00,17.40,17.49,16.77,17.40,219700.0
09/27/2011,16:00,17.77,18.36,17.54,17.75,350300.0
09/28/2011,16:00,17.76,17.97,16.71,16.86,324300.0
09/29/2011,16:00,17.15,17.44,16.43,16.96,198200.0
09/30/2011,16:00,16.52,16.84,16.09,16.10,290000.0
10/03/2011,16:00,15.98,16.17,15.45,15.50,385000.0
10/04/2011,16:00,15.37,15.60,14.79,15.35,423200.0
10/05/2011,16:00,15.52,16.26,15.09,16.21,206700.0
10/06/2011,16:00,16.11,16.90,16.03,16.90,221000.0
10/07/2011,16:00,16.92,17.04,15.99,16.44,273300.0
10/10/2011,16:00,16.72,17.18,16.43,16.75,223400.0
10/11/2011,16:00,16.60,17.40,16.42,16.97,225400.0
10/12/2011,16:00,17.07,17.23,16.85,16.93,229000.0
10/13/2011,16:00,16.79,17.03,16.36,16.95,161300.0
10/14/2011,16:00,17.02,17.44,16.82,17.34,184400.0
10/17/2011,16:00,17.32,17.65,17.18,17.26,240700.0
10/18/2011,16:00,17.36,18.23,17.24,18.00,442600.0
10/19/2011,16:00,17.95,18.86,17.95,18.43,239400.0
10/20/2011,16:00,18.47,18.70,18.31,18.47,131100.0
10/21/2011,16:00,18.81,19.19,18.55,19.00,170900.0
10/24/2011,16:00,21.78,22.88,21.61,22.80,3492500.0
10/25/2011,16:00,22.68,23.69,22.53,23.39,1468200.0
10/26/2011,16:00,23.63,23.79,22.91,22.97,904600.0
10/27/2011,16:00,23.16,23.55,22.34,22.78,1329700.0
10/28/2011,16:00,22.61,23.03,22.58,22.84,494300.0
10/31/2011,16:00,22.70,22.91,22.53,22.57,478500.0
11/01/2011,16:00,22.18,22.75,22.10,22.64,409700.0
11/02/2011,16:00,22.95,23.11,22.46,22.57,605800.0
11/03/2011,16:00,22.82,22.92,22.33,22.77,484900.0
11/04/2011,16:00,22.57,22.91,22.57,22.87,795000.0
11/07/2011,16:00,22.74,23.52,22.74,23.35,1028500.0
11/08/2011,16:00,23.49,23.54,22.88,23.40,553700.0
11/09/2011,16:00,22.86,23.40,22.83,22.93,443500.0
11/10/2011,16:00,23.21,23.39,22.97,23.29,524200.0
11/11/2011,16:00,23.54,23.85,23.45,23.74,415800.0
11/14/2011,16:00,23.60,23.75,23.34,23.41,190100.0
11/15/2011,16:00,23.35,23.57,22.85,23.16,266200.0
11/16/2011,16:00,23.06,23.46,22.46,22.62,344000.0
11/17/2011,16:00,22.58,23.28,22.24,22.45,297700.0
11/18/2011,16:00,22.32,22.53,22.18,22.42,218600.0
11/21/2011,16:00,22.23,22.41,22.23,22.35,250400.0
11/22/2011,16:00,22.33,22.77,22.13,22.32,191400.0
11/23/2011,16:00,22.28,22.54,22.18,22.44,254100.0
11/25/2011,16:00,22.39,22.57,22.39,22.44,64200.0
11/28/2011,16:00,22.69,23.11,22.55,22.73,227300.0
11/29/2011,16:00,22.78,22.78,22.54,22.66,189800.0
11/30/2011,16:00,23.08,23.12,22.65,22.70,411100.0
12/01/2011,16:00,21.78,21.83,20.91,21.12,1604600.0
12/02/2011,16:00,21.30,21.63,20.80,20.82,254300.0
12/05/2011,16:00,21.28,21.28,20.84,20.95,443800.0
12/06/2011,16:00,20.84,21.80,20.84,21.48,426800.0
