Date,Time,Open,High,Low,Close,Vol
07/24/1981,16:00,2.87,3.0,2.87,2.87,28100.0
07/27/1981,16:00,2.87,3.0,2.62,2.62,16200.0
07/28/1981,16:00,2.62,2.87,2.62,2.62,200.0
07/29/1981,16:00,2.62,2.87,2.62,2.62,700.0
07/30/1981,16:00,2.75,3.0,2.75,2.75,5700.0
07/31/1981,16:00,2.75,3.0,2.75,2.75,3900.0
08/03/1981,16:00,2.75,3.0,2.75,2.75,600.0
08/04/1981,16:00,2.75,3.0,2.75,2.75,3700.0
08/05/1981,16:00,2.87,3.12,2.87,2.87,15400.0
08/06/1981,16:00,3.25,3.5,3.25,3.25,13000.0
08/07/1981,16:00,3.63,3.75,3.63,3.63,15200.0
08/10/1981,16:00,3.63,3.63,3.63,3.63,0.0
08/11/1981,16:00,3.75,4.0,3.75,3.75,30500.0
08/12/1981,16:00,3.75,3.88,3.63,3.63,6700.0
08/13/1981,16:00,3.63,3.88,3.63,3.63,9100.0
08/14/1981,16:00,3.63,3.88,3.63,3.63,4100.0
08/17/1981,16:00,3.63,3.75,3.5,3.5,22300.0
08/18/1981,16:00,3.5,3.75,3.5,3.5,12100.0
08/19/1981,16:00,3.5,3.63,3.38,3.38,17400.0
08/20/1981,16:00,3.5,3.75,3.5,3.5,3100.0
08/21/1981,16:00,3.5,3.63,3.5,3.5,6200.0
08/24/1981,16:00,3.5,3.63,3.38,3.38,9700.0
08/25/1981,16:00,3.38,3.63,3.25,3.25,6300.0
08/26/1981,16:00,3.12,3.12,2.87,2.87,6400.0
08/27/1981,16:00,3.0,3.12,3.0,3.0,6000.0
08/28/1981,16:00,3.0,3.25,3.0,3.0,2500.0
08/31/1981,16:00,3.12,3.38,3.12,3.12,900.0
09/01/1981,16:00,3.25,3.5,3.25,3.25,4600.0
09/02/1981,16:00,3.38,3.63,3.38,3.38,1400.0
09/03/1981,16:00,3.38,3.75,3.38,3.38,9900.0
09/04/1981,16:00,3.38,3.75,3.38,3.38,6300.0
09/08/1981,16:00,3.38,3.5,3.25,3.25,5300.0
09/09/1981,16:00,3.25,3.5,3.25,3.25,5100.0
09/10/1981,16:00,3.38,3.5,3.38,3.38,10400.0
09/11/1981,16:00,3.38,3.75,3.38,3.38,300.0
09/14/1981,16:00,3.38,3.75,3.38,3.38,3100.0
09/15/1981,16:00,3.38,3.75,3.38,3.38,2400.0
09/16/1981,16:00,3.5,3.75,3.5,3.5,3300.0
09/17/1981,16:00,3.5,3.63,3.38,3.38,6100.0
09/18/1981,16:00,3.38,3.63,3.38,3.38,900.0
09/21/1981,16:00,3.38,3.63,3.38,3.38,500.0
09/22/1981,16:00,3.38,3.38,3.12,3.12,8200.0
09/23/1981,16:00,3.12,3.38,3.12,3.12,5000.0
09/24/1981,16:00,3.12,3.38,3.12,3.12,11300.0
09/25/1981,16:00,3.12,3.38,3.0,3.0,2600.0
