Date,Time,Open,High,Low,Close,Vol
12/30/1987,16:00,1.02,1.03,1.01,1.02,16400.0
12/31/1987,16:00,1.01,1.02,1.00,1.02,4800.0
01/04/1988,16:00,1.01,1.03,1.00,1.03,35200.0
01/05/1988,16:00,1.03,1.04,1.03,1.04,7600.0
01/06/1988,16:00,1.03,1.03,1.02,1.03,25200.0
01/07/1988,16:00,1.05,1.06,1.04,1.06,8400.0
01/08/1988,16:00,1.05,1.05,1.03,1.03,4800.0
01/11/1988,16:00,1.02,1.03,1.00,1.00,16800.0
01/12/1988,16:00,1.00,1.03,1.00,1.03,12400.0
01/13/1988,16:00,1.03,1.04,1.03,1.03,18800.0
01/14/1988,16:00,1.04,1.04,1.03,1.03,15600.0
01/15/1988,16:00,1.04,1.05,1.04,1.05,9600.0
01/18/1988,16:00,1.05,1.05,1.03,1.03,3200.0
01/19/1988,16:00,1.04,1.04,1.02,1.03,11200.0
01/20/1988,16:00,1.04,1.05,1.03,1.04,8400.0
01/21/1988,16:00,1.03,1.04,1.03,1.03,3600.0
01/22/1988,16:00,1.03,1.03,1.03,1.03,1200.0
01/25/1988,16:00,1.03,1.03,1.02,1.03,17200.0
01/26/1988,16:00,1.02,1.03,1.02,1.02,8800.0
01/27/1988,16:00,1.03,1.04,1.03,1.03,202400.0
01/28/1988,16:00,1.04,1.04,1.03,1.04,14000.0
01/29/1988,16:00,1.04,1.06,1.04,1.05,21200.0
02/01/1988,16:00,1.05,1.06,1.05,1.05,20800.0
02/02/1988,16:00,1.06,1.06,1.05,1.06,23600.0
02/03/1988,16:00,1.06,1.06,1.05,1.05,9200.0
02/04/1988,16:00,1.04,1.04,1.03,1.03,10800.0
02/05/1988,16:00,1.03,1.03,1.03,1.03,12800.0
02/08/1988,16:00,1.03,1.05,1.03,1.05,23600.0
02/09/1988,16:00,1.03,1.06,1.03,1.06,25600.0
02/10/1988,16:00,1.05,1.06,1.04,1.05,34800.0
02/11/1988,16:00,1.03,1.05,1.03,1.05,21600.0
02/12/1988,16:00,1.05,1.05,1.04,1.04,11600.0
02/16/1988,16:00,1.05,1.05,1.04,1.04,10800.0
02/17/1988,16:00,1.03,1.04,1.03,1.03,70400.0
02/18/1988,16:00,1.03,1.03,1.03,1.03,28000.0
02/19/1988,16:00,1.04,1.04,1.03,1.04,30400.0
02/22/1988,16:00,1.04,1.06,1.03,1.06,171600.0
02/23/1988,16:00,1.05,1.06,1.05,1.05,21200.0
02/24/1988,16:00,1.07,1.07,1.06,1.07,17600.0
02/25/1988,16:00,1.07,1.09,1.06,1.09,34000.0
02/26/1988,16:00,1.09,1.09,1.09,1.09,6000.0
02/29/1988,16:00,1.09,1.10,1.09,1.10,22400.0
03/01/1988,16:00,1.11,1.11,1.10,1.11,11200.0
03/02/1988,16:00,1.10,1.11,1.10,1.10,24800.0
03/03/1988,16:00,1.10,1.11,1.09,1.10,30000.0
03/04/1988,16:00,1.09,1.09,1.08,1.08,8800.0
03/07/1988,16:00,1.08,1.08,1.08,1.08,13600.0
03/08/1988,16:00,1.09,1.10,1.09,1.10,93600.0
03/09/1988,16:00,1.11,1.11,1.09,1.10,28800.0
03/10/1988,16:00,1.09,1.11,1.09,1.09,14000.0
03/11/1988,16:00,1.10,1.11,1.09,1.10,120000.0
03/14/1988,16:00,1.10,1.11,1.08,1.11,54800.0
03/15/1988,16:00,1.11,1.11,1.11,1.11,10400.0
03/16/1988,16:00,1.11,1.12,1.11,1.12,26400.0
03/17/1988,16:00,1.13,1.13,1.12,1.12,16000.0
03/18/1988,16:00,1.12,1.13,1.11,1.11,17600.0
03/21/1988,16:00,1.11,1.12,1.10,1.10,11600.0
03/22/1988,16:00,1.09,1.10,1.08,1.09,12400.0
03/23/1988,16:00,1.09,1.10,1.08,1.09,39600.0
03/24/1988,16:00,1.08,1.08,1.08,1.08,9600.0
03/25/1988,16:00,1.08,1.08,1.06,1.07,11200.0
03/28/1988,16:00,1.06,1.06,1.05,1.05,9200.0
03/29/1988,16:00,1.06,1.06,1.05,1.06,14400.0
03/30/1988,16:00,1.05,1.06,1.05,1.05,6000.0
03/31/1988,16:00,1.05,1.05,1.05,1.05,14800.0
04/04/1988,16:00,1.05,1.05,1.04,1.05,10000.0
04/05/1988,16:00,1.05,1.05,1.04,1.04,20800.0
04/06/1988,16:00,1.04,1.06,1.04,1.05,7600.0
04/07/1988,16:00,1.07,1.07,1.05,1.07,8800.0
04/08/1988,16:00,1.06,1.08,1.06,1.06,10800.0
04/11/1988,16:00,1.06,1.08,1.06,1.08,20400.0
04/12/1988,16:00,1.08,1.08,1.06,1.07,12800.0
04/13/1988,16:00,1.08,1.08,1.07,1.07,21200.0
04/14/1988,16:00,1.08,1.08,1.07,1.07,9600.0
04/15/1988,16:00,1.07,1.08,1.06,1.06,13200.0
04/18/1988,16:00,1.06,1.07,1.05,1.07,22000.0
04/19/1988,16:00,1.06,1.06,1.04,1.05,25200.0
04/20/1988,16:00,1.05,1.06,1.04,1.06,28800.0
04/21/1988,16:00,1.05,1.06,1.05,1.05,22000.0
04/22/1988,16:00,1.06,1.06,1.02,1.06,33600.0
04/25/1988,16:00,1.07,1.08,1.06,1.07,18000.0
04/26/1988,16:00,1.07,1.07,1.05,1.06,32800.0
04/27/1988,16:00,1.06,1.06,1.05,1.05,9600.0
04/28/1988,16:00,1.05,1.05,1.05,1.05,1600.0
04/29/1988,16:00,1.05,1.06,1.05,1.06,19200.0
05/02/1988,16:00,1.06,1.06,1.05,1.06,4800.0
05/03/1988,16:00,1.05,1.06,1.05,1.05,6400.0
05/04/1988,16:00,1.05,1.06,1.05,1.05,14400.0
05/05/1988,16:00,1.05,1.05,1.05,1.05,10000.0
