Date,Time,Open,High,Low,Close,Vol
01/09/1997,16:00,2.47,2.65,2.29,2.50,1608700.5
01/10/1997,16:00,2.65,2.84,2.47,2.71,683100.0
01/13/1997,16:00,2.78,2.84,2.65,2.69,641400.75
01/14/1997,16:00,2.65,2.78,2.63,2.63,589500.0
01/15/1997,16:00,2.59,2.69,2.53,2.65,318600.0
01/16/1997,16:00,2.63,2.65,2.56,2.64,179500.5
01/17/1997,16:00,2.56,2.65,2.56,2.65,97299.0
01/20/1997,16:00,2.65,2.69,2.53,2.56,107500.5
01/21/1997,16:00,2.65,2.69,2.53,2.53,118800.0
01/22/1997,16:00,2.69,2.69,2.53,2.56,61299.0
01/23/1997,16:00,2.71,2.71,2.56,2.56,134500.5
01/24/1997,16:00,2.56,2.67,2.56,2.56,36400.5
01/27/1997,16:00,2.65,2.90,2.65,2.78,412299.0
01/28/1997,16:00,2.75,2.99,2.75,2.90,179100.0
01/29/1997,16:00,2.90,2.99,2.84,2.84,108900.0
01/30/1997,16:00,2.99,2.99,2.84,2.84,126400.5
01/31/1997,16:00,3.02,3.14,2.84,2.96,247900.5
02/03/1997,16:00,3.14,3.14,2.96,2.99,117000.0
02/04/1997,16:00,3.08,3.08,2.96,2.96,162600.75
02/05/1997,16:00,2.96,3.08,2.96,2.96,133200.0
02/06/1997,16:00,2.96,3.05,2.90,2.90,199899.0
02/07/1997,16:00,2.90,3.02,2.90,2.90,204399.0
02/10/1997,16:00,2.90,3.02,2.90,2.90,23499.0
02/11/1997,16:00,2.90,3.02,2.90,2.90,51399.0
02/12/1997,16:00,2.90,3.02,2.90,2.90,67599.0
02/13/1997,16:00,2.90,2.96,2.78,2.84,159300.0
02/14/1997,16:00,2.90,2.90,2.78,2.90,59499.0
02/18/1997,16:00,2.90,2.90,2.78,2.84,102699.0
02/19/1997,16:00,2.78,2.90,2.78,2.78,78399.0
02/20/1997,16:00,2.78,2.90,2.71,2.71,99400.5
02/21/1997,16:00,2.87,2.87,2.75,2.75,17700.75
02/24/1997,16:00,2.75,2.87,2.69,2.71,136300.5
